AvgEpLen,Regret,TimeElapsed,BoundBonus,ActionIn1,IWFirstEpisode,Iteration,NumTrainableParams,IWMax,ReturnStepMax,ReturnLastEpisode,ReturnAbsMax,ReturnMean,IWLastEpisode,NumTrajectories,IWMean,Bound,MountainCar_std1_higher,TimestepsSoFar,DenMISELogFirst,ReturnMax,MountainCar_mu1_higher,IWMin,DenMISEMeanLog,MountainCar_std0_higher,Delta,BoundMISE,ReturnMin,Regret/t,GridSize,MountainCar_mu0_higher,MinEpLen,DenMISELogLast
840.1290322580645,173.75726,14.629607200622559,998.2815,1.2378352,3.6662307,31,,12.492457,99.11324,-0.058039967,19.432583,-0.60507274,0.14453685,31,0.6074275,998.3871,3.0,26044,-4.836182,19.432583,3.3333333,,-4.088589,0.14999999,7.4423347e-06,0.105575435,-8.090698,5.605073,16,-0.33333334,157,-3.8282633
845.09375,179.17026,15.072796106338501,691.0633,-11.529639,4.0462464e-10,32,,1.1119335,99.11324,-0.41300392,19.432583,-0.5990706,5.1721543e-08,32,0.11478139,691.0499,3.0,27043,-4.7561517,19.432583,-10.0,,-4.1148243,0.14999999,6.984457e-06,-0.013357525,-8.090698,5.5990705,16,0.33333334,157,-4.478489
849.7575757575758,184.18454,15.566797733306885,692.8522,-12.738791,0.036073357,33,,101.39935,99.11324,-0.01428031,19.432583,-0.5813497,0.64350426,33,3.4695325,691.02576,3.0,28042,-4.7869234,19.432583,-10.0,,-4.1238523,0.14999999,6.5675695e-06,-1.8263971,-8.090698,5.58135,16,-0.33333334,157,-3.5413506
854.1470588235294,189.87022,16.056302547454834,621.25494,7.810013,2.4795424e-10,34,,13.468572,99.11324,-0.6856865,19.432583,-0.5844184,4.8827984e-18,34,0.43252698,629.0543,3.0,29041,-4.815684,19.432583,10.0,,-4.1485534,0.14999999,6.186923e-06,7.799358,-8.090698,5.5844183,16,0.33333334,157,-5.734021
858.2857142857143,196.01993,16.612531185150146,622.7546,8.803193,0.022066357,35,,14.0636015,99.11324,-1.1496987,19.432583,-0.60056925,3.3703905e-06,35,0.59160936,624.36035,3.0,30040,-4.8446717,19.432583,10.0,,-4.1995068,0.14999999,5.8384353e-06,1.6057659,-8.090698,5.6005692,16,-0.33333334,157,-5.316186
845.25,199.2868,16.910173177719116,125.449844,0.9872409,1.3417453e-24,36,,3.6216729,99.11324,1.7331235,19.432583,-0.5357444,2.2009706e-15,36,0.24311236,124.32186,3.0,30429,-4.872212,19.432583,3.3333333,,-4.206567,0.14999999,5.5185833e-06,-1.1279801,-8.090698,5.5357447,16,1.0,157,-3.9847586
849.4054054054054,211.25569,17.604581356048584,123.409836,-7.633909,1.0700155,37,,11.230022,99.11324,-6.968889,19.432583,-0.7096132,,37,0.6516632,121.90354,3.0,31428,-4.899611,19.432583,-3.3333333,,-4.2245493,0.14999999,5.224312e-06,-1.5062954,-8.090698,5.7096133,16,-1.0,157,-4.120963
853.3421052631579,218.54416,18.19248604774475,116.61921,9.453224,2.691667e-10,38,,22.310305,99.11324,-2.2884667,19.432583,-0.751162,2.4476312e-26,38,0.90579194,121.54875,3.0,32427,-4.8977704,19.432583,10.0,,-4.2322164,0.14999999,4.9529667e-06,4.9295444,-8.090698,5.751162,16,0.33333334,157,-4.123344
839.974358974359,220.41255,18.422685861587524,120.95399,1.95267,0.91276693,39,,22.406757,99.11324,3.1316001,19.432583,-0.651604,1.0343201e-16,39,1.1049284,119.04957,3.0,32759,-4.9237456,19.432583,3.3333333,,-4.2265477,0.14999999,4.7022245e-06,-1.9044198,-8.090698,5.651604,16,-1.0,157,-3.7704804
843.95,226.76361,18.954444408416748,117.10787,8.036626,0.023934273,40,,17.404667,99.11324,-1.3510634,19.432583,-0.66909045,0.00503885,40,0.8906034,119.23991,3.0,33758,-4.925929,19.432583,10.0,,-4.2189136,0.14999999,4.4700523e-06,2.132032,-8.090698,5.6690903,16,-0.33333334,157,-3.8856616
834.6829268292682,231.00046,19.230645895004272,125.77824,0.88019717,1.7417077e-24,41,,18.613697,99.11324,0.76315343,19.432583,-0.6341577,3.303919e-17,41,1.5905184,119.15058,3.0,34222,-4.950023,19.432583,-3.3333333,,-4.2135363,0.14999999,4.2546603e-06,-6.6276565,-8.090698,5.6341577,16,1.0,157,-3.7848299
838.5952380952381,244.6202,19.73532223701477,118.43672,-6.110294,5.846115e-08,42,,11.728702,99.11324,-8.619729,19.432583,-0.82429034,1.312544e-07,42,0.6689617,118.3733,3.0,35221,-4.974121,19.432583,-3.3333333,,-4.2210317,0.14999999,4.0544687e-06,-0.06342672,-8.619729,5.8242903,16,0.33333334,157,-4.9183164
842.3255813953489,250.33011,20.324706554412842,118.660126,-6.5442214,5.1743636,43,,8.883376,99.11324,-0.7099094,19.432583,-0.82163036,1.750223e-05,43,0.6197472,118.34543,3.0,36220,-4.9976516,19.432583,-3.3333333,,-4.2397885,0.14999999,3.868082e-06,-0.31469855,-8.619729,5.8216305,16,-0.33333334,157,-4.6415787
845.8863636363636,255.88214,20.859241008758545,118.04867,5.24395,3.9353342,44,,24.863085,99.11324,-0.55203927,19.432583,-0.8155033,0.18360901,44,1.0239464,117.99359,3.0,37219,-4.907014,19.432583,3.3333333,,-4.262601,0.14999999,3.6942577e-06,-0.055076335,-8.619729,5.815503,16,-0.33333334,157,-4.8310533
838.9555555555555,260.6651,21.159236431121826,118.262634,1.6068182,4.273342e-08,45,,10.537466,99.11324,0.21704073,19.432583,-0.79255784,0.0013286722,45,0.5892832,118.185814,3.0,37753,-4.8438234,19.432583,3.3333333,,-4.2583356,0.14999999,3.5318933e-06,-0.07681857,-8.619729,5.7925577,16,0.33333334,157,-3.9677963
