MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,IWLastEpisode,AvgEpLen,TimestepsSoFar,MountainCar_std1_higher,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,IWMin,MinEpLen,ReturnMax,ReturnMin,IWMax,BoundBonus,DenMISELogLast,Regret,MountainCar_std0_higher,Bound,Iteration,BoundMISE,ReturnMean,Delta,IWFirstEpisode,Regret/t,TimeElapsed,NumTrajectories,DenMISEMeanLog,IWMean,ActionIn1,NumTrainableParams,GridSize
,,-8.938028e-05,0.06679905,808.8095238095239,16985,3.0,11.750882,118.33327,-4.3937745,,252,5.951836,-11.750882,10.215748,47.048454,-3.0162632,139.58243,0.14999999,47.041794,21,-0.006658608,-1.6467826,2.7570388e-05,0.0010623778,6.646783,10.475869417190552,21,-3.990066,0.9639869,0.34172285,,9
-10.0,,-0.066140726,0.022768566,817.4545454545455,17984,3.0,11.750882,118.33327,-4.4402437,,252,5.951836,-11.750882,10.997976,47.25682,-3.5307026,144.64857,0.14999999,47.122078,22,-0.134742,-1.5749352,2.5120953e-05,6.4982424e-07,6.574935,10.93041706085205,22,-3.9774554,1.0156922,-4.024949,,9
-10.0,-1.0,-0.036326416,4.1244655e-12,825.3478260869565,18983,3.0,11.750882,118.33327,-4.4846954,,252,5.951836,-11.750882,11.490322,47.4549,-3.9546087,149.6849,0.14999999,45.358204,23,-2.096694,-1.5080392,2.2984013e-05,0.0014312054,6.5080395,11.391327619552612,23,-3.9826705,0.9737292,-11.296837,,9
,-1.0,-1.6816262,0.020589974,832.5833333333334,19982,3.0,11.750882,118.33327,-4.527193,,252,5.951836,-11.750882,6.69674,45.112373,-3.2251718,156.36653,0.14999999,44.390873,24,-0.72150224,-1.515272,2.110858e-05,2.557545,6.515272,11.877232313156128,24,-3.9588404,0.5114353,-2.3154838,,9
-10.0,1.0,-1.6336937,1.2008091e-36,839.24,20981,3.0,11.750882,118.33327,-4.466755,,252,5.951836,-11.750882,12.497259,47.82394,-3.1812315,163.00021,0.14999999,43.582565,25,-4.241375,-1.5200088,1.9453666e-05,1.5802529e-29,6.520009,12.424656629562378,25,-3.9481037,1.001839,-6.2266436,,9
10.0,-1.0,-4.2829523,,845.3846153846154,21980,3.0,11.750882,118.33327,-4.5059757,,252,5.951836,-11.750882,8.656776,39.18894,-3.571257,172.28317,0.14999999,42.09821,26,2.9092696,-1.6262759,1.7986009e-05,0.064088315,6.626276,13.094204664230347,26,-3.939631,1.3229728,11.365822,,9
10.0,1.0,2.0826023,2.070809e-38,825.8148148148148,22297,3.0,11.750882,118.33327,-4.541254,,252,5.951836,-11.750882,13.483297,48.162052,-3.2590823,175.20058,0.14999999,42.103355,27,-6.0586987,-1.4889101,1.6678383e-05,7.463056e-28,6.48891,13.361347198486328,27,-3.9076955,0.52762526,12.905752,,9
3.3333333,0.33333334,-8.427779,1.6327942e-07,832.0,23296,3.0,11.750882,118.33327,-4.5776215,,252,5.951836,-11.750882,4.2230606,873.7515,-3.8938205,188.62836,0.14999999,873.7524,28,0.00083609245,-1.7367268,9.122555e-06,5.1818385e-09,6.7367268,13.863173007965088,28,-3.9268038,0.18186703,1.4776778,,16
-3.3333333,-0.33333334,-0.18295023,0.0037939413,837.7586206896551,24295,3.0,11.750882,118.33327,-4.612713,,252,5.951836,-11.750882,17.101084,876.06146,-4.076117,193.81131,0.14999999,875.9263,29,-0.13521668,-1.6831484,8.504261e-06,0.6794733,6.6831484,14.690917015075684,29,-3.9599233,0.7583247,0.2566034,,16
-3.3333333,0.33333334,-0.0084081665,0.168966,843.1333333333333,25294,3.0,11.750882,118.33327,-4.6234546,,252,5.951836,-11.750882,7.2575464,603.92413,-3.371837,198.8197,0.14999999,603.8724,30,-0.05173666,-1.6273236,7.94676e-06,1.5385475e-09,6.6273236,15.389568328857422,30,-3.9522119,0.6225601,-6.5217543,,16
3.3333333,-0.33333334,-0.6030001,5.5271863e-07,848.1612903225806,26293,3.0,11.750882,118.33327,-4.6562448,,252,5.951836,-11.750882,2.5023966,605.3585,-5.293406,204.4227,0.14999999,605.2903,31,-0.068241775,-1.5942808,7.4423347e-06,2.5023966,6.5942807,16.078876495361328,31,-4.008718,0.15899569,3.619539,,16
10.0,-0.33333334,-0.12572084,2.1710572,852.875,27292,3.0,11.750882,118.33327,-4.6103635,,252,5.951836,-11.750882,2.1710572,417.88593,-4.1991515,209.54843,0.14999999,418.05133,32,0.1654179,-1.5483885,6.984457e-06,0.060401015,6.5483885,16.778783321380615,32,-4.040586,0.18425843,5.9261227,,16
10.0,0.33333334,-0.1446288,0.0056912703,853.3333333333334,28160,3.0,11.750882,118.33327,-4.6392493,,252,5.951836,-11.750882,0.93605006,418.9677,-4.2313743,214.69305,0.14999999,419.04718,33,0.079470344,-1.5058502,6.5675695e-06,1.3927157e-10,6.5058503,17.289820194244385,33,-4.0707645,0.076957256,11.112927,,16
-10.0,-0.33333334,8.218238,6.984612e-13,835.3823529411765,28403,3.0,11.750882,118.33327,-4.669102,,243,8.218238,-11.750882,31.776056,420.0145,-4.0011973,211.47482,0.14999999,419.81216,34,-0.20232368,-1.2198477,6.186923e-06,0.0014612335,6.2198477,17.46837282180786,34,-4.0954556,1.2451159,-8.666035,,16
-10.0,0.33333334,-0.09950507,0.039359037,840.0571428571428,29402,3.0,11.750882,118.33327,-4.6980467,,243,8.218238,-11.750882,39.231102,421.02844,-3.936338,216.57433,0.14999999,420.35077,35,-0.6776768,-1.1878378,5.8384353e-06,3.369477e-12,6.1878376,18.085808753967285,35,-4.0924506,1.1592134,-8.108415,,16
-3.3333333,1.0,-1.229353,0.65075123,844.4722222222222,30401,3.0,11.750882,118.33327,-4.7262177,,243,8.218238,-11.750882,23.875053,91.98437,-5.7918158,222.80368,0.14999999,84.459465,36,-7.5249033,-1.1889911,5.5185833e-06,1.00775286e-26,6.188991,18.76186442375183,36,-4.1451073,1.3926798,-3.2535884,,16
3.3333333,1.0,-3.345218,0.7513362,848.6486486486486,31400,3.0,11.750882,118.33327,-4.753617,,243,8.218238,-11.750882,19.470457,91.64963,-4.0753155,231.1489,0.14999999,85.03326,37,-6.6163726,-1.2472675,5.224312e-06,3.6519995e-26,6.2472677,19.32934832572937,37,-4.137995,0.9310638,4.45012,,16
10.0,0.33333334,-2.4532588,0.05775602,852.6052631578947,32399,3.0,11.750882,118.33327,-4.780285,,243,8.218238,-11.750882,15.164742,70.76487,-4.876368,238.60216,0.14999999,74.11845,38,3.353573,-1.2790041,4.9529667e-06,1.6036635e-10,6.279004,19.816778898239136,38,-4.162706,0.4758064,8.963311,,16
-3.3333333,-1.0,-0.5942852,2.961301e-22,856.3589743589744,33398,3.0,11.750882,118.33327,-4.8062606,,243,8.218238,-11.750882,8.8919325,74.25022,-4.147079,244.19644,0.14999999,73.410904,39,-0.8393144,-1.2614472,4.7022245e-06,0.9711777,6.261447,20.33324098587036,39,-4.1770577,0.45966485,-0.70831484,,16
