IWMean,IWFirstEpisode,Regret/t,MountainCar_std1_higher,NumTrajectories,ReturnMax,ReturnMin,Delta,MountainCar_mu0_higher,DenMISELogFirst,TimeElapsed,Bound,Regret,ReturnStepMax,MountainCar_mu1_higher,IWMax,IWMin,DenMISELogLast,GridSize,ReturnLastEpisode,AvgEpLen,Iteration,MinEpLen,IWLastEpisode,TimestepsSoFar,ReturnAbsMax,ActionIn1,NumTrainableParams,DenMISEMeanLog,ReturnMean,MountainCar_std0_higher
1.217619e+24,1.1839395e-05,6.719051,1.5,49,,-2.8000343,1.2659872e-06,-1.0,-28.774147,61.00444054603577,inf,329.2335,28.00704,-10.0,1.2424961e+25,,-56.588974,400,-1.6860242,999.0,49,999,1.3632096e+24,48951,2.8000343,-9.740002,,-28.277145,-1.7190508,0.14999999
1.2167405e+24,1.2081015e-05,6.7165303,1.5,50,,-2.8000343,1.2158541e-06,-1.0,-28.79435,62.2321994304657,inf,335.8265,28.00704,-10.0,1.2678531e+25,,-28.00314,400,-1.5930188,999.0,50,999,599783700000.0,49950,2.8000343,-13.102654,,-28.27668,-1.7165302,0.14999999
1.3329949e+24,1.2322627e-05,6.7329564,1.5,51,,-2.8000343,1.168641e-06,-1.0,-28.814152,63.57417035102844,inf,343.3808,28.00704,-10.0,1.2932095e+25,,-59.193867,400,-2.5542748,999.0,51,999,5.972146e+24,50949,2.8000343,-12.74122,,-28.887716,-1.7329565,0.14999999
1.6840722e+24,1.25642555e-05,6.7340326,1.5,52,,-2.8000343,1.1241256e-06,-1.0,-28.83357,64.83017086982727,inf,350.16968,28.00704,-10.0,1.8298222e+25,,-59.212864,400,-1.7889041,999.0,52,999,1.8298222e+25,51948,2.8000343,-12.2610445,,-29.4759,-1.7340324,0.14999999
1.6832807e+24,1.2805858e-05,6.7496624,1.5,53,,-2.8000343,1.082106e-06,-1.0,-28.852617,66.09939861297607,inf,357.73212,28.00704,-10.0,1.8649942e+25,,-23.842323,400,-2.562436,999.0,53,999,4979779600.0,52947,2.8000343,-12.315018,,-29.374796,-1.7496626,0.14999999
1.6825193e+24,1.3047476e-05,6.7632523,1.5,54,,-2.8000343,1.0423989e-06,-1.0,-28.87131,67.33057880401611,inf,365.21564,28.00704,-10.0,1.9001681e+25,,-26.891787,400,-2.483505,999.0,54,999,112144090000.0,53946,2.8000343,-12.65772,,-29.333805,-1.7632523,0.14999999
1.6819257e+24,1.3289116e-05,6.771291,1.5,55,,-2.8000343,1.0048382e-06,-1.0,-28.88966,68.52111434936523,inf,372.42102,28.00704,-10.0,1.9353408e+25,,-51.558468,400,-2.2053823,999.0,55,999,7.818517e+21,54945,2.8000343,-12.297534,,-29.742699,-1.771291,0.14999999
1.6812148e+24,1.3530739e-05,6.7722845,1.5,56,,-2.8000343,9.692714e-07,-1.0,-28.907679,69.78944659233093,inf,379.24792,28.00704,-10.0,1.9705105e+25,,-35.98883,400,-1.8269252,999.0,56,999,2060267000000000.0,55944,2.8000343,-9.228361,,-29.858873,-1.7722845,0.14999999
2.0160605e+24,1.3772342e-05,6.7711067,1.5,57,,-2.8000343,9.355603e-07,-1.0,-28.925377,71.10534954071045,inf,385.9531,28.00704,-10.0,2.005684e+25,,-59.287716,400,-1.7051636,999.0,57,999,1.9125672e+25,56943,2.8000343,-9.014936,,-30.379639,-1.771107,0.14999999
2.1381055e+24,1.4013981e-05,6.783412,1.5,58,,-2.8000343,9.035778e-07,-1.0,-28.94277,72.36007809638977,inf,393.43787,28.00704,-10.0,2.0408548e+25,,-59.322487,400,-2.4847803,999.0,58,999,7.123062e+24,57942,2.8000343,-11.929549,,-30.883266,-1.7834117,0.14999999
2.1373568e+24,1.425559e-05,6.781363,1.5,59,,-2.8000343,8.7320757e-07,-1.0,-28.959864,73.68903040885925,inf,400.1004,28.00704,-10.0,2.0760245e+25,,-21.148218,400,-1.6625297,999.0,59,999,729642900.0,58941,2.8000343,-8.91159,,-30.72302,-1.7813629,0.14999999
2.1394235e+24,1.4497216e-05,6.762017,1.5,60,,-2.8000343,8.443433e-07,-1.0,-28.976671,75.01966643333435,inf,405.721,28.00704,-10.0,2.1111962e+25,,-59.232517,400,-0.6206093,999.0,60,999,1.6773066e+23,59940,2.8000343,-10.029143,,-31.20277,-1.7620169,0.14999999
2.1387118e+24,1.4738834e-05,6.7582345,1.5,61,,-2.8000343,8.168867e-07,-1.0,-28.9932,76.28313279151917,inf,412.25232,28.00704,-10.0,2.1463658e+25,,-14.359534,400,-1.531295,999.0,61,999,740841.5,60939,2.8000343,-11.216355,,-30.931334,-1.7582345,0.14999999
2.1380121e+24,1.4980448e-05,6.767849,1.5,62,,-2.8000343,7.90748e-07,-1.0,-29.00946,77.57642793655396,inf,419.60663,28.00704,-10.0,2.1815306e+25,,1.343558,400,-2.3543155,999.0,62,999,0.11209267,61938,2.8000343,-12.739265,,-30.415302,-1.7678488,0.14999999
2.1710515e+24,1.5222075e-05,6.7748027,1.5,63,,-2.8000343,7.658441e-07,-1.0,-29.025461,78.864830493927,inf,426.81256,28.00704,-10.0,2.2166964e+25,,-57.219067,400,-2.2059546,999.0,63,999,2.1239905e+24,62937,2.8000343,-11.283925,,-30.845144,-1.7748028,0.14999999
2.1699128e+24,1.5463704e-05,6.784283,1.5,64,,-2.8000343,7.4209845e-07,-1.0,-29.04121,80.13802790641785,inf,434.19412,28.00704,-10.0,2.2518618e+25,,1.0343951,400,-2.3815408,999.0,64,999,0.14451955,63936,2.8000343,-10.301431,,-30.351303,-1.7842832,0.14999999
2.1688027e+24,1.5705305e-05,6.7858224,1.5,65,,-2.8000343,7.194404e-07,-1.0,-29.056713,81.38369345664978,inf,441.07843,28.00704,-10.0,2.2870356e+25,,-8.99673,400,-1.8843256,999.0,65,999,5120.132,64935,2.8000343,-11.527456,,-30.026913,-1.7858223,0.14999999
2.1677283e+24,1.5946938e-05,6.7952,1.5,66,,-2.8000343,6.978043e-07,-1.0,-29.071981,82.59683465957642,inf,448.4832,28.00704,-10.0,2.3222007e+25,,-1.587571,400,-2.404736,999.0,66,999,1.8415254,65934,2.8000343,-10.866137,,-29.600029,-1.7951998,0.14999999
2.1666763e+24,1.6188555e-05,6.8089137,1.5,67,,-2.8000343,6.771298e-07,-1.0,-29.087019,83.90449118614197,inf,456.1972,28.00704,-10.0,2.3573668e+25,,-2.7577348,400,-2.714033,999.0,67,999,2.6526852,66933,2.8000343,-11.580342,,-29.203289,-1.8089137,0.14999999
2.1656466e+24,1.6430162e-05,6.8143606,1.5,68,,-2.8000343,6.5736054e-07,-1.0,-29.101833,85.1158218383789,inf,463.37653,28.00704,-10.0,2.3925268e+25,,-3.4127321,400,-2.1793094,999.0,68,999,16.349579,67932,2.8000343,-11.149694,,-28.827793,-1.8143606,0.14999999
2.1646454e+24,1.6671784e-05,6.8137794,1.5,69,,-2.8000343,6.3844476e-07,-1.0,-29.116432,86.37739610671997,inf,470.15076,28.00704,-10.0,2.4276925e+25,,1.0633479,400,-1.7742466,999.0,69,999,0.23194537,68931,2.8000343,-11.573277,,-28.398254,-1.8137794,0.14999999
2.1636698e+24,1.6913407e-05,6.806301,1.5,70,,-2.8000343,6.2033376e-07,-1.0,-29.130821,87.63558173179626,inf,476.4411,28.00704,-10.0,2.4628585e+25,,-12.40763,400,-1.2903203,999.0,70,999,60027.883,69930,2.8000343,-10.547135,,-28.173378,-1.8063012,0.14999999
2.162718e+24,1.7155035e-05,6.814456,1.5,71,,-2.8000343,6.029826e-07,-1.0,-29.145006,88.89680671691895,inf,483.82635,28.00704,-10.0,2.498019e+25,,-6.8347893,400,-2.3852715,999.0,71,999,352.76474,70929,2.8000343,-11.746389,,-27.876287,-1.8144557,0.14999999
