IWLastEpisode,ReturnMean,TimeElapsed,Iteration,MinEpLen,ActionIn1,ReturnLastEpisode,Delta,IWMin,MountainCar_std1_higher,ReturnMax,MountainCar_std0_higher,IWMean,TimestepsSoFar,ReturnAbsMax,ReturnStepMax,NumTrajectories,AvgEpLen,MountainCar_mu1_higher,Regret/t,IWMax,Bound,DenMISELogLast,DenMISELogFirst,NumTrainableParams,ReturnMin,IWFirstEpisode,MountainCar_mu0_higher,DenMISEMeanLog,Regret,GridSize
,-1.7275447,52.256768226623535,33,438,10.09668,-6.351432,2.7912172e-06,,0.14999999,0.5277536,0.14999999,7.381266e-05,31340,8.153168,98.76779,33,949.6969696969697,8.947369,6.727545,0.0024358178,838826400000000.0,-1.6782366,-2.0608523,,-8.153168,,1.0,-2.7043648,222.00897,400
,-2.0178823,53.920671463012695,34,438,-1.346678,-11.599029,2.6294422e-06,,0.14999999,0.5277536,0.14999999,6.1061585e-12,32339,11.599029,111.4327,34,951.1470588235294,-2.631579,7.0178823,2.0627611e-10,1196126400000000.0,-3.432109,-2.0907052,,-11.599029,,1.0,-2.754742,238.608,400
,-2.1670284,55.524882316589355,35,438,3.7963834,-7.2379885,2.481335e-06,,0.14999999,0.5277536,0.14999999,6.58608e-12,33338,11.599029,111.4327,35,952.5142857142857,2.631579,7.1670284,2.3049497e-10,1198821900000000.0,-2.611291,-2.1196928,,-11.599029,,1.0,-2.7788026,250.846,400
,-2.2847688,57.09737014770508,36,438,-3.7651134,-6.4056897,2.3453977e-06,,0.14999999,0.5277536,0.14999999,9.087741e-12,34337,11.599029,111.4327,36,953.8055555555555,-4.736842,7.284769,3.2588682e-10,1201433300000000.0,-1.950378,-2.1478636,,-11.599029,,1.0,-2.7831793,262.25168,400
,-2.3530312,58.701639890670776,37,438,5.761525,-4.8104663,2.2203328e-06,,0.14999999,0.5277536,0.14999999,4.3381753e-11,35336,11.599029,111.4327,37,955.027027027027,4.736842,7.353031,1.3818123e-09,1203970200000000.0,-1.7178804,-2.1752627,,-11.599029,,1.0,-2.781046,272.06213,400
,-2.441607,60.30476236343384,38,438,0.5040513,-5.718922,2.1050107e-06,,0.14999999,0.5277536,0.14999999,4.7928377e-09,36335,11.599029,111.4327,38,956.1842105263158,-0.5263158,7.441607,1.7074711e-07,4415971000000.0,-1.7451133,-2.201931,,-11.599029,1.7074711e-07,0.8947368,-2.7797508,282.78107,400
4.140497e-35,-2.4405348,61.96312594413757,39,438,-0.40931755,-2.3997943,1.9984454e-06,,0.14999999,0.5277536,0.14999999,1.2270146e-13,37334,11.599029,111.4327,39,957.2820512820513,0.5263158,7.4405346,4.7214862e-12,3599295300000.0,-3.4167206,-2.2279065,,-11.599029,6.38708e-14,-1.0,-2.8213928,290.18085,400
1.0657308e-09,-2.4228587,63.530285358428955,40,438,-1.6830002,-1.733493,1.8997721e-06,,0.14999999,0.5277536,0.14999999,1.094425e-06,38333,11.599029,111.4327,40,958.325,-0.5263158,7.4228587,4.377476e-05,272627120000.0,-1.8428987,-2.2532241,,-11.599029,1.175804e-09,-1.0,-2.8216157,296.91437,400
,-2.415729,65.15307688713074,41,438,-10.328914,-2.1305294,1.8082306e-06,,0.14999999,0.5277536,0.14999999,6.0173215e-07,39332,11.599029,111.4327,41,959.3170731707318,-8.947369,7.415729,2.4671017e-05,12805324.0,-2.0440006,-2.277917,,-11.599029,,-1.0,-2.8267393,304.0449,400
,-2.4227147,66.74983811378479,42,438,-7.7666717,-2.7091305,1.7231492e-06,,0.14999999,0.5277536,0.14999999,0.004949784,40331,11.599029,111.4327,42,960.2619047619048,-6.8421054,7.4227147,0.2078905,12828638.0,-3.5267546,-2.3020144,,-11.599029,,-1.0,-2.8669302,311.75403,400
5.5375513e-36,-2.4159505,68.41127681732178,43,438,-5.571097,-2.1318538,1.6439349e-06,,0.14999999,0.5277536,0.14999999,1.6934909e-08,41330,11.599029,111.4327,43,961.1627906976744,-4.736842,7.415951,7.125994e-07,12851365.0,-2.3777583,-2.3255448,,-11.599029,,-1.0,-2.8784227,318.88586,400
2.0768615e-30,-2.4129992,70.07488632202148,44,438,-3.9827085,-2.286088,1.5700596e-06,,0.14999999,0.5277536,0.14999999,4.8643494e-07,42329,11.599029,111.4327,44,962.0227272727273,-2.631579,7.412999,2.1397196e-05,12873529.0,-3.8906314,-2.3485343,,-11.599029,,-1.0,-2.9238946,326.17197,400
,-2.410971,71.71546649932861,45,438,1.5796585,-2.3217316,1.5010545e-06,,0.14999999,0.5277536,0.14999999,5.29044e-06,43328,11.599029,111.4327,45,962.8444444444444,2.631579,7.4109707,0.0002379172,12895157.0,-3.3101377,-2.3710072,,-11.599029,,-1.0,-2.954451,333.49368,400
,-2.3963368,73.4281222820282,46,438,4.0731626,-1.7378052,1.4365008e-06,,0.14999999,0.5277536,0.14999999,1.5840878e-07,44309,11.599029,111.4327,46,963.2391304347826,4.736842,7.3963366,6.9493294e-06,12916277.0,-2.387399,-2.392986,,-11.599029,,-1.0,-2.9636247,340.2315,400
,-2.3687797,75.00003838539124,47,438,5.7458506,-1.1011473,1.3760232e-06,,0.14999999,0.5277536,0.14999999,6.550933e-08,45100,11.599029,111.4327,47,959.5744680851063,6.8421054,7.3687797,3.0788888e-06,12936908.0,-3.4985821,-2.4144924,,-11.599029,,-1.0,-2.9960554,346.33264,400
,-2.365879,76.61604428291321,48,438,8.171738,-2.2295449,1.3192863e-06,,0.14999999,0.5277536,0.14999999,0.044663712,46099,11.599029,111.4327,48,960.3958333333334,8.947369,7.365879,2.1399343,12957073.0,-2.155726,-2.4355457,,-11.599029,,-1.0,-2.9991634,353.5622,400
,-2.3143313,78.06075978279114,49,390,-10.04361,0.15995733,1.2659872e-06,,0.14999999,0.5277536,0.14999999,8.8054156e-07,46489,11.599029,111.4327,49,948.7551020408164,-10.0,7.314331,3.8667502e-05,9175986.0,-2.6062827,-2.456165,,-11.599029,,-0.2631579,-3.0104523,358.40222,400
4.1892353e-37,-2.2698514,79.6666271686554,50,390,-8.559524,-0.09034018,1.2158541e-06,,0.14999999,0.5277536,0.14999999,6.0756776e-07,47488,11.599029,111.4327,50,949.76,-7.894737,7.2698517,2.995454e-05,9189628.0,-2.492568,-2.4763677,,-11.599029,,-0.2631579,-3.0198932,363.49255,400
,-2.2351716,81.23302173614502,51,390,-6.208971,-0.5011787,1.168641e-06,,0.14999999,0.5277536,0.14999999,0.0007830627,48487,11.599029,111.4327,51,950.7254901960785,-5.7894735,7.2351713,0.039821774,9202980.0,-3.7678883,-2.4961703,,-11.599029,,-0.2631579,-3.053974,368.99374,400
,-2.1949296,82.88767600059509,52,390,-4.2564807,-0.14259154,1.1241256e-06,,0.14999999,0.5277536,0.14999999,0.00020546395,49486,11.599029,111.4327,52,951.6538461538462,-3.6842105,7.1949296,0.009826536,9216052.0,-2.6926632,-2.5155885,,-11.599029,,-0.2631579,-3.0660553,374.13635,400
,-2.1631181,84.50869035720825,53,390,-2.146749,-0.50892437,1.082106e-06,,0.14999999,0.5277536,0.14999999,0.006248566,50485,11.599029,111.4327,53,952.5471698113207,-1.5789474,7.1631184,0.33116633,9228858.0,-3.1769,-2.5346367,,-11.599029,1.3895956e-17,-0.2631579,-3.0868318,379.64526,400
,-2.1319065,86.28566527366638,54,390,1.0509627,-0.47768375,1.0423989e-06,,0.14999999,0.5277536,0.14999999,6.1684186e-05,51484,11.599029,111.4327,54,953.4074074074074,1.5789474,7.1319065,0.0020819865,9241408.0,-3.1320052,-2.5533288,,-11.599029,2.4484295e-30,-0.2631579,-3.1058989,385.12296,400
,-2.0992506,88.02058148384094,55,390,3.2992659,-0.33583182,1.0048382e-06,,0.14999999,0.5277536,0.14999999,0.00011831986,52483,11.599029,111.4327,55,954.2363636363636,3.6842105,7.099251,0.0053464817,9253711.0,-2.8522234,-2.571678,,-11.599029,,-0.2631579,-3.119301,390.45877,400
,-2.0647366,89.65370202064514,56,390,7.861481,-0.16646802,9.692714e-07,,0.14999999,0.5277536,0.14999999,4.1222215e-08,53482,11.599029,111.4327,56,955.0357142857143,7.894737,7.0647364,2.1149172e-06,9265777.0,-2.4499722,-2.5896964,,-11.599029,,-0.2631579,-3.1250434,395.62524,400
8.759148e-35,-2.0219812,91.07263660430908,57,390,9.774434,0.37230977,9.355603e-07,,0.14999999,0.5277536,0.14999999,0.00035105835,54009,11.599029,111.4327,57,947.5263157894736,10.0,7.0219812,0.018416017,9277613.0,-2.815068,-2.607396,,-11.599029,,-0.2631579,-3.136994,400.25293,400
,-1.9606404,92.42183041572571,58,383,5.5108423,1.5357919,9.035778e-07,,0.14999999,1.5357919,0.14999999,0.5816217,54392,11.599029,111.4327,58,937.7931034482758,5.7894735,6.9606404,33.73406,9289228.0,-3.8529603,-2.6247878,,-11.599029,,-0.2631579,-3.1664243,403.71716,400
,-1.9136878,93.89331030845642,59,383,1.4176707,0.8095658,8.7320757e-07,,0.14999999,1.5357919,0.14999999,2.3606333e-06,54859,11.599029,111.4327,59,929.8135593220339,0.5263158,6.9136877,0.0001382579,7235965.0,-2.515008,-2.6418822,,-11.599029,0.0001382579,0.2631579,-3.1644173,407.9076,400
,-1.9155103,95.52799391746521,60,383,-8.37084,-2.023026,8.443433e-07,,0.14999999,1.5357919,0.14999999,0.0009793716,55858,11.599029,111.4327,60,930.9666666666667,-8.947369,6.91551,0.058758408,379196.3,-4.3134723,-2.6586869,,-11.599029,,0.36842105,-3.2000957,414.9306,400
2.836535e-38,-1.8968242,97.18890738487244,61,383,-6.6300035,-0.7756628,8.168867e-07,,0.14999999,1.5357919,0.14999999,4.384592e-06,56857,11.599029,111.4327,61,932.0819672131148,-6.8421054,6.8968244,0.00023750392,379644.22,-2.6477783,-2.6752162,,-11.599029,,0.36842105,-3.2072835,420.70627,400
,-1.8686342,98.89689207077026,62,383,-4.6410723,-0.14905246,7.90748e-07,,0.14999999,1.5357919,0.14999999,0.021364197,57856,11.599029,111.4327,62,933.1612903225806,-4.736842,6.868634,1.3197011,380084.38,-2.66003,-2.6914768,,-11.599029,,0.36842105,-3.214455,425.85532,400
,-1.8422835,100.6095838546753,63,383,-2.4331605,-0.20853324,7.658441e-07,,0.14999999,1.5357919,0.14999999,0.0011760875,58855,11.599029,111.4327,63,934.2063492063492,-2.631579,6.8422832,0.0740532,380516.97,-3.0412037,-2.707477,,-11.599029,,0.36842105,-3.2271156,431.06384,400
,-1.8155315,102.23581576347351,64,383,3.067168,-0.13016279,7.4209845e-07,,0.14999999,1.5357919,0.14999999,0.00015959132,59854,11.599029,111.4327,64,935.21875,2.631579,6.8155317,0.009730072,380942.25,-2.744603,-2.7232254,,-11.599029,,0.36842105,-3.2350605,436.19403,400
,-1.7944613,103.93626022338867,65,383,4.90445,-0.44596472,7.194404e-07,,0.14999999,1.5357919,0.14999999,0.043270633,60853,11.599029,111.4327,65,936.2,4.736842,6.7944613,2.8102152,381360.47,-2.3273127,-2.7387297,,-11.599029,,0.36842105,-3.2363582,441.63998,400
,-1.7691625,105.53427529335022,66,383,6.997774,-0.1247473,6.978043e-07,,0.14999999,1.5357919,0.14999999,0.0065949187,61852,11.599029,111.4327,66,937.1515151515151,6.8421054,6.7691627,0.43249765,381771.9,-2.8498275,-2.753997,,-11.599029,,0.36842105,-3.244896,446.7647,400
,-1.719471,106.9268159866333,67,383,9.168009,1.5601732,6.771298e-07,,0.14999999,1.5601732,0.14999999,2.5307356e-06,62260,11.599029,111.4327,67,929.2537313432836,8.947369,6.719471,0.00015981842,382176.7,-3.5328753,-2.769035,,-11.599029,,0.36842105,-3.2639096,450.20456,400
,-1.6924006,108.43924307823181,68,383,0.18266794,0.12132229,6.5736054e-07,,0.14999999,1.5601732,0.14999999,0.0010155493,62817,11.599029,111.4327,68,923.7794117647059,0.5263158,6.6924005,0.06902504,377458.75,-2.5331244,-2.7838502,,-11.599029,2.9802182e-05,-0.36842105,-3.2677598,455.08325,400
1.6882858e-12,-1.6715677,110.1082808971405,69,383,-0.13690624,-0.25494078,6.3844476e-07,,0.14999999,1.5601732,0.14999999,0.04575022,63816,11.599029,111.4327,69,924.8695652173913,-0.5263158,6.671568,2.9021792,80528.336,-2.3288019,-2.7984486,,-11.599029,2.9021792,0.2631579,-3.2685242,460.33817,400
,-1.6582795,111.79236078262329,70,383,-4.8845353,-0.7413893,6.2033376e-07,,0.14999999,1.5601732,0.14999999,6.379717e-05,64815,11.599029,111.4327,70,925.9285714285714,-5.7894735,6.6582794,0.0044483026,36125.734,-3.3085372,-2.7716372,,-11.599029,,1.0,-3.282638,466.07956,400
,-1.6745633,113.40818500518799,71,383,-2.705167,-2.814433,6.029826e-07,,0.14999999,1.5601732,0.14999999,0.0010001252,65814,11.599029,111.4327,71,926.9577464788732,-3.6842105,6.6745634,0.07100889,36161.574,-2.850795,-2.7858217,,-11.599029,,1.0,-3.2905395,473.89398,400
,-1.7251061,115.06062340736389,72,383,2.6392877,-5.313646,5.863494e-07,,0.14999999,1.5601732,0.14999999,0.00079711317,66813,11.599029,111.4327,72,927.9583333333334,1.5789474,6.7251062,0.057389375,36196.87,-2.5432158,-2.799808,,-11.599029,,1.0,-3.2939382,484.20764,400
,-1.7604406,116.6817843914032,73,383,4.743805,-4.3045135,5.703951e-07,,0.14999999,1.5601732,0.14999999,0.0008385082,67812,11.599029,111.4327,73,928.931506849315,3.6842105,6.760441,0.06121107,36231.65,-2.43965,-2.8136013,,-11.599029,,1.0,-3.295829,493.51215,400
,-1.7931312,118.35277819633484,74,383,10.9409275,-4.1795483,5.550832e-07,,0.14999999,1.5601732,0.14999999,0.0035724055,68811,11.599029,111.4327,74,929.8783783783783,10.0,6.7931314,0.264358,36265.914,-2.6920378,-2.827207,,-11.599029,,1.0,-3.30108,502.6917,400
,-1.8624538,120.08119249343872,75,383,-9.342437,-6.992335,5.4037963e-07,,0.14999999,1.5601732,0.14999999,0.008770159,69810,11.599029,111.4327,75,930.8,-10.0,6.862454,0.65776193,36299.688,-2.710452,-2.84063,,-11.599029,,1.0,-3.3064017,514.684,400
,-1.8690767,121.78293466567993,76,383,-0.611452,-2.3658016,5.262527e-07,,0.14999999,1.5601732,0.14999999,0.029554445,70809,11.599029,111.4327,76,931.6973684210526,-1.5789474,6.8690767,2.2461379,36332.965,-3.4997494,-2.8538752,,-11.599029,2.9638493e-26,1.0,-3.3219018,522.0498,400
,-1.8884717,123.44779896736145,77,383,6.4337845,-3.3624773,5.126726e-07,,0.14999999,1.5601732,0.14999999,0.17781505,71808,11.599029,111.4327,77,932.5714285714286,5.7894735,6.8884716,13.691759,36365.51,-2.6896985,-2.8669474,,-11.599029,,1.0,-3.3262155,530.41235,400
,-1.9091529,125.19981241226196,78,383,-6.739402,-3.5016117,4.9961136e-07,,0.14999999,1.5601732,0.14999999,0.2973921,72807,11.599029,111.4327,78,933.4230769230769,-7.894737,6.909153,23.196585,36397.715,-3.6016035,-2.8798506,,-11.599029,,1.0,-3.340386,538.91394,400
,-1.9772159,126.84121751785278,79,383,8.553036,-7.2861295,4.8704305e-07,,0.14999999,1.5601732,0.14999999,5.0981,73806,11.599029,111.4327,79,934.253164556962,7.894737,6.977216,402.7499,36416.5,-3.4261274,-2.8925898,,-11.599029,,1.0,-3.3507533,551.2001,400
,-1.9872421,128.55259609222412,80,383,-1.2829158,-2.7793078,4.7494302e-07,,0.14999999,1.5601732,0.14999999,0.0015330728,74805,11.599029,111.4327,80,935.0625,-0.5263158,6.987242,0.08148381,34162.32,-3.4070168,-2.9051685,,-11.599029,0.08148381,-0.47368422,-3.3412786,558.9794,400
,-1.9715565,130.23076796531677,81,383,8.190499,-0.71669596,4.6328847e-07,,0.14999999,1.5601732,0.14999999,4.906314,75804,11.599029,111.4327,81,935.8518518518518,8.947369,6.9715567,392.37463,701.4792,-3.4353259,-2.916573,,-11.599029,,-0.57894737,-3.3546896,564.69604,400
1.4682959e-10,-1.9585545,131.75038170814514,82,383,9.342364,-0.9054073,4.5205766e-07,,0.14999999,1.5601732,0.14999999,1.3836827,76446,11.599029,111.4327,82,932.2682926829268,10.0,6.9585543,109.73048,701.50775,-2.6628625,-2.928843,,-11.599029,,-0.57894737,-3.336108,570.60144,400
,-1.8607686,133.14221835136414,83,263,5.9466414,6.1576753,4.4123027e-07,,0.14999999,6.1576753,0.14999999,0.36566478,76709,11.599029,111.4327,83,924.2048192771084,5.7894735,6.8607683,30.294607,700.3754,-2.6678867,-2.9409645,,-11.599029,,0.05263158,-3.3292625,569.4438,400
6.6938397e-38,-1.8387691,134.887433052063,84,263,7.897762,-0.012807193,4.307873e-07,,0.14999999,6.1576753,0.14999999,0.24823907,77708,11.599029,111.4327,84,925.0952380952381,7.894737,6.838769,20.845537,700.74585,-2.5552146,-2.9529407,,-11.599029,,0.05263158,-3.3281693,574.4566,400
