ReturnMean,GridSize,LQGmu1_higher,Bound,IWMax,TimeElapsed,Iteration,IWMin,ReturnLastEpisode,Delta,LQGsigma_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnAbsMax,Regret,Regret/t,ReturnMin,IWMean,LQGmu1_actor,ReturnMax,ReturnStepMax,DenMISEMeanLog
0.6952586,10,0.11111111,19.7082,8.9332075,12.42028021812439,41,,0.95617455,3.6164613e-06,0.069483444,0.020511214,,-2.0361784,0.16773857,820,0.95648247,11.064316,0.2698614,,0.7241564,0.2800246,0.95648247,0.9994784,-0.58001953
0.6959696,10,-1.0,19.454918,22.387972,12.714104175567627,42,,0.7251185,3.4462985e-06,0.10836801,6.461786e-30,,-2.0602758,-1.2447321,840,0.95648247,11.304319,0.26915044,,0.9033332,-0.96621764,0.95648247,0.9994784,-0.6036046
0.7020168,10,0.7777778,17.637291,16.49982,13.011028051376343,43,,0.9560006,3.2878697e-06,0.10836801,,0.35221162,-2.0838063,-0.47799018,860,0.95648247,11.313438,0.26310325,,1.3064879,0.7436619,0.95648247,0.9994784,-0.6054487
0.69405055,10,-0.5555556,17.06722,17.090752,13.309739828109741,44,,0.3515018,3.1401191e-06,0.10836801,3.738495e-31,,-2.0986383,-0.50259763,880,0.95648247,11.927057,0.27106947,,1.0778431,-0.5266995,0.95648247,0.9994784,-0.5993073
0.6998784,10,1.0,16.875645,16.504478,13.610842943191528,45,,0.9563033,3.002109e-06,0.1690133,6.5025516e-18,16.504478,-2.1211112,-0.3644957,900,0.95648247,11.935873,0.26524162,,1.1921346,1.2451625,0.95648247,0.9994784,-0.59463716
0.6875189,10,0.33333334,16.748001,16.624044,13.912500381469727,46,,0.13134067,2.8730017e-06,0.10836801,5.5853478e-14,3.0358963e-10,-1.8306425,-3.5799782,920,0.95648247,12.769651,0.27760112,,1.1387159,0.32957825,0.95648247,0.9994784,-0.6573995
0.6855337,10,-0.7777778,16.269491,13.313906,14.21860647201538,47,,0.5942164,2.7520464e-06,0.10836801,6.7957e-23,,-1.8521487,0.13781522,940,0.95648247,13.140556,0.27958632,,0.9250015,-0.8454591,0.95648247,0.9994784,-0.63969785
0.691171,10,-0.11111111,16.191917,15.228096,14.57804822921753,48,,0.95612454,2.6385726e-06,0.10836801,1.5055006e-09,1.7428158e-26,-1.8732021,-1.3425591,960,0.95648247,13.149551,0.27394903,,0.9136179,-0.15332161,0.95648247,0.9994784,-0.6572618
0.69658005,10,-1.0,15.832943,10.926104,14.960124731063843,49,,0.95621514,2.5319744e-06,0.1690133,1.9823625e-05,4.572534e-33,-1.8938214,-0.86025393,980,0.95648247,13.158459,0.26853997,,0.7390346,-1.0705491,0.95648247,0.9994784,-0.6644869
0.70176375,10,-0.33333334,15.441874,18.596745,15.353935241699219,50,,0.95576227,2.4317083e-06,0.10836801,1.3523307e-09,2.453947e-37,-1.9140241,-1.4149432,1000,0.95648247,13.167812,0.26335627,,1.2761027,-0.19262649,0.95648247,0.9994784,-0.68531495
0.70674956,10,0.5555556,15.202355,8.399238,15.75627088546753,51,,0.95604044,2.337282e-06,0.10836801,8.0727636e-10,8.269933e-05,-1.9338267,-1.5925645,1020,0.95648247,13.176895,0.25837046,,0.6481138,0.5872474,0.95648247,0.9994784,-0.70018065
0.7019595,10,0.11111111,14.781734,6.0313325,16.15000605583191,52,,0.45766148,2.2482511e-06,0.10836801,0.00041462405,2.0839621e-17,-1.9532431,-0.5608683,1040,0.95648247,13.684349,0.26316053,,0.67868835,0.115210354,0.95648247,0.9994784,-0.70463777
0.7058179,10,0.5555556,14.156321,4.982735,16.547404050827026,53,,0.90646136,2.164212e-06,0.1690133,0.07670606,0.09401861,-1.9722914,0.032590527,1060,0.95648247,13.743011,0.25930214,,0.7910604,0.4245977,0.95648247,0.9994784,-0.6971474
0.7037532,10,1.0,13.967542,41.337036,16.946825981140137,54,,0.59432095,2.0847979e-06,0.26359713,0.67174995,10.289452,-1.9892112,-1.5702296,1080,0.95648247,14.1138115,0.26136684,,1.5810091,1.1102998,0.95648247,0.9994784,-0.7173963
0.6938693,10,-0.5555556,13.942398,9.7796335,17.350171327590942,55,,0.1601394,2.0096763e-06,0.1690133,1.34006006e-20,2.1115344e-20,-1.8331487,-1.9560529,1100,0.95648247,14.918789,0.27125072,,0.91394484,-0.3941779,0.95648247,0.9994784,-0.7334437
0.69855374,10,-0.11111111,13.396704,11.0161705,17.752765893936157,56,,0.9562006,1.9385427e-06,0.1690133,2.0656366,1.0472803e-10,-1.8511673,-1.2691097,1120,0.95648247,14.9277115,0.26656628,,1.0449772,0.1889647,0.95648247,0.9994784,-0.74509007
0.7004242,10,-1.0,13.0237,7.196729,18.092313766479492,57,,0.80516624,1.8711206e-06,0.26359713,0.0002835575,1.6026152e-13,-1.8688668,-1.5899849,1140,0.95648247,15.087662,0.26469582,,0.681936,-0.94148785,0.95648247,0.9994784,-0.7598328
