TimestepsSoFar,MountainCar_mu0_higher,GridSize,DenMISELogFirst,MountainCar_std0_higher,TimeElapsed,IWMax,ReturnMean,DenMISEMeanLog,Iteration,Regret,ActionIn1,MountainCar_std1_higher,ReturnLastEpisode,IWMin,ReturnMin,IWMean,NumTrainableParams,Delta,IWFirstEpisode,Bound,BoundMISE,BoundBonus,AvgEpLen,MountainCar_mu1_higher,MinEpLen,Regret/t,DenMISELogLast,NumTrajectories,IWLastEpisode,ReturnAbsMax,ReturnMax,ReturnStepMax
9157,-1.0,9,-3.9199007,0.14999999,6.700196743011475,0.09029247,12.150814,-3.53767,11,-78.65895,-0.14939785,3.0,-25.016083,,-68.94459,0.02531714,,0.00010048381,1.1631445e-07,60580.8,1.2651856,60579.535,832.4545454545455,,320,-7.150814,-4.7334795,11,1.4259896e-30,98.766815,98.766815,98.766815
10156,,9,-4.006912,0.14999999,7.424180507659912,0.5164223,8.854825,-3.6643512,12,-46.257904,-4.1694093,3.0,-27.401045,,-68.94459,0.04303595,,8.443432e-05,0.5164223,50564.598,-0.0083625475,50564.605,846.3333333333334,-10.0,320,-3.854825,-4.1259546,12,2.4333916e-15,98.766815,98.766815,98.766815
11155,,9,-4.04482,0.14999999,8.14896845817566,13.4606495,8.140464,-3.8032994,13,-40.826027,1.5716866,3.0,-0.431876,,-68.94459,1.9019146,,7.1944036e-05,13.4606495,611.69336,13.736118,597.9572,858.0769230769231,,320,-3.1404638,-4.5523033,13,9.392483,98.766815,98.766815,98.766815
12154,,9,-3.4082184,0.14999999,8.892531394958496,11.586278,7.5535502,-3.741781,14,-35.749702,5.7670503,3.0,-0.07633289,,-68.94459,0.8417743,,6.203337e-05,0.0026711398,615.0681,77.851006,537.2171,868.1428571428571,10.0,320,-2.5535502,-3.3676312,14,0.1956359,98.766815,98.766815,98.766815
12702,,9,-3.4770205,0.14999999,9.328200101852417,2.1679618,13.66035,-3.768779,15,-129.90524,-16.59353,3.0,99.15555,,-68.94459,0.1651716,,5.403797e-05,0.30400163,543.06323,-0.06629404,543.1295,846.8,-10.0,320,-8.66035,-3.7979379,15,1.4671044e-05,99.15555,99.15555,99.15555
13701,1.0,9,-3.5214949,0.14999999,10.076351404190063,11.066072,12.792591,-3.9370906,16,-124.68146,2.3915513,3.0,-0.22379339,,-68.94459,0.69520354,,4.74943e-05,4.0643516e-11,529.2823,-17.424667,546.707,856.3125,,320,-7.792591,-5.649122,16,9.136203e-17,99.15555,99.15555,99.15555
14700,-1.0,9,-3.5821197,0.14999999,10.809287548065186,16.373974,6.1807013,-3.967656,17,-20.071922,-3.7695947,3.0,-99.60953,,-99.60953,0.98832464,,4.2071075e-05,8.297301e-08,532.1953,-20.340977,552.5363,864.7058823529412,,320,-1.1807013,-4.01596,17,,99.60953,99.15555,99.60953
15699,1.0,9,-3.639278,0.14999999,11.531372308731079,17.989574,4.795559,-3.9615283,18,3.6799393,10.815429,3.0,-18.751856,,-99.60953,1.0067698,,3.7526363e-05,1.7149295e-14,500.59964,-55.074608,555.67426,872.1666666666666,10.0,320,0.20444107,-3.5853057,18,,99.60953,99.15555,99.60953
16698,,9,-3.6933453,0.14999999,12.25507378578186,8.603801,0.33768663,-3.9492311,19,88.583954,9.255159,3.0,-79.90402,,-99.60953,0.85271996,,3.368017e-05,0.00355243,477.99323,82.98869,395.00455,878.8421052631579,10.0,320,4.6623135,-3.454852,19,4.5667633e-11,99.60953,99.15555,99.60953
17044,,9,-3.7444515,0.14999999,12.56175708770752,11.55735,5.2134047,-3.9351897,20,-4.268097,0.2838593,3.0,97.85205,,-99.60953,1.6073246,,3.0396353e-05,9.968222,435.03687,15.997423,419.03943,852.2,,320,-0.21340466,-3.40759,20,0.050149854,99.60953,99.15555,99.60953
18043,,9,-3.3888364,0.14999999,13.310301780700684,6.9610214,4.7631354,-3.9988923,21,4.9741516,12.195194,3.0,-4.242249,,-99.60953,0.8884776,,2.7570388e-05,0.002619866,412.2312,86.592514,325.6387,859.1904761904761,10.0,320,0.23686457,-5.6272197,21,0.01808475,99.60953,99.15555,99.60953
18317,-1.0,9,-3.4352317,0.14999999,13.569992542266846,7.2943563,9.02315,-3.96578,22,-88.50931,12.047179,3.0,98.48344,,-99.60953,0.9946954,,2.5120953e-05,2.6868745e-11,411.86288,84.784355,327.07852,832.5909090909091,10.0,274,-4.0231504,-3.0728528,22,1.0018018e-08,99.60953,99.15555,99.60953
18499,,9,-3.4796834,0.14999999,13.755273342132568,11.499896,12.760794,-3.9847794,23,-178.49826,-8.505708,3.0,94.98897,,-99.60953,0.60692006,,2.2984013e-05,0.30481222,402.09473,-0.15872213,402.25345,804.304347826087,-10.0,182,-7.7607937,-4.285344,23,8.444769e-18,99.60953,99.15555,99.60953
19498,-1.0,9,-3.5090773,0.14999999,14.507391691207886,11.9804325,12.219316,-3.981086,24,-173.26358,-7.093021,3.0,-0.23468539,,-99.60953,1.0314863,,2.110858e-05,3.0733835e-09,384.84946,-19.014631,403.86407,812.4166666666666,-10.0,182,-7.2193155,-3.4255424,24,1.11693716e-07,99.60953,99.15555,99.60953
20497,-1.0,9,-3.5498993,0.14999999,15.235440969467163,12.186825,10.893054,-3.984447,25,-147.32635,0.73448825,3.0,-20.937258,,-99.60953,1.0366727,,1.9453666e-05,8.034232e-08,382.83707,-22.547956,405.385,819.88,,182,-5.893054,-3.9297624,25,2.1879191,99.60953,99.15555,99.60953
21496,,9,-3.5891201,0.14999999,16.039783716201782,6.4988527,9.772915,-3.9650836,26,-124.09578,6.186923,3.0,-18.230547,,-99.60953,0.93765426,,1.7986009e-05,0.0032008193,379.13416,91.44267,287.69147,826.7692307692307,10.0,182,-4.772915,-3.3666608,26,3.3264919e-10,99.60953,99.15555,99.60953
22001,-1.0,9,-3.6267374,0.14999999,16.46713948249817,6.749125,13.069177,-3.959656,27,-217.86777,8.596498,3.0,98.77199,,-99.60953,1.0026187,,1.6678383e-05,3.253997e-11,375.7922,87.10919,288.683,814.8518518518518,10.0,182,-8.069177,-3.6808884,27,1.9031822e-07,99.60953,99.15555,99.60953
22466,-0.33333334,16,-3.663105,0.14999999,16.87254810333252,3.1281323,15.791661,-3.9366403,28,-302.1665,8.170606,3.0,89.29874,,-99.60953,0.318367,,9.122555e-06,0.6798725,8765.593,20.829233,8744.764,802.3571428571429,3.3333333,182,-10.791661,-3.2303355,28,0.0025325539,99.60953,99.15555,99.60953
23067,0.33333334,16,-3.6742053,0.14999999,17.76464033126831,69.30148,18.576979,-3.9827466,29,-393.73236,5.811043,3.0,96.56587,,-99.60953,2.431978,,8.504261e-06,0.05529792,6605.7715,-7.6000457,6613.3716,795.4137931034483,3.3333333,182,-13.576979,-4.5994563,29,0.0010908964,99.60953,99.15555,99.60953
24066,-0.33333334,16,-3.7062018,0.14999999,18.55902338027954,9.881348,17.789183,-3.9902878,30,-383.67548,-3.2428415,3.0,-5.0568748,,-99.60953,0.49245015,,7.94676e-06,3.361839,5391.287,0.048781827,5391.2383,802.2,-3.3333333,182,-12.789183,-4.488619,30,2.021114e-05,99.60953,99.15555,99.60953
25065,0.33333334,16,-3.6327763,0.14999999,19.35290026664734,0.23000844,17.110392,-4.018628,31,-375.42212,-9.772342,3.0,-3.2533402,,-99.60953,0.023793899,,7.4423347e-06,0.008529382,4078.92,-0.10785116,4079.0278,808.5483870967741,-10.0,182,-12.110392,-4.326479,31,2.6725485e-05,99.60953,99.15555,99.60953
26064,-0.33333334,16,-3.66425,0.14999999,20.13486123085022,3.4086406,16.27126,-4.090085,32,-360.6803,-8.717608,3.0,-9.741879,,-99.60953,0.30289704,,6.984457e-06,0.10942746,3542.0676,-0.2511607,3542.3188,814.5,-10.0,182,-11.271259,-5.3447537,32,4.232681e-06,99.60953,99.15555,99.60953
27063,0.33333334,16,-3.6916077,0.14999999,20.92297887802124,24.559135,15.726045,-4.111001,33,-353.95947,-6.5642824,3.0,-1.7207683,,-99.60953,0.8602022,,6.5675695e-06,0.26650122,3222.2466,-4.294513,3226.541,820.0909090909091,-3.3333333,182,-10.726045,-4.0861535,33,0.0017619572,99.60953,99.15555,99.60953
28062,-0.33333334,16,-3.7134173,0.14999999,21.751899003982544,35.304935,14.944475,-4.162727,34,-338.11215,12.11443,3.0,-10.8473835,,-99.60953,1.3530536,,6.186923e-06,0.0010818823,3038.0745,131.03836,2907.0361,825.3529411764706,10.0,182,-9.944475,-5.5545216,34,1.628331e-13,99.60953,99.15555,99.60953
28327,0.33333334,16,-3.742373,0.14999999,22.05543828010559,11.61025,17.280298,-4.169481,35,-429.81042,10.600036,3.0,96.6983,,-99.60953,0.36126694,,5.8384353e-06,8.958095e-05,2914.9783,0.9254825,2914.0527,809.3428571428572,10.0,182,-12.280298,-4.4274473,35,0.0025667334,99.60953,99.15555,99.60953
28957,1.0,16,-3.7705414,0.14999999,22.610984086990356,30.019148,19.476702,-4.181394,36,-521.16125,-3.236444,3.0,96.35079,,-99.60953,1.0819415,,5.5185833e-06,6.1204646e-11,744.4923,-39.91028,784.4026,804.3611111111111,-3.3333333,182,-14.476702,-3.9282918,36,3.3831862e-09,99.60953,99.15555,99.60953
29956,1.0,16,-3.7979405,0.14999999,23.45760941505432,13.126895,18.216894,-4.1962934,37,-489.0251,-0.012333274,3.0,-27.136137,,-99.60953,0.4676423,,5.224312e-06,1.3281626e-11,740.12836,-41.364563,781.4929,809.6216216216217,3.3333333,182,-13.216894,-4.58597,37,0.8581912,99.60953,99.15555,99.60953
30955,-0.33333334,16,-3.8246086,0.14999999,24.252683639526367,22.78838,16.966415,-4.208847,38,-454.72382,7.7331114,3.0,-29.301304,,-99.60953,1.3979162,,4.9529667e-06,0.0012091215,731.13043,135.40907,595.7214,814.6052631578947,10.0,182,-11.966415,-4.1010833,38,1.2246696e-15,99.60953,99.15555,99.60953
31431,0.33333334,16,-3.8505523,0.14999999,24.712979555130005,17.42587,18.98833,-4.2116427,39,-545.5449,10.4762535,3.0,95.821106,,-99.60953,0.72425,,4.7022245e-06,9.981543e-05,641.2644,44.277596,596.9868,805.9230769230769,10.0,182,-13.988331,-4.4906535,39,1.0745609e-05,99.60953,99.15555,99.60953
32234,-0.33333334,16,-3.8758676,0.14999999,25.39751148223877,5.327021,20.946533,-4.201445,40,-637.8613,4.184816,3.0,97.31642,,-99.60953,0.5864619,,4.4700523e-06,0.84106416,641.6711,38.546463,603.12463,805.85,3.3333333,182,-15.946533,-3.436391,40,0.0020781243,99.60953,99.15555,99.60953
32881,-1.0,16,-3.8797517,0.14999999,25.93144965171814,13.221268,22.81452,-4.203574,41,-730.3953,3.4431927,3.0,97.53402,,-99.60953,0.802821,,4.2546603e-06,2.769474e-08,641.82324,-0.35640883,642.1796,801.9756097560976,3.3333333,182,-17.81452,-3.8646019,41,0.0003619113,99.60953,99.15555,99.60953
33651,-1.0,16,-3.9038491,0.14999999,26.616619110107422,18.384214,24.357475,-4.2270775,42,-813.014,-0.81614804,3.0,87.61862,,-99.60953,1.105665,,4.0544687e-06,1.3436777e-07,624.91693,-21.06509,645.982,801.2142857142857,-3.3333333,182,-19.357475,-4.929378,42,0.59786916,99.60953,99.15555,99.60953
34650,0.33333334,16,-3.9273796,0.14999999,27.4605610370636,20.723738,23.375198,-4.2089376,43,-790.13354,5.986723,3.0,-17.88046,,-99.60953,0.9529779,,3.868082e-06,0.07122968,606.7377,1.1114225,605.6262,805.8139534883721,3.3333333,182,-18.375198,-3.4161928,43,3.4793871e-16,99.60953,99.15555,99.60953
35649,-0.33333334,16,-3.948714,0.14999999,28.278139114379883,31.716867,22.74482,-4.20871,44,-780.77203,-3.9059572,3.0,-4.3615127,,-99.60953,1.2461135,,3.6942577e-06,4.2844853,606.4998,-1.1324458,607.63226,810.2045454545455,-3.3333333,182,-17.74482,-4.0109043,44,4.161968e-06,99.60953,99.15555,99.60953
36648,-0.33333334,16,-3.878266,0.14999999,29.050689935684204,19.922575,22.172295,-4.203347,45,-772.7533,-13.076103,3.0,-3.018782,,-99.60953,0.7318163,,3.5318933e-06,0.13554153,604.94476,-1.0513909,605.99615,814.4,-10.0,182,-17.172295,-4.009513,45,1.9115809,99.60953,99.15555,99.60953
37647,0.33333334,16,-3.8972375,0.14999999,29.864967346191406,17.736923,21.551338,-4.2367625,46,-761.3616,-2.3555465,3.0,-6.391678,,-99.60953,0.7908783,,3.3800018e-06,0.32734302,598.8202,-6.4665203,605.2867,818.4130434782609,-3.3333333,182,-16.551338,-5.397002,46,3.573631e-08,99.60953,99.15555,99.60953
38646,0.33333334,16,-3.9116528,0.14999999,30.724494218826294,39.568745,20.913067,-4.252079,47,-747.9142,-10.202474,3.0,-8.447434,,-99.60953,1.2739362,,3.2377015e-06,0.011272806,596.0194,-12.071207,608.09064,822.2553191489362,-10.0,182,-15.913067,-4.658538,47,1.1889346,99.60953,99.15555,99.60953
39645,-0.33333334,16,-3.9324665,0.14999999,31.528815984725952,17.898724,20.4503,-4.245808,48,-741.6144,12.59535,3.0,-1.2997458,,-99.60953,1.3879085,,3.1042032e-06,0.0013468275,567.0989,134.14493,432.95395,825.9375,10.0,182,-15.4503,-3.9433184,48,2.4153245e-12,99.60953,99.15555,99.60953
39945,-0.33333334,16,-3.9530578,0.14999999,31.876332998275757,16.920425,22.025576,-4.2367997,49,-834.2532,5.210079,3.0,97.63875,,-99.60953,0.8325475,,2.9787932e-06,0.9085574,499.75726,65.06666,434.6906,815.204081632653,3.3333333,182,-17.025576,-4.040794,49,0.11399858,99.60953,99.15555,99.60953
40944,0.33333334,16,-3.954888,0.14999999,32.66462588310242,15.130578,21.578821,-4.2363477,50,-828.94104,6.249557,3.0,-0.3121135,,-99.60953,0.77271914,,2.8608335e-06,0.00011079245,480.15726,45.812,434.34525,818.88,10.0,182,-16.578821,-3.9956043,50,0.09122219,99.60953,99.15555,99.60953
41356,-0.33333334,16,-3.9746885,0.14999999,33.0433828830719,13.79873,23.099136,-4.2359595,51,-923.0559,5.982462,3.0,99.11495,,-99.60953,1.2920903,,2.7497433e-06,0.0014049108,478.20752,121.97712,356.2304,810.9019607843137,10.0,182,-18.099136,-3.9308085,51,0.11268538,99.60953,99.15555,99.60953
42042,-1.0,16,-3.994079,0.14999999,33.62452507019043,16.06116,24.541893,-4.2227187,52,-1016.17847,2.3611221,3.0,98.12252,,-99.60953,1.056876,,2.6450014e-06,3.1049133e-08,478.3823,27.694593,450.6877,808.5,3.3333333,182,-19.541893,-3.7392104,52,5.212238e-06,99.60953,99.15555,99.60953
42878,1.0,16,-4.0131273,0.14999999,34.355037450790405,13.879284,25.644032,-4.2154155,53,-1094.1337,-3.3102853,3.0,82.95514,,-99.60953,0.49454412,,2.5461316e-06,1.6470462e-11,457.88666,-35.491074,493.37775,809.0188679245283,3.3333333,182,-20.644032,-3.8116767,53,2.5034104e-34,99.60953,99.15555,99.60953
43877,0.33333334,16,-4.0318193,0.14999999,35.15023589134216,15.401573,24.696257,-4.2417684,54,-1063.5979,-1.3209488,3.0,-25.535795,,-99.60953,0.97020715,,2.4527033e-06,0.079071246,445.00705,7.3837595,437.6233,812.5370370370371,3.3333333,182,-19.696257,-5.104103,54,0.019309707,99.60953,99.15555,99.60953
44876,1.0,16,-4.0487056,0.14999999,35.954838037490845,24.62922,24.205828,-4.238537,55,-1056.3206,2.897018,3.0,-2.2772799,,-99.60953,1.67875,,2.3643252e-06,8.083314e-11,443.06277,-50.629585,493.69235,815.9272727272727,-3.3333333,182,-19.205828,-3.951121,55,0.00011950536,99.60953,99.15555,99.60953
45875,-1.0,16,-4.066724,0.14999999,36.73545217514038,16.410763,22.731672,-4.2211094,56,-992.97363,-1.8024707,3.0,-58.346954,,-99.60953,0.92752117,,2.2806387e-06,1.5813606e-07,438.74225,-15.388842,454.1311,819.1964285714286,-3.3333333,182,-17.731672,-3.7011528,56,,99.60953,99.15555,99.60953
46874,-0.33333334,16,-4.0844235,0.14999999,37.564887285232544,22.69117,21.97976,-4.21069,57,-967.8463,-1.7790221,3.0,-20.127327,,-99.60953,1.1968787,,2.2013185e-06,4.9072313,438.20245,-1.572922,439.7754,822.3508771929825,-3.3333333,182,-16.97976,-3.4810822,57,0.0001334662,99.60953,99.15555,99.60953
47873,-0.33333334,16,-4.0192294,0.14999999,38.4244282245636,27.430931,21.535,-4.2057467,58,-959.03,-11.362695,3.0,-3.8162026,,-99.60953,1.0035042,,2.1260653e-06,0.15606013,436.39432,-3.7422912,440.1366,825.3965517241379,-10.0,182,-16.535,-3.9839642,58,0.27345917,99.60953,99.15555,99.60953
48872,0.33333334,16,-4.033637,0.14999999,39.25497031211853,26.951456,21.146004,-4.203635,59,-952.61426,-11.518772,3.0,-1.4158313,,-99.60953,1.0452099,,2.0546058e-06,0.012735301,433.3792,-8.107773,441.48697,828.3389830508474,-10.0,182,-16.146004,-3.9659138,59,0.013002455,99.60953,99.15555,99.60953
49871,0.33333334,16,-4.050228,0.14999999,40.0909640789032,23.12461,20.780407,-4.203474,60,-946.82446,-2.7011933,3.0,-0.78983426,,-99.60953,1.064929,,1.98669e-06,0.3814574,432.192,-6.8988733,439.09085,831.1833333333333,-3.3333333,182,-15.780407,-4.1039696,60,0.23503542,99.60953,99.15555,99.60953
50870,-0.33333334,16,-4.06042,0.14999999,40.92907166481018,12.98979,20.345625,-4.2014403,61,-936.0831,6.552848,3.0,-5.741313,,-99.60953,1.1669512,,1.9220863e-06,0.0015306696,423.61688,110.09217,313.52472,833.9344262295082,10.0,182,-15.345625,-4.0372787,61,4.8077893e-09,99.60953,99.15555,99.60953
51583,-0.33333334,16,-4.0766554,0.14999999,41.563544511795044,14.314329,21.5588,-4.1920514,62,-1026.6456,7.9253497,3.0,95.562454,,-99.60953,0.99142504,,1.8605837e-06,1.0280876,428.37564,67.02383,361.3518,831.983870967742,3.3333333,182,-16.5588,-3.7163973,62,6.6041164,99.60953,99.15555,99.60953
52114,-1.0,16,-4.0762095,0.14999999,42.08860945701599,14.832878,22.75696,-4.1810293,63,-1118.6885,0.16712767,3.0,97.04283,,-99.60953,1.1529377,,1.8019862e-06,3.3706858e-08,411.27164,40.986732,370.2849,827.2063492063492,3.3333333,182,-17.75696,-3.449022,63,2.5930813e-05,99.60953,99.15555,99.60953
53113,0.33333334,16,-4.091958,0.14999999,43.00344181060791,14.640458,22.13728,-4.1699524,64,-1096.7859,7.580885,3.0,-16.902452,,-99.60953,0.6269806,,1.7461142e-06,0.00012706875,403.51648,41.023945,362.49252,829.890625,10.0,182,-17.13728,-3.5506418,64,6.4159464e-17,99.60953,99.15555,99.60953
54112,,25,-4.10746,0.14999999,43.84358239173889,20.315115,21.539295,-4.1830673,65,-1075.0542,3.0345387,3.0,-16.731695,,-99.60953,1.6686409,,1.1068314e-06,1.1130354,1034.6338,115.98123,918.6526,832.4923076923077,5.0,182,-16.539295,-4.61603,65,0.070720434,99.60953,99.15555,99.60953
55065,,25,-4.105749,0.14999999,46.36918663978577,16.957779,22.681076,-4.16675,66,-1166.951,-3.793731,3.0,96.89681,,-99.60953,0.7404352,,1.073545e-06,11.4528885,916.838,-0.3566936,917.1947,834.3181818181819,-5.0,182,-17.681076,-3.6364262,66,0.03526122,99.60953,99.15555,99.60953
56064,0.5,25,-3.9607718,0.14999999,47.25844931602478,22.046408,22.342304,-4.1692524,67,-1161.9343,2.0859094,3.0,-0.016654696,,-99.60953,1.0442159,,1.0417382e-06,0.007226246,896.5783,-9.702077,906.2804,836.776119402985,,182,-17.342304,-4.0305285,67,0.020405106,99.60953,99.15555,99.60953
57063,-0.5,25,-3.9754791,0.14999999,48.13235282897949,14.872331,21.755594,-4.184549,68,-1139.3804,3.7174416,3.0,-17.553993,,-99.60953,0.60762507,,1.011324e-06,0.32144657,853.3636,13.315936,840.04767,839.1617647058823,,182,-16.755594,-5.180007,68,1.921394e-12,99.60953,99.15555,99.60953
57801,-0.5,25,-3.9853618,0.14999999,48.84990620613098,30.166473,22.796423,-4.1955724,69,-1227.9531,11.604938,3.0,93.57281,,-99.60953,1.1970052,,9.822227e-07,0.025213871,753.6753,108.77107,644.90424,837.695652173913,5.0,182,-17.796423,-4.526087,69,30.166473,99.60953,99.15555,99.60953
58269,-0.5,25,-3.999385,0.14999999,49.329365491867065,9.776895,23.826838,-4.1991296,70,-1317.8787,-7.193514,3.0,94.92547,,-99.60953,0.4985631,,9.543596e-07,0.26355958,743.205,-1.1488255,744.3538,832.4142857142857,-5.0,182,-18.826838,-4.53815,70,2.8449497e-06,99.60953,99.15555,99.60953
59268,0.5,25,-4.009812,0.14999999,50.26948285102844,29.547241,23.371449,-4.2184696,71,-1304.3728,3.7609935,3.0,-8.505833,,-99.60953,1.0382806,,9.276656e-07,0.0005894533,726.0739,-10.374375,736.4483,834.7605633802817,5.0,182,-18.371449,-5.0548825,71,1.729521e-14,99.60953,99.15555,99.60953
60267,0.5,25,-4.02379,0.14999999,51.19544553756714,45.445984,22.949253,-4.214494,72,-1292.3462,-6.4098153,3.0,-7.02669,,-99.60953,1.665308,,9.020761e-07,0.006161253,726.4193,-19.499521,745.9188,837.0416666666666,-5.0,182,-17.949253,-3.8659573,72,0.3154142,99.60953,99.15555,99.60953
61266,-0.5,25,-4.0374975,0.14999999,52.05665588378906,54.174053,22.588291,-4.2045646,73,-1283.9453,-11.163236,3.0,-3.4008832,,-99.60953,1.2318424,,8.775309e-07,0.0136284195,661.99963,-7.9858065,669.9854,839.2602739726027,-10.0,182,-17.588291,-3.9436052,73,2.3302703e-06,99.60953,99.15555,99.60953
62265,0.5,25,-4.050916,0.14999999,52.889724016189575,46.517,22.180796,-4.2117763,74,-1271.3789,-11.166245,3.0,-7.5664043,,-99.60953,1.1723872,,8.539741e-07,0.00031511154,658.9623,-11.681769,670.64404,841.418918918919,-10.0,182,-17.180796,-4.751445,74,1.6721931e-10,99.60953,99.15555,99.60953
63264,-0.5,25,-4.0643353,0.14999999,53.743335008621216,27.629917,21.84347,-4.2105274,75,-1263.2603,10.111137,3.0,-3.1187124,,-99.60953,1.1267309,,8.3135325e-07,0.00013176554,634.61206,107.26936,527.3427,843.52,10.0,182,-16.84347,-4.1109877,75,5.778927e-17,99.60953,99.15555,99.60953
63595,,25,-4.0775785,0.14999999,54.159961462020874,18.02885,22.817524,-4.214247,76,-1354.1318,-1.3158095,3.0,95.87157,,-99.60953,1.3903953,,8.096195e-07,1.0802684,630.79596,97.14479,533.6512,836.7763157894736,5.0,182,-17.817524,-4.536028,76,0.0026218893,99.60953,99.15555,99.60953
64594,0.5,25,-4.0765367,0.14999999,55.05301880836487,17.722315,22.502245,-4.206948,77,-1347.6729,13.439386,3.0,-1.4589801,,-99.60953,0.42778164,,7.88727e-07,3.0429287e-06,591.0944,3.284759,587.8097,838.8831168831168,10.0,182,-17.502245,-3.95295,77,0.0019739515,99.60953,99.15555,99.60953
64927,-0.5,25,-4.0894403,0.14999999,55.496330976486206,22.522758,23.421932,-4.21928,78,-1436.9106,7.9081874,3.0,94.237915,,-99.60953,1.0056543,,7.6863284e-07,0.02797952,545.2738,91.31308,453.96075,832.3974358974359,5.0,182,-18.421932,-4.5760584,78,7.824212e-10,99.60953,99.15555,99.60953
65371,-0.5,25,-4.1018205,0.14999999,55.98981523513794,26.687147,24.352818,-4.211268,79,-1528.8726,5.97854,3.0,96.96194,,-99.60953,1.3480235,,7.49297e-07,0.00013679854,535.17053,128.77492,406.39563,827.4810126582279,10.0,182,-19.352818,-3.5373409,79,8.350008,99.60953,99.15555,99.60953
65863,,25,-4.1143975,0.14999999,56.550291538238525,21.414087,25.267675,-4.199682,80,-1621.4141,-7.837816,3.0,97.541405,,-99.60953,0.94264764,,7.306816e-07,11.552366,534.6999,-0.42113748,535.12103,823.2875,-5.0,182,-20.267675,-3.533423,80,0.0010970947,99.60953,99.15555,99.60953
