IWMax,IWFirstEpisode,TimestepsSoFar,ReturnMin,BoundBonus,InvPendulum_std3_higher,InvPendulum_std0_higher,GridSize,IWLastEpisode,MinEpLen,DenMISEMeanLog,InvPendulum_mu3_higher,AvgEpLen,Regret/t,InvPendulum_std2_higher,ReturnMax,NumTrajectories,Delta,DenMISELogLast,InvPendulum_mu1_higher,ReturnLastEpisode,InvPendulum_mu0_higher,BoundMISE,Bound,DenMISELogFirst,ActionIn1,InvPendulum_std1_higher,NumTrainableParams,Iteration,ReturnAbsMax,IWMin,InvPendulum_mu2_higher,TimeElapsed,IWMean,Regret,ReturnMean
,,421,-140.59836,inf,0.01,0.01,16,,14,10.111136,-0.2,38.27272727272727,123.17762,0.01,-100.76026,11,5.9108123e-05,11.117202,0.2,-106.968956,-0.2,,inf,11.383062,0.0026654303,0.01,,11,140.59836,,0.2,2.1619045734405518,,1354.9539,-118.17762
,,444,-140.59836,inf,0.01,0.01,16,,14,10.124175,0.2,37.0,122.22257,0.01,-100.76026,12,4.966725e-05,11.224733,0.2,-106.71706,-0.2,,inf,11.296051,0.43905842,0.01,,12,140.59836,,0.2,2.2828333377838135,,1466.6709,-117.22257
,,472,-140.59836,inf,0.01,0.01,16,,14,9.8123255,-0.2,36.30769230769231,122.29793,0.01,-100.76026,13,4.232002e-05,7.030644,0.2,-118.202095,0.2,,inf,11.216008,-0.0048455,0.01,,13,140.59836,,-0.2,2.4252562522888184,,1589.873,-117.29793
,,504,-140.59836,inf,0.01,0.01,16,,14,9.87095,0.2,36.0,121.61738,0.01,-100.76026,14,3.649022e-05,11.596464,0.2,-107.77029,0.2,,inf,11.1419,0.39372247,0.01,,14,140.59836,,-0.2,2.573636770248413,,1702.6433,-116.61738
,,524,-140.59836,inf,0.01,0.01,16,,14,9.715934,-0.2,34.93333333333333,121.48613,0.01,-100.76026,15,3.178704e-05,8.511623,0.2,-114.64869,0.2,,inf,11.072907,0.41220808,0.01,,15,140.59836,,0.2,2.703843116760254,,1822.292,-116.48613
,,538,-140.59836,inf,0.01,0.01,16,,14,9.686038,0.2,33.625,120.859726,0.01,-100.76026,16,2.7937827e-05,10.20567,0.2,-106.463715,0.2,,inf,11.0083685,0.7810575,0.01,,16,140.59836,,0.2,2.838134527206421,,1933.7556,-115.859726
,,556,-140.59836,inf,0.01,0.01,81,,14,9.682819,,32.705882352941174,120.56725,0.01,-100.76026,17,5.1306192e-06,10.601319,-0.2,-110.88749,-0.2,,inf,10.947743,-0.59171635,0.01,,17,140.59836,,-0.2,2.990947961807251,,2049.6433,-115.56725
,,600,-140.59836,inf,0.01,0.01,81,,14,9.716011,-0.2,33.333333333333336,121.53767,0.01,-100.76026,18,4.576386e-06,11.251953,-0.2,-133.03476,-0.2,,inf,10.890586,-0.61540246,0.01,,18,140.59836,,,5.538222074508667,,2187.678,-116.53767
,,671,-140.59836,inf,0.01,0.01,81,,14,9.726648,,35.31578947368421,121.332825,0.01,-100.76026,19,4.107338e-06,10.891338,-0.2,-112.6458,-0.2,,inf,10.836518,-0.38312775,0.01,,19,140.59836,,,6.12277889251709,,2305.3237,-116.332825
,,1171,-459.316,inf,0.01,0.01,81,,14,9.73462,0.2,58.55,138.48198,0.01,-100.76026,20,3.7068723e-06,10.860648,-0.2,-459.316,-0.2,,inf,10.785225,-0.166756,0.01,,20,459.316,,,7.421501636505127,,2769.6396,-133.48198
,,1671,-491.91946,inf,0.01,0.01,81,,14,9.679222,,79.57142857142857,155.55043,0.01,-100.76026,21,3.3622423e-06,9.5470705,-0.2,-491.91946,-0.2,,inf,10.736435,-0.22705808,0.01,,21,491.91946,,0.2,8.59742784500122,,3266.559,-150.55043
,,1720,-491.91946,inf,0.01,0.01,81,,14,9.662762,-0.2,78.18181818181819,155.13707,0.01,-100.76026,22,3.0635308e-06,10.294035,-0.2,-141.45627,,,inf,10.689915,-0.62255204,0.01,,22,491.91946,,-0.2,9.128566026687622,,3413.0154,-150.13707
,,1743,-491.91946,inf,0.01,0.01,81,,14,9.673296,,75.78260869565217,153.1166,0.01,-100.76026,23,2.8029285e-06,10.882979,-0.2,-103.666176,,,inf,10.645463,-0.4156008,0.01,,23,491.91946,,-0.2,9.604484558105469,,3521.6816,-148.1166
,,1774,-491.91946,inf,0.01,0.01,81,,14,9.622765,0.2,73.91666666666667,152.16486,0.01,-100.76026,24,2.5742172e-06,9.439412,-0.2,-125.27478,,,inf,10.602903,-0.2239318,0.01,,24,491.91946,,-0.2,10.064675569534302,,3651.9565,-147.16486
,,1788,-491.91946,inf,0.01,0.01,81,,14,9.508799,-0.2,71.52,150.63239,0.01,-100.76026,25,2.3723985e-06,7.753332,-0.2,-108.85317,,,inf,10.562081,-0.39217013,0.01,,25,491.91946,,,10.562302112579346,,3765.8096,-145.63239
,,1847,-491.91946,inf,0.01,0.01,81,,14,9.541441,,71.03846153846153,148.68523,0.01,-95.00642,26,2.1934156e-06,11.338009,-0.2,-95.00642,,,inf,10.522861,-0.20652243,0.01,,26,491.91946,,,11.08834958076477,,3865.816,-143.68523
,,2347,-491.91946,inf,0.01,0.01,81,,14,9.550829,0.2,86.92592592592592,161.0226,0.01,-95.00642,27,2.0339492e-06,10.776163,-0.2,-476.79404,,,inf,10.485121,-0.009190455,0.01,,27,491.91946,,,12.282375812530518,,4347.6104,-156.0226
,,2847,-497.7282,inf,0.01,0.01,81,,14,9.559348,-0.2,101.67857142857143,173.22636,0.01,-95.00642,28,1.8912613e-06,10.771301,-0.2,-497.7282,,,inf,10.448752,-0.19922282,0.01,,28,497.7282,,0.2,13.44077444076538,,4850.3384,-168.22636
,,2870,-497.7282,inf,0.01,0.01,81,,14,9.564877,,98.96551724137932,171.04703,0.01,-95.00642,29,1.7630787e-06,10.702207,-0.2,-105.02534,,,inf,10.413661,0.04628907,0.01,,29,497.7282,,0.2,13.926536560058594,,4960.364,-166.04703
,,2897,-497.7282,inf,0.01,0.01,81,,14,9.4529705,0.2,96.56666666666666,169.56749,0.01,-95.00642,30,1.6474991e-06,7.190893,-0.2,-121.66121,,,inf,10.37976,0.19299118,0.01,,30,497.7282,,0.2,14.415059328079224,,5087.025,-164.56749
,,2933,-497.7282,inf,0.01,0.01,81,,14,9.435183,,94.61290322580645,168.48476,0.01,-95.00642,31,1.542923e-06,9.885245,-0.2,-131.00279,0.2,,inf,10.34697,-0.21579933,0.01,,31,497.7282,,-0.2,14.832584857940674,,5223.0273,-163.48476
,,2964,-497.7282,inf,0.01,0.01,81,,14,9.364858,-0.2,92.625,167.05087,0.01,-95.00642,32,1.4479971e-06,8.168965,-0.2,-117.60041,0.2,,inf,10.315222,-0.21426277,0.01,,32,497.7282,,,15.271728277206421,,5345.628,-162.05087
,,3021,-497.7282,inf,0.01,0.01,81,,14,9.360306,,91.54545454545455,164.9891,0.01,-94.01302,33,1.3615693e-06,10.199348,-0.2,-94.01302,0.2,,inf,10.28445,-0.011309983,0.01,,33,497.7282,,,15.742789268493652,,5444.6406,-159.9891
,,3134,-497.7282,inf,0.01,0.01,81,,14,9.338215,0.2,92.17647058823529,166.09225,0.01,-94.01302,34,1.2826548e-06,9.594346,-0.2,-197.4961,0.2,,inf,10.254597,0.19210795,0.01,,34,497.7282,,,16.307060480117798,,5647.1367,-161.09225
,,3153,-497.7282,inf,0.01,0.01,81,,14,9.313658,,90.08571428571429,164.69278,0.01,-94.01302,35,1.2104073e-06,9.46432,-0.2,-112.10987,0.2,,inf,10.225609,0.20229015,0.01,,35,497.7282,,0.2,16.72941541671753,,5764.247,-159.69278
,,3187,-497.7282,inf,0.01,0.01,81,,14,9.27476,-0.2,88.52777777777777,163.79608,0.01,-94.01302,36,1.1440965e-06,8.89929,,-127.41254,-0.2,,inf,10.197438,-0.57327735,0.01,,36,497.7282,,-0.2,17.17731475830078,,5896.659,-158.79608
,,3204,-497.7282,inf,0.01,0.01,81,,14,9.264198,,86.5945945945946,162.41724,0.01,-94.01302,37,1.0830892e-06,9.870336,,-107.77814,-0.2,,inf,10.170039,-0.39647734,0.01,,37,497.7282,,-0.2,17.626912832260132,,6009.4375,-157.41724
,,3231,-497.7282,inf,0.01,0.01,81,,14,9.238412,0.2,85.02631578947368,161.26859,0.01,-94.01302,38,1.0268345e-06,9.271074,,-113.76858,-0.2,,inf,10.143371,-0.18568927,0.01,,38,497.7282,,-0.2,18.068835973739624,,6128.206,-156.26859
,,3258,-497.7282,inf,0.01,0.01,81,,14,9.238823,-0.2,83.53846153846153,160.35728,0.01,-94.01302,39,9.748514e-07,10.241484,,-120.72785,-0.2,,inf,10.117395,-0.38841015,0.01,,39,497.7282,,,18.523245811462402,,6253.934,-155.35728
,,3340,-497.7282,inf,0.01,0.01,81,,14,9.151396,,83.5,158.99377,0.01,-94.01302,40,9.267181e-07,6.72912,,-100.81664,-0.2,,inf,10.092078,-0.17691894,0.01,,40,497.7282,,,19.032520055770874,,6359.751,-153.99377
,,3840,-497.7282,inf,0.01,0.01,81,,14,9.108437,0.2,93.65853658536585,167.32582,0.01,-94.01302,41,8.820637e-07,8.377794,,-495.6074,-0.2,,inf,10.067385,0.009511843,0.01,,41,497.7282,,,20.157665252685547,,6860.3584,-162.32582
,,3952,-497.7282,inf,0.01,0.01,81,,14,9.116099,-0.2,94.0952380952381,168.3548,0.01,-94.01302,42,8.405606e-07,10.418293,,-205.5435,-0.2,,inf,10.043287,-0.21943258,0.01,,42,497.7282,,0.2,20.730427742004395,,7070.9014,-163.3548
,,3991,-497.7282,inf,0.01,0.01,81,,14,9.071489,,92.81395348837209,166.96054,0.01,-94.01302,43,8.019195e-07,8.186117,,-103.40176,-0.2,,inf,10.019757,-0.025308117,0.01,,43,497.7282,,0.2,21.21998953819275,,7179.303,-161.96054
,,4014,-497.7282,inf,0.01,0.01,81,,14,9.047228,0.2,91.22727272727273,165.93202,0.01,-94.01302,44,7.658827e-07,8.992542,,-116.70618,-0.2,,inf,9.996768,0.19172618,0.01,,44,497.7282,,0.2,21.718767642974854,,7301.0093,-160.93202
,,4041,-497.7282,inf,0.01,0.01,81,,14,9.012405,-0.2,89.8,165.11964,0.01,-94.01302,45,7.3222174e-07,8.469016,,-124.37467,,,inf,9.974295,-0.385403,0.01,,45,497.7282,,-0.2,22.194664478302002,,7430.384,-160.11964
,,4063,-497.7282,inf,0.01,0.01,81,,14,9.013849,,88.32608695652173,164.10583,0.01,-94.01302,46,7.0073213e-07,10.067902,,-113.48373,,,inf,9.952316,-0.18955727,0.01,,46,497.7282,,-0.2,22.725003719329834,,7548.868,-159.10583
,,4084,-497.7282,inf,0.01,0.01,81,,14,9.017292,0.2,86.8936170212766,162.95525,0.01,-94.01302,47,6.7123085e-07,10.16492,,-105.02829,,,inf,9.93081,0.027160391,0.01,,47,497.7282,,-0.2,23.315770387649536,,7658.8965,-157.95525
,,4113,-497.7282,inf,0.01,0.01,81,,14,8.973062,-0.2,85.6875,162.17894,0.01,-94.01302,48,6.435543e-07,7.8837686,,-120.69291,,,inf,9.909757,-0.19203155,0.01,,48,497.7282,,,23.843864917755127,,7784.589,-157.17894
,,4141,-497.7282,inf,0.01,0.01,81,,14,8.955698,,84.51020408163265,161.05466,0.01,-94.01302,49,6.175547e-07,9.111948,,-102.08929,,,inf,9.889137,-0.003928984,0.01,,49,497.7282,,,24.448983192443848,,7891.678,-156.05466
,,4244,-497.7282,inf,0.01,0.01,81,,14,8.9514675,0.2,84.88,161.971,0.01,-94.01302,50,5.930996e-07,9.734063,,-201.87114,,,inf,9.868935,0.17526846,0.01,,50,497.7282,,,25.106630086898804,,8098.5493,-156.971
,,4273,-497.7282,inf,0.01,0.01,81,,14,8.875569,-0.2,83.7843137254902,161.38292,0.01,-94.01302,51,5.700688e-07,6.070841,,-126.97934,,,inf,9.849132,-0.021761209,0.01,,51,497.7282,,0.2,25.64806580543518,,8230.529,-156.38292
,,4300,-497.7282,inf,0.01,0.01,81,,14,8.858492,,82.6923076923077,160.69925,0.01,-94.01302,52,5.483539e-07,8.977853,,-120.832466,,,inf,9.829714,0.2103511,0.01,,52,497.7282,,0.2,26.17316746711731,,8356.361,-155.69925
,,4318,-497.7282,inf,0.01,0.01,81,,14,8.838752,0.2,81.47169811320755,159.8688,0.01,-94.01302,53,5.2785657e-07,8.802809,,-111.685165,,,inf,9.810665,0.42395943,0.01,,53,497.7282,,0.2,26.679948329925537,,8473.047,-154.8688
,,4335,-497.7282,inf,0.01,0.01,81,,14,8.796867,-0.2,80.27777777777777,159.0984,0.01,-94.01302,54,5.084873e-07,7.567628,,-113.2669,0.2,,inf,9.791973,-0.19116168,0.01,,54,497.7282,,-0.2,27.187319040298462,,8591.313,-154.0984
,,4349,-497.7282,inf,0.01,0.01,81,,14,8.79042,,79.07272727272728,158.22287,0.01,-94.01302,55,4.9016495e-07,9.433071,,-105.944885,0.2,,inf,9.773624,-0.020773944,0.01,,55,497.7282,,-0.2,27.77504873275757,,8702.258,-153.22287
,,4364,-497.7282,inf,0.01,0.01,81,,14,8.787499,0.2,77.92857142857143,157.38,0.01,-94.01302,56,4.7281532e-07,9.617955,,-106.02191,0.2,,inf,9.755606,0.19900167,0.01,,56,497.7282,,-0.2,28.304743766784668,,8813.28,-152.38
,,4389,-497.7282,inf,0.01,0.01,81,,14,8.7442255,-0.2,77.0,156.80278,0.01,-94.01302,57,4.563709e-07,7.3120723,,-119.47845,0.2,,inf,9.7379055,-0.016464189,0.01,,57,497.7282,,,28.85602068901062,,8937.759,-151.80278
,,4413,-497.7282,inf,0.01,0.01,81,,14,8.736857,,76.08620689655173,156.00752,0.01,-94.01302,58,4.4076967e-07,9.308179,,-105.6777,0.2,,inf,9.720514,0.21933515,0.01,,58,497.7282,,,29.39328145980835,,9048.437,-151.00752
,,4444,-497.7282,inf,0.01,0.01,81,,14,8.728445,0.2,75.32203389830508,155.55263,0.01,-94.01302,59,4.259549e-07,9.232043,,-124.16908,0.2,,inf,9.70342,0.4054225,0.01,,59,497.7282,,,29.94847297668457,,9177.605,-150.55263
,,4465,-497.7282,inf,0.01,0.01,81,,14,8.717542,-0.2,74.41666666666667,155.02557,0.01,-94.01302,60,4.1187477e-07,9.06582,,-118.92862,0.2,,inf,9.686613,0.20242359,0.01,,60,497.7282,,0.2,30.528968334197998,,9301.534,-150.02557
,,4483,-497.7282,inf,0.01,0.01,81,,14,8.729446,,73.49180327868852,154.33072,0.01,-94.01302,61,3.984813e-07,10.435495,,-107.640015,0.2,,inf,9.670083,0.40274596,0.01,,61,497.7282,,0.2,31.050928831100464,,9414.174,-149.33072
,,4501,-497.7282,inf,0.01,0.01,81,,14,8.7254095,0.2,72.59677419354838,153.69641,0.01,-94.01302,62,3.8573074e-07,9.471079,,-110.00437,0.2,,inf,9.653823,0.576728,0.01,,62,497.7282,,0.2,31.64579129219055,,9529.178,-148.69641
,,4517,-497.7282,inf,0.01,0.01,81,,14,8.695375,,71.6984126984127,153.11436,0.01,-94.01302,63,3.735825e-07,7.8252797,0.2,-112.027664,-0.2,,inf,9.637822,-0.20878302,0.01,,63,497.7282,,-0.2,32.15214681625366,,9646.205,-148.11436
,,4533,-497.7282,inf,0.01,0.01,81,,14,8.703512,-0.2,70.828125,152.51932,0.01,-94.01302,64,3.6199927e-07,10.208236,0.2,-110.030716,-0.2,,inf,9.622074,-0.19731021,0.01,,64,497.7282,,,32.68213725090027,,9761.236,-147.51932
,,4550,-497.7282,inf,0.01,0.01,81,,14,8.700107,,70.0,151.96983,0.01,-94.01302,65,3.5094652e-07,9.47449,0.2,-111.802414,-0.2,,inf,9.60657,-0.0075401454,0.01,,65,497.7282,,,33.21184253692627,,9878.039,-146.96983
,,4574,-497.7282,inf,0.01,0.01,81,,14,8.706652,0.2,69.3030303030303,151.51248,0.01,-94.01302,66,3.4039232e-07,10.124379,0.2,-116.785095,-0.2,,inf,9.591303,0.23247233,0.01,,66,497.7282,,,33.75326132774353,,9999.824,-146.51248
,,4595,-497.7282,inf,0.01,0.01,81,,14,8.695488,,68.58208955223881,151.0881,0.01,-94.01302,67,3.3030722e-07,8.951247,0.2,-118.078835,-0.2,,inf,9.576264,0.21744232,0.01,,67,497.7282,,0.2,34.28099489212036,,10122.903,-146.0881
,,4611,-497.7282,inf,0.01,0.01,81,,14,8.686363,-0.2,67.80882352941177,150.5033,0.01,-94.01302,68,3.206637e-07,9.067566,0.2,-106.320496,,,inf,9.561449,-0.21367453,0.01,,68,497.7282,,-0.2,34.83566069602966,,10234.224,-145.5033
,,4635,-497.7282,inf,0.01,0.01,81,,14,8.643282,,67.17391304347827,150.02708,0.01,-94.01302,69,3.1143645e-07,6.706468,0.2,-112.64538,,,inf,9.546851,-0.027747944,0.01,,69,497.7282,,-0.2,35.407137870788574,,10351.869,-145.02708
,,4654,-497.7282,inf,0.01,0.01,81,,14,8.620139,0.2,66.48571428571428,149.58508,0.01,-94.01302,70,3.0260182e-07,8.016128,0.2,-114.087135,,,inf,9.532462,0.19531372,0.01,,70,497.7282,,-0.2,35.94288682937622,,10470.956,-144.58508
,,4669,-497.7282,inf,0.01,0.01,81,,14,8.517103,-0.2,65.7605633802817,149.1051,0.01,-94.01302,71,2.9413786e-07,2.297579,0.2,-110.50594,,,inf,9.518277,0.024885774,0.01,,71,497.7282,,,36.47814083099365,,10586.462,-144.1051
,,4682,-497.7282,inf,0.01,0.01,81,,13,8.437476,,65.02777777777777,148.54883,0.01,-94.01302,72,2.8602412e-07,3.7769017,0.2,-104.05371,,,inf,9.504292,0.23180735,0.01,,72,497.7282,,,37.08737635612488,,10695.516,-143.54883
,,4701,-497.7282,inf,0.01,0.01,81,,13,8.431731,0.2,64.3972602739726,148.04468,0.01,-94.01302,73,2.7824152e-07,9.011233,0.2,-106.746544,,,inf,9.490498,0.43522674,0.01,,73,497.7282,,,37.67176604270935,,10807.262,-143.04468
,,4736,-497.7282,inf,0.01,0.01,81,,13,8.393819,-0.2,64.0,147.91016,0.01,-94.01302,74,2.707723e-07,6.6193833,0.2,-133.08958,,,inf,9.476892,0.231162,0.01,,74,497.7282,,0.2,38.26249098777771,,10945.352,-142.91016
,,4750,-497.7282,inf,0.01,0.01,81,,13,8.386394,,63.333333333333336,147.43452,0.01,-94.01302,75,2.6359982e-07,8.83026,0.2,-107.23777,,,inf,9.4634695,0.39195114,0.01,,75,497.7282,,0.2,38.8411660194397,,11057.59,-142.43452
,,4771,-497.7282,inf,0.01,0.01,81,,13,8.388199,0.2,62.776315789473685,146.94716,0.01,-94.01302,76,2.5670863e-07,9.516992,0.2,-105.39498,,,inf,9.450224,0.6168846,0.01,,76,497.7282,,0.2,39.44857668876648,,11167.984,-141.94716
,,4813,-497.7282,inf,0.01,0.01,81,,13,8.372988,,62.506493506493506,146.82724,0.01,-94.01302,77,2.5008418e-07,8.210408,0.2,-132.7127,0.2,,inf,9.437152,0.1996681,0.01,,77,497.7282,,-0.2,40.06655764579773,,11305.697,-141.82724
,,4828,-497.7282,inf,0.01,0.01,81,,13,8.351495,-0.2,61.8974358974359,146.37933,0.01,-94.01302,78,2.4371286e-07,7.690101,0.2,-106.89022,0.2,,inf,9.424249,0.22330578,0.01,,78,497.7282,,,40.61420249938965,,11417.588,-141.37933
,,4847,-497.7282,inf,0.01,0.01,81,,13,8.352961,,61.35443037974684,146.0012,0.01,-94.01302,79,2.3758197e-07,9.461008,0.2,-111.50678,0.2,,inf,9.4115095,0.40711954,0.01,,79,497.7282,,,41.18603754043579,,11534.095,-141.0012
,,4870,-497.7282,inf,0.01,0.01,81,,13,8.357527,0.2,60.875,145.70248,0.01,-94.01302,80,2.3167952e-07,9.711967,0.2,-117.104195,0.2,,inf,9.398931,0.5888558,0.01,,80,497.7282,,,41.817989349365234,,11656.199,-140.70248
,,4889,-497.7282,inf,0.01,0.01,81,,13,8.362032,,60.358024691358025,145.38431,0.01,-94.01302,81,2.2599437e-07,9.716188,0.2,-114.92933,0.2,,inf,9.386508,0.6359011,0.01,,81,497.7282,,0.2,42.382166385650635,,11776.129,-140.38431
4.84147e-20,,4901,-497.7282,inf,0.01,0.01,256,,12,8.349133,-0.06666667,59.76829268292683,144.94925,0.01,-94.01302,82,7.0359164e-08,8.298183,-0.2,-104.71072,-0.2,-2.7119083e-19,inf,9.374238,-0.5581652,0.01,,82,497.7282,,-0.06666667,43.00404381752014,5.904232e-22,11885.839,-139.94925
4.21505e-19,,5401,-497.7282,inf,0.01,0.01,256,,12,8.340356,0.06666667,65.07228915662651,144.88815,0.01,-94.01302,83,6.867397e-08,8.614539,-0.2,-134.87817,-0.2,-2.3325782e-18,inf,9.362117,-0.3740052,0.01,,83,497.7282,,-0.06666667,78.45555806159973,5.0783736e-21,12025.717,-139.88815
4.11713e-17,,5901,-497.7282,inf,0.01,0.01,256,,12,8.322961,-0.06666667,70.25,149.02371,0.01,-94.01302,84,6.704861e-08,7.8732834,-0.2,-487.27426,-0.2,-2.2512664e-16,inf,9.350141,-0.40318763,0.01,,84,497.7282,,0.06666667,80.55812764167786,4.9013455e-19,12517.991,-144.02371
3.5833906e-16,,6401,-497.7282,inf,0.01,0.01,256,1.0464093e-37,12,8.32971,0.06666667,75.30588235294118,150.7012,0.01,-94.01302,85,6.5480286e-08,9.89067,-0.2,-286.61115,-0.2,-1.936363e-15,inf,9.338306,-0.29135585,0.01,,85,497.7282,,0.06666667,82.61597847938538,4.2157537e-18,12809.602,-145.7012
8.5641097e-13,,6901,-497.7282,inf,0.01,0.01,256,,12,8.314628,-0.06666667,80.24418604651163,154.71979,0.01,-94.01302,86,6.396634e-08,8.026941,-0.2,-491.2993,-0.06666667,-1.2475197e-12,inf,9.32661,-0.5415407,0.01,,86,497.7282,,-0.2,84.47949194908142,9.958267e-15,13305.901,-149.71979
7.2194555e-12,,6929,-497.7282,inf,0.01,0.01,256,1.8081376e-36,12,8.300313,0.06666667,79.64367816091954,154.37009,0.01,-94.01302,87,6.250429e-08,8.063306,-0.2,-119.296585,-0.06666667,-1.0395583e-11,inf,9.315049,-0.4107293,0.01,,87,497.7282,,-0.2,85.81936168670654,8.2982246e-14,13430.197,-149.37009
3.9761716e-19,,6957,-497.7282,inf,0.01,0.01,256,,12,8.304788,-0.2,79.05681818181819,154.06412,0.01,-94.01302,88,6.109181e-08,9.688486,-0.2,-122.445145,-0.06666667,-4.292748e-19,inf,9.30362,-0.55620277,0.01,,88,497.7282,,-0.06666667,87.10559844970703,4.5183768e-21,13557.643,-149.06412
2.3742382e-24,,7021,-497.7282,inf,0.01,0.01,256,,12,8.290341,-0.06666667,78.88764044943821,153.6883,0.01,-94.01302,89,5.972668e-08,8.013407,-0.2,-115.615105,-0.06666667,-1.2719355e-23,inf,9.292321,-0.3951418,0.01,,89,497.7282,,-0.06666667,88.6244683265686,2.6676835e-26,13678.258,-148.6883
4.307055e-23,,7163,-497.7282,inf,0.01,0.01,256,,12,8.278812,0.06666667,79.58888888888889,153.69,0.01,-94.01302,90,5.8406794e-08,8.247183,-0.2,-148.84154,-0.06666667,-2.2818906e-22,inf,9.281148,-0.25361195,0.01,,90,497.7282,,-0.06666667,90.1712646484375,4.7858983e-25,13832.1,-148.69
2.3388235e-14,,7663,-497.7282,inf,0.01,0.01,256,2.098441e-32,12,8.276714,0.2,84.20879120879121,157.47087,0.01,-94.01302,91,5.7130176e-08,9.082349,-0.2,-492.7493,-0.06666667,-1.279229e-13,inf,9.270098,-0.13176742,0.01,,91,497.7282,,-0.06666667,92.20948672294617,2.5701357e-16,14329.85,-152.47087
9.295374e-19,,7849,-497.7282,inf,0.01,0.01,256,,12,8.280484,-0.2,85.31521739130434,158.90254,0.01,-94.01302,92,5.5894976e-08,9.618054,-0.2,-284.184,-0.06666667,-9.599132e-19,inf,9.259169,-0.39703256,0.01,,92,497.7282,,0.06666667,93.84250926971436,1.0103667e-20,14619.033,-153.90254
3.330323e-27,,7872,-497.7282,inf,0.01,0.01,256,,12,8.269353,-0.06666667,84.64516129032258,158.35641,0.01,-94.01302,93,5.469939e-08,8.239858,-0.2,-103.11243,-0.06666667,-1.7082407e-26,inf,9.248358,-0.269983,0.01,,93,497.7282,,0.06666667,95.19578123092651,3.586669e-29,14727.146,-153.35641
