NumTrainableParams,InvPendulum_mu2_higher,DenMISELogLast,Delta,InvPendulum_std1_higher,IWMin,BoundMISE,MinEpLen,ReturnLastEpisode,DenMISELogFirst,InvPendulum_std3_higher,InvPendulum_mu3_higher,BoundBonus,Regret,TimestepsSoFar,DenMISEMeanLog,TimeElapsed,ReturnMax,InvPendulum_mu0_higher,Bound,ReturnMin,IWMean,IWFirstEpisode,IWLastEpisode,ActionIn1,IWMax,AvgEpLen,GridSize,ReturnAbsMax,ReturnMean,Regret/t,InvPendulum_std2_higher,Iteration,NumTrajectories,InvPendulum_std0_higher,InvPendulum_mu1_higher
,,9.720151,1.4479971e-06,0.01,,,14,-110.10444,10.675697,0.01,-0.2,inf,5172.4165,2420,9.692344,14.137269020080566,-103.95596,0.2,inf,-499.9033,,,,-0.19777662,,75.625,81,499.9033,-156.63802,161.63802,0.01,32,32,0.01,-0.2
,,10.455008,1.3615693e-06,0.01,,,14,-83.0463,10.644925,0.01,,inf,5260.463,2510,9.685616,14.692359209060669,-83.0463,0.2,inf,-499.9033,,,,-0.034369066,,76.06060606060606,81,499.9033,-154.40796,159.40796,0.01,33,33,0.01,-0.2
,,8.622921,1.2826548e-06,0.01,,,14,-134.39323,10.615072,0.01,0.2,inf,5399.856,2552,9.625384,15.247569561004639,-83.0463,0.2,inf,-499.9033,,,,0.24044904,,75.05882352941177,81,499.9033,-153.81929,158.81929,0.01,34,34,0.01,-0.2
,0.2,6.551913,1.2104073e-06,0.01,,,14,-173.47644,10.586084,0.01,,inf,5578.3325,2628,9.509412,15.857116937637329,-83.0463,0.2,inf,-499.9033,,,,0.2268133,,75.08571428571429,81,499.9033,-154.38094,159.38094,0.01,35,35,0.01,-0.2
,-0.2,9.010704,1.1440965e-06,0.01,,,14,-117.23204,10.557914,0.01,-0.2,inf,5700.5645,2650,9.46817,16.405906200408936,-83.0463,-0.2,inf,-499.9033,,,,-0.60678613,,73.61111111111111,81,499.9033,-153.34901,158.34901,0.01,36,36,0.01,
,-0.2,10.475669,1.0830892e-06,0.01,,,14,-121.50647,10.530515,0.01,,inf,5827.0713,2675,9.468741,16.88236379623413,-83.0463,-0.2,inf,-499.9033,,,,-0.41132295,,72.29729729729729,81,499.9033,-152.48842,157.48842,0.01,37,37,0.01,
,-0.2,10.102478,1.0268345e-06,0.01,,,14,-108.59884,10.503846,0.01,0.2,inf,5940.67,2699,9.459452,17.371790885925293,-83.0463,-0.2,inf,-499.9033,,,,-0.21090715,,71.02631578947368,81,499.9033,-151.33342,156.33342,0.01,38,38,0.01,
,,10.095739,9.748514e-07,0.01,,,14,-108.48786,10.477871,0.01,-0.2,inf,6054.157,2714,9.450459,17.887967348098755,-83.0463,-0.2,inf,-499.9033,,,,-0.39206445,,69.58974358974359,81,499.9033,-150.2348,155.2348,0.01,39,39,0.01,
,,8.030592,9.267181e-07,0.01,,,14,-109.14594,10.452554,0.01,,inf,6168.3037,2952,9.390277,18.694947004318237,-83.0463,-0.2,inf,-499.9033,,,,-0.20226008,,73.8,81,499.9033,-149.2076,154.2076,0.01,40,40,0.01,
,,9.365214,8.820637e-07,0.01,,,14,-398.20422,10.42786,0.01,0.2,inf,6571.508,3452,9.365575,19.78792929649353,-83.0463,-0.2,inf,-499.9033,,,,0.06002319,,84.1951219512195,81,499.9033,-155.28069,160.28069,0.01,41,41,0.01,
,0.2,5.678374,8.405606e-07,0.01,,,14,-219.3366,10.403763,0.01,-0.2,inf,6795.844,3577,9.25426,20.36505150794983,-83.0463,-0.2,inf,-499.9033,,,,-0.18426459,,85.16666666666667,81,499.9033,-156.80582,161.80582,0.01,42,42,0.01,
,0.2,8.437285,8.019195e-07,0.01,,,14,-108.05761,10.380233,0.01,,inf,6908.902,3593,9.212277,20.79904556274414,-83.0463,-0.2,inf,-499.9033,,,,-0.002361875,,83.55813953488372,81,499.9033,-155.67213,160.67213,0.01,43,43,0.01,
,0.2,9.742843,7.658827e-07,0.01,,,14,-120.037605,10.357244,0.01,0.2,inf,7033.9395,3621,9.20187,21.300604820251465,-83.0463,-0.2,inf,-499.9033,,,,0.17110766,,82.29545454545455,81,499.9033,-154.86226,159.86226,0.01,44,44,0.01,
,-0.2,9.419091,7.3222174e-07,0.01,,,14,-108.2202,10.33477,0.01,-0.2,inf,7147.1597,3636,9.184723,21.787184715270996,-83.0463,,inf,-499.9033,,,,-0.40876085,,80.8,81,499.9033,-153.82578,158.82578,0.01,45,45,0.01,
,-0.2,10.37131,7.0073213e-07,0.01,,,14,-105.94466,10.312792,0.01,,inf,7258.1045,3651,9.189018,22.244113206863403,-83.0463,,inf,-499.9033,,,,-0.19738334,,79.3695652173913,81,499.9033,-152.78488,157.78488,0.01,46,46,0.01,
,-0.2,8.495247,6.7123085e-07,0.01,,,14,-119.00577,10.2912855,0.01,0.2,inf,7382.1104,3675,9.153208,22.75031328201294,-83.0463,,inf,-499.9033,,,,-0.0079494715,,78.19148936170212,81,499.9033,-152.06618,157.06618,0.01,47,47,0.01,
,,7.7680097,6.435543e-07,0.01,,,14,-117.55005,10.270232,0.01,-0.2,inf,7504.66,3700,9.103734,23.235106229782104,-83.0463,,inf,-499.9033,,,,-0.2186618,,77.08333333333333,81,499.9033,-151.34709,156.34709,0.01,48,48,0.01,
,,8.869043,6.175547e-07,0.01,,,14,-107.95768,10.249613,0.01,,inf,7617.618,3717,9.078747,23.771066665649414,-83.0463,,inf,-499.9033,,,,0.03789461,,75.85714285714286,81,499.9033,-150.4616,155.4616,0.01,49,49,0.01,
,,4.703443,5.930996e-07,0.01,,,14,-120.411896,10.22941,0.01,0.2,inf,7743.03,3752,8.971442,24.33951759338379,-83.0463,,inf,-499.9033,,,,0.21021816,,75.04,81,499.9033,-149.8606,154.8606,0.01,50,50,0.01,
,0.2,8.159884,5.700688e-07,0.01,,,14,-222.19266,10.209607,0.01,-0.2,inf,7970.2227,3876,8.936114,25.06199884414673,-83.0463,,inf,-499.9033,,,,-0.0043439865,,76.0,81,499.9033,-151.27887,156.27887,0.01,51,51,0.01,
,0.2,8.120069,5.483539e-07,0.01,,,14,-110.92667,10.190189,0.01,,inf,8086.1494,3901,8.901377,25.60178542137146,-83.0463,,inf,-499.9033,,,,0.21250851,,75.01923076923077,81,499.9033,-150.50287,155.50287,0.01,52,52,0.01,
,0.2,6.6064463,5.2785657e-07,0.01,,,14,-115.17614,10.171141,0.01,0.2,inf,8206.325,3920,8.839387,26.116966247558594,-83.0463,,inf,-499.9033,,,,0.3628322,,73.9622641509434,81,499.9033,-149.83632,154.83632,0.01,53,53,0.01,
