TimestepsSoFar,AvgRet,MountainCar_std1_higher,StepSize,NumTrajectories,J,BatchSize,MountainCar_std0_higher,NatGrad2Norm,NatGradInftyNorm,Iteration,MountainCar_mu1_higher,ReturnMax,VarJ,ReturnMean,AvgEpLen,MinEpLen,ActionIn1,MountainCar_mu0_higher
2583170,0.26845181328929735,3.0,0.01,2600,-0.026580447630210852,100,0.14999999,0.2869225,0.2869171,26,-0.9927205,3.5837091494371167,0.0013979809667394854,-0.06962017702361831,993.526923076923,326,-2.0960872,0.049420424
2681534,2.2569226529322686,3.0,0.01,2700,-0.04035403673515512,100,0.14999999,0.30348343,0.3034589,27,-0.9898513,3.5837091494371167,0.0004732926772917076,-0.06853624590182338,993.1607407407407,326,-0.36942053,0.049402796
2780647,2.2114350501088147,3.0,0.01,2800,-0.0665212747142184,100,0.14999999,0.03938731,0.03887572,28,-0.9868167,3.5837091494371167,8.346402304649074e-05,-0.0684642826451232,993.0882142857142,326,2.1548238,0.049364217
2878980,3.004850899108516,3.0,0.01,2900,-0.06762677078510294,100,0.14999999,0.07097744,0.0699451,29,-0.98642796,3.5837091494371167,0.00022658632942876574,-0.06843540292581216,992.751724137931,326,-0.8149454,0.04930094
2977012,3.1124472912756365,3.0,0.01,3000,-0.009787636533540901,100,0.14999999,0.5488318,0.5486954,30,-0.9871274,3.5837091494371167,0.0021473290363917623,-0.06648047737940312,992.3373333333333,326,0.81064194,0.049180325
3076182,1.2904916984726393,3.0,0.01,3100,-0.06195190103455344,100,0.14999999,0.01398381,0.012077291,31,-0.98164046,3.5837091494371167,0.00011048762384471096,-0.06633439427150473,992.3167741935484,326,-4.7597594,0.049057964
3174488,3.009997128658047,3.0,0.01,3200,-0.07164525115333392,100,0.14999999,0.098956354,0.09704325,32,-0.9815197,3.5837091494371167,0.00034868582612098206,-0.06650035854906189,992.0275,326,-2.2710176,0.048987474
3273802,1.1994170404648963,3.0,0.01,3300,-0.06908812681610284,100,0.14999999,0.020646721,0.02001428,33,-0.9805493,3.5837091494371167,8.984361078890598e-05,-0.06657877576927525,992.0612121212121,326,3.3065429,0.048793834
3373258,0.081557585990614,3.0,0.01,3400,-0.07607924295608033,100,0.14999999,0.017417118,0.015414172,34,-0.9803491,3.5837091494371167,0.0001904341692032703,-0.06685820127476953,992.1347058823529,326,3.6566,0.04874312
3472132,2.0852529789464858,3.0,0.01,3500,-0.07147588640163349,100,0.14999999,0.051701095,0.049321152,35,-0.9804302,3.5837091494371167,0.0003069137974172819,-0.06699013513553707,992.0377142857143,326,-5.307036,0.04858898
3571449,0.25993029827094194,3.0,0.01,3600,-0.04882857727618335,100,0.14999999,0.048200864,0.047744468,36,-0.97993696,3.5837091494371167,0.0003001639814766416,-0.06648564741722168,992.0691666666667,326,1.7436497,0.048433922
3671349,-0.7761749501574391,3.0,0.01,3700,-0.06962071154478836,100,0.14999999,0.02821042,0.026674002,37,-0.9794595,3.5837091494371167,0.00010661834282047747,-0.06657037888012889,992.2564864864864,326,-6.228657,0.04836775
3770870,1.0500146449114192,3.0,0.01,3800,-0.08320447669112202,100,0.14999999,0.024072068,0.020131059,38,-0.97972625,3.5837091494371167,0.0003059350030490872,-0.06700811829620766,992.3342105263158,326,0.3844271,0.04827592
3870358,0.21379789136588426,3.0,0.01,3900,-0.07273382970106193,100,0.14999999,0.082807824,0.08250742,39,-0.97992754,3.5837091494371167,0.00012809816051551675,-0.06715493140915264,992.3994871794872,326,-0.8602724,0.048143934
3970148,0.02953290654345366,3.0,0.01,4000,-0.08659502734690079,100,0.14999999,0.05202865,0.04966756,40,-0.9791025,3.5837091494371167,0.0001893615244254459,-0.06764093380759635,992.537,326,3.830621,0.048073463
4069555,0.6287371220442923,3.0,0.01,4100,-0.11562364737076793,100,0.14999999,0.16413413,0.16186215,41,-0.9786058,3.5837091494371167,0.00031205907396950164,-0.06881124389450297,992.5743902439025,326,-3.4402673,0.047918506
4168808,1.0778199499339356,3.0,0.01,4200,-0.0756018865616388,100,0.14999999,0.010950197,0.008935685,42,-0.98022443,3.5837091494371167,0.00013055056991273335,-0.0689729258627681,992.5733333333334,326,-1.5125839,0.047646355
4268708,-0.9077549169258906,3.0,0.01,4300,-0.0806760714116112,100,0.14999999,0.03432507,0.031695772,43,-0.98016113,3.5837091494371167,0.00016316590449236984,-0.0692450920383226,992.7227906976744,326,-5.440941,0.047556996
4367324,3.123872374904284,3.0,0.01,4400,-0.06940429510984578,100,0.14999999,0.07357375,0.07254625,44,-0.9804781,3.5837091494371167,0.00022017150826231517,-0.06924871028994813,992.5736363636364,326,3.8835878,0.047425244
4466999,0.33317353340870626,3.0,0.01,4500,-0.05952837378867994,100,0.14999999,0.046999566,0.046426125,45,-0.97975266,3.5837091494371167,9.589337912045332e-05,-0.06903270281214217,992.6664444444444,326,-2.5316293,0.04730271
4565585,3.2250492890460736,3.0,0.01,4600,-0.06796538145026579,100,0.14999999,0.006616897,0.005519939,46,-0.9792884,3.5837091494371167,0.0001674284269915282,-0.0690095001738405,992.5184782608695,326,-1.0642861,0.047229517
4665485,-1.0049856378982063,3.0,0.01,4700,-0.09737685684599655,100,0.14999999,0.014327319,0.01219004,47,-0.9793436,3.5837091494371167,0.00019058669501665316,-0.06961306095409915,992.6563829787234,326,1.0817915,0.047193028
4764528,1.155788753309742,3.0,0.01,4800,-0.058284370599700826,100,0.14999999,0.2691491,0.26872864,48,-0.9792683,3.5837091494371167,0.0006251864561409581,-0.06937704657171584,992.61,326,-5.6906033,0.04707113
4863425,2.3157254571680115,3.0,0.01,4900,-0.058184264181051513,100,0.14999999,0.010284173,0.008001247,49,-0.97658104,3.5837091494371167,8.590549564249036e-05,-0.06914862244129413,992.5357142857143,326,2.9777806,0.046920743
4963325,-1.0259109465380007,3.0,0.01,5000,-0.08958713151767678,100,0.14999999,0.05425139,0.0541253,50,-0.9765164,3.5837091494371167,0.00014152383055744138,-0.06955739262282178,992.665,326,-1.1749737,0.04684073
