MountainCar_std1_higher,AvgRet,MountainCar_mu0_higher,NatGrad2Norm,VarJ,ReturnMax,Iteration,StepSize,MinEpLen,TimestepsSoFar,NatGradInftyNorm,AvgEpLen,BatchSize,MountainCar_std0_higher,ActionIn1,MountainCar_mu1_higher,ReturnMean,J,NumTrajectories
3.0,14.338842118424061,-0.020737223,0.21634433,0.0002859900724809282,3.187209793162579,16,1.0,334,1575105,0.21631792,984.440625,100,0.14999999,0.06510937,0.6152848,-0.04927578370448247,-0.0010192298313634238,1600
3.0,6.130183819819514,-0.024117615,0.2342728,0.0005019124220929184,3.187209793162579,17,1.0,334,1672800,0.23427226,984.0,100,0.14999999,3.9524457,0.8316027,-0.04864064616692308,-0.03847844556597281,1700
3.0,8.08182841798398,-0.024621427,0.6456492,0.0024492482477136935,4.577352553393433,18,1.0,302,1769323,0.64563626,982.9572222222222,100,0.14999999,0.7315701,1.0658749,-0.045690521683082214,0.0044615945422126265,1800
3.0,10.016458941694573,-0.028706925,0.0045263176,0.00011839825443874727,4.577352553393433,19,1.0,302,1866454,0.003551961,982.3442105263158,100,0.14999999,2.333216,1.7115111,-0.04646697025001629,-0.06044304445482961,1900
3.0,15.268543192982195,-0.031512477,0.19049935,0.0002715913363465299,4.577352553393433,20,1.0,302,1961429,0.19049764,980.7145,100,0.14999999,7.386698,1.7150631,-0.045046494957117676,-0.018057464392044163,2000
3.0,11.034406382829184,-0.030703213,0.34492102,0.0011676678823864777,4.577352553393433,21,1.0,302,2057831,0.3445161,979.9195238095238,100,0.14999999,-4.0119934,1.9055607,-0.043699666214001814,-0.016763091351684658,2100
3.0,20.06861364080679,-0.0139948465,0.4866636,0.0011154593826440248,4.577352553393433,22,1.0,302,2149804,0.48664075,977.1836363636363,100,0.14999999,4.065117,2.2500768,-0.04017513031511084,0.03384012356159978,2200
3.0,17.813345278154387,-0.018711712,0.25671282,0.0005945060960899104,4.577352553393433,23,1.0,302,2243221,0.2567106,975.3134782608696,100,0.14999999,8.606042,2.7367175,-0.03918316189231102,-0.01735985659071496,2300
3.0,21.984570300728993,-0.019781139,0.5021514,0.0014994538800690454,4.577352553393433,24,1.0,302,2334704,0.5021147,972.7933333333333,100,0.14999999,5.4342637,2.993428,-0.03532850701955505,0.053328555053832355,2400
3.0,20.850399646098968,-0.025855143,0.66592807,0.0030326642506212,4.577352553393433,25,1.0,302,2425741,0.66584826,970.2964,100,0.14999999,3.0142655,3.4955428,-0.030332293121474556,0.08957684043245726,2500
3.0,41.781722394619926,-0.015545418,2.0840182,0.013795632862728564,8.757469923359302,26,1.0,236,2506868,2.0839746,964.18,100,0.14999999,2.9930587,4.1613913,-0.01481712181283652,0.3730621609031145,2600
3.0,58.57172234967679,-0.02901598,3.6107168,0.0310230229623752,9.350394761340072,27,1.0,233,2578901,3.6105182,955.1485185185185,100,0.14999999,6.787378,6.245366,0.015564584532853672,0.8054889495207983,2700
