ReturnMean,StepSize,Iteration,NatGrad2Norm,NumTrajectories,J,TimestepsSoFar,BatchSize,MountainCar_std0_higher,MinEpLen,ActionIn1,NatGradInftyNorm,AvgRet,MountainCar_std1_higher,MountainCar_mu1_higher,AvgEpLen,MountainCar_mu0_higher,VarJ,ReturnMax
11.025851185854775,1.0,32,8.789313,3200,16.11562794910339,1256409,100,0.14999999,84,27.157438,8.785821,90.47645538906362,3.0,26.397669,392.6278125,-0.012156457,0.5197306476168022,40.772478683969396
11.395387356133226,1.0,33,26.566898,3300,23.22054480504362,1270526,100,0.14999999,80,34.618664,26.561687,86.83105327408428,3.0,35.18349,385.0078787878788,0.23558429,1.432361826262993,40.772478683969396
11.74265549544033,1.0,34,0.1864706,3400,23.202504092574838,1279534,100,0.14999999,80,64.43532,0.15581748,67.83240742008392,3.0,61.74518,376.3335294117647,0.7617253,0.24440450491418667,40.772478683969396
12.055361551469888,1.0,35,11.84307,3500,22.687367456474846,1288610,100,0.14999999,80,57.707615,11.840959,67.30608670915638,3.0,61.900997,368.1742857142857,0.8641567,0.28454989543706716,40.772478683969396
12.405990536076544,1.0,36,8.136697,3600,24.67800499730944,1298123,100,0.14999999,80,51.406918,8.125165,75.89176418310355,3.0,50.06004,360.58972222222224,1.0878193,0.21236449709136906,40.772478683969396
12.71732269516953,1.0,37,6.95265,3700,23.925280422517016,1307837,100,0.14999999,80,53.859913,6.9505353,70.51189823310361,3.0,58.185204,353.4694594594595,0.65475976,0.47115127499395265,40.772478683969396
13.098529112262009,1.0,38,9.328001,3800,27.203166544683764,1317201,100,0.14999999,80,57.468052,9.312632,77.63964424033105,3.0,51.23467,346.63184210526316,0.8262342,0.214075699772335,40.772478683969396
13.204451393394205,1.0,39,1.0349898,3900,17.229498076417745,1329094,100,0.14999999,80,44.836803,0.9071337,73.66482772253714,3.0,41.922035,340.79333333333335,1.3614914,1.0782229615024619,40.772478683969396
13.58753232375542,1.0,40,1.8550789,4000,28.527688607842812,1338782,100,0.14999999,80,45.045086,1.5998507,82.95451601025344,3.0,42.82917,334.6955,0.86318195,0.1610813995210756,40.772478683969396
13.185960990552134,1.0,41,12.140016,4100,-2.87689233757938,1359374,100,0.14999999,80,41.848106,12.088489,33.779430368314294,3.0,41.22932,331.55463414634147,1.8022218,1.8560941170253735,40.772478683969396
13.494024187327309,1.0,42,4.380621,4200,26.124615255109457,1369078,100,0.14999999,80,53.98703,4.3509836,74.79052751010217,3.0,53.31781,325.9709523809524,0.6848954,0.4916146509541143,40.772478683969396
13.714554943351013,1.0,43,0.117899634,4300,22.976846696346502,1381283,100,0.14999999,80,45.930748,0.115881994,75.91003651905734,3.0,48.966827,321.2286046511628,0.17619091,1.1928154658542658,40.772478683969396
13.9796061336071,1.0,44,11.388623,4400,25.376807314618837,1392325,100,0.14999999,80,45.90365,11.386207,76.79118861490075,3.0,49.08271,316.4375,0.19790924,0.9474427115693963,40.772478683969396
14.20577500727877,1.0,45,4.08737,4500,24.157205448832347,1402212,100,0.14999999,80,67.034706,4.042342,69.82296886708833,3.0,60.468918,311.60266666666666,0.43252033,0.5291244218012253,40.772478683969396
14.286943363436427,1.0,46,7.457475,4600,17.939519390530954,1414018,100,0.14999999,80,57.26995,7.440712,61.65306112782292,3.0,56.426575,307.39521739130436,-0.17250967,1.4185157807340858,40.772478683969396
14.489989672948996,1.0,47,4.042049,4700,23.83011991052708,1425774,100,0.14999999,80,48.640987,4.005977,76.29363929010447,3.0,48.985863,303.35617021276596,0.32723284,1.1722367400921248,40.772478683969396
14.735305224881477,1.0,48,4.5318003,4800,26.26513616570817,1435178,100,0.14999999,80,53.392445,4.5164595,75.81885366904858,3.0,52.99184,298.99541666666664,0.8660356,0.2609800270068824,40.772478683969396
14.89320542607504,1.0,49,4.867555,4900,22.472415083366077,1445053,100,0.14999999,80,51.08715,4.8493676,74.69042153887986,3.0,48.47538,294.90877551020407,1.2386047,0.25500253737740886,40.772478683969396
15.161133094682688,1.0,50,7.873222,5000,28.289588856457403,1454952,100,0.14999999,80,38.963825,7.8644304,82.10941763972218,3.0,43.62601,290.9904,0.8182157,0.3299035447242019,40.772478683969396
