ActionIn1,ReturnMean,AvgEpLen,MountainCar_std1_higher,J,Iteration,MountainCar_mu0_higher,NatGradInftyNorm,StepSize,TimestepsSoFar,MountainCar_mu1_higher,BatchSize,MinEpLen,AvgRet,NatGrad2Norm,MountainCar_std0_higher,NumTrajectories,VarJ,ReturnMax
-4.438052,-1.2562701342702338,948.3658823529412,3.0,-1.159967169445166,17,-0.78202766,0.5430047,0.01,1612222,0.67048854,100,187,5.661552543329154,0.5449146,0.14999999,1700,0.003580466719294626,13.758326035038612
-2.7118592,-1.2541034228990435,948.0994444444444,3.0,-1.2172693295888042,18,-0.7815718,0.48904964,0.01,1706579,0.6759186,100,187,4.069656617463163,0.49296117,0.14999999,1800,0.003454433224122959,13.758326035038612
2.525102,-1.2500579967865328,947.1063157894737,3.0,-1.177240326761343,19,-0.78095204,0.18320517,0.01,1799502,0.6808091,100,187,5.521564688720685,0.19011131,0.14999999,1900,0.002803219594714276,13.758326035038612
-0.8904394,-1.251998355124485,946.7795,3.0,-1.288865163545574,20,-0.78044426,0.2682536,0.01,1893559,0.68264115,100,187,4.741440190222663,0.28253883,0.14999999,2000,0.0023221053576090093,13.758326035038612
1.3013002,-1.2473266230094744,947.0204761904762,3.0,-1.153891980709263,21,-0.7795572,0.93821394,0.01,1988743,0.68532366,100,187,2.6060705741557455,0.9389208,0.14999999,2100,0.006882974890147933,13.758326035038612
-0.3905565,-1.249384380559012,948.3345454545455,3.0,-1.292597289099297,22,-0.779193,0.6808321,0.01,2086336,0.6947058,100,187,-4.972676788039493,0.6852357,0.14999999,2200,0.002030473370147738,13.758326035038612
6.9970517,-1.2446283910881992,946.9413043478261,3.0,-1.1399966227303215,23,-0.7784174,0.7033359,0.01,2177965,0.7015141,100,187,8.357567686129727,0.70814127,0.14999999,2300,0.006017590015294752,13.758326035038612
-0.43239278,-1.2414620565424166,946.5608333333333,3.0,-1.168636361989416,24,-0.77759385,0.30481058,0.01,2271746,0.7085475,100,187,3.7759391343040187,0.3085153,0.14999999,2400,0.002343883836096799,13.758326035038612
2.8829632,-1.2419705163887083,947.55,3.0,-1.2541735526997098,25,-0.7771172,0.8311354,0.01,2368875,0.7115956,100,187,-2.7316453538867864,0.8329283,0.14999999,2500,0.001625406620627347,13.758326035038612
-3.2246306,-1.2406265422884954,947.2115384615385,3.0,-1.207027189783175,26,-0.776571,0.0788024,0.01,2462750,0.7199069,100,187,8.21473898849626,0.10889577,0.14999999,2600,0.003562110290079509,13.758326035038612
-1.3144448,-1.2393031096781777,947.6818518518519,3.0,-1.204893861809916,27,-0.7758194,0.2886272,0.01,2558741,0.7191189,100,187,0.5921162717285451,0.29334196,0.14999999,2700,0.0022394270566805947,13.758326035038612
-0.48276132,-1.2389709775772684,947.9146428571429,3.0,-1.2300034108527147,28,-0.7752956,0.10127348,0.01,2654161,0.7220052,100,187,5.225483407245966,0.12146406,0.14999999,2800,0.0025539394228195427,13.758326035038612
-1.251887,-1.2371806851721923,947.2220689655172,3.0,-1.1870524978300612,29,-0.774625,0.40758848,0.01,2746944,0.72099245,100,187,6.634068249394355,0.41139483,0.14999999,2900,0.0028370597235091266,13.758326035038612
-2.1318972,-1.23673483359395,947.767,3.0,-1.2238051378249368,30,-0.7740667,0.9463782,0.01,2843301,0.72506833,100,187,0.619461618584273,0.9474737,0.14999999,3000,0.0016997274554326944,13.758326035038612
1.8647339,-1.2366736538834437,947.9025806451613,3.0,-1.2348382625682481,31,-0.7736112,0.13326927,0.01,2938498,0.7345321,100,187,3.4308246127550333,0.14506225,0.14999999,3100,0.0017735663322290868,13.758326035038612
0.734753,-1.2353031156285719,947.7271875,3.0,-1.1928164297275392,32,-0.77303827,0.19961473,0.01,3032727,0.7358648,100,187,8.475988443508099,0.20559382,0.14999999,3200,0.002495260514807141,13.758326035038612
-0.83509874,-1.2303150898443371,947.4084848484848,3.0,-1.0706982647488272,33,-0.77254605,0.038532153,0.01,3126448,0.737861,100,187,5.057819065000047,0.053184465,0.14999999,3300,0.007034107647824205,13.758326035038612
1.893713,-1.2293551758096803,947.4020588235294,3.0,-1.1976780126660094,34,-0.7721795,0.085574284,0.01,3221167,0.73747563,100,187,5.767924581031798,0.09573085,0.14999999,3400,0.0018955194913596871,13.758326035038612
-5.092668,-1.2277537606001707,947.4191428571429,3.0,-1.1733056434768414,35,-0.7717504,0.63632756,0.01,3315967,0.7366199,100,187,4.777380209552799,0.63771814,0.14999999,3500,0.0028625093923685153,13.758326035038612
0.23071492,-1.2259323119901515,947.2225,3.0,-1.162181610639482,36,-0.77132946,0.3241278,0.01,3410001,0.74298316,100,187,6.312355176301593,0.33099198,0.14999999,3600,0.006983936743710246,13.758326035038612
-5.004482,-1.2253070553385677,947.2272972972972,3.0,-1.2027978158815524,37,-0.77065885,0.6678637,0.01,3504741,0.74622446,100,187,5.321657352727526,0.6743286,0.14999999,3700,0.004027831197835636,13.758326035038612
5.3903246,-1.2236135646206572,947.3181578947368,3.0,-1.1609544080579646,38,-0.76972735,0.45674902,0.01,3599809,0.7529031,100,187,4.083269784619289,0.4586967,0.14999999,3800,0.0021698614755898747,13.758326035038612
1.5414395,-1.221112842470044,947.7705128205129,3.0,-1.1260854007467338,39,-0.7693051,0.39500144,0.01,3696305,0.7574706,100,187,1.1180552183081742,0.39634478,0.14999999,3900,0.0032118374549973726,13.758326035038612
1.3451767,-1.217723386703423,947.563,3.0,-1.0855346118052063,40,-0.7689791,0.31878006,0.01,3790252,0.7614206,100,187,4.729984392092332,0.318809,0.14999999,4000,0.0018363993476377322,13.758326035038612
-1.1877646,-1.2161821116986173,946.9146341463414,3.0,-1.1545311115063912,41,-0.7689361,0.63805854,0.01,3882350,0.7646084,100,187,9.6539309866489,0.6416155,0.14999999,4100,0.004066519982338019,13.758326035038612
-0.012947142,-1.2177950768691457,947.3719047619047,3.0,-1.283926648860812,42,-0.76826143,0.30680272,0.01,3978962,0.77098894,100,187,-0.17956403564051532,0.3155599,0.14999999,4200,0.0015726351004559417,13.758326035038612
-3.2057352,-1.2181427089467476,947.6867441860466,3.0,-1.2327432562060319,43,-0.76752317,0.24865313,0.01,4075053,0.774057,100,187,1.3224120711458136,0.25643095,0.14999999,4300,0.0018579323991067336,13.758326035038612
-3.3673258,-1.2160578400114264,947.2704545454545,3.0,-1.1264084757926112,44,-0.76689637,0.48278925,0.01,4167990,0.7765435,100,187,10.726526490903522,0.48593524,0.14999999,4400,0.0065701546664997355,13.758326035038612
6.1482983,-1.2168211173394416,947.2408888888889,3.0,-1.2504053197721214,45,-0.7663443,0.29059657,0.01,4262584,0.7813714,100,187,2.0919603388547316,0.30292225,0.14999999,4500,0.002195741258776703,13.758326035038612
1.0346717,-1.2163117530559044,947.3176086956522,3.0,-1.1933903602967169,46,-0.765489,0.31325015,0.01,4357661,0.7842774,100,187,4.602547863623554,0.32182553,0.14999999,4600,0.002830195168860473,13.758326035038612
-0.6494486,-1.2146646926223439,947.1142553191489,3.0,-1.138899912678566,47,-0.764751,0.14082685,0.01,4451437,0.7874099,100,187,6.984707433229313,0.14994663,0.14999999,4700,0.003104368545637069,13.758326035038612
-0.4408481,-1.212689192700784,947.2372916666667,3.0,-1.1198406963874674,48,-0.76423603,0.7037175,0.01,4546739,0.7888182,100,187,2.861638082525891,0.70468384,0.14999999,4800,0.003715549076520889,13.758326035038612
1.4051526,-1.2124506637069696,947.2830612244898,3.0,-1.2010012720038739,49,-0.76386714,0.27549163,0.01,4641687,0.79585534,100,187,3.5497170611299147,0.28251565,0.14999999,4900,0.0021586686188836625,13.758326035038612
-5.4450316,-1.2111438200304379,947.0,3.0,-1.147108479880382,50,-0.7632411,0.5039833,0.01,4735000,0.79861027,100,187,7.5505708034530485,0.5080184,0.14999999,5000,0.006929851426868825,13.758326035038612
