MountainCar_mu1_higher,AvgRet,NatGradInftyNorm,MountainCar_std0_higher,TimestepsSoFar,VarJ,AvgEpLen,StepSize,MountainCar_mu0_higher,BatchSize,MinEpLen,NatGrad2Norm,J,Iteration,ReturnMean,MountainCar_std1_higher,ReturnMax,ActionIn1,NumTrajectories
-0.87882215,5.524852881607222,0.17861375,0.14999999,2362762,0.0008558234153643774,984.4841666666666,0.01,-0.43148696,100,413,0.18087842,-0.4222132853574717,24,-0.47926588960581246,3.0,1.0014077255287244,-1.0785208,2400
-0.87703604,1.330289819626934,0.06856002,0.14999999,2461085,0.0009928376208038093,984.434,0.01,-0.43120164,100,413,0.08263693,-0.45716378648491474,25,-0.47838180548097664,3.0,1.0014077255287244,-4.46738,2500
-0.87635046,3.197378742010876,0.04444882,0.14999999,2558972,0.0008854655894945971,984.22,0.01,-0.4307403,100,413,0.049414724,-0.46654895744507585,26,-0.47792669594113424,3.0,1.0014077255287244,-0.46492964,2600
-0.87656635,1.0281155435842058,0.56764734,0.14999999,2656791,0.002095480743783351,983.9966666666667,0.01,-0.4302958,100,335,0.56995034,-0.45046544878455,27,-0.47690961271311255,3.0,2.9322391401342003,-2.2166588,2700
-0.8708899,-1.0489832510572292,0.11680934,0.14999999,2755559,0.0011106439476690887,984.1282142857143,0.01,-0.42978394,100,335,0.13026951,-0.4891118223376782,28,-0.47734540591398994,3.0,2.9322391401342003,-1.6822765,2800
-0.86972183,1.2966364833469344,0.055048224,0.14999999,2854211,0.0007563468817342235,984.2106896551724,0.01,-0.42920724,100,335,0.066014975,-0.45532207757272497,29,-0.4765859807987739,3.0,2.9322391401342003,-2.3017657,2900
-0.8691713,2.085217665697234,0.26866546,0.14999999,2952434,0.000784600549352084,984.1446666666667,0.01,-0.42884287,100,335,0.27233303,-0.4751621665075445,30,-0.4765385203223996,3.0,2.9322391401342003,1.0422606,3000
-0.871858,4.003178603744574,0.28684652,0.14999999,3049362,0.0009448272232371665,983.6651612903225,0.01,-0.42839745,100,335,0.28994846,-0.46757385696645287,31,-0.4762493376334981,3.0,2.9322391401342003,-1.552239,3100
-0.8689895,-0.5527122280139709,0.1702682,0.14999999,3148410,0.000681212671777976,983.878125,0.01,-0.42797446,100,335,0.17336509,-0.44722708073092093,32,-0.4753423921052925,3.0,2.9322391401342003,-3.5474634,3200
-0.8706922,1.0236708484336454,0.10994415,0.14999999,3246975,0.0007926811990591646,983.9318181818181,0.01,-0.42764825,100,335,0.119760975,-0.48721031610576404,33,-0.4757020261659129,3.0,2.9322391401342003,-1.8634264,3300
-0.8695927,1.6914502543964638,0.2874378,0.14999999,3345084,0.0009033557629557839,983.8482352941177,0.01,-0.42717338,100,335,0.28911254,-0.4115403353595473,34,-0.47381491761278444,3.0,2.9322391401342003,2.6073542,3400
-0.86671835,-0.942190018647378,0.06853725,0.14999999,3443954,0.000939021653841086,983.9868571428572,0.01,-0.42686263,100,335,0.08766445,-0.4897387509986206,35,-0.47426988428095124,3.0,2.9322391401342003,-5.9261613,3500
-0.86603296,-0.8020700080026224,0.120758265,0.14999999,3542729,0.0008942117663746994,984.0913888888889,0.01,-0.42631602,100,335,0.13039888,-0.4709923952895581,36,-0.4741788429200792,3.0,2.9322391401342003,0.19226074,3600
-0.86482537,3.91660305646816,0.06201607,0.14999999,3640477,0.0007593769383956104,983.9127027027027,0.01,-0.42582396,100,335,0.0675735,-0.3981453399477513,37,-0.47212388338028655,3.0,2.9322391401342003,-0.951172,3700
-0.86544555,2.3195011781540655,0.20778486,0.14999999,3738677,0.0008049192956493341,983.8623684210527,0.01,-0.4255556,100,335,0.21194379,-0.4595447922484356,38,-0.47179285466629045,3.0,2.9322391401342003,-5.789551,3800
-0.86752343,0.9701425062693114,0.32571197,0.14999999,3836892,0.0010474145447144031,983.8184615384615,0.01,-0.4251378,100,335,0.3296905,-0.4808797543160589,39,-0.47202585209320763,3.0,2.9322391401342003,-3.5805106,3900
-0.86426634,-1.073236723315301,0.11589516,0.14999999,3935911,0.0008086436921744154,983.97775,0.01,-0.42462716,100,335,0.12725015,-0.4975739701967751,40,-0.47266455504579674,3.0,2.9322391401342003,-4.0370097,4000
-0.8631074,1.0650407817967653,0.042784005,0.14999999,4034606,0.0007635849190564076,984.050243902439,0.01,-0.4241017,100,335,0.051866576,-0.4731271596564738,41,-0.47267583808508157,3.0,2.9322391401342003,-0.24871832,4100
-0.8634006,-1.2300381078948275,0.26126963,0.14999999,4133555,0.00062527866662001,984.1797619047619,0.01,-0.42367387,100,335,0.26257497,-0.4164881964014983,42,-0.47133803709261524,3.0,2.9322391401342003,-0.43270338,4200
-0.86078787,1.754436159044293,0.046943583,0.14999999,4231892,0.000863579867311005,984.1609302325581,0.01,-0.42341238,100,335,0.057887286,-0.4090987587629977,43,-0.4698906120151824,3.0,2.9322391401342003,-0.5191729,4300
-0.8612573,-0.8819074925461652,0.45058978,0.14999999,4331197,0.001138685510681474,984.3629545454545,0.01,-0.42307368,100,335,0.4547694,-0.48492961629940146,44,-0.47023240756709644,3.0,2.9322391401342003,0.013289034,4400
-0.85675144,3.48910485963054,0.16940023,0.14999999,4428843,0.0007612132640883561,984.1873333333333,0.01,-0.42245853,100,335,0.1733349,-0.43761047545890813,45,-0.46950747574247,3.0,2.9322391401342003,-5.4241667,4500
-0.8550574,-0.25649294692717495,0.29584318,0.14999999,4528328,0.0007735091471893036,984.4191304347826,0.01,-0.4220913,100,335,0.29765216,-0.419621425371356,46,-0.4684229963865763,3.0,2.9322391401342003,1.1032718,4600
-0.852099,3.311783024928933,0.04509791,0.14999999,4627029,0.0007301570274788418,984.4742553191489,0.01,-0.42176366,100,335,0.06069011,-0.459474182644596,47,-0.4682325960941937,3.0,2.9322391401342003,-7.0824356,4700
-0.85164803,0.2256407212098415,0.38866198,0.14999999,4725637,0.000929913767767558,984.5077083333333,0.01,-0.4213575,100,335,0.3909838,-0.4568196666805161,48,-0.46799482673140874,3.0,2.9322391401342003,-7.7011557,4800
-0.8477614,0.8084333453956725,0.07183703,0.14999999,4823880,0.0007022946931453338,984.465306122449,0.01,-0.42093205,100,335,0.07546791,-0.4006911033562613,49,-0.4666212813564057,3.0,2.9322391401342003,-5.292287,4900
-0.84847975,1.2281779763061578,0.10222542,0.14999999,4922186,0.0006481645725379516,984.4372,0.01,-0.4207008,100,335,0.11006676,-0.46908346578850285,50,-0.46667052504504775,3.0,2.9322391401342003,0.061948,5000
