MountainCar_std0_higher,ReturnMax,BatchSize,NatGrad2Norm,MountainCar_std1_higher,TimestepsSoFar,NatGradInftyNorm,VarJ,AvgRet,NumTrajectories,ReturnMean,MountainCar_mu0_higher,ActionIn1,MinEpLen,Iteration,MountainCar_mu1_higher,AvgEpLen,J,StepSize
0.14999999,13.650252634340497,100,0.82723045,3.0,2975066,0.82651365,0.006714773055840144,30.75661846221887,3200,-0.9705724590772264,-0.6105942,2.5421154,189,32,2.380783,929.708125,-0.6594425385840165,0.1
0.14999999,13.650252634340497,100,0.7620006,3.0,3062269,0.7613686,0.009103492524666728,33.2364935282552,3300,-0.9579144380057307,-0.60715127,1.0558696,189,33,2.4634345,927.9603030303031,-0.5528577637178623,0.1
0.14999999,13.650252634340497,100,0.44003695,3.0,3150221,0.4381018,0.002854601776598994,26.073598549526242,3400,-0.9496383826939478,-0.6040484,3.8639398,189,34,2.5395713,926.5355882352941,-0.6765285574051135,0.1
0.14999999,13.650252634340497,100,0.81176054,3.0,3239287,0.81080455,0.00299124597285958,24.150482836934565,3500,-0.941523086533224,-0.59992605,-3.0740824,189,35,2.5833814,925.5105714285714,-0.6656030170686149,0.1
0.14999999,13.650252634340497,100,1.0521219,3.0,3324334,1.050404,0.009165888689645072,36.77735513136069,3600,-0.9318851983320443,-0.59598756,2.3275354,189,36,2.6644619,923.4261111111111,-0.594559111290753,0.1
0.14999999,13.650252634340497,100,1.271534,3.0,3413196,1.2690693,0.008916414403244158,19.97495386362967,3700,-0.9233020660872291,-0.5899776,-2.8005228,189,37,2.7695022,922.4854054054055,-0.6143093052738848,0.1
0.14999999,13.650252634340497,100,0.97563064,3.0,3500636,0.97445214,0.004640733155088657,28.781240509218463,3800,-0.9138702223532096,-0.5820645,7.7214937,189,38,2.896409,921.22,-0.5648920041944858,0.1
0.14999999,13.650252634340497,100,0.5624758,3.0,3588388,0.5612559,0.0025431248777266985,32.00902204600659,3900,-0.9058461203769664,-0.57727057,3.9698577,189,39,2.9938543,920.0994871794871,-0.6009302452797246,0.1
0.14999999,13.650252634340497,100,1.0767883,3.0,3675436,1.0766556,0.005017647287810302,30.308453381418122,4000,-0.894277307537752,-0.57356805,3.8291469,189,40,3.04998,918.859,-0.4430936068083935,0.1
0.14999999,13.650252634340497,100,1.8332812,3.0,3758694,1.8328291,0.010005614928992768,32.686042162959005,4100,-0.8824645093438774,-0.5718774,1.4023311,189,41,3.1576455,916.7546341463415,-0.4099525815888928,0.1
0.14999999,13.650252634340497,100,0.69433516,3.0,3844777,0.6928384,0.0023402227638979313,31.348123769410755,4200,-0.8768539729350804,-0.56780636,2.7574472,189,42,3.3409283,915.4230952380952,-0.6468219801744017,0.1
0.14999999,13.650252634340497,100,0.82199603,3.0,3931377,0.82082534,0.0041367165695018054,31.638929437674395,4300,-0.8696242323974055,-0.5632497,-0.36530656,189,43,3.410212,914.2737209302326,-0.5659751298150535,0.1
0.14999999,14.418937423558381,100,2.5037112,3.0,4012517,2.5030856,0.028761323586688016,40.95910637567189,4400,-0.8563115175110118,-0.55886424,-0.44354248,185,44,3.4922945,911.9356818181818,-0.28386477739608074,0.1
0.14999999,14.418937423558381,100,1.1362401,3.0,4095548,1.1353196,0.005012744056685902,37.72594188386779,4500,-0.848828748752029,-0.5532679,9.322606,185,45,3.742603,910.1217777777778,-0.5195869233567931,0.1
0.14999999,14.418937423558381,100,1.2878236,3.0,4178922,1.2869183,0.009267548544296395,40.16651323062301,4600,-0.8392086765972538,-0.5486952,4.3233232,185,46,3.8561351,908.4613043478261,-0.406305429632371,0.1
0.14999999,14.418937423558381,100,1.8920742,3.0,4258257,1.8915887,0.013734979902268692,51.483271854707716,4700,-0.8271111054456197,-0.5438673,2.7688522,185,47,3.984827,906.0121276595745,-0.2706228324704474,0.1
0.14999999,14.418937423558381,100,1.7757341,3.0,4339512,1.7755206,0.010570449163400138,45.546926422485306,4800,-0.8164911458956362,-0.53958094,3.1689746,185,48,4.173986,904.065,-0.3173530470464127,0.1
0.14999999,14.418937423558381,100,1.6153219,3.0,4419190,1.6150724,0.012854002073444235,46.50192191569708,4900,-0.8056561997627343,-0.5368276,5.187875,185,49,4.351538,901.8755102040816,-0.28557878538343967,0.1
0.14999999,14.418937423558381,100,2.2448194,3.0,4495349,2.2445717,0.013425185557491757,48.541426335141175,5000,-0.7930295119015877,-0.53398824,-1.5013435,185,50,4.5130453,899.0698,-0.1743218067054116,0.1
