NumTrajectories,Iteration,AvgEpLen,ActionIn1,ReturnMax,MountainCar_mu1_higher,NatGradInftyNorm,AvgRet,MinEpLen,MountainCar_std0_higher,NatGrad2Norm,J,VarJ,StepSize,TimestepsSoFar,ReturnMean,MountainCar_std1_higher,MountainCar_mu0_higher,BatchSize
2000,20,273.8045,182002420000.0,99.13730735309927,185031620000.0,,-5.427518834474744e+20,82,0.14999999,,-5.427518834474744e+20,2.0192777819467778e+37,3.0,547609,-3.8352608433280044e+20,3.0,-3029209000.0,100
2100,21,265.91333333333336,182002420000.0,99.13730735309927,185031620000.0,,-5.433275345073871e+20,82,0.14999999,,-5.433275345073871e+20,1.6918753538746406e+37,3.0,558418,-3.9113567719825696e+20,3.0,-3029209000.0,100
2200,22,258.7390909090909,182002420000.0,99.13730735309927,185031620000.0,,-5.538154918004502e+20,82,0.14999999,,-5.538154918004502e+20,2.1611349131047143e+37,3.0,569226,-3.985302142256294e+20,3.0,-3029209000.0,100
2300,23,252.18260869565216,182002420000.0,99.13730735309927,185031620000.0,,-5.4995174769732354e+20,82,0.14999999,,-5.4995174769732354e+20,1.8376043121010132e+37,3.0,580020,-4.051137591591814e+20,3.0,-3029209000.0,100
2400,24,246.17458333333335,182002420000.0,99.13730735309927,185031620000.0,,-5.560842331434101e+20,82,0.14999999,,-5.560842331434101e+20,2.0348072618899961e+37,3.0,590819,-4.114041955751908e+20,3.0,-3029209000.0,100
2500,25,240.6496,182002420000.0,99.13730735309927,185031620000.0,,-5.507072257365682e+20,82,0.14999999,,-5.507072257365682e+20,2.0130303843242587e+37,3.0,601624,-4.169763167816459e+20,3.0,-3029209000.0,100
2600,26,235.5646153846154,182002420000.0,99.13730735309927,185031620000.0,,-5.526795290305014e+20,82,0.14999999,,-5.526795290305014e+20,2.5000157577479266e+37,3.0,612468,-4.221956710989096e+20,3.0,-3029209000.0,100
2700,27,230.84740740740742,182002420000.0,99.13730735309927,185031620000.0,,-5.520234897989544e+20,82,0.14999999,,-5.520234897989544e+20,2.2065024988921632e+37,3.0,623288,-4.2700410882854086e+20,3.0,-3029209000.0,100
2800,28,226.46535714285713,182002420000.0,99.13730735309927,185031620000.0,,-5.4544807844874886e+20,82,0.14999999,,-5.4544807844874886e+20,1.9301915889021104e+37,3.0,634103,-4.3123425060069114e+20,3.0,-3029209000.0,100
2900,29,222.38551724137932,182002420000.0,99.13730735309927,185031620000.0,,-5.4813662275736666e+20,82,0.14999999,,-5.4813662275736666e+20,2.0753166513619479e+37,3.0,644918,-4.352653668819559e+20,3.0,-3029209000.0,100
3000,30,218.58066666666667,182002420000.0,99.13730735309927,185031620000.0,,-5.592046006336132e+20,82,0.14999999,,-5.592046006336132e+20,2.433010498534261e+37,3.0,655742,-4.3939667467367776e+20,3.0,-3029209000.0,100
3100,31,215.0193548387097,182002420000.0,99.13730735309927,185031620000.0,,-5.5581879683077885e+20,82,0.14999999,,-5.5581879683077885e+20,2.2933229838960316e+37,3.0,666560,-4.431522270013262e+20,3.0,-3029209000.0,100
3200,32,211.686875,182002420000.0,99.13730735309927,185031620000.0,,-5.469882464097594e+20,82,0.14999999,,-5.469882464097594e+20,2.3017909784174426e+37,3.0,677398,-4.463971026078397e+20,3.0,-3029209000.0,100
3300,33,208.55727272727273,182002420000.0,99.13730735309927,185031620000.0,,-5.51437427629568e+20,82,0.14999999,,-5.51437427629568e+20,2.5818400716575026e+37,3.0,688239,-4.4958014276001327e+20,3.0,-3029209000.0,100
3400,34,205.59794117647058,182002420000.0,99.13730735309927,185031620000.0,,-5.5840683839493125e+20,82,0.14999999,,-5.5840683839493125e+20,1.964724120514041e+37,3.0,699033,-4.5278092792574614e+20,3.0,-3029209000.0,100
3500,35,202.8197142857143,182002420000.0,99.13730735309927,185031620000.0,,-5.540255798098325e+20,82,0.14999999,,-5.540255798098325e+20,2.475832250024333e+37,3.0,709869,-4.556736322652915e+20,3.0,-3029209000.0,100
3600,36,200.19055555555556,182002420000.0,99.13730735309927,185031620000.0,,-5.442121038996852e+20,82,0.14999999,,-5.442121038996852e+20,1.9769485301237312e+37,3.0,720686,-4.5813303425513574e+20,3.0,-3029209000.0,100
3700,37,197.6981081081081,182002420000.0,99.13730735309927,185031620000.0,,-5.5836744553900723e+20,82,0.14999999,,-5.5836744553900723e+20,2.0996607088620114e+37,3.0,731483,-4.6084207239794314e+20,3.0,-3029209000.0,100
3800,38,195.3386842105263,182002420000.0,99.13730735309927,185031620000.0,,-5.5915870534734637e+20,82,0.14999999,,-5.5915870534734637e+20,2.049374902624712e+37,3.0,742287,-4.634293522124011e+20,3.0,-3029209000.0,100
3900,39,193.10589743589745,182002420000.0,99.13730735309927,185031620000.0,,-5.483227940327288e+20,82,0.14999999,,-5.483227940327288e+20,2.1809933471782753e+37,3.0,753113,-4.656061071308711e+20,3.0,-3029209000.0,100
4000,40,190.97975,182002420000.0,99.13730735309927,185031620000.0,,-5.4890730340445284e+20,82,0.14999999,,-5.4890730340445284e+20,1.9727991534123974e+37,3.0,763919,-4.676886370377106e+20,3.0,-3029209000.0,100
4100,41,188.9619512195122,182002420000.0,99.13730735309927,185031620000.0,,-5.4536059134547984e+20,82,0.14999999,,-5.4536059134547984e+20,2.237980705401851e+37,3.0,774744,-4.695830749476562e+20,3.0,-3029209000.0,100
4200,42,187.04119047619048,182002420000.0,99.13730735309927,185031620000.0,,-5.516301568611995e+20,82,0.14999999,,-5.516301568611995e+20,2.313685016208133e+37,3.0,785573,-4.715365768979786e+20,3.0,-3029209000.0,100
4300,43,185.20511627906976,182002420000.0,99.13730735309927,185031620000.0,,-5.531153091233669e+20,82,0.14999999,,-5.531153091233669e+20,2.138493766498786e+37,3.0,796382,-4.734337567171737e+20,3.0,-3029209000.0,100
4400,44,183.4575,182002420000.0,99.13730735309927,185031620000.0,,-5.486973591920083e+20,82,0.14999999,,-5.486973591920083e+20,2.211884360666178e+37,3.0,807213,-4.751442931370563e+20,3.0,-3029209000.0,100
4500,45,181.78644444444444,182002420000.0,99.13730735309927,185031620000.0,,-5.4461676295035526e+20,82,0.14999999,,-5.4461676295035526e+20,2.2003298438066813e+37,3.0,818039,-4.766881257995741e+20,3.0,-3029209000.0,100
4600,46,180.18826086956523,182002420000.0,99.13730735309927,185031620000.0,,-5.569519535337425e+20,82,0.14999999,,-5.569519535337425e+20,2.451608140662327e+37,3.0,828866,-4.7843299161988216e+20,3.0,-3029209000.0,100
4700,47,178.65510638297872,182002420000.0,99.13730735309927,185031620000.0,,-5.602518051772199e+20,82,0.14999999,,-5.602518051772199e+20,2.2178783033297967e+37,3.0,839679,-4.80173817440251e+20,3.0,-3029209000.0,100
4800,48,177.18395833333332,182002420000.0,99.13730735309927,185031620000.0,,-5.560876911501867e+20,82,0.14999999,,-5.560876911501867e+20,2.1825823368617237e+37,3.0,850483,-4.817553564758746e+20,3.0,-3029209000.0,100
4900,49,175.77428571428572,182002420000.0,99.13730735309927,185031620000.0,,-5.560189374538661e+20,82,0.14999999,,-5.560189374538661e+20,2.159152667172787e+37,3.0,861294,-4.832709397611398e+20,3.0,-3029209000.0,100
5000,50,174.4256,182002420000.0,99.13730735309927,185031620000.0,,-5.4818661141713525e+20,82,0.14999999,,-5.4818661141713525e+20,2.401130420030786e+37,3.0,872128,-4.845692531942597e+20,3.0,-3029209000.0,100
