ActionIn1,ReturnMean,MinEpLen,VarJ,MountainCar_mu1_higher,AvgEpLen,TimestepsSoFar,MountainCar_mu0_higher,MountainCar_std1_higher,Iteration,NatGrad2Norm,StepSize,ReturnMax,MountainCar_std0_higher,J,NumTrajectories,NatGradInftyNorm,BatchSize,AvgRet
5.038449,-6.38509935693867,252,0.23766268323529416,0.9162377,995.25625,1592410,0.38502175,3.0,16,4.1394167,0.001,99.3448915267763,0.14999999,-6.481349345625412,1600,4.095176,100,-6.481349345625412
6.720994,-6.199959942010306,252,3.448079958093426,0.9121425,994.3964705882353,1690474,0.38441816,3.0,17,22.54574,0.001,99.3448915267763,0.14999999,-3.237729303156469,1700,22.522808,100,-3.237729303156469
0.92962,-6.197607164257548,252,0.2625951442881071,0.9346653,994.6522222222222,1790374,0.38340154,3.0,18,2.3429508,0.001,99.3448915267763,0.14999999,-6.157609942460669,1800,2.2628798,100,-6.157609942460669
2.1539962,-6.227409499879707,252,0.29428272738101613,0.93240243,994.881052631579,1890274,0.38279426,3.0,19,4.198042,0.001,99.3448915267763,0.14999999,-6.763851541078574,1900,4.125982,100,-6.763851541078574
0.39447027,-6.275583854490281,252,0.3415309170761312,0.9282765,995.087,1990174,0.3820198,3.0,20,5.258461,0.001,99.3448915267763,0.14999999,-7.190896592091191,2000,5.178352,100,-7.190896592091191
4.336874,-6.276527569667653,252,0.1906100648554842,0.92309815,995.2733333333333,2090074,0.38110542,3.0,21,2.4340026,0.001,99.3448915267763,0.14999999,-6.295401873215106,2100,2.3721743,100,-6.295401873215106
-0.49437472,-6.287792821904798,252,0.2707016502872488,0.920726,995.4427272727273,2189974,0.3805603,3.0,22,8.070812,0.001,99.3448915267763,0.14999999,-6.524363118884834,2200,8.049776,100,-6.524363118884834
-0.52841747,-6.2785021252187905,252,1.4357026685092782,0.9126762,995.4073913043478,2289437,0.37997797,3.0,23,3.818961,0.001,99.3448915267763,0.14999999,-6.074106798126616,2300,3.674262,100,-6.074106798126616
4.32111,-6.2981964502981755,252,0.2737772228944178,0.9163505,995.5570833333334,2389337,0.37893668,3.0,24,5.1276784,0.001,99.3448915267763,0.14999999,-6.7511659271240125,2400,5.0784445,100,-6.7511659271240125
5.3537235,-6.2769291290547,252,0.17711811708426692,0.91127205,995.6948,2489237,0.3782278,3.0,25,1.7475477,0.001,99.3448915267763,0.14999999,-5.766513419211298,2500,1.6986347,100,-5.766513419211298
1.7841002,-6.252093732148548,252,1.495614271086343,0.90957344,995.5965384615384,2588551,0.37781724,3.0,26,2.4974523,0.001,99.3448915267763,0.14999999,-5.63120880949479,2600,2.2927933,100,-5.63120880949479
0.761974,-6.266618525540231,252,0.24689086340683833,0.91186625,995.7225925925926,2688451,0.37682712,3.0,27,1.8681681,0.001,99.3448915267763,0.14999999,-6.644263153723955,2700,1.7201071,100,-6.644263153723955
-0.8674096,-6.285024602917429,252,0.3293836161712069,0.9101461,995.8396428571428,2788351,0.37609822,3.0,28,3.4112535,0.001,99.3448915267763,0.14999999,-6.781988692101749,2800,3.3222558,100,-6.781988692101749
-0.3941489,-6.299616985696736,252,0.4139658822637024,0.9068239,995.9486206896552,2888251,0.3753241,3.0,29,3.5378058,0.001,99.3448915267763,0.14999999,-6.7082037035173725,2900,3.4234393,100,-6.7082037035173725
3.543977,-6.28884627904353,252,0.24645210528424927,0.9034004,996.0503333333334,2988151,0.37443185,3.0,30,5.6560287,0.001,99.3448915267763,0.14999999,-5.97649578610054,3000,5.6290007,100,-5.97649578610054
-4.3917794,-6.325994513269022,252,0.28651414739721925,0.8977714,996.1454838709677,3088051,0.37387958,3.0,31,11.13427,0.001,99.3448915267763,0.14999999,-7.440441540033812,3100,11.103442,100,-7.440441540033812
-2.739252,-6.315175303082936,252,1.5031726336764604,0.88666797,996.0940625,3187501,0.3730516,3.0,32,1.4143819,0.001,99.3448915267763,0.14999999,-5.979779787314202,3200,1.2986205,100,-5.979779787314202
2.9895685,-6.313280398017988,252,0.29725832955094317,0.88722837,996.1821212121212,3287401,0.371753,3.0,33,1.144867,0.001,99.3448915267763,0.14999999,-6.252643435939686,3300,0.847747,100,-6.252643435939686
-0.28863844,-6.269989905640783,252,1.2909551176564964,0.8863806,996.0470588235294,3386560,0.37098357,3.0,34,7.7511897,0.001,99.3448915267763,0.14999999,-4.841403657193039,3400,7.7303443,100,-4.841403657193039
-0.21138069,-6.240807831362032,252,0.17343333395802069,0.894111,996.1314285714286,3486460,0.37041548,3.0,35,4.2102013,0.001,99.3448915267763,0.14999999,-5.248617305884495,3500,4.1868076,100,-5.248617305884495
1.2378385,-6.236571522371988,252,0.2534526090632804,0.8982978,996.2111111111111,3586360,0.36997226,3.0,36,2.0802953,0.001,99.3448915267763,0.14999999,-6.0883007077204585,3600,1.9778755,100,-6.0883007077204585
3.9698365,-6.260364398003713,252,0.31152756926796304,0.8963199,996.2864864864865,3686260,0.36932755,3.0,37,8.858617,0.001,99.3448915267763,0.14999999,-7.116907920745779,3700,8.819368,100,-7.116907920745779
3.2359061,-6.250730152625926,252,0.21941799471081494,0.8875006,996.3578947368421,3786160,0.36849457,3.0,38,5.7653737,0.001,99.3448915267763,0.14999999,-5.894263073647807,3800,5.742649,100,-5.894263073647807
3.7692919,-6.205351882016004,252,1.2684847884129395,0.8817579,996.358717948718,3885799,0.3679832,3.0,39,3.3943667,0.001,99.3448915267763,0.14999999,-4.480977598838967,3900,3.3235543,100,-4.480977598838967
1.833909,-6.19887870842809,252,0.24561734224366383,0.88508147,996.42475,3985699,0.36729348,3.0,40,2.113736,0.001,99.3448915267763,0.14999999,-5.946424938499462,4000,2.0261147,100,-5.946424938499462
0.8135062,-6.189831208916656,252,0.2753087806952046,0.8830553,996.4875609756098,4085599,0.3666912,3.0,41,3.5220451,0.001,99.3448915267763,0.14999999,-5.827931228459331,4100,3.4722025,100,-5.827931228459331
-0.74962234,-6.16780362812551,252,0.2313971550577665,0.8795831,996.547380952381,4185499,0.36610076,3.0,42,2.7683086,0.001,99.3448915267763,0.14999999,-5.264672815688467,4200,2.7336354,100,-5.264672815688467
-4.561985,-6.183277050997979,252,0.34220598711660954,0.8768495,996.6044186046512,4285399,0.36566398,3.0,43,11.7996435,0.001,99.3448915267763,0.14999999,-6.833160811641677,4300,11.771763,100,-6.833160811641677
0.6030482,-6.1380633560421884,252,2.4812255045839318,0.86507773,996.3784090909091,4384065,0.3648533,3.0,44,7.6354012,0.001,99.3448915267763,0.14999999,-4.193874472943256,4400,7.5713215,100,-4.193874472943256
-2.6615665,-6.1440703063818445,252,0.2714344184428118,0.8726491,996.4366666666666,4483965,0.36386615,3.0,45,0.88441813,0.001,99.3448915267763,0.14999999,-6.408376121326669,4500,0.81163615,100,-6.408376121326669
1.820388,-6.103599788841703,252,1.2921130620967927,0.8722977,996.3630434782609,4583270,0.3630545,3.0,46,3.1766608,0.001,99.3448915267763,0.14999999,-4.282426499535326,4600,3.098332,100,-4.282426499535326
-2.8933585,-6.0892222265333595,252,1.3344326689481056,0.875396,996.2980851063829,4682601,0.36235344,3.0,47,7.3092318,0.001,99.3448915267763,0.14999999,-5.427854360349596,4700,7.2515655,100,-5.427854360349596
3.429811,-6.087832807948998,252,0.2150928292480931,0.8826476,996.354375,4782501,0.3614371,3.0,48,2.2958806,0.001,99.3448915267763,0.14999999,-6.022530134483969,4800,2.2043667,100,-6.022530134483969
-2.4292433,-6.0379623278157535,252,2.455836700485361,0.8804432,996.239387755102,4881573,0.36079538,3.0,49,12.215704,0.001,99.3448915267763,0.14999999,-3.6441792814200316,4900,12.153753,100,-3.6441792814200316
-5.600757,-5.9995320067267786,252,1.2751586876718295,0.89259696,996.2432,4981216,0.3595667,3.0,50,0.9647317,0.001,99.3448915267763,0.14999999,-4.1164462733670035,5000,0.8407741,100,-4.1164462733670035
