StepSize,MountainCar_std0_higher,MountainCar_mu1_higher,ReturnMax,TimestepsSoFar,Iteration,MinEpLen,AvgEpLen,NatGradInftyNorm,VarJ,NatGrad2Norm,MountainCar_std1_higher,BatchSize,MountainCar_mu0_higher,J,NumTrajectories,ActionIn1,ReturnMean,AvgRet
3.0,0.14999999,6356514000.0,98.81783401060149,618432,11,87,562.2109090909091,,3.3255829399341904e+34,,3.0,100,-795377860.0,-5.642862067381359e+18,1100,5561136000.0,-1.9865532403248586e+18,-5.642862067381359e+18
3.0,0.14999999,6356514000.0,98.81783401060149,690819,12,87,575.6825,,3.8962947310369303e+34,,3.0,100,-795377860.0,-5.374208652463044e+18,1200,5561136000.0,-2.268857858003041e+18,-5.374208652463044e+18
3.0,0.14999999,6356514000.0,98.81783401060149,770310,13,87,592.5461538461539,,3.202344680905456e+34,,3.0,100,-795377860.0,-5.715711406786484e+18,1300,5561136000.0,-2.53400043867869e+18,-5.715711406786484e+18
3.0,0.14999999,6356514000.0,98.81783401060149,847135,14,87,605.0964285714285,,3.4305890916061177e+34,,3.0,100,-795377860.0,-5.573895840292634e+18,1400,5561136000.0,-2.751135824508258e+18,-5.573895840292634e+18
3.0,0.14999999,6356514000.0,98.81783401060149,925739,15,87,617.1593333333333,,3.2573965713475983e+34,,3.0,100,-795377860.0,-5.609141340508924e+18,1500,5561136000.0,-2.941669525574969e+18,-5.609141340508924e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1003465,16,87,627.165625,,3.657745506240157e+34,,3.0,100,-795377860.0,-5.648200484226678e+18,1600,5561136000.0,-3.110827710490701e+18,-5.648200484226678e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1076751,17,87,633.3829411764706,,3.772408139830955e+34,,3.0,100,-795377860.0,-5.371373850664096e+18,1700,5561136000.0,-3.243801012853841e+18,-5.371373850664096e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1150932,18,87,639.4066666666666,,3.942096843801373e+34,,3.0,100,-795377860.0,-5.463088276829016e+18,1800,5561136000.0,-3.3670947497413514e+18,-5.463088276829016e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1225991,19,87,645.2584210526315,,3.77566366333911e+34,,3.0,100,-795377860.0,-5.487711367140659e+18,1900,5561136000.0,-3.478706150657104e+18,-5.487711367140659e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1298396,20,87,649.198,,3.8957174512810687e+34,,3.0,100,-795377860.0,-5.30872410634238e+18,2000,5561136000.0,-3.570207048441368e+18,-5.30872410634238e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1370811,21,87,652.7671428571429,,4.1671756929429595e+34,,3.0,100,-795377860.0,-5.400067899382328e+18,2100,5561136000.0,-3.657343279438556e+18,-5.400067899382328e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1444101,22,87,656.4095454545454,,3.8250174305096094e+34,,3.0,100,-795377860.0,-5.348095143394943e+18,2200,5561136000.0,-3.7341956368911196e+18,-5.348095143394943e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1520056,23,87,660.8939130434783,,3.7506134938320115e+34,,3.0,100,-795377860.0,-5.506142771911558e+18,2300,5561136000.0,-3.811236816674617e+18,-5.506142771911558e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1598671,24,87,666.1129166666667,,3.5094690741534723e+34,,3.0,100,-795377860.0,-5.655950917509833e+18,2400,5561136000.0,-3.8880999042094177e+18,-5.655950917509833e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1669304,25,87,667.7216,,4.230261599177735e+34,,3.0,100,-795377860.0,-5.289637217700041e+18,2500,5561136000.0,-3.944161396749042e+18,-5.289637217700041e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1747919,26,87,672.2765384615385,,3.5704627129014864e+34,,3.0,100,-795377860.0,-5.70597601660905e+18,2600,5561136000.0,-4.0119234975128893e+18,-5.70597601660905e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1815875,27,87,672.5462962962963,,4.123185775753031e+34,,3.0,100,-795377860.0,-5.105121523967283e+18,2700,5561136000.0,-4.052412313307496e+18,-5.105121523967283e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1882064,28,87,672.1657142857143,,4.313324027871496e+34,,3.0,100,-795377860.0,-5.052830616006502e+18,2800,5561136000.0,-4.088141538403889e+18,-5.052830616006502e+18
3.0,0.14999999,6356514000.0,98.81783401060149,1949154,29,87,672.1220689655172,,4.326206963583817e+34,,3.0,100,-795377860.0,-5.072746885543805e+18,2900,5561136000.0,-4.122093446925955e+18,-5.072746885543805e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2018013,30,87,672.671,,4.1980092470708755e+34,,3.0,100,-795377860.0,-5.154128338051921e+18,3000,5561136000.0,-4.1564946099634877e+18,-5.154128338051921e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2098404,31,87,676.9045161290322,,3.3227479667700307e+34,,3.0,100,-795377860.0,-5.788894241225197e+18,3100,5561136000.0,-4.2091526625848325e+18,-5.788894241225197e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2174352,32,87,679.485,,3.61685605279247e+34,,3.0,100,-795377860.0,-5.540948572116668e+18,3200,5561136000.0,-4.2507712847577027e+18,-5.540948572116668e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2240546,33,87,678.9533333333334,,4.502776743667833e+34,,3.0,100,-795377860.0,-5.08682914333768e+18,3300,5561136000.0,-4.276106371381338e+18,-5.08682914333768e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2313823,34,87,680.5361764705882,,3.7349780400421077e+34,,3.0,100,-795377860.0,-5.390080394795422e+18,3400,5561136000.0,-4.3088703132464584e+18,-5.390080394795422e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2386231,35,87,681.7802857142857,,3.9858984289041506e+34,,3.0,100,-795377860.0,-5.372493078741067e+18,3500,5561136000.0,-4.339259535117733e+18,-5.372493078741067e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2457747,36,87,682.7075,,4.011694381352993e+34,,3.0,100,-795377860.0,-5.31346753215868e+18,3600,5561136000.0,-4.366320868368871e+18,-5.31346753215868e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2532822,37,87,684.5464864864865,,3.81929346611202e+34,,3.0,100,-795377860.0,-5.478203814902971e+18,3700,5561136000.0,-4.396371758815738e+18,-5.478203814902971e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2606113,38,87,685.8192105263158,,4.0593668915516648e+34,,3.0,100,-795377860.0,-5.429972971383146e+18,3800,5561136000.0,-4.423571790725406e+18,-5.429972971383146e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2678529,39,87,686.8023076923076,,4.199892953955406e+34,,3.0,100,-795377860.0,-5.398890981730868e+18,3900,5561136000.0,-4.4485799751101624e+18,-5.398890981730868e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2757140,40,87,689.285,,3.427932690658319e+34,,3.0,100,-795377860.0,-5.676948870200694e+18,4000,5561136000.0,-4.4792891974874255e+18,-5.676948870200694e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2829559,41,87,690.1363414634146,,4.07748418070116e+34,,3.0,100,-795377860.0,-5.292509693056608e+18,4100,5561136000.0,-4.49912384372082e+18,-5.292509693056608e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2898412,42,87,690.0980952380952,,4.356051397475579e+34,,3.0,100,-795377860.0,-5.207974290098556e+18,4200,5561136000.0,-4.516001235301243e+18,-5.207974290098556e+18
3.0,0.14999999,6356514000.0,98.81783401060149,2961941,43,87,688.823488372093,,4.372403134194784e+34,,3.0,100,-795377860.0,-4.932966374299816e+18,4300,5561136000.0,-4.5256980989988844e+18,-4.932966374299816e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3037006,44,87,690.2286363636364,,3.7454980181638237e+34,,3.0,100,-795377860.0,-5.469995605600304e+18,4400,5561136000.0,-4.547159405967098e+18,-5.469995605600304e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3110293,45,87,691.1762222222222,,3.8865241056528817e+34,,3.0,100,-795377860.0,-5.405018898993952e+18,4500,5561136000.0,-4.5662229502565827e+18,-5.405018898993952e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3182688,46,87,691.888695652174,,3.7925401001178118e+34,,3.0,100,-795377860.0,-5.368005617955642e+18,4600,5561136000.0,-4.5836530082500413e+18,-5.368005617955642e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3252446,47,87,692.0097872340425,,4.1174539143734406e+34,,3.0,100,-795377860.0,-5.173831179908906e+18,4700,5561136000.0,-4.596209990625762e+18,-5.173831179908906e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3315970,48,87,690.8270833333333,,4.18493405363323e+34,,3.0,100,-795377860.0,-4.861968136482471e+18,4800,5561136000.0,-4.601746618664443e+18,-4.861968136482471e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3388565,49,87,691.5438775510204,,3.93439003087962e+34,,3.0,100,-795377860.0,-5.337263548476417e+18,4900,5561136000.0,-4.616757168252443e+18,-5.337263548476417e+18
3.0,0.14999999,6356514000.0,98.81783401060149,3471606,50,87,694.3212,,2.8108196452831904e+34,,3.0,100,-795377860.0,-5.827888959730997e+18,5000,5561136000.0,-4.640979804082013e+18,-5.827888959730997e+18
