J,ReturnMean,NatGradInftyNorm,ReturnMax,MountainCar_std1_higher,AvgRet,VarJ,MountainCar_std0_higher,ActionIn1,MinEpLen,MountainCar_mu0_higher,BatchSize,AvgEpLen,NatGrad2Norm,Iteration,MountainCar_mu1_higher,StepSize,TimestepsSoFar,NumTrajectories
-5.838124159953793e+25,-4.085922545961325e+25,,97.11067514909502,3.0,-5.838124159953793e+25,5.071110626386507e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,966.8553333333333,,30,-43868943000000.0,3.0,2900566,3000
-5.826782917643621e+25,-4.142079332144625e+25,,97.11067514909502,3.0,-5.826782917643621e+25,4.75990450175486e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,967.8922580645161,,31,-43868943000000.0,3.0,3000466,3100
-5.821127797296349e+25,-4.1945495966806165e+25,,97.11067514909502,3.0,-5.821127797296349e+25,4.794486170792263e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,968.864375,,32,-43868943000000.0,3.0,3100366,3200
-5.843115472678829e+25,-4.244506138377532e+25,,97.11067514909502,3.0,-5.843115472678829e+25,5.257082911211783e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,969.7775757575757,,33,-43868943000000.0,3.0,3200266,3300
-5.820285029019566e+25,-4.290852576337591e+25,,97.11067514909502,3.0,-5.820285029019566e+25,4.597346363681717e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,970.6370588235294,,34,-43868943000000.0,3.0,3300166,3400
-5.863107933405936e+25,-4.335774157968116e+25,,97.11067514909502,3.0,-5.863107933405936e+25,4.142322214871794e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,971.4474285714285,,35,-43868943000000.0,3.0,3400066,3500
-5.86056593783537e+25,-4.378129485186651e+25,,97.11067514909502,3.0,-5.86056593783537e+25,5.450739218076961e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,972.2127777777778,,36,-43868943000000.0,3.0,3499966,3600
-5.805653335413218e+25,-4.4167112108684495e+25,,97.11067514909502,3.0,-5.805653335413218e+25,4.794678027148058e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,972.9367567567567,,37,-43868943000000.0,3.0,3599866,3700
-5.8158910302010775e+25,-4.453531732429834e+25,,97.11067514909502,3.0,-5.8158910302010775e+25,6.177383358195262e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,973.6226315789473,,38,-43868943000000.0,3.0,3699766,3800
-5.845204174166962e+25,-4.489215641192325e+25,,97.11067514909502,3.0,-5.845204174166962e+25,4.845747199137778e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,974.2733333333333,,39,-43868943000000.0,3.0,3799666,3900
-5.854357403488303e+25,-4.523344185249725e+25,,97.11067514909502,3.0,-5.854357403488303e+25,4.818598053633675e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,974.8915,,40,-43868943000000.0,3.0,3899566,4000
-5.80794329183936e+25,-4.5546758707763015e+25,,97.11067514909502,3.0,-5.80794329183936e+25,5.677086415654454e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,975.479512195122,,41,-43868943000000.0,3.0,3999466,4100
-5.868794895717458e+25,-4.585964418989186e+25,,97.11067514909502,3.0,-5.868794895717458e+25,4.948256897549396e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,976.0395238095238,,42,-43868943000000.0,3.0,4099366,4200
-5.865285107239855e+25,-4.615716062901991e+25,,97.11067514909502,3.0,-5.865285107239855e+25,4.634232731162989e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,976.573488372093,,43,-43868943000000.0,3.0,4199266,4300
-5.835021057449027e+25,-4.643427540050788e+25,,97.11067514909502,3.0,-5.835021057449027e+25,4.218897398489807e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,977.0831818181819,,44,-43868943000000.0,3.0,4299166,4400
-5.819615399032747e+25,-4.669565048028165e+25,,97.11067514909502,3.0,-5.819615399032747e+25,4.161914548690518e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,977.5702222222222,,45,-43868943000000.0,3.0,4399066,4500
-5.848319854687649e+25,-4.695190152520762e+25,,97.11067514909502,3.0,-5.848319854687649e+25,4.960785852277211e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,978.0360869565218,,46,-43868943000000.0,3.0,4498966,4600
-5.798292472883273e+25,-4.7186604146561356e+25,,97.11067514909502,3.0,-5.798292472883273e+25,4.729207383256713e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,978.4821276595744,,47,-43868943000000.0,3.0,4598866,4700
-5.848186767193641e+25,-4.742192213667334e+25,,97.11067514909502,3.0,-5.848186767193641e+25,5.25715689873396e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,978.9095833333333,,48,-43868943000000.0,3.0,4698766,4800
-5.8641327443504286e+25,-4.765088959191478e+25,,97.11067514909502,3.0,-5.8641327443504286e+25,4.95187775677528e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,979.3195918367347,,49,-43868943000000.0,3.0,4798666,4900
-5.814167825588203e+25,-4.786070536519413e+25,,97.11067514909502,3.0,-5.814167825588203e+25,5.126081141792814e+46,0.14999999,-43004910000000.0,79,864031150000.0,100,979.7132,,50,-43868943000000.0,3.0,4898566,5000
