MinEpLen,TimestepsSoFar,MountainCar_mu0_higher,NumTrajectories,MountainCar_mu1_higher,VarJ,AvgEpLen,ReturnMean,J,NatGrad2Norm,ReturnMax,MountainCar_std1_higher,StepSize,MountainCar_std0_higher,BatchSize,AvgRet,Iteration,NatGradInftyNorm,ActionIn1
180,810530,-0.77404565,1100,8.432995,12.991000875722744,736.8454545454546,46.80069897028707,76.43369037457678,44.34178,96.72990434571636,3.0,0.01,0.14999999,100,76.43369037457678,11,44.33592,3.8423524
180,858882,-0.76683486,1200,8.876354,7.432997305353858,715.735,49.87378115253072,83.67768515721082,63.797516,96.72990434571636,3.0,0.01,0.14999999,100,83.67768515721082,12,63.756275,6.937299
116,905609,-0.7897704,1300,9.513917,4.198867771649027,696.6223076923077,52.73969454951589,87.1306553133379,19.307402,96.72990434571636,3.0,0.01,0.14999999,100,87.1306553133379,13,19.294342,6.107299
116,952502,-0.7826706,1400,9.706861,4.474629053631839,680.3585714285714,55.17303016370314,86.80639314813737,44.229946,96.72990434571636,3.0,0.01,0.14999999,100,86.80639314813737,14,44.229946,6.6908946
116,998235,-0.78267235,1500,10.14916,2.166321816897618,665.49,57.427672536099145,88.99266574964325,46.04468,96.72990434571636,3.0,0.01,0.14999999,100,88.99266574964325,15,46.026485,7.437233
116,1043926,-0.7956159,1600,9.688895,6.554422944586617,652.45375,59.14715122472853,84.93933155416934,23.807892,96.72990434571636,3.0,0.01,0.14999999,100,84.93933155416934,16,23.796507,4.9049344
116,1086992,-0.8029773,1700,9.92686,2.306942713293885,639.4070588235294,60.91215578836829,89.15222880660438,27.458876,96.87402008254011,3.0,0.01,0.14999999,100,89.15222880660438,17,27.374207,4.797369
116,1128854,-0.78143036,1800,10.200602,2.2679377440566864,627.1411111111111,62.500126871210604,89.49563527952996,16.149158,96.87402008254011,3.0,0.01,0.14999999,100,89.49563527952996,18,16.143267,6.812965
116,1171239,-0.7857926,1900,10.362034,4.2841724852749135,616.4415789473684,63.79503595448275,87.10339945338137,56.554016,96.87402008254011,3.0,0.01,0.14999999,100,87.10339945338137,19,56.553204,12.201487
116,1214478,-0.78275853,2000,10.927566,4.450056105605295,607.239,64.94452337012429,86.78478426731346,26.05059,96.87402008254011,3.0,0.01,0.14999999,100,86.78478426731346,20,26.030712,9.352171
116,1251278,-0.7929338,2100,11.187873,0.10462965093966281,595.8466666666667,66.21431985891861,91.6102496348055,4.3426456,97.55401460916931,3.0,0.01,0.14999999,100,91.6102496348055,21,4.1286383,11.790472
116,1292371,-0.7794694,2200,11.229159,2.2478925005909516,587.4413636363637,67.26700377083039,89.37336592097712,33.43937,97.55401460916931,3.0,0.01,0.14999999,100,89.37336592097712,22,33.438477,10.143621
116,1328252,-0.7819159,2300,10.894774,0.12278473672868646,577.5008695652174,68.33208746660613,91.76392877367229,39.746574,97.55401460916931,3.0,0.01,0.14999999,100,91.76392877367229,23,39.7441,17.186813
116,1367554,-0.77747923,2400,11.292215,2.4071136631736887,569.8141666666667,69.21380832319069,89.49338802463602,18.587864,97.55401460916931,3.0,0.01,0.14999999,100,89.49338802463602,24,18.543936,10.151389
116,1408831,-0.7647077,2500,11.477654,3.2095776048635374,563.5324,69.98964775775346,88.60979418725988,41.42865,97.55401460916931,3.0,0.01,0.14999999,100,88.60979418725988,25,41.428608,13.661431
116,1447289,-0.764121,2600,11.063369,4.249457303492663,556.6496153846153,70.6785111120794,87.90009497022793,51.490906,97.55401460916931,3.0,0.01,0.14999999,100,87.90009497022793,26,51.490604,7.131281
116,1486490,-0.7658867,2700,11.578275,1.1056308511440907,550.5518518518519,71.42514027145812,90.83749841530472,3.3183963,97.55401460916931,3.0,0.01,0.14999999,100,90.83749841530472,27,3.1026998,9.554644
116,1524665,-0.7541181,2800,11.609302,1.0939235302436725,544.5232142857143,72.12402078394403,90.9937946210637,21.511217,97.89509016672409,3.0,0.01,0.14999999,100,90.9937946210637,28,21.51111,10.425713
116,1559412,-0.75343966,2900,11.824412,1.0685538622657291,537.7282758620689,72.78008990244886,91.15002522058413,15.241669,97.89509016672409,3.0,0.01,0.14999999,100,91.15002522058413,29,15.23801,9.872718
116,1596012,-0.75677884,3000,11.976792,1.3976361338826602,532.004,73.40015758411072,91.38212035230457,68.49056,97.89509016672409,3.0,0.01,0.14999999,100,91.38212035230457,30,68.46647,9.137115
