ActionIn1,NatGrad2Norm,NumTrajectories,NatGradInftyNorm,MountainCar_std0_higher,VarJ,AvgEpLen,ReturnMean,AvgRet,MountainCar_std1_higher,ReturnMax,MountainCar_mu0_higher,TimestepsSoFar,StepSize,MinEpLen,BatchSize,Iteration,J,MountainCar_mu1_higher
27405840000.0,,2400,,0.14999999,1.80954621690715e+36,525.4366666666666,-1.4782533298066655e+19,-1.8308595178256196e+19,3.0,98.16498803872072,680130050.0,1261048,3.0,89,100,24,-1.8308595178256196e+19,26725710000.0
27405840000.0,,2500,,0.14999999,1.5239708016660014e+36,517.8508,-1.4803186201277143e+19,-1.5298855878328779e+19,3.0,98.16498803872072,680130050.0,1294627,3.0,89,100,25,-1.5298855878328779e+19,26725710000.0
27405840000.0,,2600,,0.14999999,1.9185708071120187e+36,516.7057692307692,-1.4996245477424214e+19,-1.982272738110106e+19,3.0,98.16498803872072,680130050.0,1343435,3.0,89,100,26,-1.982272738110106e+19,26725710000.0
27405840000.0,,2700,,0.14999999,1.837284155103758e+36,515.307037037037,-1.5168466570841655e+19,-1.964621499969516e+19,3.0,98.16498803872072,680130050.0,1391329,3.0,89,100,27,-1.964621499969516e+19,26725710000.0
27405840000.0,,2800,,0.14999999,1.8384740439799483e+36,512.0971428571429,-1.525974295924805e+19,-1.7724205446220577e+19,3.0,98.16498803872072,680130050.0,1433872,3.0,89,100,28,-1.7724205446220577e+19,26725710000.0
27405840000.0,,2900,,0.14999999,1.9027082464909717e+36,510.04758620689654,-1.5383811614285517e+19,-1.8857733955334713e+19,3.0,98.16498803872072,680130050.0,1479138,3.0,89,100,29,-1.8857733955334713e+19,26725710000.0
27405840000.0,,3000,,0.14999999,1.9018467844246777e+36,510.80066666666664,-1.5577098579429044e+19,-2.11824205685913e+19,3.0,98.16498803872072,680130050.0,1532402,3.0,89,100,30,-2.11824205685913e+19,26725710000.0
27405840000.0,,3100,,0.14999999,2.000705781034597e+36,510.94354838709677,-1.5749057545503556e+19,-2.090782652773887e+19,3.0,98.16498803872072,680130050.0,1583925,3.0,89,100,31,-2.090782652773887e+19,26725710000.0
27405840000.0,,3200,,0.14999999,1.9037015496114782e+36,508.558125,-1.5824083600767857e+19,-1.8149891313961214e+19,3.0,98.16498803872072,680130050.0,1627386,3.0,89,100,32,-1.8149891313961214e+19,26725710000.0
27405840000.0,,3300,,0.14999999,1.817453633808636e+36,506.3090909090909,-1.5893679057690505e+19,-1.8120733679215182e+19,3.0,98.16498803872072,680130050.0,1670820,3.0,89,100,33,-1.8120733679215182e+19,26725710000.0
27405840000.0,,3400,,0.14999999,1.8689257368663132e+36,503.92117647058825,-1.5954597249811098e+19,-1.796489758979072e+19,3.0,98.16498803872072,680130050.0,1713332,3.0,89,100,34,-1.796489758979072e+19,26725710000.0
27405840000.0,,3500,,0.14999999,1.821410542355982e+36,501.16285714285715,-1.6006404656585884e+19,-1.776785648692854e+19,3.0,98.16498803872072,680130050.0,1754070,3.0,89,100,35,-1.776785648692854e+19,26725710000.0
27405840000.0,,3600,,0.14999999,1.9918855554683814e+36,500.2986111111111,-1.6108682683839607e+19,-1.9688413637719974e+19,3.0,98.16498803872072,680130050.0,1801075,3.0,89,100,36,-1.9688413637719974e+19,26725710000.0
27405840000.0,,3700,,0.14999999,1.7573063208728523e+36,497.5483783783784,-1.614433366499073e+19,-1.742776898643122e+19,3.0,98.16498803872072,680130050.0,1840929,3.0,89,100,37,-1.742776898643122e+19,26725710000.0
27405840000.0,,3800,,0.14999999,1.940046983848186e+36,497.5315789473684,-1.6244646904624794e+19,-1.9956236771085193e+19,3.0,98.16498803872072,680130050.0,1890620,3.0,89,100,38,-1.9956236771085193e+19,26725710000.0
27405840000.0,,3900,,0.14999999,1.9893769276388027e+36,497.2851282051282,-1.634409385672761e+19,-2.01230780366345e+19,3.0,98.16498803872072,680130050.0,1939412,3.0,89,100,39,-2.01230780366345e+19,26725710000.0
27405840000.0,,4000,,0.14999999,2.111880849185752e+36,497.29925,-1.6440873091442625e+19,-2.0215263245328253e+19,3.0,98.16498803872072,680130050.0,1989197,3.0,89,100,40,-2.0215263245328253e+19,26725710000.0
27405840000.0,,4100,,0.14999999,2.022053392396067e+36,498.16317073170734,-1.656731880702506e+19,-2.1625147430322455e+19,3.0,98.16498803872072,680130050.0,2042469,3.0,89,100,41,-2.1625147430322455e+19,26725710000.0
27405840000.0,,4200,,0.14999999,1.7927108192070527e+36,495.79357142857145,-1.6573446318968037e+19,-1.6824674308630147e+19,3.0,98.16498803872072,680130050.0,2082333,3.0,89,100,42,-1.6824674308630147e+19,26725710000.0
27405840000.0,,4300,,0.14999999,1.8789752222650186e+36,496.0348837209302,-1.6656399643383e+19,-2.01404392688113e+19,3.0,98.16498803872072,680130050.0,2132950,3.0,89,100,43,-2.01404392688113e+19,26725710000.0
27405840000.0,,4400,,0.14999999,1.939813000766198e+36,495.0465909090909,-1.6700806513022833e+19,-1.8610301907535696e+19,3.0,98.16498803872072,680130050.0,2178205,3.0,89,100,44,-1.8610301907535696e+19,26725710000.0
27405840000.0,,4500,,0.14999999,2.1146334920252656e+36,495.2951111111111,-1.678756526543488e+19,-2.060495037156495e+19,3.0,98.16498803872072,680130050.0,2228828,3.0,89,100,45,-2.060495037156495e+19,26725710000.0
27405840000.0,,4600,,0.14999999,1.9605270777687462e+36,494.75565217391306,-1.683598319728168e+19,-1.9014790130387685e+19,3.0,98.16498803872072,680130050.0,2275876,3.0,89,100,46,-1.9014790130387685e+19,26725710000.0
27405840000.0,,4700,,0.14999999,1.6154345902589317e+36,492.13212765957445,-1.6825849618079035e+19,-1.6359704974757421e+19,3.0,98.16498803872072,680130050.0,2313021,3.0,89,100,47,-1.6359704974757421e+19,26725710000.0
27405840000.0,,4800,,0.14999999,1.9818812521562097e+36,491.10604166666667,-1.6859658161202428e+19,-1.844865968800201e+19,3.0,98.16498803872072,680130050.0,2357309,3.0,89,100,48,-1.844865968800201e+19,26725710000.0
27405840000.0,,4900,,0.14999999,1.8554532551194158e+36,489.75857142857143,-1.6881237864913267e+19,-1.7917063643033342e+19,3.0,98.16498803872072,680130050.0,2399817,3.0,89,100,49,-1.7917063643033342e+19,26725710000.0
27405840000.0,,5000,,0.14999999,1.9596837729765664e+36,489.551,-1.693380016722277e+19,-1.950935298038861e+19,3.0,98.16498803872072,680130050.0,2447755,3.0,89,100,50,-1.950935298038861e+19,26725710000.0
