Iteration,ActionIn1,J,NatGrad2Norm,MinEpLen,MountainCar_mu0_higher,ReturnMean,MountainCar_std0_higher,MountainCar_mu1_higher,NatGradInftyNorm,VarJ,NumTrajectories,BatchSize,ReturnMax,AvgRet,AvgEpLen,StepSize,TimestepsSoFar,MountainCar_std1_higher
11,-41123263000000.0,-1.3425876984648628e+25,,79,434659500000.0,-6.099021195148305e+24,0.14999999,-41557923000000.0,,1.0557090210115434e+46,1100,100,95.01517001352047,-1.3425876984648628e+25,837.16,2.0,920876,3.0
12,-41123263000000.0,-1.3384603488560474e+25,,79,434659500000.0,-6.706153052932651e+24,0.14999999,-41557923000000.0,,1.0626465609565204e+46,1200,100,95.01517001352047,-1.3384603488560474e+25,850.6466666666666,2.0,1020776,3.0
13,-41123263000000.0,-1.3266809333081472e+25,,79,434659500000.0,-7.210818920636405e+24,0.14999999,-41557923000000.0,,1.058374863271406e+46,1300,100,95.01517001352047,-1.3266809333081472e+25,862.0584615384615,2.0,1120676,3.0
14,-41123263000000.0,-1.3400064281354503e+25,,79,434659500000.0,-7.652907874973413e+24,0.14999999,-41557923000000.0,,9.184694239494451e+45,1400,100,95.01517001352047,-1.3400064281354503e+25,871.84,2.0,1220576,3.0
15,-41123263000000.0,-1.3276771317122523e+25,,79,434659500000.0,-8.027832104450021e+24,0.14999999,-41557923000000.0,,8.61911916928491e+45,1500,100,95.01517001352047,-1.3276771317122523e+25,880.3173333333333,2.0,1320476,3.0
16,-41123263000000.0,-1.3393920925246884e+25,,79,434659500000.0,-8.363212655749826e+24,0.14999999,-41557923000000.0,,1.0426067200503309e+46,1600,100,95.01517001352047,-1.3393920925246884e+25,887.735,2.0,1420376,3.0
17,-41123263000000.0,-1.3401717920119534e+25,,79,434659500000.0,-8.659595318359806e+24,0.14999999,-41557923000000.0,,9.801486505722543e+45,1700,100,95.01517001352047,-1.3401717920119534e+25,894.28,2.0,1520276,3.0
18,-41123263000000.0,-1.340563944320599e+25,,79,434659500000.0,-8.923264436406817e+24,0.14999999,-41557923000000.0,,1.020838363455172e+46,1800,100,95.01517001352047,-1.340563944320599e+25,900.0977777777778,2.0,1620176,3.0
19,-41123263000000.0,-1.3415061105636851e+25,,79,434659500000.0,-9.159674787418925e+24,0.14999999,-41557923000000.0,,1.0321406082286924e+46,1900,100,95.01517001352047,-1.3415061105636851e+25,905.3031578947368,2.0,1720076,3.0
20,-41123263000000.0,-1.3456733330930456e+25,,79,434659500000.0,-9.374527714594502e+24,0.14999999,-41557923000000.0,,1.0986097321801296e+46,2000,100,95.01517001352047,-1.3456733330930456e+25,909.988,2.0,1819976,3.0
21,-41123263000000.0,-1.3338663920945916e+25,,79,434659500000.0,-9.563296105373141e+24,0.14999999,-41557923000000.0,,9.381927324120358e+45,2100,100,95.01517001352047,-1.3338663920945916e+25,914.2266666666667,2.0,1919876,3.0
22,-41123263000000.0,-1.3527632887421613e+25,,79,434659500000.0,-9.74349323182989e+24,0.14999999,-41557923000000.0,,1.1051219153494904e+46,2200,100,95.01517001352047,-1.3527632887421613e+25,918.08,2.0,2019776,3.0
23,-41123263000000.0,-1.3385093065325008e+25,,79,434659500000.0,-9.901823659373153e+24,0.14999999,-41557923000000.0,,9.218386764993904e+45,2300,100,95.01517001352047,-1.3385093065325008e+25,921.5982608695653,2.0,2119676,3.0
24,-41123263000000.0,-1.321878953242677e+25,,79,434659500000.0,-1.0040030570750388e+25,0.14999999,-41557923000000.0,,9.852675277633892e+45,2400,100,95.01517001352047,-1.321878953242677e+25,924.8233333333334,2.0,2219576,3.0
25,-41123263000000.0,-1.3494835160379833e+25,,79,434659500000.0,-1.0178222754335566e+25,0.14999999,-41557923000000.0,,9.857774993469586e+45,2500,100,95.01517001352047,-1.3494835160379833e+25,927.7904,2.0,2319476,3.0
26,-41123263000000.0,-1.3296483481904101e+25,,79,434659500000.0,-1.0298155859242049e+25,0.14999999,-41557923000000.0,,8.752297337672212e+45,2600,100,95.01517001352047,-1.3296483481904101e+25,930.5292307692308,2.0,2419376,3.0
27,-41123263000000.0,-1.330031735741484e+25,,79,434659500000.0,-1.040934702584104e+25,0.14999999,-41557923000000.0,,9.655865041879473e+45,2700,100,95.01517001352047,-1.330031735741484e+25,933.0651851851852,2.0,2519276,3.0
28,-41123263000000.0,-1.3278177126850203e+25,,79,434659500000.0,-1.0511805243734225e+25,0.14999999,-41557923000000.0,,1.2137831349331632e+46,2800,100,95.01517001352047,-1.3278177126850203e+25,935.42,2.0,2619176,3.0
29,-41123263000000.0,-1.3424413653189467e+25,,79,434659500000.0,-1.061224001647406e+25,0.14999999,-41557923000000.0,,1.0849774752958208e+46,2900,100,95.01517001352047,-1.3424413653189467e+25,937.6124137931034,2.0,2719076,3.0
30,-41123263000000.0,-1.3211621345059884e+25,,79,434659500000.0,-1.0698886060760255e+25,0.14999999,-41557923000000.0,,9.347742162187942e+45,3000,100,95.01517001352047,-1.3211621345059884e+25,939.6586666666667,2.0,2818976,3.0
31,-41123263000000.0,-1.3525040992831852e+25,,79,434659500000.0,-1.0790052348891597e+25,0.14999999,-41557923000000.0,,8.635474993420649e+45,3100,100,95.01517001352047,-1.3525040992831852e+25,941.5729032258065,2.0,2918876,3.0
32,-41123263000000.0,-1.3388267907910164e+25,,79,434659500000.0,-1.087124658511093e+25,0.14999999,-41557923000000.0,,9.763348289175532e+45,3200,100,95.01517001352047,-1.3388267907910164e+25,943.3675,2.0,3018776,3.0
33,-41123263000000.0,-1.336946804758266e+25,,79,434659500000.0,-1.0946950265791888e+25,0.14999999,-41557923000000.0,,9.108175205019696e+45,3300,100,95.01517001352047,-1.336946804758266e+25,945.0533333333333,2.0,3118676,3.0
34,-41123263000000.0,-1.3369477162590125e+25,,79,434659500000.0,-1.1018201056874189e+25,0.14999999,-41557923000000.0,,8.486277626146344e+45,3400,100,95.01517001352047,-1.3369477162590125e+25,946.64,2.0,3218576,3.0
35,-41123263000000.0,-1.3309113347242648e+25,,79,434659500000.0,-1.1083655693741861e+25,0.14999999,-41557923000000.0,,9.446871213250542e+45,3500,100,95.01517001352047,-1.3309113347242648e+25,948.136,2.0,3318476,3.0
36,-41123263000000.0,-1.3279807803190358e+25,,79,434659500000.0,-1.1144659919004318e+25,0.14999999,-41557923000000.0,,1.0145243963882253e+46,3600,100,95.01517001352047,-1.3279807803190358e+25,949.5488888888889,2.0,3418376,3.0
37,-41123263000000.0,-1.3385581248686778e+25,,79,434659500000.0,-1.120522536034709e+25,0.14999999,-41557923000000.0,,1.1658748233559425e+46,3700,100,95.01517001352047,-1.3385581248686778e+25,950.8854054054054,2.0,3518276,3.0
38,-41123263000000.0,-1.332901417302427e+25,,79,434659500000.0,-1.1261114539628067e+25,0.14999999,-41557923000000.0,,1.0669924881588672e+46,3800,100,95.01517001352047,-1.332901417302427e+25,952.1515789473684,2.0,3618176,3.0
39,-41123263000000.0,-1.3522098527754983e+25,,79,434659500000.0,-1.1319088488041578e+25,0.14999999,-41557923000000.0,,1.1883129961815174e+46,3900,100,95.01517001352047,-1.3522098527754983e+25,953.3528205128205,2.0,3718076,3.0
40,-41123263000000.0,-1.3317161877788098e+25,,79,434659500000.0,-1.136904032278524e+25,0.14999999,-41557923000000.0,,9.247889940790319e+45,4000,100,95.01517001352047,-1.3317161877788098e+25,954.494,2.0,3817976,3.0
41,-41123263000000.0,-1.3415927156652493e+25,,79,434659500000.0,-1.1418964391903954e+25,0.14999999,-41557923000000.0,,1.1331937361804857e+46,4100,100,95.01517001352047,-1.3415927156652493e+25,955.579512195122,2.0,3917876,3.0
42,-41123263000000.0,-1.3260544052556667e+25,,79,434659500000.0,-1.1462811526681399e+25,0.14999999,-41557923000000.0,,9.645036090115825e+45,4200,100,95.01517001352047,-1.3260544052556667e+25,956.6133333333333,2.0,4017776,3.0
43,-41123263000000.0,-1.3410314927116376e+25,,79,434659500000.0,-1.1508102303435701e+25,0.14999999,-41557923000000.0,,1.1586638223692183e+46,4300,100,95.01517001352047,-1.3410314927116376e+25,957.5990697674418,2.0,4117676,3.0
44,-41123263000000.0,-1.3432362218664488e+25,,79,434659500000.0,-1.1551835483327264e+25,0.14999999,-41557923000000.0,,9.8285075636548e+45,4400,100,95.01517001352047,-1.3432362218664488e+25,958.54,2.0,4217576,3.0
45,-41123263000000.0,-1.3354723898635757e+25,,79,434659500000.0,-1.1591899670334119e+25,0.14999999,-41557923000000.0,,1.087867985571643e+46,4500,100,95.01517001352047,-1.3354723898635757e+25,959.4391111111111,2.0,4317476,3.0
46,-41123263000000.0,-1.3309213561478834e+25,,79,434659500000.0,-1.162923258101118e+25,0.14999999,-41557923000000.0,,9.009192727975893e+45,4600,100,95.01517001352047,-1.3309213561478834e+25,960.2991304347826,2.0,4417376,3.0
47,-41123263000000.0,-1.3225236712395047e+25,,79,434659500000.0,-1.1663190115721474e+25,0.14999999,-41557923000000.0,,9.808062470387454e+45,4700,100,95.01517001352047,-1.3225236712395047e+25,961.1225531914894,2.0,4517276,3.0
48,-41123263000000.0,-1.3524211856415917e+25,,79,434659500000.0,-1.170196140198594e+25,0.14999999,-41557923000000.0,,1.008984336917581e+46,4800,100,95.01517001352047,-1.3524211856415917e+25,961.9116666666666,2.0,4617176,3.0
49,-41123263000000.0,-1.3414042393115279e+25,,79,434659500000.0,-1.1736901830376334e+25,0.14999999,-41557923000000.0,,1.0738899860215539e+46,4900,100,95.01517001352047,-1.3414042393115279e+25,962.6685714285715,2.0,4717076,3.0
50,-41123263000000.0,-1.3446166783246675e+25,,79,434659500000.0,-1.177108712943374e+25,0.14999999,-41557923000000.0,,1.1353771645766867e+46,5000,100,95.01517001352047,-1.3446166783246675e+25,963.3952,2.0,4816976,3.0
