ReturnMean,MountainCar_std0_higher,AvgEpLen,BatchSize,NumTrajectories,NatGrad2Norm,J,NatGradInftyNorm,ActionIn1,MountainCar_mu0_higher,AvgRet,MinEpLen,ReturnMax,MountainCar_mu1_higher,TimestepsSoFar,VarJ,Iteration,MountainCar_std1_higher,StepSize
-84.66537213376809,0.14999999,629.9918181818182,100,1100,0.16844746,-0.6101460735459076,0.16777669,-28.261526,-0.041708365,-0.6101460735459076,84,98.81783401060149,-25.592043,692991,0.007108009457761027,11,3.0,1.0
-77.67527304187512,0.14999999,660.7425,100,1200,0.6761397,-0.7841830310524323,0.6759733,-26.082943,-0.026690602,-0.7841830310524323,84,98.81783401060149,-25.424267,792891,0.01823522292970575,12,3.0,1.0
-71.76145864432279,0.14999999,686.7623076923077,100,1300,0.47968107,-0.79568587369471,0.46979186,-22.400126,-0.04169166,-0.79568587369471,84,98.81783401060149,-26.10024,892791,0.010445982525920267,13,3.0,1.0
-66.70579269882866,0.14999999,709.065,100,1400,0.43854097,-0.982135407405152,0.4118849,-24.546392,0.05520796,-0.982135407405152,84,98.81783401060149,-25.63045,992691,0.026449588437730886,14,3.0,1.0
-62.324661296857045,0.14999999,728.394,100,1500,0.17337106,-0.9888216692542956,0.14199707,-22.042233,-0.095354386,-0.9888216692542956,84,98.81783401060149,-26.042334,1092591,0.0140465023495811,15,3.0,1.0
-58.47290741474585,0.14999999,745.306875,100,1600,0.034954,-0.6965991830779843,0.032155596,-22.357973,0.046642683,-0.6965991830779843,84,98.81783401060149,-26.141804,1192491,0.00684221885596728,16,3.0,1.0
-55.073164444185636,0.14999999,760.23,100,1700,0.18369038,-0.6772769152222534,0.18284397,-20.716587,0.014487088,-0.6772769152222534,84,98.81783401060149,-26.155508,1292391,0.00785497708666019,17,3.0,1.0
-52.04879578196553,0.14999999,773.495,100,1800,0.11889934,-0.6345285242235965,0.11300723,-26.364237,-0.0031266194,-0.6345285242235965,84,98.81783401060149,-25.972664,1392291,0.005384148115727024,18,3.0,1.0
-49.34718749371015,0.14999999,785.3636842105263,100,1900,0.09428366,-0.7182383051134837,0.086047865,-24.987019,0.03383848,-0.7182383051134837,84,98.81783401060149,-25.859657,1492191,0.011201453839860025,19,3.0,1.0
-46.915892258496186,0.14999999,796.0455,100,2000,0.2370546,-0.721282789430752,0.23159344,-26.789154,-0.052209385,-0.721282789430752,84,98.81783401060149,-25.82112,1592091,0.009091652203417476,20,3.0,1.0
-44.7110017507521,0.14999999,805.71,100,2100,0.30026728,-0.6131915958704008,0.29859814,-22.558474,-0.0016192757,-0.6131915958704008,84,98.81783401060149,-25.589525,1691991,0.0067718190752206085,21,3.0,1.0
-42.70441005227847,0.14999999,814.4959090909091,100,2200,0.25622517,-0.5659843843323416,0.25345236,-27.056591,0.029996995,-0.5659843843323416,84,98.81783401060149,-25.290928,1791891,0.007390255547473891,22,3.0,1.0
-40.87738142236148,0.14999999,822.5178260869566,100,2300,0.42458683,-0.6827515641877682,0.42125475,-27.373049,-0.0075961314,-0.6827515641877682,84,98.81783401060149,-25.54438,1891791,0.009021903706440829,23,3.0,1.0
-39.20231960963202,0.14999999,829.87125,100,2400,0.32598746,-0.6758979168543321,0.32191992,-22.157988,-0.060684796,-0.6758979168543321,84,98.81783401060149,-25.123125,1991691,0.006543198512948784,24,3.0,1.0
-37.65303001994846,0.14999999,836.6364,100,2500,0.33705115,-0.47007986754296643,0.3365035,-20.74633,-0.009348799,-0.47007986754296643,84,98.81783401060149,-24.801205,2091591,0.004042156386845863,25,3.0,1.0
-36.23248299101299,0.14999999,842.8811538461539,100,2600,0.37493882,-0.7188072676264379,0.36988497,-23.958134,0.009857263,-0.7188072676264379,84,98.81783401060149,-24.4647,2191491,0.01120702964755528,26,3.0,1.0
-34.91453226836466,0.14999999,848.6633333333333,100,2700,0.2608966,-0.6478134795078531,0.25761887,-24.673033,-0.05149603,-0.6478134795078531,84,98.81783401060149,-24.094816,2291391,0.008756087794651021,27,3.0,1.0
-33.68938388793803,0.14999999,854.0325,100,2800,0.31408712,-0.6103776164191115,0.31394884,-26.001123,-0.010270506,-0.6103776164191115,84,98.81783401060149,-23.837198,2391291,0.012533596326400219,28,3.0,1.0
-32.55220167984209,0.14999999,859.0313793103448,100,2900,0.021326408,-0.711099853155523,0.020871468,-25.847034,-0.019589372,-0.711099853155523,84,98.81783401060149,-24.151148,2491191,0.010833678382167986,29,3.0,1.0
-31.487513075923708,0.14999999,863.697,100,3000,0.19181438,-0.6115435622908055,0.18920812,-21.888102,-0.023970868,-0.6115435622908055,84,98.81783401060149,-24.130276,2591091,0.0037465234619695276,30,3.0,1.0
-30.49203615828053,0.14999999,868.0616129032258,100,3100,0.15983436,-0.6277286289853431,0.15492943,-29.975372,0.007541705,-0.6277286289853431,84,98.81783401060149,-24.319485,2690991,0.0063680502030746666,31,3.0,1.0
-29.562497394854695,0.14999999,872.1534375,100,3200,0.18677104,-0.7467957286536788,0.18623175,-28.505136,-0.031750727,-0.7467957286536788,84,98.81783401060149,-24.474415,2790891,0.00914823716495551,32,3.0,1.0
-28.689361645867184,0.14999999,875.9972727272727,100,3300,0.23814565,-0.7490176782668336,0.23322828,-22.975994,-0.045933794,-0.7490176782668336,84,98.81783401060149,-24.660646,2890791,0.00954484788001878,33,3.0,1.0
-27.862796573618365,0.14999999,879.615,100,3400,0.5049339,-0.5861491894073676,0.5048751,-26.437666,0.002210971,-0.5861491894073676,84,98.81783401060149,-24.893875,2990691,0.005257970182372912,34,3.0,1.0
-27.082575947488763,0.14999999,883.026,100,3500,0.7265243,-0.5550746590823904,0.7264661,-25.8704,-0.005493335,-0.5550746590823904,84,98.81783401060149,-24.389,3090591,0.006056121023447759,35,3.0,1.0
-26.34658560744395,0.14999999,886.2475,100,3600,0.1303738,-0.5869237058753325,0.12565012,-23.707653,-0.01468803,-0.5869237058753325,84,98.81783401060149,-23.662535,3190491,0.004961694699721107,36,3.0,1.0
-25.65024111795175,0.14999999,889.2948648648648,100,3700,0.27680382,-0.581839496232517,0.2759486,-20.882158,-0.049464114,-0.581839496232517,84,98.81783401060149,-23.536884,3290391,0.004862022637671666,37,3.0,1.0
-24.990707175177405,0.14999999,892.1818421052632,100,3800,0.21657512,-0.587951292526786,0.20981635,-21.860643,-0.027721938,-0.587951292526786,84,98.81783401060149,-23.812834,3390291,0.00464099795181911,38,3.0,1.0
-24.36544262638456,0.14999999,894.9207692307692,100,3900,0.2453654,-0.6053897722564465,0.24486218,-21.477139,0.025961187,-0.6053897722564465,84,98.81783401060149,-24.02265,3490191,0.008629789623061868,39,3.0,1.0
-23.772177003711732,0.14999999,897.52275,100,4000,0.14708263,-0.6348177194712976,0.13792491,-23.154587,0.04166739,-0.6348177194712976,84,98.81783401060149,-23.777788,3590091,0.006862193513580331,40,3.0,1.0
-23.2085013792513,0.14999999,899.9978048780488,100,4100,0.48108065,-0.6614764008340487,0.48066145,-24.085526,-0.009420965,-0.6614764008340487,84,98.81783401060149,-23.639864,3689991,0.009147004884899357,41,3.0,1.0
-22.66778652881926,0.14999999,902.355,100,4200,0.11359068,-0.49847766110574065,0.11239,-25.14385,0.010658529,-0.49847766110574065,84,98.81783401060149,-23.159203,3789891,0.004793633899818518,42,3.0,1.0
-22.154616779001326,0.14999999,904.6025581395348,100,4300,0.7751785,-0.6014872866478502,0.7745174,-29.081905,-0.005813604,-0.6014872866478502,84,98.81783401060149,-23.271593,3889791,0.006763151331650222,43,3.0,1.0
-21.66831465842837,0.14999999,906.7479545454545,100,4400,0.6749951,-0.7573234737914131,0.67472446,-24.710814,-0.0378211,-0.7573234737914131,84,98.81783401060149,-24.04611,3989691,0.009488545022486637,44,3.0,1.0
-21.202394953306776,0.14999999,908.798,100,4500,0.44508448,-0.7019279279566993,0.44504884,-28.637625,-0.018707113,-0.7019279279566993,84,98.81783401060149,-24.720835,4089591,0.009235085632526315,45,3.0,1.0
-20.752281777163688,0.14999999,910.7589130434783,100,4600,0.39431036,-0.4971888507247513,0.39414012,-23.71509,-0.024339925,-0.4971888507247513,84,98.81783401060149,-24.275785,4189491,0.006918880473515823,46,3.0,1.0
-20.324653289227065,0.14999999,912.6363829787234,100,4700,0.18829976,-0.6537428441422621,0.18790354,-28.813787,-0.012754055,-0.6537428441422621,84,98.81783401060149,-24.669926,4289391,0.006563437313730427,47,3.0,1.0
-19.91317138563826,0.14999999,914.435625,100,4800,0.023649452,-0.5735219169645639,0.023573218,-22.296839,-0.00054500345,-0.5735219169645639,84,98.81783401060149,-24.482021,4389291,0.007186754081098852,48,3.0,1.0
-19.52321631045941,0.14999999,916.1614285714286,100,4900,0.011283636,-0.8053727018746425,0.010070214,-28.127579,0.0013523574,-0.8053727018746425,84,98.81783401060149,-24.458448,4489191,0.01606821541631669,49,3.0,1.0
-19.14533770502075,0.14999999,917.8182,100,5000,0.1490648,-0.6292860385263156,0.13655129,-31.314997,-0.008717856,-0.6292860385263156,84,98.81783401060149,-24.453358,4589091,0.007088599831304483,50,3.0,1.0
