MountainCar_std1_higher,MountainCar_mu1_higher,ActionIn1,BatchSize,NatGrad2Norm,MinEpLen,NumTrajectories,AvgRet,MountainCar_std0_higher,MountainCar_mu0_higher,J,StepSize,ReturnMean,AvgEpLen,TimestepsSoFar,NatGradInftyNorm,Iteration,VarJ,ReturnMax
3.0,8.112556,13.727818,100,40.155167,223,2000,78.13277884957287,0.14999999,-0.08788628,78.13277884957287,0.01,19.53338511968972,910.2215,1820443,40.108032,20,15.805516309677802,99.43679716434406
3.0,8.513637,2.519449,100,56.113895,223,2100,80.85122175212885,0.14999999,-0.10733642,80.85122175212885,0.01,22.45328210218682,894.2933333333333,1878016,55.98833,21,13.92658316704349,99.43679716434406
3.0,9.07352,10.757701,100,57.24796,223,2200,90.64247532924088,0.14999999,-0.14485452,90.64247532924088,0.01,25.552790885234735,876.1868181818181,1927611,57.245644,22,6.61007891860024,99.43679716434406
3.0,9.645976,15.38401,100,60.76355,223,2300,87.43320903973405,0.14999999,-0.15000129,87.43320903973405,0.01,28.24324384847383,860.2078260869565,1978478,60.763546,23,8.909396832401534,99.43679716434406
3.0,10.253612,12.564472,100,25.655394,222,2400,94.39545236527913,0.14999999,-0.14975597,94.39545236527913,0.01,30.99958587000739,843.3766666666667,2024104,25.65498,24,2.880534490883181,99.43679716434406
3.0,10.510161,9.903526,100,13.790449,159,2500,93.71167533281107,0.14999999,-0.15121315,93.71167533281107,0.01,33.50806944851954,827.5008,2068752,13.711869,25,3.7681337287029972,99.43679716434406
3.0,10.373043,9.083743,100,49.44178,155,2600,94.44239066056679,0.14999999,-0.13651243,94.44239066056679,0.01,35.85169718744443,811.6846153846154,2110380,49.41703,26,2.847078009498954,99.43679716434406
3.0,10.867213,11.286086,100,3.3793957,155,2700,93.31712821714353,0.14999999,-0.15215465,93.31712821714353,0.01,37.980046484840685,797.8248148148148,2154127,3.3224857,27,3.8079556040207216,99.43679716434406
3.0,10.900438,13.846736,100,41.72433,155,2800,93.18278483196525,0.14999999,-0.14597885,93.18278483196525,0.01,39.95157285438084,784.8089285714286,2197465,41.722904,28,3.87738053540905,99.43679716434406
3.0,11.317667,11.297317,100,94.06219,155,2900,95.88070487683382,0.14999999,-0.1425315,95.88070487683382,0.01,41.880163613775785,770.9355172413793,2235713,94.05307,29,1.0158680016028443,99.43679716434406
3.0,12.258198,13.877352,100,61.856487,148,3000,93.91937910252128,0.14999999,-0.12943466,93.91937910252128,0.01,43.61480413006729,757.3983333333333,2272195,61.84872,30,2.8472436823305585,99.43679716434406
3.0,12.876685,8.929874,100,9.463413,148,3100,96.65018721768509,0.14999999,-0.11963372,96.65018721768509,0.01,45.325622939345294,744.3477419354839,2307478,9.406493,31,0.021285108127248736,99.43679716434406
3.0,12.97075,11.502267,100,31.774351,148,3200,95.86356236675888,0.14999999,-0.12999752,95.86356236675888,0.01,46.90493354645198,732.0353125,2342513,31.72531,32,0.9669111664834886,99.43679716434406
3.0,13.288003,17.41395,100,41.131912,148,3300,95.40559322716692,0.14999999,-0.112350546,95.40559322716692,0.01,48.37465050647364,720.1124242424243,2376371,41.122917,33,1.0359407904438012,99.43679716434406
3.0,13.699232,18.166487,100,2.8757963,148,3400,95.68730086826571,0.14999999,-0.12095193,95.68730086826571,0.01,49.76619904652634,709.5005882352941,2412302,2.828466,34,0.9657409098342429,99.43679716434406
3.0,13.6940365,9.226174,100,6.970454,148,3500,96.45957782564552,0.14999999,-0.09266727,96.45957782564552,0.01,51.1002955830726,698.3631428571429,2444271,6.9697104,35,0.029193608716249462,99.43679716434406
3.0,13.763734,16.347239,100,25.99002,148,3600,96.63552362154414,0.14999999,-0.09164886,96.63552362154414,0.01,52.3651630285857,687.89,2476404,25.98634,36,0.02230614050930248,99.43679716434406
3.0,14.023598,8.638758,100,2.7941804,148,3700,95.67362653703186,0.14999999,-0.08727426,95.67362653703186,0.01,53.53566204232749,678.4443243243243,2510244,2.406472,37,0.9570364342739646,99.43679716434406
3.0,13.999533,15.242335,100,34.937275,148,3800,96.48624818343791,0.14999999,-0.07307448,96.48624818343791,0.01,54.66594062498829,669.0663157894737,2542452,34.93551,38,0.021874921992454426,99.43679716434406
3.0,14.348887,14.343811,100,26.658491,148,3900,96.47800537206759,0.14999999,-0.07658699,96.47800537206759,0.01,55.73804484927237,659.886923076923,2573559,26.658491,39,0.022160800860581635,99.43679716434406
3.0,14.082302,18.767344,100,20.645582,148,4000,95.44625593788645,0.14999999,-0.07660832,95.44625593788645,0.01,56.73075012648772,651.60025,2606401,20.602818,40,1.2145194896138733,99.43679716434406
3.0,14.28833,11.715423,100,10.470046,148,4100,95.51578193459551,0.14999999,-0.06332696,95.51578193459551,0.01,57.67672651205134,643.2773170731707,2637437,9.677503,41,0.9810699764766361,99.43679716434406
3.0,14.385105,13.781733,100,34.212833,148,4200,96.465813157105,0.14999999,-0.023367226,96.465813157105,0.01,58.60027619407643,635.2088095238096,2667877,34.198257,42,0.020798844232423185,99.43679716434406
3.0,14.727088,10.20537,100,14.446339,148,4300,96.48118708671907,0.14999999,-0.0133807575,96.48118708671907,0.01,59.48122761018439,627.8281395348837,2699661,14.445349,43,0.020191245956320145,99.43679716434406
3.0,14.582635,19.387585,100,45.508472,148,4400,96.11309077887805,0.14999999,-0.011689695,96.11309077887805,0.01,60.31376995492742,620.5079545454546,2730235,45.50544,44,0.03020614818603449,99.43679716434406
3.0,15.037689,13.432073,100,51.991283,148,4500,95.66343994513404,0.14999999,-0.0064374534,95.66343994513404,0.01,61.09931817693201,613.3393333333333,2760027,51.99105,45,1.0504327538970382,99.43679716434406
3.0,14.517778,14.380668,100,2.0752897,148,4600,96.28213290591033,0.14999999,-0.004883282,96.28213290591033,0.01,61.86416197538806,606.9632608695653,2792031,1.8961549,46,0.029512946210716408,99.43679716434406
3.0,14.509344,16.499441,100,27.679884,148,4700,96.35565488042846,0.14999999,-0.02384483,96.35565488042846,0.01,62.598023526559146,601.2555319148936,2825901,27.678083,47,0.021982016020801055,99.43679716434406
3.0,14.232563,9.453469,100,45.716496,148,4800,94.64557011555549,0.14999999,-0.020687712,94.64557011555549,0.01,63.26568074716323,595.9475,2860548,45.678097,48,2.3451663996315384,99.43679716434406
3.0,13.775782,17.6438,100,47.02248,148,4900,96.67656773608151,0.14999999,-0.039421592,96.67656773608151,0.01,63.94753558367177,590.2718367346939,2892332,47.01782,49,0.01903904521390501,99.43679716434406
3.0,14.24596,13.967863,100,52.415237,148,5000,96.69582360194175,0.14999999,-0.03279951,96.69582360194175,0.01,64.60250134403717,585.0996,2925498,52.41085,50,0.01960003835864479,99.43679716434406
