Iteration,BatchSize,J,ReturnMean,MinEpLen,VarJ,StepSize,ActionIn1,AvgEpLen,MountainCar_std0_higher,NatGrad2Norm,ReturnMax,MountainCar_mu0_higher,MountainCar_std1_higher,TimestepsSoFar,NumTrajectories,AvgRet,MountainCar_mu1_higher,NatGradInftyNorm
27,100,-0.7509534002421954,33.630181076807666,80,0.007502675869980039,1.0,-22.55978,350.4125925925926,0.14999999,0.22519754,95.57437540630585,0.019461729,3.0,946114,2700,-0.7509534002421954,-21.321497,0.21612501
28,100,-0.8114549004324969,32.40012264904909,80,0.01516099796267551,1.0,-22.010908,373.57642857142855,0.14999999,0.5331301,95.57437540630585,-0.04381474,3.0,1046014,2800,-0.8114549004324969,-21.537622,0.53256047
29,100,-0.5959905709922845,31.26232564146146,80,0.006567954399337169,1.0,-23.287613,395.1427586206897,0.14999999,0.33553153,95.57437540630585,-0.019176131,3.0,1145914,2900,-0.5959905709922845,-22.070183,0.33391437
30,100,-0.692887178179339,30.197151880806764,80,0.010369570301184078,1.0,-23.80544,415.27133333333336,0.14999999,0.83625895,95.57437540630585,0.013726985,3.0,1245814,3000,-0.692887178179339,-21.736269,0.8332194
31,100,-0.6411783044119568,29.202367036122286,80,0.006625779235247927,1.0,-19.056744,434.10129032258067,0.14999999,0.12216199,95.57437540630585,-0.057508066,3.0,1345714,3100,-0.6411783044119568,-20.90305,0.105368175
32,100,-0.7045213853037705,28.267776772952722,80,0.014102903678005882,1.0,-20.232183,451.754375,0.14999999,0.09223963,95.57437540630585,0.0043069795,3.0,1445614,3200,-0.7045213853037705,-21.008417,0.07999205
33,100,-0.770930061152261,27.387815959798026,80,0.009475065749322987,1.0,-21.930445,468.33757575757573,0.14999999,0.78713644,95.57437540630585,-0.07568507,3.0,1545514,3300,-0.770930061152261,-21.054346,0.78652054
34,100,-0.592703267955864,26.564859511922915,80,0.0048701345598911126,1.0,-19.957003,483.94529411764705,0.14999999,0.1346466,95.57437540630585,-0.044552736,3.0,1645414,3400,-0.592703267955864,-21.840866,0.13434018
35,100,-0.6285184701478987,25.787905855292323,80,0.007672112261658467,1.0,-27.068218,498.66114285714286,0.14999999,0.15818396,95.57437540630585,-0.035474032,3.0,1745314,3500,-0.6285184701478987,-21.975206,0.15815178
36,100,-0.6231725595656377,25.054264788212933,80,0.00845117828492759,1.0,-21.912962,512.5594444444445,0.14999999,0.07169352,95.57437540630585,-0.038664993,3.0,1845214,3600,-0.6231725595656377,-22.133358,0.07119349
37,100,-0.977161655810527,24.35071272215824,80,0.020031927357282292,1.0,-27.072424,525.7064864864865,0.14999999,0.9363243,95.57437540630585,0.032528494,3.0,1945114,3700,-0.977161655810527,-22.124905,0.9295413
38,100,-0.7459815725921536,23.69027339861218,80,0.009942221812883402,1.0,-15.868186,538.1615789473684,0.14999999,0.17216212,95.57437540630585,-0.07997112,3.0,2045014,3800,-0.7459815725921536,-21.195364,0.16781002
39,100,-0.7360003984047192,23.063958685868155,80,0.010357839690869657,1.0,-19.515785,549.9779487179487,0.14999999,0.11293878,95.57437540630585,-0.041505683,3.0,2144914,3900,-0.7360003984047192,-21.027554,0.084327154
40,100,-0.664770149474889,22.47074046498458,80,0.005155407940444592,1.0,-19.725525,561.2035,0.14999999,0.2072771,95.57437540630585,-0.12583284,3.0,2244814,4000,-0.664770149474889,-20.952427,0.20438547
41,100,-0.7561597406906541,21.904230703870553,80,0.009428383815446986,1.0,-22.022808,571.8814634146341,0.14999999,0.23120937,95.57437540630585,-0.091331035,3.0,2344714,4100,-0.7561597406906541,-20.748041,0.20951512
42,100,-0.5380352170656522,21.369891039086358,80,0.0054933911476938106,1.0,-20.96678,582.0509523809524,0.14999999,0.14012279,95.57437540630585,0.006450273,3.0,2444614,4200,-0.5380352170656522,-20.957556,0.139778
43,100,-0.5927765717149702,20.859131327207255,80,0.005907829680572372,1.0,-24.312975,591.7474418604651,0.14999999,0.27629828,95.57437540630585,-0.0033733305,3.0,2544514,4300,-0.5927765717149702,-21.097334,0.27627477
44,100,-0.592012148303014,20.371605339127473,80,0.005590308878854875,1.0,-24.1978,601.0031818181818,0.14999999,0.29547074,95.57437540630585,0.00023136614,3.0,2644414,4400,-0.592012148303014,-20.821058,0.29499805
45,100,-0.6421566472914632,19.904632850540388,80,0.008222416130736512,1.0,-14.999261,609.8475555555556,0.14999999,0.15560964,95.57437540630585,-0.016475074,3.0,2744314,4500,-0.6421566472914632,-21.116056,0.15134734
46,100,-0.869760872540381,19.453015595690804,80,0.019637294531648107,1.0,-19.929129,618.3073913043478,0.14999999,0.8275494,95.57437540630585,0.01969593,3.0,2844214,4600,-0.869760872540381,-20.964708,0.8197608
47,100,-0.7766522254293681,19.022597131411654,80,0.0075883906870174885,1.0,-22.550152,626.4072340425532,0.14999999,0.07261493,95.57437540630585,-0.09357487,3.0,2944114,4700,-0.7766522254293681,-21.78447,0.07249313
48,100,-0.5457051000866412,18.614924168255435,80,0.005392848857049869,1.0,-22.266779,634.1695833333333,0.14999999,0.046213128,95.57437540630585,-0.021081738,3.0,3044014,4800,-0.5457051000866412,-21.780266,0.037802123
49,100,-0.5999353352058692,18.222784178388878,80,0.006913528449649454,1.0,-20.492567,641.6151020408163,0.14999999,0.20997661,95.57437540630585,-0.047664676,3.0,3143914,4900,-0.5999353352058692,-21.818068,0.19691613
50,100,-0.46707303573659303,17.848987034106376,80,0.0037794181838456376,1.0,-27.47015,648.7628,0.14999999,0.15553038,95.57437540630585,0.025233988,3.0,3243814,5000,-0.46707303573659303,-22.014984,0.15514319
