IWMin,LQGmu1_actor,LQGmu1_higher,Bound,ReturnStepMax,IWMax,TimestepsSoFar,ReturnMean,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMax,IWMean,DenMISELogLast,delta,ReturnMin,IWLastEpisode,LQGsigma_higher,ReturnAbsMax,IWFirstEpisode,Iteration,DenMISEMeanLog
,-0.76277345,-0.7373737,725.6379,19.197708,42.434734,700,11.424864,-1.1141574,1130.3906807899475,16.855608,17.409239,1.269573,-0.8197797,4.9626703e-07,,,0.025304638,17.409239,,35,-0.5558676
,0.1464421,0.15151516,725.2901,19.197708,0.22031727,720,11.590195,-1.1423283,1163.6518461704254,17.376781,17.409239,0.006120158,-0.14902042,4.6907957e-07,,,0.01831564,17.409239,,36,-0.5483517
,-0.03122837,-0.030303031,725.37775,19.197708,5.740242,740,11.517741,-1.1697273,1196.6046981811523,8.909401,17.409239,0.15515132,-0.54790187,4.4406656e-07,,2.2642583e-19,0.01831564,17.409239,0.00035649855,37,-0.5748331
,0.13702571,0.09090909,725.47565,19.197708,0.39028487,760,11.548765,-1.1963859,1229.6281552314758,12.696653,17.409239,0.010270655,-0.53478694,4.2100217e-07,,8.205512e-09,0.01831564,17.409239,7.2740905e-28,38,-0.59595007
,0.042557545,0.030303031,725.2611,19.197708,0.13515967,780,11.481713,-1.2223613,1264.9357159137726,8.933703,17.409239,0.0034660662,-0.8160698,3.996891e-07,,2.0885877e-06,0.01831564,17.409239,1.2635966e-13,39,-0.6266416
,0.81261045,0.7979798,724.37415,19.197708,6.4179306,800,11.421873,-1.2476791,1298.6444005966187,9.088163,17.409239,0.27524048,-0.77176356,3.799544e-07,,,0.025304638,17.409239,,40,-0.654868
,-0.94570726,-0.9191919,724.9395,19.197708,14.889594,820,11.218719,-1.2723718,1335.1725630760193,3.0925252,17.409239,0.7138029,-0.16566269,3.6164613e-07,,,0.0285655,17.409239,,41,-0.6607339
,-0.6637793,-0.65656567,716.79504,19.197708,36.515457,840,11.362388,-1.2964692,1370.4765605926514,17.25278,17.409239,1.4288439,-0.13879164,3.4462983e-07,,8.063826e-28,0.025304638,17.409239,,42,-0.65665615
,0.7431307,0.7171717,710.1352,19.197708,43.826866,860,11.502365,-1.3199998,1403.1126041412354,17.381443,17.409239,1.2332611,-0.46504796,3.2878697e-07,,,0.025304638,17.409239,,43,-0.6501847
,-0.5682399,-0.5555556,695.4761,19.197708,36.82201,880,11.333599,-1.3429893,1435.2977123260498,4.07667,17.409239,1.2679553,-0.45206016,3.140119e-07,,,0.025304638,17.409239,,44,-0.64776653
