LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
-0.9250913,-1.0,19.184929,72.99494,180.82895,,17.902027368545532,17.395481,34,,5.3184986,-2.149878,12.031502,8.116297,1.1350657,0.14999999,17.395481,680,-0.94865555,8.8693304e-07,5.258885e-07,-0.7136027,,
0.7091555,0.61616164,19.184929,72.236664,180.91846,,18.44349241256714,17.395481,35,5.65666e-23,5.169099,-0.58321726,12.180902,7.312135,1.1657721,0.14999999,17.395481,700,-0.93633693,8.1679555e-06,4.9626703e-07,-0.7425902,,17.260447
-1.0018253,-0.7777778,19.184929,71.78582,193.74261,,18.984430074691772,17.395481,36,3.0634973e-21,5.3817387,-0.9197663,11.968262,5.098897,1.1479765,0.14999999,17.395481,720,-0.9332606,0.0012390671,4.6907957e-07,-0.77076083,,4.5259094
-0.44743347,-0.33333334,19.184929,71.69911,193.89148,,19.55057716369629,17.395481,37,0.00025966088,5.2403107,-0.6963867,12.10969,5.7803974,1.0397784,0.14999999,17.395481,740,-0.92419827,3.0633092,4.4406656e-07,-0.7981254,,17.201086
0.25373456,0.13131313,19.184929,69.42558,193.94684,,20.094650745391846,17.395481,38,0.00318748,5.1038647,-0.7165751,12.246136,7.2725782,0.8057317,0.14999999,17.395481,760,-0.9189852,0.8346329,4.2100217e-07,-0.74525064,,17.294607
-0.4797553,-0.5151515,19.184929,69.11776,202.77841,,20.63890290260315,17.395481,39,1.2991863e-05,5.1994467,-0.9080955,12.150554,5.046743,0.78109455,0.14999999,17.395481,780,-0.92455965,0.34888902,3.996891e-07,-0.74949986,,8.518484
-0.9739191,-1.0,19.184929,68.758606,202.76456,,21.184587955474854,17.395481,40,0.012460306,5.0691147,-0.6511586,12.280886,7.6675,1.1714876,0.14999999,17.395481,800,-0.92356443,9.345616e-07,3.799544e-07,-0.7659115,,17.363823
-0.22643577,-0.11111111,19.184929,67.61537,202.8952,,21.731569051742554,17.395481,41,3.1937083e-07,4.9486628,-0.6079653,12.401338,6.0408854,0.87533367,0.14999999,17.395481,820,-0.913112,5.543114,3.6164613e-07,-0.7906041,,17.219387
0.40383354,0.37373737,19.184929,66.91687,203.28735,,22.277077674865723,17.395481,42,0.0017205803,4.8401756,-0.6613435,12.509825,7.3166738,1.0690196,0.14999999,17.395481,840,-0.910727,0.009112913,3.4462983e-07,-0.6878947,,16.957846
-0.31873137,-0.35353535,19.184929,66.54359,213.01746,,22.825682163238525,17.395481,43,1.8656578e-05,4.9538946,-0.8793459,12.396106,5.258741,1.0701823,0.14999999,17.395481,860,-0.9094798,2.3848777,3.2878697e-07,-0.7112082,,7.6198525
1.0023743,0.8181818,19.184929,66.325455,213.18738,,23.391855001449585,17.395481,44,1.6046226e-12,4.845167,-0.5875017,12.504833,8.659723,0.75916076,0.14999999,17.395481,880,-0.9014313,2.8779399e-09,3.140119e-07,-0.6802189,,17.180088
-0.963489,-0.8181818,19.184929,65.99867,230.53735,,23.95097041130066,17.395481,45,1.0072237e-31,5.1230526,-1.3027716,12.226948,5.0833044,1.0996811,0.14999999,17.395481,900,-0.91634786,0.00036905307,3.0021093e-07,-0.70269173,,
-1.1045088,-1.0,19.184929,65.09767,230.65411,,24.51458740234375,17.395481,46,4.8783865,5.0142193,-0.6362565,12.335781,7.325517,1.1937246,0.14999999,17.395481,920,-0.90885496,8.967968e-07,2.8730017e-07,-0.7246625,,17.233326
-0.14833033,-0.23232323,19.184929,63.807835,230.80475,,25.073473691940308,17.395481,47,3.4223058e-07,4.91074,-1.0386529,12.4392605,5.306543,1.0542033,0.14999999,17.395481,940,-0.9085518,5.015896,2.7520463e-07,-0.7461687,,17.199272
0.4216269,0.5555556,19.184929,63.399532,231.50854,,25.62770438194275,17.395481,48,8.6915556e-05,4.8230944,-0.6813665,12.526906,7.4438033,1.1677274,0.14999999,17.395481,960,-0.9033582,5.661661e-05,2.6385726e-07,-0.6658203,,16.646315
-0.80056494,-0.5959596,19.184929,63.19705,241.37231,,26.184961318969727,17.395481,49,6.7356876e-10,4.9259653,-0.9141054,12.424035,5.00955,0.7402415,0.14999999,17.395481,980,-0.90127486,0.07953057,2.531974e-07,-0.68643844,,7.486126
-0.9320264,-1.0,19.184929,63.08046,241.3783,,26.741119384765625,17.395481,50,1.9510711,4.827566,-0.57407135,12.522434,6.8684077,1.2297587,0.14999999,17.395481,1000,-0.90013814,8.7935217e-07,2.4317083e-07,-0.70501935,,17.344007
0.21242452,0.23232323,19.184929,62.827473,241.47052,,27.298551082611084,17.395481,51,3.6676952e-13,4.7347155,-0.5146681,12.615285,7.3910666,0.8870572,0.14999999,17.395481,1020,-0.8889771,0.17515683,2.3372819e-07,-0.724822,,17.257812
0.10631641,-0.01010101,19.184929,62.432693,250.12671,,27.857118844985962,17.395481,52,2.2299805,4.810129,-0.92420286,12.539871,6.596654,0.82466257,0.14999999,17.395481,1040,-0.8923736,3.3541756,2.248251e-07,-0.7408115,,8.693813
1.1200721,1.0,19.184929,61.97631,258.47498,,28.416903018951416,17.395481,53,1.2444255e-07,4.8768854,-0.8706288,12.473115,15.784033,1.1559845,0.14999999,17.395481,1060,-0.895682,5.12436e-13,2.1642118e-07,-0.69735134,,9.001741
-0.7913829,-0.8181818,19.184929,61.684563,275.82495,,28.99317193031311,17.395481,54,8.938071e-36,5.107869,-1.8041447,12.242131,4.8746276,1.1076554,0.14999999,17.395481,1080,-0.9116317,0.00037401367,2.0847979e-07,-0.7160435,,
-0.40673152,-0.3939394,19.184929,60.52423,275.8075,,29.55454993247986,17.395481,55,0.138123,5.014682,-0.55245996,12.335319,5.4006596,0.93536454,0.14999999,17.395481,1100,-0.903654,1.6670365,2.0096763e-07,-0.73438567,,17.367437
-0.85334694,-1.0,19.184929,59.573975,275.85724,,30.12135410308838,17.395481,56,0.002034638,4.9260216,-0.6458829,12.423979,6.712775,1.1764573,0.14999999,17.395481,1120,-0.900648,8.9489924e-07,1.9385428e-07,-0.72254467,,17.300335
-0.7406377,-0.75757575,19.184929,59.516052,275.8855,,30.685428380966187,17.395481,57,3.5712497,4.8400965,-0.49855897,12.509904,4.8122907,1.040396,0.14999999,17.395481,1140,-0.8911438,0.0020713238,1.8711206e-07,-0.74024427,,17.321707
0.3695663,0.41414142,19.184929,59.27932,275.85858,,31.252609491348267,17.395481,58,6.2080614e-13,4.7561817,-0.5477286,12.593819,7.376463,1.1659992,0.14999999,17.395481,1160,-0.88492924,0.0036043092,1.8071556e-07,-0.75759965,,17.37693
-0.17411938,-0.1919192,19.184929,59.243534,285.3474,,31.819197416305542,17.395481,59,0.006030665,4.836397,-0.9168313,12.513603,5.652699,0.96362317,0.14999999,17.395481,1180,-0.88340217,5.652699,1.7464151e-07,-0.7746319,,7.8611465
0.544035,0.7171717,19.184929,58.42685,285.97467,,32.387288093566895,17.395481,60,1.1400448e-07,4.766245,-0.6881239,12.5837555,8.389461,0.75803775,0.14999999,17.395481,1200,-0.88113236,1.9014732e-07,1.6886865e-07,-0.69994664,,16.722738
0.060993332,0.11111111,19.184929,58.354145,296.91473,,32.959468126297,17.395481,61,0.10767746,4.8674555,-0.9581626,12.482545,7.1024303,0.8810854,0.14999999,17.395481,1220,-0.8867233,1.045215,1.6337734e-07,-0.71647596,,6.4099116
