InvPendulum_mu1_higher,ReturnAbsMax,MinEpLen,BoundMISE,BoundBonus,Iteration,Delta,InvPendulum_std3_higher,IWMax,NumTrajectories,NumTrainableParams,TimestepsSoFar,ReturnMin,InvPendulum_mu0_higher,GridSize,IWLastEpisode,DenMISELogFirst,InvPendulum_mu3_higher,IWMean,ReturnMean,TimeElapsed,InvPendulum_std2_higher,ActionIn1,Regret/t,Regret,InvPendulum_std1_higher,ReturnMax,IWFirstEpisode,DenMISELogLast,Bound,ReturnLastEpisode,AvgEpLen,InvPendulum_std0_higher,ReturnStepMax,InvPendulum_mu2_higher,DenMISEMeanLog,IWMin
1.0,132.49312,15,,inf,11,5.9108123e-05,0.0009999999,,11,,317,-132.49312,-1.0,16,,17.553288,-1.0,,-115.42366,0.6718225479125977,0.0009999999,0.0016488433,120.42366,1324.6603,0.0009999999,,,19.577892,inf,-106.41859,28.818181818181817,0.0009999999,132.49312,1.0,18.675688,
1.0,132.49312,13,,inf,12,4.966725e-05,0.0009999999,,12,,330,-132.49312,-1.0,16,,17.466276,1.0,,-114.6936,0.7082879543304443,0.0009999999,2.0013206,119.6936,1436.3232,0.0009999999,,,20.263983,inf,-106.66295,27.5,0.0009999999,132.49312,1.0,18.728285,
1.0,132.49312,13,,inf,13,4.232002e-05,0.0009999999,,13,,349,-132.49312,1.0,16,,17.386234,-1.0,,-114.315674,0.7514078617095947,0.0009999999,-0.0005540848,119.315674,1551.1038,0.0009999999,,,21.07415,inf,-109.780495,26.846153846153847,0.0009999999,132.49312,-1.0,18.834852,
1.0,132.49312,13,,inf,14,3.649022e-05,0.0009999999,,14,,367,-132.49312,1.0,16,,17.312126,1.0,,-114.06276,0.7920212745666504,0.0009999999,1.9996741,119.06276,1666.8787,0.0009999999,,,20.008585,inf,-110.77484,26.214285714285715,0.0009999999,132.49312,-1.0,18.849874,
1.0,132.49312,13,,inf,15,3.178704e-05,0.0009999999,,15,,386,-132.49312,1.0,16,,17.243134,-1.0,,-113.60638,0.8361749649047852,0.0009999999,2.0004926,118.60638,1779.0957,0.0009999999,,,19.688675,inf,-107.217026,25.733333333333334,0.0009999999,132.49312,1.0,18.841402,
1.0,132.49312,13,,inf,16,2.7937827e-05,0.0009999999,,16,,401,-132.49312,1.0,16,,17.178595,1.0,,-113.36142,0.8771939277648926,0.0009999999,4.001651,118.36142,1893.7827,0.0009999999,,,19.06286,inf,-109.68711,25.0625,0.0009999999,132.49312,1.0,18.794739,
1.0,132.49312,13,-83.88424,754.0739,17,2.4747693e-05,0.0009999999,17.000008,17,,422,-132.49312,-1.0,16,,17.11797,1.0,1.0000005,-113.154724,0.9207441806793213,0.0009999999,0.00077855587,118.154724,2008.6302,0.0009999999,,,19.111122,670.1897,-109.847496,24.823529411764707,0.0009999999,132.49312,-1.0,18.75629,
1.0,132.49312,13,-84.07686,758.1266,18,2.2074333e-05,0.0009999999,17.999992,18,,442,-132.49312,-1.0,16,,17.060812,-1.0,0.9999996,-112.79939,0.965928316116333,0.0009999999,0.00033128262,117.79939,2120.3892,0.0009999999,,,21.2666,674.04974,-106.75876,24.555555555555557,0.0009999999,132.49312,1.0,18.880276,
1.0,132.49312,11,-84.51361,761.94025,19,1.9811867e-05,0.0009999999,19.0,19,,453,-132.49312,1.0,16,,17.006744,1.0,1.0,-112.240135,1.005476713180542,0.0009999999,2.0015144,117.240135,2227.5625,0.0009999999,,,21.36664,677.42664,-102.17354,23.842105263157894,0.0009999999,132.49312,-1.0,18.996399,
-1.0,132.49312,11,-84.71933,765.5408,20,1.788021e-05,0.0009999999,20.00002,20,,474,-132.49312,1.0,16,,16.955452,-1.0,1.000001,-112.04189,1.0506548881530762,0.0009999999,-0.00324893,117.04189,2340.838,0.0009999999,,,21.055706,680.8214,-108.27527,23.7,0.0009999999,132.49312,1.0,19.085293,
