LQGsigma_higher,MinEpLen,LQGmu1_higher,ReturnMean,NumTrajectories,NumTrainableParams,TimeElapsed,AvgEpLen,Iteration,LQGmu1_actor,TimestepsSoFar
0.14999999,20,-0.67,0.04583469,96,,1.062896966934204,20.0,96,-0.5104426,1920
0.14999999,20,-0.67,0.045834836,97,,1.0743889808654785,20.0,97,-0.6079071,1940
0.14999999,20,-0.67,0.0458343,98,,1.0856201648712158,20.0,98,-0.7762071,1960
0.14999999,20,-0.67,0.04583415,99,,1.0941529273986816,20.0,99,-0.56605744,1980
0.14999999,20,-0.67,0.04583386,100,,1.1090834140777588,20.0,100,-0.8503109,2000
0.14999999,20,-0.67,0.04583394,101,,1.1193974018096924,20.0,101,-0.88262683,2020
0.14999999,20,-0.67,0.045833934,102,,1.1305253505706787,20.0,102,-0.42937917,2040
0.14999999,20,-0.67,0.045834117,103,,1.140089750289917,20.0,103,-0.65024185,2060
0.14999999,20,-0.67,0.045833927,104,,1.1500966548919678,20.0,104,-0.8571346,2080
0.14999999,20,-0.67,0.045833543,105,,1.1619024276733398,20.0,105,-0.8733418,2100
0.14999999,20,-0.67,0.045833692,106,,1.1734602451324463,20.0,106,-0.77451336,2120
0.14999999,20,-0.67,0.045833837,107,,1.1848394870758057,20.0,107,-0.8623798,2140
0.14999999,20,-0.67,0.04583345,108,,1.1966359615325928,20.0,108,-0.70123947,2160
0.14999999,20,-0.67,0.045833446,109,,1.2062065601348877,20.0,109,-0.78006095,2180
0.14999999,20,-0.67,0.0458336,110,,1.2168591022491455,20.0,110,-0.7673776,2200
0.14999999,20,-0.67,0.045833774,111,,1.228374719619751,20.0,111,-0.6611482,2220
0.14999999,20,-0.67,0.04583395,112,,1.2373383045196533,20.0,112,-0.712446,2240
0.14999999,20,-0.67,0.045833934,113,,1.2473223209381104,20.0,113,-0.61140186,2260
0.14999999,20,-0.67,0.045834098,114,,1.2607297897338867,20.0,114,-0.9874481,2280
0.14999999,20,-0.67,0.045834098,115,,1.2701151371002197,20.0,115,-0.84879345,2300
0.14999999,20,-0.67,0.045834254,116,,1.2790918350219727,20.0,116,-0.60588515,2320
0.14999999,20,-0.67,0.04583433,117,,1.2913503646850586,20.0,117,-0.58390915,2340
0.14999999,20,-0.67,0.04583421,118,,1.302175521850586,20.0,118,-0.75931436,2360
0.14999999,20,-0.67,0.04583398,119,,1.3118598461151123,20.0,119,-0.2040489,2380
0.14999999,20,-0.67,0.045834135,120,,1.3206822872161865,20.0,120,-0.5570086,2400
0.14999999,20,-0.67,0.045834273,121,,1.329552173614502,20.0,121,-0.54664236,2420
0.14999999,20,-0.67,0.045834403,122,,1.33903169631958,20.0,122,-0.52474105,2440
0.14999999,20,-0.67,0.04583456,123,,1.3519909381866455,20.0,123,-0.8196486,2460
0.14999999,20,-0.67,0.045834612,124,,1.360987901687622,20.0,124,-0.8638868,2480
0.14999999,20,-0.67,0.045834623,125,,1.3766131401062012,20.0,125,-0.7796939,2500
0.14999999,20,-0.67,0.045834403,126,,1.3872458934783936,20.0,126,-0.5827699,2520
0.14999999,20,-0.67,0.045834415,127,,1.3962178230285645,20.0,127,-0.8273446,2540
0.14999999,20,-0.67,0.04583449,128,,1.4063720703125,20.0,128,-0.89646614,2560
0.14999999,20,-0.67,0.045834623,129,,1.4184784889221191,20.0,129,-0.6729876,2580
0.14999999,20,-0.67,0.045834452,130,,1.4296510219573975,20.0,130,-0.56158894,2600
0.14999999,20,-0.67,0.045834523,131,,1.4414572715759277,20.0,131,-0.83451974,2620
0.14999999,20,-0.67,0.045834217,132,,1.4513568878173828,20.0,132,-0.6721067,2640
0.14999999,20,-0.67,0.0458343,133,,1.4611423015594482,20.0,133,-0.92126495,2660
0.14999999,20,-0.67,0.045834355,134,,1.47220778465271,20.0,134,-0.588758,2680
0.14999999,20,-0.67,0.045834396,135,,1.4821271896362305,20.0,135,-0.76971895,2700
0.14999999,20,-0.67,0.045834463,136,,1.4935531616210938,20.0,136,-0.6449753,2720
0.14999999,20,-0.67,0.045834605,137,,1.5097434520721436,20.0,137,-0.6258416,2740
0.14999999,20,-0.67,0.045834098,138,,1.5222430229187012,20.0,138,-0.5891639,2760
0.14999999,20,-0.67,0.045834158,139,,1.5332388877868652,20.0,139,-0.46602282,2780
