IWMin,IWFirstEpisode,NumTrajectories,InvPendulum_std0_higher,Delta,BoundBonus,DenMISELogFirst,ReturnMax,Iteration,BoundMISE,Bound,IWMax,ReturnLastEpisode,ReturnMean,IWLastEpisode,IWMean,TimestepsSoFar,AvgEpLen,InvPendulum_mu3_higher,DenMISELogLast,Regret,ReturnStepMax,TimeElapsed,InvPendulum_std2_higher,Regret/t,InvPendulum_std1_higher,InvPendulum_mu0_higher,ReturnAbsMax,InvPendulum_mu1_higher,ActionIn1,NumTrainableParams,GridSize,DenMISEMeanLog,InvPendulum_std3_higher,MinEpLen,InvPendulum_mu2_higher,ReturnMin
,,34,0.01,1.2826548e-06,inf,7.214489,,34,,inf,,-121.88939,-111.34024,,,799,23.5,-1.0,10.920569,3955.568,133.95932,3.2966196537017822,0.01,116.34024,0.01,-1.0,133.95932,-1.0,-2.996439,,81,9.90059,0.01,11,,-133.95932
,,35,0.01,1.2104073e-06,inf,7.1855016,,35,,inf,,-88.25388,-110.680626,,,861,24.6,,8.477356,4048.822,133.95932,3.493053436279297,0.01,115.680626,0.01,-1.0,133.95932,-1.0,-2.0126817,,81,9.831768,0.01,11,,-133.95932
,,36,0.01,1.1440965e-06,inf,7.1573305,,36,,inf,,-468.01556,-120.606606,,,1361,37.80555555555556,1.0,9.227108,4521.838,468.01556,3.931854248046875,0.01,125.606606,0.01,-1.0,468.01556,-1.0,-1.0016809,,81,9.787583,0.01,11,,-468.01556
,,37,0.01,1.0830892e-06,inf,7.1299314,,37,,inf,,-494.85684,-130.72147,,,1861,50.2972972972973,,7.312314,5021.6943,494.85684,4.3543312549591064,0.01,135.72147,0.01,-1.0,494.85684,-1.0,-1.0436547,,81,9.694026,0.01,11,1.0,-494.85684
,,38,0.01,1.0268345e-06,inf,7.1032634,,38,,inf,,-149.85115,-131.22488,,,1919,50.5,-1.0,8.379235,5176.5454,494.85684,4.528132200241089,0.01,136.22488,0.01,,494.85684,-1.0,-3.0253515,,81,9.633459,0.01,11,-1.0,-494.85684
,,39,0.01,9.748514e-07,inf,7.0772877,,39,,inf,,-110.09119,-130.683,,,1937,49.666666666666664,,8.45524,5291.6367,494.85684,4.675602912902832,0.01,135.683,0.01,,494.85684,-1.0,-2.0480373,,81,9.577939,0.01,11,-1.0,-494.85684
,,40,0.01,9.267181e-07,inf,7.05197,,40,,inf,,-110.110245,-130.16867,,,1953,48.825,1.0,7.2775664,5406.747,494.85684,4.824342489242554,0.01,135.16867,0.01,,494.85684,-1.0,-1.0118344,,81,9.495745,0.01,11,-1.0,-494.85684
,,41,0.01,8.820637e-07,inf,7.0272775,,41,,inf,,-115.5289,-129.8116,,,1972,48.09756097560975,-1.0,10.499205,5527.276,494.85684,4.972466707229614,0.01,134.8116,0.01,,494.85684,-1.0,-2.0002313,,81,9.496129,0.01,11,,-494.85684
,,42,0.01,8.405606e-07,inf,7.00318,,42,,inf,,-112.09075,-129.38968,,,2028,48.285714285714285,,10.5495825,5644.366,494.85684,5.1528260707855225,0.01,134.38968,0.01,,494.85684,-1.0,-1.0047605,,81,9.497687,0.01,11,,-494.85684
,,43,0.01,8.019195e-07,inf,6.9796495,,43,,inf,,-490.13565,-137.77911,,,2528,58.7906976744186,1.0,9.610016,6139.502,494.85684,5.6011857986450195,0.01,142.77911,0.01,,494.85684,-1.0,0.00214535,,81,9.477316,0.01,11,,-494.85684
,,44,0.01,7.658827e-07,inf,6.95666,,44,,inf,,-491.5405,-145.81915,,,3028,68.81818181818181,-1.0,9.496586,6636.043,494.85684,6.028840065002441,0.01,150.81915,0.01,,494.85684,-1.0,-0.98788846,,81,9.455288,0.01,11,1.0,-494.85684
,,45,0.01,7.3222174e-07,inf,6.934187,,45,,inf,,-112.06241,-145.06902,,,3058,67.95555555555555,,9.879363,6753.1055,494.85684,6.18301796913147,0.01,150.06902,0.01,,494.85684,-1.0,-0.00067794014,,81,9.442739,0.01,11,1.0,-494.85684
,,46,0.01,7.0073213e-07,inf,6.912208,,46,,inf,,-114.840965,-144.41188,,,3076,66.8695652173913,1.0,10.536038,6872.9463,494.85684,6.32897424697876,0.01,149.41188,0.01,,494.85684,-1.0,1.0122633,,81,9.445004,0.01,11,1.0,-494.85684
,,47,0.01,6.7123085e-07,inf,6.890702,,47,,inf,,-127.948364,-144.06158,,,3109,66.14893617021276,,10.435947,7005.8945,494.85684,6.493025541305542,0.01,149.06158,0.01,1.0,494.85684,-1.0,-0.9693866,,81,9.44504,0.01,11,-1.0,-494.85684
,,48,0.01,6.435543e-07,inf,6.8696485,,48,,inf,,-109.96522,-143.35124,,,3126,65.125,-1.0,9.524931,7120.86,494.85684,6.641749620437622,0.01,148.35124,0.01,1.0,494.85684,-1.0,-1.0099499,,81,9.426089,0.01,11,,-494.85684
,,49,0.01,6.175547e-07,inf,6.849029,,49,,inf,,-103.4817,-142.53758,,,3186,65.0204081632653,,9.148361,7229.342,494.85684,6.8169214725494385,0.01,147.53758,0.01,1.0,494.85684,-1.0,0.0033718839,,81,9.400223,0.01,11,,-494.85684
,,50,0.01,5.930996e-07,inf,6.8288264,,50,,inf,,-134.82187,-142.38327,,,3229,64.58,1.0,10.438413,7369.1636,494.85684,6.985896825790405,0.01,147.38327,0.01,1.0,494.85684,-1.0,0.95742524,,81,9.401188,0.01,11,,-494.85684
,,51,0.01,5.700688e-07,inf,6.809024,,51,,inf,,-171.99286,-142.96385,,,3303,64.76470588235294,,7.8796806,7546.1562,494.85684,7.172150611877441,0.01,147.96385,0.01,1.0,494.85684,-1.0,1.023338,,81,9.35194,0.01,11,1.0,-494.85684
,,52,0.01,5.483539e-07,inf,6.7896056,,52,,inf,,-111.08082,-142.35071,,,3321,63.86538461538461,-1.0,9.044287,7662.237,494.85684,7.324357748031616,0.01,147.35071,0.01,-1.0,494.85684,,-3.0169713,,81,9.326979,0.01,11,-1.0,-494.85684
,,53,0.01,5.2785657e-07,inf,6.7705574,,53,,inf,,-106.75356,-141.67906,,,3333,62.886792452830186,,8.674859,7773.99,494.85684,7.472698926925659,0.01,146.67906,0.01,-1.0,494.85684,,-1.9747597,,81,9.295986,0.01,11,-1.0,-494.85684
,,54,0.01,5.084873e-07,inf,6.7518654,,54,,inf,,-107.35099,-141.04335,,,3351,62.05555555555556,1.0,8.458791,7886.3413,494.85684,7.625102996826172,0.01,146.04335,0.01,-1.0,494.85684,,-1.0046108,,81,9.262137,0.01,11,-1.0,-494.85684
,,55,0.01,4.9016495e-07,inf,6.733516,,55,,inf,,-107.869156,-140.44019,,,3367,61.21818181818182,-1.0,10.502851,7999.2104,494.85684,7.779587745666504,0.01,145.44019,0.01,-1.0,494.85684,,-1.9537947,,81,9.26668,0.01,11,,-494.85684
,,56,0.01,4.7281532e-07,inf,6.715498,,56,,inf,,-106.17267,-139.82828,,,3382,60.392857142857146,,7.248411,8110.3833,494.85684,7.930431127548218,0.01,144.82828,0.01,-1.0,494.85684,,-1.0167025,,81,9.212943,0.01,11,,-494.85684
,,57,0.01,4.563709e-07,inf,6.6977983,,57,,inf,,-133.93097,-139.72481,,,3882,68.10526315789474,1.0,8.7806425,8249.314,494.85684,8.36725401878357,0.01,144.72481,0.01,-1.0,494.85684,,0.007988572,,81,9.187969,0.01,11,,-494.85684
,,58,0.01,4.4076967e-07,inf,6.6804066,,58,,inf,,-145.41473,-139.8229,,,3936,67.86206896551724,-1.0,8.146312,8399.729,494.85684,8.558387279510498,0.01,144.8229,0.01,-1.0,494.85684,,-0.9883435,,81,9.152917,0.01,11,1.0,-494.85684
,,59,0.01,4.259549e-07,inf,6.663312,,59,,inf,,-104.60894,-139.22606,,,3950,66.94915254237289,,8.890081,8509.338,494.85684,8.714935541152954,0.01,144.22606,0.01,-1.0,494.85684,,-0.011105232,,81,9.131658,0.01,11,1.0,-494.85684
,,60,0.01,4.1187477e-07,inf,6.646505,,60,,inf,,-114.274956,-138.81023,,,3969,66.15,1.0,5.6078687,8628.613,494.85684,8.874804973602295,0.01,143.81023,0.01,-1.0,494.85684,,0.97578704,,81,9.0564,0.01,11,1.0,-494.85684
,,61,0.01,3.984813e-07,inf,6.629976,,61,,inf,,-110.17122,-138.34073,,,3985,65.32786885245902,-1.0,9.567166,8743.784,494.85684,9.031467914581299,0.01,143.34073,0.01,,494.85684,,-1.9774926,,81,9.048516,0.01,11,-1.0,-494.85684
,,62,0.01,3.8573074e-07,inf,6.613715,,62,,inf,,-112.42274,-137.9227,,,4004,64.58064516129032,,9.947391,8861.207,494.85684,9.189349889755249,0.01,142.9227,0.01,,494.85684,,-0.9990986,,81,9.047015,0.01,11,-1.0,-494.85684
,,63,0.01,3.735825e-07,inf,6.597715,,63,,inf,,-108.54985,-137.45645,,,4021,63.82539682539682,1.0,8.968792,8974.757,494.85684,9.352928161621094,0.01,142.45645,0.01,,494.85684,,0.007104337,,81,9.030027,0.01,11,-1.0,-494.85684
,,64,0.01,3.6199927e-07,inf,6.5819664,,64,,inf,,-107.728294,-136.99196,,,4034,63.03125,-1.0,10.291423,9087.485,494.85684,9.509901285171509,0.01,141.99196,0.01,,494.85684,,-0.9717663,,81,9.034235,0.01,11,,-494.85684
,,65,0.01,3.5094652e-07,inf,6.566462,,65,,inf,,-106.525406,-136.52324,,,4082,62.8,,8.719227,9199.011,494.85684,9.68580174446106,0.01,141.52324,0.01,,494.85684,,0.0056049037,,81,9.014123,0.01,11,,-494.85684
,,66,0.01,3.4039232e-07,inf,6.5511947,,66,,inf,,-149.50642,-136.71996,,,4145,62.803030303030305,1.0,9.341805,9353.517,494.85684,9.87336015701294,0.01,141.71996,0.01,,494.85684,,0.9926887,,81,9.004051,0.01,11,,-494.85684
,,67,0.01,3.3030722e-07,inf,6.5361567,,67,,inf,,-124.96399,-136.54448,,,4172,62.26865671641791,-1.0,10.255267,9483.48,494.85684,10.041854858398438,0.01,141.54448,0.01,,494.85684,,0.018818498,,81,9.007913,0.01,11,1.0,-494.85684
,,68,0.01,3.206637e-07,inf,6.521342,,68,,inf,,-105.39972,-136.08649,,,4187,61.5735294117647,,7.221524,9593.881,494.85684,10.197046995162964,0.01,141.08649,0.01,,494.85684,,1.0046954,,81,8.967045,0.01,11,1.0,-494.85684
,,69,0.01,3.1143645e-07,inf,6.506743,,69,,inf,,-108.48932,-135.68651,,,4204,60.927536231884055,1.0,8.400423,9707.369,494.85684,10.362063646316528,0.01,140.68651,0.01,,494.85684,,1.9966712,,81,8.944446,0.01,11,1.0,-494.85684
,,70,0.01,3.0260182e-07,inf,6.4923544,,70,,inf,,-119.07302,-135.44919,,,4232,60.457142857142856,-1.0,8.961091,9831.443,494.85684,10.531133651733398,0.01,140.44919,0.01,1.0,494.85684,,-0.996977,,81,8.9305,0.01,11,-1.0,-494.85684
,,71,0.01,2.9413786e-07,inf,6.4781694,,71,,inf,,-103.88622,-135.00464,,,4252,59.88732394366197,,8.632267,9940.329,494.85684,10.711366176605225,0.01,140.00464,0.01,1.0,494.85684,,0.011086464,,81,8.912314,0.01,11,-1.0,-494.85684
,,72,0.01,2.8602412e-07,inf,6.4641833,,72,,inf,,-106.20813,-134.60468,,,4267,59.263888888888886,1.0,7.698397,10051.537,494.85684,10.875348806381226,0.01,139.60468,0.01,1.0,494.85684,,1.0254515,,81,8.881663,0.01,11,-1.0,-494.85684
,,73,0.01,2.7824152e-07,inf,6.45039,,73,,inf,,-113.20111,-134.31148,,,4289,58.75342465753425,-1.0,8.868786,10169.738,494.85684,11.041661262512207,0.01,139.31148,0.01,1.0,494.85684,,-0.021866977,,81,8.867883,0.01,11,,-494.85684
,,74,0.01,2.707723e-07,inf,6.4367843,,74,,inf,,-110.438705,-133.98888,,,4305,58.17567567567568,,8.644589,10285.177,494.85684,11.205595254898071,0.01,138.98888,0.01,1.0,494.85684,,0.94607276,,81,8.851443,0.01,11,,-494.85684
,,75,0.01,2.6359982e-07,inf,6.4233613,,75,,inf,,-113.60195,-133.71706,,,4323,57.64,1.0,6.145841,10403.779,494.85684,11.369982481002808,0.01,138.71706,0.01,1.0,494.85684,,2.037508,,81,8.802124,0.01,11,,-494.85684
,,76,0.01,2.5670863e-07,inf,6.410116,,76,,inf,,-115.48389,-133.47714,,,4343,57.14473684210526,-1.0,6.8593683,10524.263,494.85684,11.550722122192383,0.01,138.47714,0.01,1.0,494.85684,,0.9948423,,81,8.763492,0.01,11,1.0,-494.85684
,,77,0.01,2.5008418e-07,inf,6.397044,,77,,inf,,-104.91743,-133.10623,,,4360,56.62337662337662,,9.55735,10634.18,494.85684,11.720122575759888,0.01,138.10623,0.01,1.0,494.85684,,1.9642574,,81,8.760898,0.01,11,1.0,-494.85684
,,78,0.01,2.4371286e-07,inf,6.3841405,,78,,inf,,-109.80707,-132.80753,,,4375,56.08974358974359,1.0,6.9055753,10748.987,494.85684,11.887458324432373,0.01,137.80753,0.01,1.0,494.85684,,2.9988003,,81,8.724375,0.01,11,1.0,-494.85684
,,79,0.01,2.3758197e-07,inf,6.371402,,79,,inf,,-112.10723,-132.54549,,,4394,55.620253164556964,,7.854143,10866.094,494.85684,12.055213212966919,0.01,137.54549,0.01,-1.0,494.85684,1.0,-1.0114411,,81,8.700781,0.01,11,-1.0,-494.85684
,,80,0.01,2.3167952e-07,inf,6.358823,,80,,inf,,-110.79023,-132.27356,,,4413,55.1625,-1.0,8.1022,10981.885,494.85684,12.22054123878479,0.01,137.27356,0.01,-1.0,494.85684,1.0,-0.988594,,81,8.680877,0.01,11,,-494.85684
,,81,0.01,2.2599437e-07,inf,6.3464003,,81,,inf,,-106.035995,-131.94965,,,4428,54.666666666666664,,9.705605,11092.921,494.85684,12.392137289047241,0.01,136.94965,0.01,-1.0,494.85684,1.0,-0.028783618,,81,8.681259,0.01,11,,-494.85684
,,82,0.01,2.2051593e-07,inf,6.3341303,,82,,inf,,-105.490906,-131.62698,,,4439,54.13414634146341,1.0,7.995655,11203.412,494.85684,12.552401065826416,0.01,136.62698,0.01,-1.0,494.85684,1.0,1.0014825,,81,8.660777,0.01,11,,-494.85684
,,83,0.01,2.1523427e-07,inf,6.322009,,83,,inf,,-110.60414,-131.37369,,,4455,53.674698795180724,,9.094254,11319.016,494.85684,12.71763014793396,0.01,136.37369,0.01,-1.0,494.85684,1.0,0.98481965,,81,8.654025,0.01,11,1.0,-494.85684
,,84,0.01,2.1014014e-07,inf,6.310033,,84,,inf,,-115.3467,-131.18289,,,4474,53.26190476190476,-1.0,9.32546,11439.363,494.85684,12.88357138633728,0.01,136.18289,0.01,,494.85684,1.0,-1.0051785,,81,8.650185,0.01,11,-1.0,-494.85684
,,85,0.01,2.052248e-07,inf,6.298198,,85,,inf,,-109.50603,-130.92787,,,4491,52.83529411764706,,8.656039,11553.869,494.85684,13.054027795791626,0.01,135.92787,0.01,,494.85684,1.0,-0.013694538,,81,8.638558,0.01,11,-1.0,-494.85684
,,86,0.01,2.0047987e-07,inf,6.2865024,,86,,inf,,-109.1545,-130.6747,,,4506,52.395348837209305,1.0,8.749916,11668.023,494.85684,13.22416353225708,0.01,135.6747,0.01,,494.85684,1.0,1.001965,,81,8.628293,0.01,11,-1.0,-494.85684
,,87,0.01,1.9589761e-07,inf,6.2749414,,87,,inf,,-117.5624,-130.52397,,,4535,52.12643678160919,-1.0,9.768265,11790.586,494.85684,13.405746936798096,0.01,135.52397,0.01,,494.85684,1.0,0.052279115,,81,8.629969,0.01,11,,-494.85684
,,88,0.01,1.9147068e-07,inf,6.2635126,,88,,inf,,-109.09665,-130.28049,,,4549,51.69318181818182,,6.6645737,11904.683,494.85684,13.575029373168945,0.01,135.28049,0.01,,494.85684,1.0,1.0041097,,81,8.596335,0.01,11,,-494.85684
,,89,0.01,1.8719217e-07,inf,6.252213,,89,,inf,,-104.51332,-129.99095,,,4564,51.28089887640449,1.0,4.3661,12014.195,494.85684,13.74446439743042,0.01,134.99095,0.01,,494.85684,1.0,1.967586,,81,8.537632,0.01,11,,-494.85684
,,90,0.01,1.8305543e-07,inf,6.2410398,,90,,inf,,-113.8967,-129.81213,,,4582,50.91111111111111,-1.0,6.4512515,12133.092,494.85684,13.915815591812134,0.01,134.81213,0.01,,494.85684,1.0,0.9795889,,81,8.503401,0.01,11,1.0,-494.85684
,,91,0.01,1.7905434e-07,inf,6.22999,,91,,inf,,-113.3836,-129.6316,,,4600,50.54945054945055,,7.644449,12251.476,494.85684,14.085586309432983,0.01,134.6316,0.01,,494.85684,1.0,2.0235343,,81,8.483033,0.01,11,1.0,-494.85684
,,92,0.01,1.7518303e-07,inf,6.219061,,92,,inf,,-104.82765,-129.36198,,,4613,50.141304347826086,1.0,8.346572,12361.303,494.85684,14.259313583374023,0.01,134.36198,0.01,,494.85684,1.0,3.001425,,81,8.47074,0.01,11,1.0,-494.85684
,,93,0.01,1.7143589e-07,inf,6.20825,,93,,inf,,-108.78488,-129.14073,,,4632,49.806451612903224,,10.105014,12475.088,494.85684,14.448216438293457,0.01,134.14073,0.01,1.0,494.85684,1.0,1.0295229,,81,8.477618,0.01,11,-1.0,-494.85684
,,94,0.01,1.6780771e-07,inf,6.1975546,,94,,inf,,-112.7847,-128.96674,,,4653,49.5,-1.0,8.2055235,12592.873,494.85684,14.68606948852539,0.01,133.96674,0.01,1.0,494.85684,1.0,0.9593079,,81,8.464142,0.01,11,,-494.85684
