MountainCar_mu0_higher,ReturnStepMax,ReturnMin,ReturnMean,DenMISELogFirst,ReturnLastEpisode,BoundBonus,MountainCar_std0_higher,IWMin,ActionIn1,MountainCar_mu1_higher,DenMISEMeanLog,IWLastEpisode,ReturnAbsMax,AvgEpLen,IWMax,Iteration,NumTrajectories,DenMISELogLast,IWMean,ReturnMax,Bound,MinEpLen,IWFirstEpisode,GridSize,TimeElapsed,Regret/t,MountainCar_std1_higher,TimestepsSoFar,Delta,Regret,NumTrainableParams,BoundMISE
0.33333334,98.147995,-9.956752,-1.8000689,-4.977793,-0.103349686,353.55612,0.14999999,,9.059738,10.0,-4.302758,2.5276107e-08,9.956752,482.875,3.5531123,32,32,-4.168829,0.21973433,9.55166,353.79114,230,0.022548363,16,11.421983242034912,6.800069,3.0,15452,6.984457e-06,217.6022,,0.23502706
-0.33333334,98.147995,-9.956752,-1.7640147,-5.0078607,-0.61028355,317.52158,0.14999999,,7.613246,10.0,-4.3314023,0.0003845379,9.956752,483.3939393939394,1.2417551,33,33,-4.4746723,0.06195916,9.55166,317.8844,230,6.881102e-09,16,11.775588274002075,6.7640147,3.0,15952,6.5675695e-06,223.2125,,0.3628352
0.33333334,98.67969,-9.956752,-1.6556387,-5.0377135,1.9207723,171.29422,0.14999999,,-0.9556365,-3.3333333,-4.332877,0.00036967604,9.956752,480.61764705882354,24.045603,34,34,-3.4575386,1.4813492,9.55166,170.61253,230,21.959032,16,12.107086896896362,6.6556387,3.0,16341,6.186923e-06,226.29172,,-0.681684
0.33333334,98.67969,-9.956752,-1.6351429,-4.568442,-0.93828773,90.14076,0.14999999,,4.9798136,3.3333333,-4.3381424,4.6757445,9.956752,481.1714285714286,18.687914,35,35,-4.6912985,1.2323675,9.55166,89.73456,230,5.356802,16,12.517992973327637,6.635143,3.0,16841,5.8384353e-06,232.23001,,-0.40620428
-1.0,98.67969,-9.956752,-1.6078974,-4.4542007,-0.65430397,64.01919,0.14999999,,-5.2951794,-3.3333333,-4.3340864,9.290544e-21,9.956752,481.69444444444446,17.228643,36,36,-4.292606,0.74589366,9.55166,62.17218,230,2.8347314e-21,16,12.901332378387451,6.6078973,3.0,17341,5.5185833e-06,237.88431,,-1.8470097
1.0,98.67969,-9.956752,-1.6137325,-4.4816,-1.823794,64.1639,0.14999999,,-2.755309,-3.3333333,-4.327168,2.2199689e-37,9.956752,482.18918918918916,7.012818,37,37,-3.7388237,0.43297225,9.55166,62.150993,230,0.11218961,16,13.316739082336426,6.6137323,3.0,17841,5.224312e-06,244.7081,,-2.0129094
-1.0,98.67969,-9.956752,-1.7004145,-4.5052404,-4.907657,64.04833,0.14999999,,7.2539353,3.3333333,-4.3269362,,9.956752,482.6578947368421,13.667421,38,38,-3.7404048,1.2898166,9.55166,61.791595,230,1.1635179e-21,16,13.676847219467163,6.7004147,3.0,18341,4.9529667e-06,254.61575,,-2.2567348
-0.33333334,98.67969,-9.956752,-1.6721334,-4.531216,-0.59744686,60.31909,0.14999999,,2.9528923,3.3333333,-4.3130503,5.4036645e-06,9.956752,480.35897435897436,5.872781,39,39,-3.9402716,0.2483751,9.55166,60.36072,230,1.5283539e-06,16,13.99021315574646,6.6721334,3.0,18734,4.7022245e-06,260.2132,,0.041629452
-0.33333334,98.67969,-9.956752,-1.6347748,-4.556534,-0.17778736,59.796528,0.14999999,,7.6840987,10.0,-4.3205833,1.1714717,9.956752,480.85,1.9967697,40,40,-3.8640678,0.13783292,9.55166,60.2368,230,4.3817687e-09,16,14.405374765396118,6.6347747,3.0,19234,4.4700523e-06,265.391,,0.44027263
-0.33333334,98.67969,-9.956752,-1.5855457,-4.5812263,0.38362032,60.332283,0.14999999,,-13.320198,-10.0,-4.333396,2.3035469e-07,9.956752,480.8536585365854,8.228469,41,41,-3.9936655,0.29728937,9.55166,60.30739,230,7.569909e-08,16,14.825404405593872,6.5855455,3.0,19715,4.2546603e-06,270.0074,,-0.024896553
