InvPendulum_mu2_higher,TimeElapsed,InvPendulum_std1_higher,MinEpLen,InvPendulum_mu0_higher,TimestepsSoFar,Iteration,InvPendulum_mu1_higher,AvgEpLen,NumTrainableParams,InvPendulum_std0_higher,InvPendulum_mu3_higher,NumTrajectories,InvPendulum_std3_higher,InvPendulum_std2_higher,ReturnMean,ActionIn1
0.0034825685,5.379533290863037,0.015,81,-0.18568558,10213,31,-0.11102458,329.4516129032258,,0.015,-0.10712334,31,0.015,0.015,-38.20513,-0.4198866
0.0034825685,5.472800254821777,0.015,81,-0.18568558,10390,32,-0.11102458,324.6875,,0.015,-0.10712334,32,0.015,0.015,-40.370506,-0.42183572
0.0034825685,5.605729103088379,0.015,81,-0.18568558,10646,33,-0.11102458,322.6060606060606,,0.015,-0.10712334,33,0.015,0.015,-41.25136,-0.41597825
0.0034825685,5.861297369003296,0.015,81,-0.18568558,11146,34,-0.11102458,327.8235294117647,,0.015,-0.10712334,34,0.015,0.015,-37.214893,-0.3950093
0.0034825685,5.951504945755005,0.015,81,-0.18568558,11315,35,-0.11102458,323.2857142857143,,0.015,-0.10712334,35,0.015,0.015,-39.276115,-0.4193734
0.0034825685,6.0292723178863525,0.015,81,-0.18568558,11457,36,-0.11102458,318.25,,0.015,-0.10712334,36,0.015,0.015,-40.762592,-0.40287232
0.0034825685,6.065170049667358,0.015,61,-0.18568558,11518,37,-0.11102458,311.2972972972973,,0.015,-0.10712334,37,0.015,0.015,-42.19747,-0.46583307
0.0034825685,6.155974626541138,0.015,61,-0.18568558,11689,38,-0.11102458,307.60526315789474,,0.015,-0.10712334,38,0.015,0.015,-42.945755,-0.4383785
0.0034825685,6.265947341918945,0.015,61,-0.18568558,11899,39,-0.11102458,305.1025641025641,,0.015,-0.10712334,39,0.015,0.015,-43.95749,-0.47240666
0.0034825685,6.326462268829346,0.015,61,-0.18568558,12010,40,-0.11102458,300.25,,0.015,-0.10712334,40,0.015,0.015,-46.272606,-0.41810215
0.0034825685,6.582339525222778,0.015,61,-0.18568558,12510,41,-0.11102458,305.1219512195122,,0.015,-0.10712334,41,0.015,0.015,-43.646072,-0.40069765
0.0034825685,6.722196102142334,0.015,61,-0.18568558,12776,42,-0.11102458,304.1904761904762,,0.015,-0.10712334,42,0.015,0.015,-44.033592,-0.4074917
0.0034825685,6.98040246963501,0.015,61,-0.18568558,13276,43,-0.11102458,308.74418604651163,,0.015,-0.10712334,43,0.015,0.015,-40.87389,-0.3971329
0.0034825685,7.047090768814087,0.015,61,-0.18568558,13400,44,-0.11102458,304.54545454545456,,0.015,-0.10712334,44,0.015,0.015,-42.68237,-0.38218364
0.0034825685,7.125549077987671,0.015,61,-0.18568558,13545,45,-0.11102458,301.0,,0.015,-0.10712334,45,0.015,0.015,-43.54624,-0.40136796
0.0034825685,7.365999460220337,0.015,61,-0.18568558,14012,46,-0.11102458,304.60869565217394,,0.015,-0.10712334,46,0.015,0.015,-43.405727,-0.38195583
0.0034825685,7.647540330886841,0.015,61,-0.18568558,14512,47,-0.11102458,308.7659574468085,,0.015,-0.10712334,47,0.015,0.015,-41.636562,-0.35443074
0.0034825685,7.926074981689453,0.015,61,-0.18568558,15012,48,-0.11102458,312.75,,0.015,-0.10712334,48,0.015,0.015,-40.36702,-0.4152758
0.0034825685,8.124671697616577,0.015,61,-0.18568558,15358,49,-0.11102458,313.42857142857144,,0.015,-0.10712334,49,0.015,0.015,-40.47165,-0.39529315
0.0034825685,8.38611626625061,0.015,61,-0.18568558,15858,50,-0.11102458,317.16,,0.015,-0.10712334,50,0.015,0.015,-38.305874,-0.46421295
0.0034825685,8.640573501586914,0.015,61,-0.18568558,16358,51,-0.11102458,320.7450980392157,,0.015,-0.10712334,51,0.015,0.015,-36.19335,-0.3653442
0.0034825685,8.764623641967773,0.015,61,-0.18568558,16591,52,-0.11102458,319.0576923076923,,0.015,-0.10712334,52,0.015,0.015,-36.566128,-0.42580786
0.0034825685,8.850924491882324,0.015,61,-0.18568558,16754,53,-0.11102458,316.1132075471698,,0.015,-0.10712334,53,0.015,0.015,-37.50701,-0.3624906
0.0034825685,9.110722303390503,0.015,61,-0.18568558,17254,54,-0.11102458,319.51851851851853,,0.015,-0.10712334,54,0.015,0.015,-37.597916,-0.40726697
0.0034825685,9.2618248462677,0.015,61,-0.18568558,17546,55,-0.11102458,319.0181818181818,,0.015,-0.10712334,55,0.015,0.015,-37.879616,-0.33104298
0.0034825685,9.51378846168518,0.015,61,-0.18568558,18046,56,-0.11102458,322.25,,0.015,-0.10712334,56,0.015,0.015,-36.664692,-0.42540473
0.0034825685,9.598238945007324,0.015,61,-0.18568558,18202,57,-0.11102458,319.3333333333333,,0.015,-0.10712334,57,0.015,0.015,-37.326736,-0.38836807
0.0034825685,9.818838596343994,0.015,61,-0.18568558,18637,58,-0.11102458,321.32758620689657,,0.015,-0.10712334,58,0.015,0.015,-37.961155,-0.38286602
0.0034825685,10.07162356376648,0.015,61,-0.18568558,19137,59,-0.11102458,324.35593220338984,,0.015,-0.10712334,59,0.015,0.015,-37.92449,-0.41700876
0.0034825685,10.140694618225098,0.015,61,-0.18568558,19263,60,-0.11102458,321.05,,0.015,-0.10712334,60,0.015,0.015,-39.608955,-0.43667036
0.0034825685,10.418031692504883,0.015,61,-0.18568558,19763,61,-0.11102458,323.9836065573771,,0.015,-0.10712334,61,0.015,0.015,-38.056606,-0.3665899
0.0034825685,10.67343544960022,0.015,61,-0.18568558,20263,62,-0.11102458,326.8225806451613,,0.015,-0.10712334,62,0.015,0.015,-36.914486,-0.39899886
0.0034825685,10.744302034378052,0.015,61,-0.18568558,20393,63,-0.11102458,323.6984126984127,,0.015,-0.10712334,63,0.015,0.015,-38.019997,-0.38969445
0.0034825685,11.019293069839478,0.015,61,-0.18568558,20893,64,-0.11102458,326.453125,,0.015,-0.10712334,64,0.015,0.015,-37.40491,-0.35800028
0.0034825685,11.274091005325317,0.015,61,-0.18568558,21393,65,-0.11102458,329.12307692307695,,0.015,-0.10712334,65,0.015,0.015,-35.995102,-0.3919436
0.0034825685,11.389334440231323,0.015,61,-0.18568558,21612,66,-0.11102458,327.45454545454544,,0.015,-0.10712334,66,0.015,0.015,-36.801483,-0.41131783
0.0034825685,11.663902282714844,0.015,61,-0.18568558,22112,67,-0.11102458,330.02985074626866,,0.015,-0.10712334,67,0.015,0.015,-35.32784,-0.3721232
0.0034825685,11.919220685958862,0.015,61,-0.18568558,22612,68,-0.11102458,332.52941176470586,,0.015,-0.10712334,68,0.015,0.015,-34.742546,-0.39330775
0.0034825685,12.179353475570679,0.015,61,-0.18568558,23112,69,-0.11102458,334.95652173913044,,0.015,-0.10712334,69,0.015,0.015,-34.474575,-0.405344
0.0034825685,12.323538780212402,0.015,61,-0.18568558,23334,70,-0.11102458,333.34285714285716,,0.015,-0.10712334,70,0.015,0.015,-34.71785,-0.39581633
0.0034825685,12.378904342651367,0.015,61,-0.18568558,23433,71,-0.11102458,330.0422535211268,,0.015,-0.10712334,71,0.015,0.015,-35.754368,-0.38372123
0.0034825685,12.634556531906128,0.015,61,-0.18568558,23933,72,-0.11102458,332.40277777777777,,0.015,-0.10712334,72,0.015,0.015,-36.072308,-0.36217362
0.0034825685,12.890891075134277,0.015,61,-0.18568558,24433,73,-0.11102458,334.6986301369863,,0.015,-0.10712334,73,0.015,0.015,-36.73402,-0.43315148
0.0034825685,12.98686933517456,0.015,61,-0.18568558,24612,74,-0.11102458,332.5945945945946,,0.015,-0.10712334,74,0.015,0.015,-37.43738,-0.48124173
0.0034825685,13.147196531295776,0.015,61,-0.18568558,24918,75,-0.11102458,332.24,,0.015,-0.10712334,75,0.015,0.015,-37.47928,-0.34408912
0.0034825685,13.31403136253357,0.015,61,-0.18568558,25240,76,-0.11102458,332.10526315789474,,0.015,-0.10712334,76,0.015,0.015,-37.831703,-0.4080875
0.0034825685,13.468727111816406,0.015,61,-0.18568558,25534,77,-0.11102458,331.61038961038963,,0.015,-0.10712334,77,0.015,0.015,-37.991646,-0.45396486
0.0034825685,13.511782884597778,0.015,61,-0.18568558,25611,78,-0.11102458,328.34615384615387,,0.015,-0.10712334,78,0.015,0.015,-38.88043,-0.40215063
0.0034825685,13.567259073257446,0.015,61,-0.18568558,25713,79,-0.11102458,325.4810126582278,,0.015,-0.10712334,79,0.015,0.015,-39.56859,-0.41751257
0.0034825685,13.61815595626831,0.015,61,-0.18568558,25803,80,-0.11102458,322.5375,,0.015,-0.10712334,80,0.015,0.015,-40.401344,-0.38324198
0.0034825685,13.871623992919922,0.015,61,-0.18568558,26303,81,-0.11102458,324.7283950617284,,0.015,-0.10712334,81,0.015,0.015,-39.85936,-0.44352627
0.0034825685,13.917791604995728,0.015,61,-0.18568558,26386,82,-0.11102458,321.780487804878,,0.015,-0.10712334,82,0.015,0.015,-40.58425,-0.3981273
0.0034825685,14.173072576522827,0.015,61,-0.18568558,26886,83,-0.11102458,323.9277108433735,,0.015,-0.10712334,83,0.015,0.015,-39.84933,-0.42312145
0.0034825685,14.268757581710815,0.015,61,-0.18568558,27065,84,-0.11102458,322.20238095238096,,0.015,-0.10712334,84,0.015,0.015,-40.027298,-0.40811852
0.0034825685,14.524045705795288,0.015,61,-0.18568558,27565,85,-0.11102458,324.29411764705884,,0.015,-0.10712334,85,0.015,0.015,-38.979584,-0.42089278
0.0034825685,14.643922567367554,0.015,61,-0.18568558,27798,86,-0.11102458,323.2325581395349,,0.015,-0.10712334,86,0.015,0.015,-39.50319,-0.39740336
0.0034825685,14.902049779891968,0.015,61,-0.18568558,28298,87,-0.11102458,325.264367816092,,0.015,-0.10712334,87,0.015,0.015,-37.962486,-0.32193214
0.0034825685,15.158351182937622,0.015,61,-0.18568558,28798,88,-0.11102458,327.25,,0.015,-0.10712334,88,0.015,0.015,-37.93607,-0.39418617
0.0034825685,15.413403034210205,0.015,61,-0.18568558,29298,89,-0.11102458,329.19101123595505,,0.015,-0.10712334,89,0.015,0.015,-36.88436,-0.44897193
0.0034825685,15.669096231460571,0.015,61,-0.18568558,29798,90,-0.11102458,331.0888888888889,,0.015,-0.10712334,90,0.015,0.015,-35.74018,-0.43096745
0.0034825685,15.926913976669312,0.015,61,-0.18568558,30298,91,-0.11102458,332.94505494505495,,0.015,-0.10712334,91,0.015,0.015,-36.06096,-0.36504948
0.0034825685,16.19526720046997,0.015,61,-0.18568558,30798,92,-0.11102458,334.7608695652174,,0.015,-0.10712334,92,0.015,0.015,-36.059914,-0.39821315
0.0034825685,16.29684591293335,0.015,61,-0.18568558,30991,93,-0.11102458,333.23655913978496,,0.015,-0.10712334,93,0.015,0.015,-36.594585,-0.35606635
0.0034825685,16.558353185653687,0.015,61,-0.18568558,31491,94,-0.11102458,335.01063829787233,,0.015,-0.10712334,94,0.015,0.015,-36.73116,-0.46138918
0.0034825685,16.63390564918518,0.015,61,-0.18568558,31630,95,-0.11102458,332.94736842105266,,0.015,-0.10712334,95,0.015,0.015,-37.014534,-0.3281192
0.0034825685,16.88958191871643,0.015,61,-0.18568558,32130,96,-0.11102458,334.6875,,0.015,-0.10712334,96,0.015,0.015,-36.205276,-0.45712546
0.0034825685,16.990604400634766,0.015,61,-0.18568558,32321,97,-0.11102458,333.2061855670103,,0.015,-0.10712334,97,0.015,0.015,-36.517025,-0.39324126
0.0034825685,17.2483971118927,0.015,61,-0.18568558,32821,98,-0.11102458,334.90816326530614,,0.015,-0.10712334,98,0.015,0.015,-35.80208,-0.36520553
