MinEpLen,InvPendulum_mu2_higher,DenMISEMeanLog,IWMax,GridSize,IWLastEpisode,IWMin,IWMean,ReturnMean,Regret,Delta,ReturnMax,InvPendulum_mu3_higher,ReturnStepMax,InvPendulum_std0_higher,ActionIn1,DenMISELogLast,IWFirstEpisode,TimeElapsed,TimestepsSoFar,AvgEpLen,ReturnAbsMax,InvPendulum_std2_higher,InvPendulum_mu1_higher,ReturnLastEpisode,Iteration,DenMISELogFirst,Regret/t,BoundBonus,InvPendulum_std1_higher,InvPendulum_mu0_higher,NumTrainableParams,NumTrajectories,ReturnMin,BoundMISE,InvPendulum_std3_higher,Bound
11,,9.426089,,81,,,,-143.35124,7120.86,6.435543e-07,,-1.0,494.85684,0.01,-1.0099499,9.524931,,6.116526126861572,3126,65.125,494.85684,0.01,-1.0,-109.96522,48,6.8696485,148.35124,inf,0.01,1.0,,48,-494.85684,,0.01,inf
11,,9.400223,,81,,,,-142.53758,7229.342,6.175547e-07,,,494.85684,0.01,0.0033718839,9.148361,,6.277790307998657,3186,65.0204081632653,494.85684,0.01,-1.0,-103.4817,49,6.849029,147.53758,inf,0.01,1.0,,49,-494.85684,,0.01,inf
11,,9.401188,,81,,,,-142.38327,7369.1636,5.930996e-07,,1.0,494.85684,0.01,0.95742524,10.438413,,6.428346157073975,3229,64.58,494.85684,0.01,-1.0,-134.82187,50,6.8288264,147.38327,inf,0.01,1.0,,50,-494.85684,,0.01,inf
11,1.0,9.35194,,81,,,,-142.96385,7546.1562,5.700688e-07,,,494.85684,0.01,1.023338,7.8796806,,6.619354724884033,3303,64.76470588235294,494.85684,0.01,-1.0,-171.99286,51,6.809024,147.96385,inf,0.01,1.0,,51,-494.85684,,0.01,inf
11,-1.0,9.326979,,81,,,,-142.35071,7662.237,5.483539e-07,,-1.0,494.85684,0.01,-3.0169713,9.044287,,6.796818256378174,3321,63.86538461538461,494.85684,0.01,,-111.08082,52,6.7896056,147.35071,inf,0.01,-1.0,,52,-494.85684,,0.01,inf
11,-1.0,9.295986,,81,,,,-141.67906,7773.99,5.2785657e-07,,,494.85684,0.01,-1.9747597,8.674859,,6.967651128768921,3333,62.886792452830186,494.85684,0.01,,-106.75356,53,6.7705574,146.67906,inf,0.01,-1.0,,53,-494.85684,,0.01,inf
11,-1.0,9.262137,,81,,,,-141.04335,7886.3413,5.084873e-07,,1.0,494.85684,0.01,-1.0046108,8.458791,,7.153206825256348,3351,62.05555555555556,494.85684,0.01,,-107.35099,54,6.7518654,146.04335,inf,0.01,-1.0,,54,-494.85684,,0.01,inf
11,,9.26668,,81,,,,-140.44019,7999.2104,4.9016495e-07,,-1.0,494.85684,0.01,-1.9537947,10.502851,,7.3091959953308105,3367,61.21818181818182,494.85684,0.01,,-107.869156,55,6.733516,145.44019,inf,0.01,-1.0,,55,-494.85684,,0.01,inf
11,,9.212943,,81,,,,-139.82828,8110.3833,4.7281532e-07,,,494.85684,0.01,-1.0167025,7.248411,,7.468022108078003,3382,60.392857142857146,494.85684,0.01,,-106.17267,56,6.715498,144.82828,inf,0.01,-1.0,,56,-494.85684,,0.01,inf
11,,9.187969,,81,,,,-139.72481,8249.314,4.563709e-07,,1.0,494.85684,0.01,0.007988572,8.7806425,,7.8663270473480225,3882,68.10526315789474,494.85684,0.01,,-133.93097,57,6.6977983,144.72481,inf,0.01,-1.0,,57,-494.85684,,0.01,inf
11,1.0,9.152917,,81,,,,-139.8229,8399.729,4.4076967e-07,,-1.0,494.85684,0.01,-0.9883435,8.146312,,8.02974820137024,3936,67.86206896551724,494.85684,0.01,,-145.41473,58,6.6804066,144.8229,inf,0.01,-1.0,,58,-494.85684,,0.01,inf
11,1.0,9.131658,,81,,,,-139.22606,8509.338,4.259549e-07,,,494.85684,0.01,-0.011105232,8.890081,,8.170253992080688,3950,66.94915254237289,494.85684,0.01,,-104.60894,59,6.663312,144.22606,inf,0.01,-1.0,,59,-494.85684,,0.01,inf
11,1.0,9.0564,,81,,,,-138.81023,8628.613,4.1187477e-07,,1.0,494.85684,0.01,0.97578704,5.6078687,,8.312408924102783,3969,66.15,494.85684,0.01,,-114.274956,60,6.646505,143.81023,inf,0.01,-1.0,,60,-494.85684,,0.01,inf
11,-1.0,9.048516,,81,,,,-138.34073,8743.784,3.984813e-07,,-1.0,494.85684,0.01,-1.9774926,9.567166,,8.454631090164185,3985,65.32786885245902,494.85684,0.01,,-110.17122,61,6.629976,143.34073,inf,0.01,,,61,-494.85684,,0.01,inf
11,-1.0,9.047015,,81,,,,-137.9227,8861.207,3.8573074e-07,,,494.85684,0.01,-0.9990986,9.947391,,8.600650310516357,4004,64.58064516129032,494.85684,0.01,,-112.42274,62,6.613715,142.9227,inf,0.01,,,62,-494.85684,,0.01,inf
11,-1.0,9.030027,,81,,,,-137.45645,8974.757,3.735825e-07,,1.0,494.85684,0.01,0.007104337,8.968792,,8.743900299072266,4021,63.82539682539682,494.85684,0.01,,-108.54985,63,6.597715,142.45645,inf,0.01,,,63,-494.85684,,0.01,inf
11,,9.034235,,81,,,,-136.99196,9087.485,3.6199927e-07,,-1.0,494.85684,0.01,-0.9717663,10.291423,,8.887478828430176,4034,63.03125,494.85684,0.01,,-107.728294,64,6.5819664,141.99196,inf,0.01,,,64,-494.85684,,0.01,inf
11,,9.014123,,81,,,,-136.52324,9199.011,3.5094652e-07,,,494.85684,0.01,0.0056049037,8.719227,,9.0504629611969,4082,62.8,494.85684,0.01,,-106.525406,65,6.566462,141.52324,inf,0.01,,,65,-494.85684,,0.01,inf
11,,9.004051,,81,,,,-136.71996,9353.517,3.4039232e-07,,1.0,494.85684,0.01,0.9926887,9.341805,,9.222167253494263,4145,62.803030303030305,494.85684,0.01,,-149.50642,66,6.5511947,141.71996,inf,0.01,,,66,-494.85684,,0.01,inf
11,1.0,9.007913,,81,,,,-136.54448,9483.48,3.3030722e-07,,-1.0,494.85684,0.01,0.018818498,10.255267,,9.37593150138855,4172,62.26865671641791,494.85684,0.01,,-124.96399,67,6.5361567,141.54448,inf,0.01,,,67,-494.85684,,0.01,inf
11,1.0,8.967045,,81,,,,-136.08649,9593.881,3.206637e-07,,,494.85684,0.01,1.0046954,7.221524,,9.52208161354065,4187,61.5735294117647,494.85684,0.01,,-105.39972,68,6.521342,141.08649,inf,0.01,,,68,-494.85684,,0.01,inf
11,1.0,8.944446,,81,,,,-135.68651,9707.369,3.1143645e-07,,1.0,494.85684,0.01,1.9966712,8.400423,,9.667513847351074,4204,60.927536231884055,494.85684,0.01,,-108.48932,69,6.506743,140.68651,inf,0.01,,,69,-494.85684,,0.01,inf
11,-1.0,8.9305,,81,,,,-135.44919,9831.443,3.0260182e-07,,-1.0,494.85684,0.01,-0.996977,8.961091,,9.821175336837769,4232,60.457142857142856,494.85684,0.01,,-119.07302,70,6.4923544,140.44919,inf,0.01,1.0,,70,-494.85684,,0.01,inf
11,-1.0,8.912314,,81,,,,-135.00464,9940.329,2.9413786e-07,,,494.85684,0.01,0.011086464,8.632267,,9.972986459732056,4252,59.88732394366197,494.85684,0.01,,-103.88622,71,6.4781694,140.00464,inf,0.01,1.0,,71,-494.85684,,0.01,inf
11,-1.0,8.881663,,81,,,,-134.60468,10051.537,2.8602412e-07,,1.0,494.85684,0.01,1.0254515,7.698397,,10.118482828140259,4267,59.263888888888886,494.85684,0.01,,-106.20813,72,6.4641833,139.60468,inf,0.01,1.0,,72,-494.85684,,0.01,inf
11,,8.867883,,81,,,,-134.31148,10169.738,2.7824152e-07,,-1.0,494.85684,0.01,-0.021866977,8.868786,,10.270879745483398,4289,58.75342465753425,494.85684,0.01,,-113.20111,73,6.45039,139.31148,inf,0.01,1.0,,73,-494.85684,,0.01,inf
11,,8.851443,,81,,,,-133.98888,10285.177,2.707723e-07,,,494.85684,0.01,0.94607276,8.644589,,10.419742822647095,4305,58.17567567567568,494.85684,0.01,,-110.438705,74,6.4367843,138.98888,inf,0.01,1.0,,74,-494.85684,,0.01,inf
11,,8.802124,,81,,,,-133.71706,10403.779,2.6359982e-07,,1.0,494.85684,0.01,2.037508,6.145841,,10.571068286895752,4323,57.64,494.85684,0.01,,-113.60195,75,6.4233613,138.71706,inf,0.01,1.0,,75,-494.85684,,0.01,inf
11,1.0,8.763492,,81,,,,-133.47714,10524.263,2.5670863e-07,,-1.0,494.85684,0.01,0.9948423,6.8593683,,10.720928430557251,4343,57.14473684210526,494.85684,0.01,,-115.48389,76,6.410116,138.47714,inf,0.01,1.0,,76,-494.85684,,0.01,inf
11,1.0,8.760898,,81,,,,-133.10623,10634.18,2.5008418e-07,,,494.85684,0.01,1.9642574,9.55735,,10.876686811447144,4360,56.62337662337662,494.85684,0.01,,-104.91743,77,6.397044,138.10623,inf,0.01,1.0,,77,-494.85684,,0.01,inf
11,1.0,8.724375,,81,,,,-132.80753,10748.987,2.4371286e-07,,1.0,494.85684,0.01,2.9988003,6.9055753,,11.028982877731323,4375,56.08974358974359,494.85684,0.01,,-109.80707,78,6.3841405,137.80753,inf,0.01,1.0,,78,-494.85684,,0.01,inf
11,-1.0,8.700781,,81,,,,-132.54549,10866.094,2.3758197e-07,,,494.85684,0.01,-1.0114411,7.854143,,11.188958406448364,4394,55.620253164556964,494.85684,0.01,1.0,-112.10723,79,6.371402,137.54549,inf,0.01,-1.0,,79,-494.85684,,0.01,inf
11,,8.680877,,81,,,,-132.27356,10981.885,2.3167952e-07,,-1.0,494.85684,0.01,-0.988594,8.1022,,11.34347653388977,4413,55.1625,494.85684,0.01,1.0,-110.79023,80,6.358823,137.27356,inf,0.01,-1.0,,80,-494.85684,,0.01,inf
11,,8.681259,,81,,,,-131.94965,11092.921,2.2599437e-07,,,494.85684,0.01,-0.028783618,9.705605,,11.503770351409912,4428,54.666666666666664,494.85684,0.01,1.0,-106.035995,81,6.3464003,136.94965,inf,0.01,-1.0,,81,-494.85684,,0.01,inf
11,,8.660777,,81,,,,-131.62698,11203.412,2.2051593e-07,,1.0,494.85684,0.01,1.0014825,7.995655,,11.657078981399536,4439,54.13414634146341,494.85684,0.01,1.0,-105.490906,82,6.3341303,136.62698,inf,0.01,-1.0,,82,-494.85684,,0.01,inf
11,1.0,8.654025,,81,,,,-131.37369,11319.016,2.1523427e-07,,,494.85684,0.01,0.98481965,9.094254,,11.810857772827148,4455,53.674698795180724,494.85684,0.01,1.0,-110.60414,83,6.322009,136.37369,inf,0.01,-1.0,,83,-494.85684,,0.01,inf
11,-1.0,8.650185,,81,,,,-131.18289,11439.363,2.1014014e-07,,-1.0,494.85684,0.01,-1.0051785,9.32546,,11.969496726989746,4474,53.26190476190476,494.85684,0.01,1.0,-115.3467,84,6.310033,136.18289,inf,0.01,,,84,-494.85684,,0.01,inf
11,-1.0,8.638558,,81,,,,-130.92787,11553.869,2.052248e-07,,,494.85684,0.01,-0.013694538,8.656039,,12.124577760696411,4491,52.83529411764706,494.85684,0.01,1.0,-109.50603,85,6.298198,135.92787,inf,0.01,,,85,-494.85684,,0.01,inf
11,-1.0,8.628293,,81,,,,-130.6747,11668.023,2.0047987e-07,,1.0,494.85684,0.01,1.001965,8.749916,,12.277775287628174,4506,52.395348837209305,494.85684,0.01,1.0,-109.1545,86,6.2865024,135.6747,inf,0.01,,,86,-494.85684,,0.01,inf
11,,8.629969,,81,,,,-130.52397,11790.586,1.9589761e-07,,-1.0,494.85684,0.01,0.052279115,9.768265,,12.435840368270874,4535,52.12643678160919,494.85684,0.01,1.0,-117.5624,87,6.2749414,135.52397,inf,0.01,,,87,-494.85684,,0.01,inf
11,,8.596335,,81,,,,-130.28049,11904.683,1.9147068e-07,,,494.85684,0.01,1.0041097,6.6645737,,12.591722011566162,4549,51.69318181818182,494.85684,0.01,1.0,-109.09665,88,6.2635126,135.28049,inf,0.01,,,88,-494.85684,,0.01,inf
11,,8.537632,,81,,,,-129.99095,12014.195,1.8719217e-07,,1.0,494.85684,0.01,1.967586,4.3661,,12.74744439125061,4564,51.28089887640449,494.85684,0.01,1.0,-104.51332,89,6.252213,134.99095,inf,0.01,,,89,-494.85684,,0.01,inf
11,1.0,8.503401,,81,,,,-129.81213,12133.092,1.8305543e-07,,-1.0,494.85684,0.01,0.9795889,6.4512515,,12.90374493598938,4582,50.91111111111111,494.85684,0.01,1.0,-113.8967,90,6.2410398,134.81213,inf,0.01,,,90,-494.85684,,0.01,inf
11,1.0,8.483033,,81,,,,-129.6316,12251.476,1.7905434e-07,,,494.85684,0.01,2.0235343,7.644449,,13.061651945114136,4600,50.54945054945055,494.85684,0.01,1.0,-113.3836,91,6.22999,134.6316,inf,0.01,,,91,-494.85684,,0.01,inf
11,1.0,8.47074,,81,,,,-129.36198,12361.303,1.7518303e-07,,1.0,494.85684,0.01,3.001425,8.346572,,13.218113422393799,4613,50.141304347826086,494.85684,0.01,1.0,-104.82765,92,6.219061,134.36198,inf,0.01,,,92,-494.85684,,0.01,inf
11,-1.0,8.477618,,81,,,,-129.14073,12475.088,1.7143589e-07,,,494.85684,0.01,1.0295229,10.105014,,13.380980730056763,4632,49.806451612903224,494.85684,0.01,1.0,-108.78488,93,6.20825,134.14073,inf,0.01,1.0,,93,-494.85684,,0.01,inf
11,,8.464142,,81,,,,-128.96674,12592.873,1.6780771e-07,,-1.0,494.85684,0.01,0.9593079,8.2055235,,13.543914079666138,4653,49.5,494.85684,0.01,1.0,-112.7847,94,6.1975546,133.96674,inf,0.01,1.0,,94,-494.85684,,0.01,inf
