Iteration,TimestepsSoFar,MountainCar_std0_higher,NumTrainableParams,MountainCar_mu1_higher,TimeElapsed,AvgEpLen,ReturnMean,ActionIn1,MountainCar_mu0_higher,MinEpLen,NumTrajectories,MountainCar_std1_higher
138,30884,0.14999999,,20.0,9.49719524383545,223.79710144927537,92.58804,17.883295,-0.5,112,138,1.5
139,31069,0.14999999,,20.0,9.548880338668823,223.5179856115108,92.59184,20.687675,-0.5,112,139,1.5
140,31329,0.14999999,,20.0,9.62152361869812,223.77857142857144,92.616104,17.879448,-0.5,112,140,1.5
141,31620,0.14999999,,20.0,9.702824354171753,224.25531914893617,92.62248,21.74622,-0.5,112,141,1.5
142,31989,0.14999999,,20.0,9.805513858795166,225.27464788732394,92.57732,18.954067,-0.5,112,142,1.5
143,32283,0.14999999,,20.0,9.888537406921387,225.75524475524475,92.59928,17.104548,-0.5,112,143,1.5
144,32468,0.14999999,,20.0,9.941932439804077,225.47222222222223,92.62021,21.404741,-0.5,112,144,1.5
145,32582,0.14999999,,20.0,9.975726842880249,224.70344827586206,92.641685,21.21029,-0.5,112,145,1.5
146,32697,0.14999999,,20.0,10.01079797744751,223.95205479452054,92.6647,20.19671,-0.5,112,146,1.5
147,32968,0.14999999,,20.0,10.087155103683472,224.2721088435374,92.6343,20.15524,-0.5,112,147,1.5
148,33186,0.14999999,,20.0,10.149319171905518,224.22972972972974,92.64656,22.170414,-0.5,112,148,1.5
149,33402,0.14999999,,20.0,10.210631847381592,224.1744966442953,92.63014,15.867611,-0.5,112,149,1.5
150,33687,0.14999999,,20.0,10.290186405181885,224.58,92.6208,23.64994,-0.5,112,150,1.5
151,34010,0.14999999,,20.0,10.379734516143799,225.2317880794702,92.58878,23.381302,-0.5,112,151,1.5
152,34189,0.14999999,,20.0,10.430454015731812,224.92763157894737,92.57292,22.31525,-0.5,112,152,1.5
153,34373,0.14999999,,20.0,10.48348879814148,224.66013071895424,92.54874,19.910545,-0.5,112,153,1.5
154,34555,0.14999999,,20.0,10.535677909851074,224.38311688311688,92.54908,18.579533,-0.5,112,154,1.5
