InvPendulum_mu2_higher,TimeElapsed,NumTrajectories,InvPendulum_mu3_higher,Iteration,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,ReturnMean,NumTrainableParams,InvPendulum_std1_higher,InvPendulum_std0_higher,InvPendulum_std2_higher,InvPendulum_mu1_higher,TimestepsSoFar,MinEpLen,AvgEpLen
0.0034825685,19.31901502609253,74,-0.10712334,74,1.00000064e-10,-0.40035093,-0.18568558,70.97032,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,37000,500,500.0
0.0034825685,19.574529886245728,75,-0.10712334,75,1.00000064e-10,-0.40035093,-0.18568558,70.49427,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,37500,500,500.0
0.0034825685,19.83785653114319,76,-0.10712334,76,1.00000064e-10,-0.40035093,-0.18568558,70.37556,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,38000,500,500.0
0.0034825685,20.100611448287964,77,-0.10712334,77,1.00000064e-10,-0.40035093,-0.18568558,70.83676,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,38500,500,500.0
0.0034825685,20.357337474822998,78,-0.10712334,78,1.00000064e-10,-0.40035093,-0.18568558,70.57233,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,39000,500,500.0
0.0034825685,20.611454963684082,79,-0.10712334,79,1.00000064e-10,-0.40035093,-0.18568558,70.81906,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,39500,500,500.0
0.0034825685,20.866157293319702,80,-0.10712334,80,1.00000064e-10,-0.40035093,-0.18568558,70.904884,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,40000,500,500.0
0.0034825685,21.12062430381775,81,-0.10712334,81,1.00000064e-10,-0.40035093,-0.18568558,70.99196,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,40500,500,500.0
0.0034825685,21.38051962852478,82,-0.10712334,82,1.00000064e-10,-0.40035093,-0.18568558,71.03756,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,41000,500,500.0
0.0034825685,21.635764598846436,83,-0.10712334,83,1.00000064e-10,-0.40035093,-0.18568558,71.34853,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,41500,500,500.0
0.0034825685,21.892669916152954,84,-0.10712334,84,1.00000064e-10,-0.40035093,-0.18568558,71.841324,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,42000,500,500.0
0.0034825685,22.1501407623291,85,-0.10712334,85,1.00000064e-10,-0.40035093,-0.18568558,71.114235,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,42500,500,500.0
0.0034825685,22.409082412719727,86,-0.10712334,86,1.00000064e-10,-0.40035093,-0.18568558,70.772896,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,43000,500,500.0
0.0034825685,22.66920804977417,87,-0.10712334,87,1.00000064e-10,-0.40035093,-0.18568558,70.991486,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,43500,500,500.0
0.0034825685,22.926745414733887,88,-0.10712334,88,1.00000064e-10,-0.40035093,-0.18568558,70.994995,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,44000,500,500.0
0.0034825685,23.182612657546997,89,-0.10712334,89,1.00000064e-10,-0.40035093,-0.18568558,71.2928,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,44500,500,500.0
0.0034825685,23.440383672714233,90,-0.10712334,90,1.00000064e-10,-0.40035093,-0.18568558,71.00837,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,45000,500,500.0
0.0034825685,23.69492197036743,91,-0.10712334,91,1.00000064e-10,-0.40035093,-0.18568558,71.085304,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,45500,500,500.0
0.0034825685,23.951617002487183,92,-0.10712334,92,1.00000064e-10,-0.40035093,-0.18568558,71.34501,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,46000,500,500.0
0.0034825685,24.20591688156128,93,-0.10712334,93,1.00000064e-10,-0.40035093,-0.18568558,70.53653,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,46500,500,500.0
0.0034825685,24.464580297470093,94,-0.10712334,94,1.00000064e-10,-0.40035093,-0.18568558,70.71823,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,47000,500,500.0
0.0034825685,24.754428148269653,95,-0.10712334,95,1.00000064e-10,-0.40035093,-0.18568558,71.22174,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,47500,500,500.0
0.0034825685,25.02955412864685,96,-0.10712334,96,1.00000064e-10,-0.40035093,-0.18568558,71.50696,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,48000,500,500.0
0.0034825685,25.283714532852173,97,-0.10712334,97,1.00000064e-10,-0.40035093,-0.18568558,70.87135,,1.00000064e-10,1.00000064e-10,1.00000064e-10,-0.11102458,48500,500,500.0
