GridSize,TimestepsSoFar,Iteration,IWLastEpisode,IWMax,ReturnAbsMax,BoundMISE,TimeElapsed,ReturnMean,Bound,NumTrainableParams,ReturnMax,Regret/t,LQGsigma_higher,DenMISELogLast,ReturnMin,Delta,IWFirstEpisode,LQGmu1_higher,ReturnLastEpisode,DenMISELogFirst,LQGmu1_actor,IWMean,MinEpLen,BoundBonus,Regret,NumTrajectories,DenMISEMeanLog,AvgEpLen,IWMin,ReturnStepMax
20,560,28,1.2057924,1.4955622,18.19687,14.637633,7.442151308059692,14.013205,44.185757,,18.19687,-9.013205,1.0,-1.2199432,,3.8770854e-06,1.4240587,0.05263158,18.192736,-1.5668242,-0.25943974,1.0848558,20,29.548122,-252.36972,28,-1.5225675,20.0,,19.986885
20,580,29,1.0266582,1.8314216,18.196959,16.53091,7.7158613204956055,14.157472,43.88618,,18.196959,-9.157472,1.0,-1.2194623,,3.6143113e-06,0.3596202,-1.0,18.196959,-1.5523074,-1.2645158,0.9795523,20,27.35527,-265.56668,29,-1.5093791,20.0,,19.98702
20,600,30,1.5653228,1.7820343,18.196959,16.752695,7.957323789596558,14.291536,43.406155,,18.196959,-9.291536,1.0,-1.4020149,,3.377373e-06,0.36746413,-1.0,18.17941,-1.5738845,-0.6008814,0.99057746,20,26.65346,-278.7461,30,-1.5066168,20.0,,19.98702
20,620,31,0.36970568,3.696532,18.196959,8.347615,8.297528743743896,14.417447,43.42841,,18.196959,-9.417447,1.0,-1.205301,,3.162992e-06,1.9335332,1.0,18.194767,-1.5944998,3.345818,0.92923295,20,35.080795,-291.94086,31,-1.497331,20.0,,19.98702
20,640,32,0.004651172,1.7924131,18.196959,16.559526,8.560767889022827,14.009093,42.619514,,18.196959,-9.009093,1.0,-4.99137,,2.9683938e-06,0.36448506,-1.0,1.3501241,-1.5657444,0.9572488,0.9753773,20,26.059986,-288.291,32,-1.6090641,20.0,,19.98702
20,660,33,1.3977509,1.5118315,18.196959,14.275592,8.823415040969849,13.699969,41.9962,,18.196959,-8.699969,1.0,-1.6629691,,2.7912172e-06,1.4504547,0.05263158,3.8080008,-1.5851903,1.3148197,1.0679575,20,27.72061,-287.099,33,-1.6115549,20.0,,19.98702
20,680,34,2.542921,3.9488072,18.196959,8.134801,9.098464965820312,13.369792,41.273026,,18.196959,-8.369792,1.0,-1.9018077,,2.6294422e-06,1.890569,1.0,2.4739354,-1.5720286,2.145602,1.0845518,20,33.138226,-284.57294,34,-1.618221,20.0,,19.98702
20,700,35,0.04318313,1.83515,18.196959,15.342479,9.376688480377197,13.03547,40.698692,,18.196959,-8.03547,1.0,-2.724039,,2.481335e-06,0.3576816,-1.0,1.6685442,-1.5469021,-2.0232708,0.9142086,20,25.356213,-281.24146,35,-1.647894,20.0,,19.98702
20,720,36,1.7983125,1.7983125,18.196959,15.59641,9.64274263381958,13.131702,40.40423,,18.196959,-8.131702,1.0,-2.0293288,,2.3453977e-06,0.36417937,-1.0,16.499838,-1.5649054,-0.6162083,0.93190193,20,24.80782,-292.7413,36,-1.6609372,20.0,,19.98702
20,740,37,1.2550648,1.760332,18.196959,15.647816,9.914620161056519,13.268465,39.944225,,18.196959,-8.268465,1.0,-1.2197738,,2.2203328e-06,0.37054697,-1.0,18.191885,-1.582239,1.2186351,0.9336287,20,24.29641,-305.9332,37,-1.6509266,20.0,,19.98702
