InvPendulum_mu3_higher,InvPendulum_mu1_higher,NumTrainableParams,TimeElapsed,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,MinEpLen,InvPendulum_std3_higher,Iteration,ReturnMean,AvgEpLen,NumTrajectories,ActionIn1,InvPendulum_std0_higher,InvPendulum_mu0_higher,TimestepsSoFar
-0.10712334,-0.11102458,,2.944028854370117,0.14999999,0.0034825685,0.14999999,14,0.14999999,41,-157.18367,130.21951219512195,41,-0.403818,0.14999999,-0.18568558,5339
-0.10712334,-0.11102458,,2.9699575901031494,0.14999999,0.0034825685,0.14999999,14,0.14999999,42,-156.0684,128.16666666666666,42,-0.47175902,0.14999999,-0.18568558,5383
-0.10712334,-0.11102458,,3.0015835762023926,0.14999999,0.0034825685,0.14999999,14,0.14999999,43,-154.68336,126.44186046511628,43,-0.36817044,0.14999999,-0.18568558,5437
-0.10712334,-0.11102458,,3.0173087120056152,0.14999999,0.0034825685,0.14999999,14,0.14999999,44,-153.51903,124.11363636363636,44,-0.2186783,0.14999999,-0.18568558,5461
-0.10712334,-0.11102458,,3.029789447784424,0.14999999,0.0034825685,0.14999999,14,0.14999999,45,-152.45175,121.77777777777777,45,-0.41052106,0.14999999,-0.18568558,5480
-0.10712334,-0.11102458,,3.0899062156677246,0.14999999,0.0034825685,0.14999999,14,0.14999999,46,-152.01068,121.41304347826087,46,-0.21640012,0.14999999,-0.18568558,5585
-0.10712334,-0.11102458,,3.3579347133636475,0.14999999,0.0034825685,0.14999999,14,0.14999999,47,-158.24036,129.46808510638297,47,0.058851197,0.14999999,-0.18568558,6085
-0.10712334,-0.11102458,,3.371845006942749,0.14999999,0.0034825685,0.14999999,14,0.14999999,48,-157.35938,127.1875,48,-0.54959977,0.14999999,-0.18568558,6105
-0.10712334,-0.11102458,,3.38224196434021,0.14999999,0.0034825685,0.14999999,14,0.14999999,49,-156.31076,124.89795918367346,49,-0.34977332,0.14999999,-0.18568558,6120
-0.10712334,-0.11102458,,3.4151597023010254,0.14999999,0.0034825685,0.14999999,14,0.14999999,50,-155.63188,123.38,50,-1.0389713,0.14999999,-0.18568558,6169
-0.10712334,-0.11102458,,3.677097797393799,0.14999999,0.0034825685,0.14999999,14,0.14999999,51,-154.4409,130.76470588235293,51,-0.05028352,0.14999999,-0.18568558,6669
