Iteration,InvPendulum_std2_higher,InvPendulum_mu1_higher,NumTrajectories,NumTrainableParams,InvPendulum_mu2_higher,InvPendulum_mu0_higher,InvPendulum_std3_higher,TimestepsSoFar,MinEpLen,InvPendulum_mu3_higher,InvPendulum_std0_higher,ActionIn1,InvPendulum_std1_higher,TimeElapsed,AvgEpLen,ReturnMean
18,0.01,-0.11102458,18,,0.0034825685,-0.18568558,0.01,7136,68,-0.10712334,0.01,-0.39703745,0.01,4.698894500732422,396.44444444444446,-5.685706
19,0.01,-0.11102458,19,,0.0034825685,-0.18568558,0.01,7636,68,-0.10712334,0.01,-0.38520783,0.01,4.959153175354004,401.89473684210526,-2.4748447
20,0.01,-0.11102458,20,,0.0034825685,-0.18568558,0.01,8136,68,-0.10712334,0.01,-0.43284038,0.01,5.232649803161621,406.8,-1.0902313
21,0.01,-0.11102458,21,,0.0034825685,-0.18568558,0.01,8398,68,-0.10712334,0.01,-0.39069712,0.01,5.384742498397827,399.9047619047619,-6.5012555
22,0.01,-0.11102458,22,,0.0034825685,-0.18568558,0.01,8560,68,-0.10712334,0.01,-0.41183567,0.01,5.474270582199097,389.09090909090907,-10.604302
23,0.01,-0.11102458,23,,0.0034825685,-0.18568558,0.01,8752,68,-0.10712334,0.01,-0.41669634,0.01,5.588793754577637,380.5217391304348,-14.238762
24,0.01,-0.11102458,24,,0.0034825685,-0.18568558,0.01,8922,68,-0.10712334,0.01,-0.39181793,0.01,5.694046497344971,371.75,-16.536522
25,0.01,-0.11102458,25,,0.0034825685,-0.18568558,0.01,9227,68,-0.10712334,0.01,-0.42065895,0.01,5.858869552612305,369.08,-18.308525
26,0.01,-0.11102458,26,,0.0034825685,-0.18568558,0.01,9533,68,-0.10712334,0.01,-0.3976537,0.01,6.038377285003662,366.65384615384613,-18.922646
27,0.01,-0.11102458,27,,0.0034825685,-0.18568558,0.01,10033,68,-0.10712334,0.01,-0.41458938,0.01,6.304518461227417,371.5925925925926,-18.425362
28,0.01,-0.11102458,28,,0.0034825685,-0.18568558,0.01,10533,68,-0.10712334,0.01,-0.41684794,0.01,6.569620132446289,376.17857142857144,-14.246741
29,0.01,-0.11102458,29,,0.0034825685,-0.18568558,0.01,10644,68,-0.10712334,0.01,-0.36823636,0.01,6.63160514831543,367.0344827586207,-17.954348
30,0.01,-0.11102458,30,,0.0034825685,-0.18568558,0.01,11144,68,-0.10712334,0.01,-0.4131835,0.01,6.895905256271362,371.46666666666664,-16.158209
31,0.01,-0.11102458,31,,0.0034825685,-0.18568558,0.01,11644,68,-0.10712334,0.01,-0.41337472,0.01,7.173974275588989,375.61290322580646,-13.911152
32,0.01,-0.11102458,32,,0.0034825685,-0.18568558,0.01,11915,68,-0.10712334,0.01,-0.41467413,0.01,7.320727348327637,372.34375,-15.155642
33,0.01,-0.11102458,33,,0.0034825685,-0.18568558,0.01,12323,68,-0.10712334,0.01,-0.4107691,0.01,7.53372859954834,373.42424242424244,-16.804684
34,0.01,-0.11102458,34,,0.0034825685,-0.18568558,0.01,12823,68,-0.10712334,0.01,-0.39678982,0.01,7.798418283462524,377.1470588235294,-13.483131
35,0.01,-0.11102458,35,,0.0034825685,-0.18568558,0.01,13016,68,-0.10712334,0.01,-0.4130326,0.01,7.90268349647522,371.8857142857143,-16.584688
36,0.01,-0.11102458,36,,0.0034825685,-0.18568558,0.01,13133,68,-0.10712334,0.01,-0.40203184,0.01,7.969608545303345,364.80555555555554,-19.385935
37,0.01,-0.11102458,37,,0.0034825685,-0.18568558,0.01,13243,68,-0.10712334,0.01,-0.4440057,0.01,8.031062126159668,357.9189189189189,-21.282719
38,0.01,-0.11102458,38,,0.0034825685,-0.18568558,0.01,13670,68,-0.10712334,0.01,-0.42570263,0.01,8.252535820007324,359.7368421052632,-21.161009
39,0.01,-0.11102458,39,,0.0034825685,-0.18568558,0.01,13964,68,-0.10712334,0.01,-0.44838807,0.01,8.406872749328613,358.05128205128204,-22.250523
40,0.01,-0.11102458,40,,0.0034825685,-0.18568558,0.01,14142,68,-0.10712334,0.01,-0.4121851,0.01,8.50307297706604,353.55,-23.617727
41,0.01,-0.11102458,41,,0.0034825685,-0.18568558,0.01,14642,68,-0.10712334,0.01,-0.40058205,0.01,8.77078652381897,357.1219512195122,-22.093534
42,0.01,-0.11102458,42,,0.0034825685,-0.18568558,0.01,14988,68,-0.10712334,0.01,-0.4051115,0.01,8.954711675643921,356.85714285714283,-22.202219
43,0.01,-0.11102458,43,,0.0034825685,-0.18568558,0.01,15488,68,-0.10712334,0.01,-0.39820555,0.01,9.237781763076782,360.1860465116279,-19.511747
44,0.01,-0.11102458,44,,0.0034825685,-0.18568558,0.01,15647,68,-0.10712334,0.01,-0.3882394,0.01,9.325611352920532,355.6136363636364,-20.847378
45,0.01,-0.11102458,45,,0.0034825685,-0.18568558,0.01,15827,68,-0.10712334,0.01,-0.40102896,0.01,9.422569274902344,351.7111111111111,-22.618889
46,0.01,-0.11102458,46,,0.0034825685,-0.18568558,0.01,16327,68,-0.10712334,0.01,-0.3880875,0.01,9.682379484176636,354.9347826086956,-20.683867
47,0.01,-0.11102458,47,,0.0034825685,-0.18568558,0.01,16827,68,-0.10712334,0.01,-0.36973742,0.01,9.950149059295654,358.02127659574467,-20.006939
48,0.01,-0.11102458,48,,0.0034825685,-0.18568558,0.01,17327,68,-0.10712334,0.01,-0.41030082,0.01,10.216590881347656,360.9791666666667,-19.53633
49,0.01,-0.11102458,49,,0.0034825685,-0.18568558,0.01,17827,68,-0.10712334,0.01,-0.3969791,0.01,10.487263202667236,363.81632653061223,-16.64687
50,0.01,-0.11102458,50,,0.0034825685,-0.18568558,0.01,18327,68,-0.10712334,0.01,-0.4429256,0.01,10.754568338394165,366.54,-15.106885
51,0.01,-0.11102458,51,,0.0034825685,-0.18568558,0.01,18827,68,-0.10712334,0.01,-0.3770131,0.01,11.042098999023438,369.15686274509807,-13.282977
52,0.01,-0.11102458,52,,0.0034825685,-0.18568558,0.01,19034,68,-0.10712334,0.01,-0.41732222,0.01,11.236543416976929,366.03846153846155,-14.593499
53,0.01,-0.11102458,53,,0.0034825685,-0.18568558,0.01,19236,68,-0.10712334,0.01,-0.37511072,0.01,11.346640825271606,362.9433962264151,-15.903104
54,0.01,-0.11102458,54,,0.0034825685,-0.18568558,0.01,19736,68,-0.10712334,0.01,-0.40496162,0.01,11.613615989685059,365.48148148148147,-15.004559
55,0.01,-0.11102458,55,,0.0034825685,-0.18568558,0.01,20236,68,-0.10712334,0.01,-0.35414562,0.01,11.89555835723877,367.92727272727274,-13.385679
56,0.01,-0.11102458,56,,0.0034825685,-0.18568558,0.01,20736,68,-0.10712334,0.01,-0.41705346,0.01,12.172278881072998,370.2857142857143,-12.016728
57,0.01,-0.11102458,57,,0.0034825685,-0.18568558,0.01,20907,68,-0.10712334,0.01,-0.39236236,0.01,12.266412019729614,366.7894736842105,-13.00491
58,0.01,-0.11102458,58,,0.0034825685,-0.18568558,0.01,21407,68,-0.10712334,0.01,-0.38869435,0.01,12.549747228622437,369.08620689655174,-11.735743
59,0.01,-0.11102458,59,,0.0034825685,-0.18568558,0.01,21825,68,-0.10712334,0.01,-0.41145617,0.01,12.773396968841553,369.91525423728814,-12.330815
60,0.01,-0.11102458,60,,0.0034825685,-0.18568558,0.01,21912,68,-0.10712334,0.01,-0.42456385,0.01,12.823819160461426,365.2,-13.638953
61,0.01,-0.11102458,61,,0.0034825685,-0.18568558,0.01,22412,68,-0.10712334,0.01,-0.37784356,0.01,13.084881067276001,367.40983606557376,-12.963129
62,0.01,-0.11102458,62,,0.0034825685,-0.18568558,0.01,22912,68,-0.10712334,0.01,-0.39944956,0.01,13.355180978775024,369.5483870967742,-12.271702
63,0.01,-0.11102458,63,,0.0034825685,-0.18568558,0.01,23079,68,-0.10712334,0.01,-0.39324662,0.01,13.447500228881836,366.3333333333333,-13.685409
64,0.01,-0.11102458,64,,0.0034825685,-0.18568558,0.01,23579,68,-0.10712334,0.01,-0.37211716,0.01,13.73293948173523,368.421875,-12.382568
65,0.01,-0.11102458,65,,0.0034825685,-0.18568558,0.01,24079,68,-0.10712334,0.01,-0.394746,0.01,14.056910991668701,370.44615384615383,-11.983814
66,0.01,-0.11102458,66,,0.0034825685,-0.18568558,0.01,24557,68,-0.10712334,0.01,-0.40766218,0.01,14.409414291381836,372.07575757575756,-12.19588
67,0.01,-0.11102458,67,,0.0034825685,-0.18568558,0.01,25057,68,-0.10712334,0.01,-0.3815325,0.01,14.728750705718994,373.9850746268657,-11.201172
68,0.01,-0.11102458,68,,0.0034825685,-0.18568558,0.01,25557,68,-0.10712334,0.01,-0.39565548,0.01,15.017361640930176,375.8382352941176,-10.885719
69,0.01,-0.11102458,69,,0.0034825685,-0.18568558,0.01,26057,68,-0.10712334,0.01,-0.40367967,0.01,15.315654993057251,377.6376811594203,-10.339212
70,0.01,-0.11102458,70,,0.0034825685,-0.18568558,0.01,26381,68,-0.10712334,0.01,-0.39732784,0.01,15.487733364105225,376.87142857142857,-10.732445
71,0.01,-0.11102458,71,,0.0034825685,-0.18568558,0.01,26478,68,-0.10712334,0.01,-0.38926446,0.01,15.542760372161865,372.92957746478874,-11.926598
72,0.01,-0.11102458,72,,0.0034825685,-0.18568558,0.01,26978,68,-0.10712334,0.01,-0.3748994,0.01,15.809555768966675,374.69444444444446,-12.062349
73,0.01,-0.11102458,73,,0.0034825685,-0.18568558,0.01,27478,68,-0.10712334,0.01,-0.4222179,0.01,16.074620485305786,376.4109589041096,-11.874224
74,0.01,-0.11102458,74,,0.0034825685,-0.18568558,0.01,27854,68,-0.10712334,0.01,-0.45427808,0.01,16.2716281414032,376.4054054054054,-11.867981
75,0.01,-0.11102458,75,,0.0034825685,-0.18568558,0.01,28354,68,-0.10712334,0.01,-0.36284304,0.01,16.559776306152344,378.05333333333334,-10.056473
76,0.01,-0.11102458,76,,0.0034825685,-0.18568558,0.01,28854,68,-0.10712334,0.01,-0.40550864,0.01,16.82089376449585,379.6578947368421,-8.251282
77,0.01,-0.11102458,77,,0.0034825685,-0.18568558,0.01,29243,68,-0.10712334,0.01,-0.43609357,0.01,17.042128324508667,379.7792207792208,-9.127139
78,0.01,-0.11102458,78,,0.0034825685,-0.18568558,0.01,29377,68,-0.10712334,0.01,-0.40155074,0.01,17.145517587661743,376.62820512820514,-9.93219
79,0.01,-0.11102458,79,,0.0034825685,-0.18568558,0.01,29480,68,-0.10712334,0.01,-0.41179204,0.01,17.204681396484375,373.1645569620253,-10.998859
80,0.01,-0.11102458,80,,0.0034825685,-0.18568558,0.01,29614,68,-0.10712334,0.01,-0.38894495,0.01,17.279154300689697,370.175,-11.935797
81,0.01,-0.11102458,81,,0.0034825685,-0.18568558,0.01,30114,68,-0.10712334,0.01,-0.4291345,0.01,17.542054891586304,371.77777777777777,-11.590555
82,0.01,-0.11102458,82,,0.0034825685,-0.18568558,0.01,30296,68,-0.10712334,0.01,-0.3988685,0.01,17.643776655197144,369.4634146341463,-12.935939
83,0.01,-0.11102458,83,,0.0034825685,-0.18568558,0.01,30796,68,-0.10712334,0.01,-0.4155313,0.01,17.93566608428955,371.03614457831327,-12.343406
84,0.01,-0.11102458,84,,0.0034825685,-0.18568558,0.01,30894,68,-0.10712334,0.01,-0.40552932,0.01,17.996176719665527,367.7857142857143,-13.3706255
85,0.01,-0.11102458,85,,0.0034825685,-0.18568558,0.01,31394,68,-0.10712334,0.01,-0.41404548,0.01,18.301900148391724,369.3411764705882,-12.6495285
86,0.01,-0.11102458,86,,0.0034825685,-0.18568558,0.01,31707,68,-0.10712334,0.01,-0.39838588,0.01,18.493409633636475,368.6860465116279,-13.306942
87,0.01,-0.11102458,87,,0.0034825685,-0.18568558,0.01,32207,68,-0.10712334,0.01,-0.3480717,0.01,18.762857913970947,370.1954022988506,-12.285803
88,0.01,-0.11102458,88,,0.0034825685,-0.18568558,0.01,32707,68,-0.10712334,0.01,-0.3962411,0.01,19.062242031097412,371.67045454545456,-12.050797
89,0.01,-0.11102458,89,,0.0034825685,-0.18568558,0.01,33207,68,-0.10712334,0.01,-0.43276492,0.01,19.366509675979614,373.1123595505618,-11.382524
90,0.01,-0.11102458,90,,0.0034825685,-0.18568558,0.01,33707,68,-0.10712334,0.01,-0.42076194,0.01,19.654290676116943,374.52222222222224,-10.661856
91,0.01,-0.11102458,91,,0.0034825685,-0.18568558,0.01,34207,68,-0.10712334,0.01,-0.37681663,0.01,19.916284561157227,375.9010989010989,-10.544923
92,0.01,-0.11102458,92,,0.0034825685,-0.18568558,0.01,34707,68,-0.10712334,0.01,-0.39892575,0.01,20.18841052055359,377.25,-10.956555
93,0.01,-0.11102458,93,,0.0034825685,-0.18568558,0.01,35207,68,-0.10712334,0.01,-0.37082788,0.01,20.45200276374817,378.5698924731183,-10.224178
94,0.01,-0.11102458,94,,0.0034825685,-0.18568558,0.01,35707,68,-0.10712334,0.01,-0.4410431,0.01,20.708799362182617,379.86170212765956,-9.922601
95,0.01,-0.11102458,95,,0.0034825685,-0.18568558,0.01,35873,68,-0.10712334,0.01,-0.35219643,0.01,20.79772710800171,377.61052631578946,-10.656759
96,0.01,-0.11102458,96,,0.0034825685,-0.18568558,0.01,36373,68,-0.10712334,0.01,-0.43820062,0.01,21.090768098831177,378.8854166666667,-10.042977
97,0.01,-0.11102458,97,,0.0034825685,-0.18568558,0.01,36625,68,-0.10712334,0.01,-0.39561114,0.01,21.237839460372925,377.5773195876289,-10.532053
98,0.01,-0.11102458,98,,0.0034825685,-0.18568558,0.01,37125,68,-0.10712334,0.01,-0.37692067,0.01,21.512327432632446,378.8265306122449,-9.726095
99,0.01,-0.11102458,99,,0.0034825685,-0.18568558,0.01,37625,68,-0.10712334,0.01,-0.33036566,0.01,21.789358854293823,380.050505050505,-8.627955
100,0.01,-0.11102458,100,,0.0034825685,-0.18568558,0.01,38125,68,-0.10712334,0.01,-0.3670733,0.01,22.049270391464233,381.25,-8.5213995
101,0.01,-0.11102458,101,,0.0034825685,-0.18568558,0.01,38625,68,-0.10712334,0.01,-0.3656087,0.01,22.32568335533142,382.4257425742574,-7.9081874
102,0.01,-0.11102458,102,,0.0034825685,-0.18568558,0.01,38844,68,-0.10712334,0.01,-0.41187733,0.01,22.44272518157959,380.8235294117647,-8.456158
103,0.01,-0.11102458,103,,0.0034825685,-0.18568558,0.01,39344,68,-0.10712334,0.01,-0.40137854,0.01,22.70232582092285,381.9805825242718,-7.200458
104,0.01,-0.11102458,104,,0.0034825685,-0.18568558,0.01,39844,68,-0.10712334,0.01,-0.42199343,0.01,23.016905546188354,383.11538461538464,-6.345027
105,0.01,-0.11102458,105,,0.0034825685,-0.18568558,0.01,40344,68,-0.10712334,0.01,-0.4600032,0.01,23.292418479919434,384.22857142857146,-5.747479
106,0.01,-0.11102458,106,,0.0034825685,-0.18568558,0.01,40535,68,-0.10712334,0.01,-0.4662029,0.01,23.396480321884155,382.4056603773585,-6.5376883
107,0.01,-0.11102458,107,,0.0034825685,-0.18568558,0.01,40682,68,-0.10712334,0.01,-0.39133292,0.01,23.4769024848938,380.2056074766355,-7.271752
108,0.01,-0.11102458,108,,0.0034825685,-0.18568558,0.01,41182,68,-0.10712334,0.01,-0.42067075,0.01,23.770538330078125,381.31481481481484,-6.491051
109,0.01,-0.11102458,109,,0.0034825685,-0.18568558,0.01,41325,68,-0.10712334,0.01,-0.38781923,0.01,23.860023021697998,379.1284403669725,-7.5278196
110,0.01,-0.11102458,110,,0.0034825685,-0.18568558,0.01,41642,68,-0.10712334,0.01,-0.41599694,0.01,24.036572456359863,378.56363636363636,-8.498865
111,0.01,-0.11102458,111,,0.0034825685,-0.18568558,0.01,42142,68,-0.10712334,0.01,-0.39992225,0.01,24.328918933868408,379.65765765765764,-8.257575
112,0.01,-0.11102458,112,,0.0034825685,-0.18568558,0.01,42322,68,-0.10712334,0.01,-0.38395822,0.01,24.42712640762329,377.875,-9.100956
113,0.01,-0.11102458,113,,0.0034825685,-0.18568558,0.01,42822,68,-0.10712334,0.01,-0.4271154,0.01,24.718549013137817,378.95575221238937,-9.243233
114,0.01,-0.11102458,114,,0.0034825685,-0.18568558,0.01,43322,68,-0.10712334,0.01,-0.4002277,0.01,25.05834150314331,380.0175438596491,-9.405164
115,0.01,-0.11102458,115,,0.0034825685,-0.18568558,0.01,43822,68,-0.10712334,0.01,-0.4316357,0.01,25.38900351524353,381.0608695652174,-8.80187
116,0.01,-0.11102458,116,,0.0034825685,-0.18568558,0.01,43977,68,-0.10712334,0.01,-0.39288902,0.01,25.484474420547485,379.11206896551727,-9.42139
117,0.01,-0.11102458,117,,0.0034825685,-0.18568558,0.01,44477,68,-0.10712334,0.01,-0.44759,0.01,25.75921368598938,380.14529914529913,-9.659589
118,0.01,-0.11102458,118,,0.0034825685,-0.18568558,0.01,44817,68,-0.10712334,0.01,-0.39107117,0.01,25.9943585395813,379.8050847457627,-10.157166
119,0.01,-0.11102458,119,,0.0034825685,-0.18568558,0.01,45092,68,-0.10712334,0.01,-0.40966183,0.01,26.140061616897583,378.92436974789916,-10.329111
120,0.01,-0.11102458,120,,0.0034825685,-0.18568558,0.01,45266,68,-0.10712334,0.01,-0.41209805,0.01,26.23424196243286,377.21666666666664,-11.064887
121,0.01,-0.11102458,121,,0.0034825685,-0.18568558,0.01,45491,68,-0.10712334,0.01,-0.42321146,0.01,26.376447200775146,375.9586776859504,-11.53389
122,0.01,-0.11102458,122,,0.0034825685,-0.18568558,0.01,45608,68,-0.10712334,0.01,-0.416462,0.01,26.449493885040283,373.8360655737705,-12.345791
123,0.01,-0.11102458,123,,0.0034825685,-0.18568558,0.01,46108,68,-0.10712334,0.01,-0.39979202,0.01,26.716131448745728,374.8617886178862,-12.191033
124,0.01,-0.11102458,124,,0.0034825685,-0.18568558,0.01,46261,68,-0.10712334,0.01,-0.3874828,0.01,26.798582792282104,373.0725806451613,-12.777874
125,0.01,-0.11102458,125,,0.0034825685,-0.18568558,0.01,46761,68,-0.10712334,0.01,-0.42551985,0.01,27.066968202590942,374.088,-12.474365
126,0.01,-0.11102458,126,,0.0034825685,-0.18568558,0.01,47078,68,-0.10712334,0.01,-0.40835747,0.01,27.242193698883057,373.63492063492066,-12.857852
127,0.01,-0.11102458,127,,0.0034825685,-0.18568558,0.01,47227,68,-0.10712334,0.01,-0.38446543,0.01,27.33482336997986,371.86614173228344,-13.50442
128,0.01,-0.11102458,128,,0.0034825685,-0.18568558,0.01,47727,68,-0.10712334,0.01,-0.41516253,0.01,27.631771564483643,372.8671875,-13.301278
129,0.01,-0.11102458,129,,0.0034825685,-0.18568558,0.01,48227,68,-0.10712334,0.01,-0.40457878,0.01,27.929167985916138,373.85271317829455,-12.575893
130,0.01,-0.11102458,130,,0.0034825685,-0.18568558,0.01,48727,68,-0.10712334,0.01,-0.35481775,0.01,28.217752695083618,374.82307692307694,-12.221308
131,0.01,-0.11102458,131,,0.0034825685,-0.18568558,0.01,49179,68,-0.10712334,0.01,-0.44994006,0.01,28.49709963798523,375.412213740458,-12.111302
132,0.01,-0.11102458,132,,0.0034825685,-0.18568558,0.01,49350,68,-0.10712334,0.01,-0.3782437,0.01,28.65023446083069,373.8636363636364,-12.59225
133,0.01,-0.11102458,133,,0.0034825685,-0.18568558,0.01,49850,68,-0.10712334,0.01,-0.3827568,0.01,28.95094895362854,374.812030075188,-12.080229
134,0.01,-0.11102458,134,,0.0034825685,-0.18568558,0.01,50350,68,-0.10712334,0.01,-0.3739672,0.01,29.348477363586426,375.74626865671644,-11.568336
135,0.01,-0.11102458,135,,0.0034825685,-0.18568558,0.01,50641,68,-0.10712334,0.01,-0.39942664,0.01,29.536800861358643,375.1185185185185,-11.998816
136,0.01,-0.11102458,136,,0.0034825685,-0.18568558,0.01,51141,68,-0.10712334,0.01,-0.39019248,0.01,29.828595638275146,376.0367647058824,-11.033893
137,0.01,-0.11102458,137,,0.0034825685,-0.18568558,0.01,51252,68,-0.10712334,0.01,-0.39836392,0.01,29.892297744750977,374.1021897810219,-11.888656
138,0.01,-0.11102458,138,,0.0034825685,-0.18568558,0.01,51752,68,-0.10712334,0.01,-0.395621,0.01,30.15315866470337,375.0144927536232,-11.425264
139,0.01,-0.11102458,139,,0.0034825685,-0.18568558,0.01,52063,68,-0.10712334,0.01,-0.40361655,0.01,30.317330360412598,374.55395683453236,-11.731595
140,0.01,-0.11102458,140,,0.0034825685,-0.18568558,0.01,52563,68,-0.10712334,0.01,-0.4021292,0.01,30.58461880683899,375.45,-11.5213175
141,0.01,-0.11102458,141,,0.0034825685,-0.18568558,0.01,53063,68,-0.10712334,0.01,-0.4458653,0.01,30.872957229614258,376.3333333333333,-11.166957
142,0.01,-0.11102458,142,,0.0034825685,-0.18568558,0.01,53165,68,-0.10712334,0.01,-0.38874543,0.01,30.931164741516113,374.40140845070425,-11.776464
143,0.01,-0.11102458,143,,0.0034825685,-0.18568558,0.01,53259,68,-0.10712334,0.01,-0.36836842,0.01,30.983513116836548,372.44055944055947,-12.304905
144,0.01,-0.11102458,144,,0.0034825685,-0.18568558,0.01,53375,68,-0.10712334,0.01,-0.3991965,0.01,31.046797513961792,370.65972222222223,-12.935256
145,0.01,-0.11102458,145,,0.0034825685,-0.18568558,0.01,53875,68,-0.10712334,0.01,-0.4064686,0.01,31.30303978919983,371.55172413793105,-12.976006
146,0.01,-0.11102458,146,,0.0034825685,-0.18568558,0.01,54074,68,-0.10712334,0.01,-0.404112,0.01,31.409703969955444,370.36986301369865,-13.349912
147,0.01,-0.11102458,147,,0.0034825685,-0.18568558,0.01,54574,68,-0.10712334,0.01,-0.40953866,0.01,31.68380832672119,371.2517006802721,-12.809694
148,0.01,-0.11102458,148,,0.0034825685,-0.18568558,0.01,55074,68,-0.10712334,0.01,-0.4275772,0.01,31.969794750213623,372.1216216216216,-12.886626
149,0.01,-0.11102458,149,,0.0034825685,-0.18568558,0.01,55284,68,-0.10712334,0.01,-0.40670973,0.01,32.09670948982239,371.03355704697987,-13.435911
150,0.01,-0.11102458,150,,0.0034825685,-0.18568558,0.01,55784,68,-0.10712334,0.01,-0.38156927,0.01,32.37654685974121,371.8933333333333,-13.71968
151,0.01,-0.11102458,151,,0.0034825685,-0.18568558,0.01,56067,68,-0.10712334,0.01,-0.4039092,0.01,32.5418975353241,371.3046357615894,-14.069475
152,0.01,-0.11102458,152,,0.0034825685,-0.18568558,0.01,56362,68,-0.10712334,0.01,-0.39790124,0.01,32.70086097717285,370.80263157894734,-14.412109
153,0.01,-0.11102458,153,,0.0034825685,-0.18568558,0.01,56694,68,-0.10712334,0.01,-0.39851415,0.01,32.89871597290039,370.54901960784315,-14.597401
154,0.01,-0.11102458,154,,0.0034825685,-0.18568558,0.01,56787,68,-0.10712334,0.01,-0.37830442,0.01,32.95135807991028,368.74675324675326,-15.083824
155,0.01,-0.11102458,155,,0.0034825685,-0.18568558,0.01,57082,68,-0.10712334,0.01,-0.39625338,0.01,33.11978268623352,368.27096774193546,-15.466332
156,0.01,-0.11102458,156,,0.0034825685,-0.18568558,0.01,57582,68,-0.10712334,0.01,-0.4039989,0.01,33.40052533149719,369.11538461538464,-14.885867
157,0.01,-0.11102458,157,,0.0034825685,-0.18568558,0.01,57754,68,-0.10712334,0.01,-0.41145027,0.01,33.50518989562988,367.859872611465,-15.441236
158,0.01,-0.11102458,158,,0.0034825685,-0.18568558,0.01,57880,68,-0.10712334,0.01,-0.40752584,0.01,33.58705258369446,366.32911392405066,-15.835566
159,0.01,-0.11102458,159,,0.0034825685,-0.18568558,0.01,58380,68,-0.10712334,0.01,-0.41297382,0.01,33.87091517448425,367.1698113207547,-15.500277
160,0.01,-0.11102458,160,,0.0034825685,-0.18568558,0.01,58880,68,-0.10712334,0.01,-0.41815475,0.01,34.167153120040894,368.0,-14.905661
161,0.01,-0.11102458,161,,0.0034825685,-0.18568558,0.01,59380,68,-0.10712334,0.01,-0.41553968,0.01,34.45499062538147,368.8198757763975,-14.745334
162,0.01,-0.11102458,162,,0.0034825685,-0.18568558,0.01,59467,68,-0.10712334,0.01,-0.3961923,0.01,34.50483512878418,367.08024691358025,-15.230969
163,0.01,-0.11102458,163,,0.0034825685,-0.18568558,0.01,59662,68,-0.10712334,0.01,-0.41974527,0.01,34.61730480194092,366.02453987730064,-15.688723
164,0.01,-0.11102458,164,,0.0034825685,-0.18568558,0.01,59881,68,-0.10712334,0.01,-0.37583464,0.01,34.74717140197754,365.1280487804878,-15.97215
165,0.01,-0.11102458,165,,0.0034825685,-0.18568558,0.01,60381,68,-0.10712334,0.01,-0.38620946,0.01,35.04324412345886,365.94545454545454,-15.47085
