NumTrainableParams,Iteration,ReturnMean,TimeElapsed,MinEpLen,AvgEpLen,NumTrajectories,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor
,166,0.002333231,1.7454030513763428,20,20.0,166,3320,1.0,0.14999999,0.8668617
,167,0.002353383,1.7546920776367188,20,20.0,167,3340,1.0,0.14999999,1.0129069
,168,0.0023393747,1.763732671737671,20,20.0,168,3360,1.0,0.14999999,1.0780903
,169,0.0023255323,1.7714965343475342,20,20.0,169,3380,1.0,0.14999999,0.9184232
,170,0.0023329593,1.7794370651245117,20,20.0,170,3400,1.0,0.14999999,0.83436495
,171,0.0023600538,1.791349172592163,20,20.0,171,3420,1.0,0.14999999,1.1168206
,172,0.0023463327,1.8025033473968506,20,20.0,172,3440,1.0,0.14999999,0.8031505
,173,0.0023798107,1.8148531913757324,20,20.0,173,3460,1.0,0.14999999,1.2172649
,174,0.0023661337,1.8234002590179443,20,20.0,174,3480,1.0,0.14999999,0.94123745
,175,0.0023675577,1.8316717147827148,20,20.0,175,3500,1.0,0.14999999,1.1306663
,176,0.0023541057,1.843113899230957,20,20.0,176,3520,1.0,0.14999999,1.1504915
,177,0.0023408057,1.8547027111053467,20,20.0,177,3540,1.0,0.14999999,0.77115405
,178,0.0023798626,1.8621063232421875,20,20.0,178,3560,1.0,0.14999999,1.0869536
,179,0.0023665673,1.8696911334991455,20,20.0,179,3580,1.0,0.14999999,1.0568751
,180,0.0023534198,1.881005048751831,20,20.0,180,3600,1.0,0.14999999,1.1664836
,181,0.0023404174,1.8889744281768799,20,20.0,181,3620,1.0,0.14999999,0.85816485
,182,0.0023607588,1.8965568542480469,20,20.0,182,3640,1.0,0.14999999,1.2809494
,183,0.0023478586,1.9085454940795898,20,20.0,183,3660,1.0,0.14999999,0.8961787
,184,0.0023596287,1.9203896522521973,20,20.0,184,3680,1.0,0.14999999,1.0916872
,185,0.002346874,1.9284493923187256,20,20.0,185,3700,1.0,0.14999999,0.99667174
,186,0.0023350755,1.9381840229034424,20,20.0,186,3720,1.0,0.14999999,1.1146792
,187,0.0023225883,1.9493017196655273,20,20.0,187,3740,1.0,0.14999999,1.039895
