Bound,IWLastEpisode,DenMISELogLast,InvPendulum_std0_higher,NumTrajectories,Iteration,ReturnMin,ReturnStepMax,MinEpLen,InvPendulum_std3_higher,TimestepsSoFar,ReturnMean,DenMISELogFirst,InvPendulum_mu0_higher,ActionIn1,AvgEpLen,ReturnAbsMax,BoundMISE,NumTrainableParams,IWMean,ReturnLastEpisode,InvPendulum_mu3_higher,IWMax,BoundBonus,IWMin,ReturnMax,InvPendulum_std1_higher,IWFirstEpisode,InvPendulum_mu2_higher,GridSize,Delta,InvPendulum_std2_higher,Regret/t,TimeElapsed,InvPendulum_mu1_higher,Regret,DenMISEMeanLog
643.38586,,11.218351,0.01,23,23,-124.615524,124.615524,11,0.01,512,-109.61526,7.6053553,1.0,-0.016345501,22.26086956521739,124.615524,-85.785706,,1.0,-104.862686,-1.0,23.0,729.1716,,,0.01,,-1.0,16,1.3520007e-05,0.01,114.61526,1.2374498844146729,1.0,2636.151,9.913804
645.6958,,11.5513735,0.01,24,24,-124.615524,124.615524,11,0.01,527,-109.411964,7.5627956,1.0,4.008533,21.958333333333332,124.615524,-86.23862,,1.0,-104.736244,1.0,24.0,731.9344,,,0.01,,1.0,16,1.2416813e-05,0.01,114.411964,1.2868101596832275,1.0,2745.8872,9.970131
648.2438,,11.58894,0.01,25,25,-124.615524,124.615524,11,0.01,547,-109.64191,7.5219736,1.0,1.979692,21.88,124.615524,-86.33084,,1.0000001,-115.16031,1.0,25.000002,734.5746,,,0.01,,-1.0,16,1.1443334e-05,0.01,114.64191,1.3403007984161377,1.0,2866.0476,10.023419
650.67566,,9.536217,0.01,26,26,-124.615524,124.615524,11,0.01,563,-109.70113,7.482753,-1.0,-1.9973028,21.653846153846153,124.615524,-86.426674,,1.0000001,-111.1818,-1.0,26.000004,737.10236,,,0.01,,-1.0,16,1.0580005e-05,0.01,114.70113,1.3955655097961426,1.0,2982.2295,9.9936285
651.0205,,9.671013,0.01,27,27,-124.615524,124.615524,11,0.01,585,-109.70376,7.4450126,-1.0,-4.0142384,21.666666666666668,124.615524,-88.50605,,0.9999996,-109.77209,-1.0,26.999989,739.52655,,,0.01,,-1.0,16,9.810813e-06,0.01,114.70376,1.4682960510253906,-1.0,3097.0015,9.971009
651.72217,,11.545113,0.01,28,28,-124.615524,124.615524,11,0.01,630,-109.63733,7.408645,-1.0,-2.0164971,22.5,124.615524,-90.13296,,0.9999999,-107.84365,-1.0,27.999996,741.8551,,,0.01,,1.0,16,9.122555e-06,0.01,114.63733,1.5584936141967773,-1.0,3209.8452,10.016914
651.2416,,9.214875,0.01,29,29,-124.615524,124.615524,11,0.01,648,-109.5358,7.3735538,1.0,0.032114625,22.344827586206897,124.615524,-92.85336,,1.0000004,-106.692726,1.0,29.000011,744.095,,,0.01,,-1.0,16,8.504261e-06,0.01,114.5358,1.6320910453796387,-1.0,3321.538,9.979278
649.3509,,6.350246,0.01,30,30,-124.615524,124.615524,11,0.01,664,-109.61972,7.339652,-1.0,-0.012832522,22.133333333333333,124.615524,-96.90161,,1.0000001,-112.05362,1.0,30.000002,746.2525,,,0.01,,1.0,16,7.94676e-06,0.01,114.61972,1.6930012702941895,-1.0,3438.5916,9.848644
706.5805,,10.371885,0.01,31,31,-133.95932,133.95932,11,0.01,702,-110.40486,7.3068624,-1.0,-2.0130236,22.64516129032258,133.95932,-97.863625,,1.0000005,-133.95932,1.0,31.000013,804.44415,,,0.01,,-1.0,16,7.4423347e-06,0.01,115.40486,1.7659168243408203,-1.0,3577.5508,9.85615
708.3762,,10.710903,0.01,32,32,-133.95932,133.95932,11,0.01,721,-110.539925,7.2751136,1.0,1.9856768,22.53125,133.95932,-98.227936,,0.9999995,-114.72678,1.0,31.999985,806.6042,,,0.01,,1.0,16,6.984457e-06,0.01,115.539925,1.8250749111175537,-1.0,3697.2776,9.873765
