TimestepsSoFar,LQGmu1_actor,Iteration,LQGsigma_higher,LQGmu1_higher,ReturnMean,TimeElapsed
1100,-0.42135713,55,0.14999999,-0.6,0.9561509,1.2677280902862549
1120,-0.85819364,56,0.14999999,-0.6,0.9561456,1.28902006149292
1140,-0.39611316,57,0.14999999,-0.6,0.95614606,1.3099133968353271
1160,-0.53975487,58,0.14999999,-0.6,0.95615005,1.3412659168243408
1180,-0.39713508,59,0.14999999,-0.6,0.95614636,1.3605926036834717
1200,-0.56318825,60,0.14999999,-0.6,0.9561484,1.3797392845153809
1220,-0.32612032,61,0.14999999,-0.6,0.95615226,1.3982911109924316
1240,-0.74112374,62,0.14999999,-0.6,0.9561518,1.415518045425415
1260,-0.47203735,63,0.14999999,-0.6,0.95615107,1.434272050857544
1280,-0.54618406,64,0.14999999,-0.6,0.9561511,1.4557368755340576
1300,-0.5566604,65,0.14999999,-0.6,0.95615435,1.4743318557739258
1320,-0.7515327,66,0.14999999,-0.6,0.95615816,1.4970083236694336
1340,-0.33475587,67,0.14999999,-0.6,0.9561607,1.5128610134124756
1360,-0.40707746,68,0.14999999,-0.6,0.9561541,1.5273113250732422
1380,-0.4077024,69,0.14999999,-0.6,0.95615286,1.5419507026672363
1400,-0.6208291,70,0.14999999,-0.6,0.95615035,1.5628221035003662
1420,-0.49563485,71,0.14999999,-0.6,0.95614433,1.579815149307251
1440,-0.65555453,72,0.14999999,-0.6,0.9561458,1.600581407546997
1460,-0.5791356,73,0.14999999,-0.6,0.95614475,1.6235532760620117
1480,-0.39640376,74,0.14999999,-0.6,0.95614934,1.6435956954956055
1500,-0.5518087,75,0.14999999,-0.6,0.9561481,1.6607387065887451
1520,-0.5687727,76,0.14999999,-0.6,0.95615184,1.6784520149230957
1540,-0.71621037,77,0.14999999,-0.6,0.9561502,1.697465181350708
1560,-0.57042193,78,0.14999999,-0.6,0.9561529,1.7147250175476074
1580,-0.5297663,79,0.14999999,-0.6,0.95615524,1.733917474746704
1600,-0.9153415,80,0.14999999,-0.6,0.95615256,1.7547593116760254
1620,-0.6605852,81,0.14999999,-0.6,0.95614946,1.7751624584197998
1640,-0.3948354,82,0.14999999,-0.6,0.95615333,1.794891357421875
1660,-0.8444232,83,0.14999999,-0.6,0.95615196,1.819187879562378
1680,-0.48438996,84,0.14999999,-0.6,0.95615095,1.8344261646270752
1700,-0.66937274,85,0.14999999,-0.6,0.95614785,1.8636338710784912
1720,-0.6827066,86,0.14999999,-0.6,0.9561495,1.8892366886138916
1740,-0.7159879,87,0.14999999,-0.6,0.95614845,1.9145934581756592
1760,-0.7601068,88,0.14999999,-0.6,0.9561466,1.9317090511322021
1780,-0.7305824,89,0.14999999,-0.6,0.95614725,1.959303855895996
1800,-0.3646016,90,0.14999999,-0.6,0.95614606,1.9807417392730713
1820,-0.52147114,91,0.14999999,-0.6,0.95614374,2.0000860691070557
1840,-0.5656965,92,0.14999999,-0.6,0.95614547,2.0207295417785645
1860,-0.3398019,93,0.14999999,-0.6,0.9561479,2.0433833599090576
1880,-0.5273687,94,0.14999999,-0.6,0.95615095,2.066868543624878
1900,-0.70383865,95,0.14999999,-0.6,0.9561528,2.0865962505340576
1920,-0.4404426,96,0.14999999,-0.6,0.95615435,2.107773780822754
1940,-0.5379071,97,0.14999999,-0.6,0.95615554,2.1289241313934326
1960,-0.70620716,98,0.14999999,-0.6,0.9561526,2.1447341442108154
1980,-0.49605745,99,0.14999999,-0.6,0.9561518,2.1623566150665283
2000,-0.780311,100,0.14999999,-0.6,0.9561534,2.182190179824829
2020,-0.81262684,101,0.14999999,-0.6,0.9561539,2.2047009468078613
2040,-0.35937917,102,0.14999999,-0.6,0.95615417,2.227271795272827
2060,-0.58024186,103,0.14999999,-0.6,0.9561566,2.2461535930633545
2080,-0.7871346,104,0.14999999,-0.6,0.95615584,2.275604724884033
2100,-0.8033418,105,0.14999999,-0.6,0.9561551,2.305086851119995
2120,-0.7045134,106,0.14999999,-0.6,0.95615184,2.328861713409424
2140,-0.7923798,107,0.14999999,-0.6,0.95615387,2.357603073120117
2160,-0.6312395,108,0.14999999,-0.6,0.9561516,2.387646436691284
2180,-0.71006095,109,0.14999999,-0.6,0.9561527,2.4185163974761963
2200,-0.6973776,110,0.14999999,-0.6,0.95615345,2.4468472003936768
2220,-0.5911482,111,0.14999999,-0.6,0.95615447,2.489088296890259
2240,-0.642446,112,0.14999999,-0.6,0.9561569,2.5130062103271484
2260,-0.54140186,113,0.14999999,-0.6,0.95615554,2.529937267303467
2280,-0.9174481,114,0.14999999,-0.6,0.9561572,2.550520896911621
2300,-0.77879345,115,0.14999999,-0.6,0.95615697,2.5703375339508057
2320,-0.53588516,116,0.14999999,-0.6,0.9561586,2.590116262435913
2340,-0.51390916,117,0.14999999,-0.6,0.95615923,2.611745834350586
2360,-0.68931437,118,0.14999999,-0.6,0.95615876,2.6289994716644287
2380,-0.13404891,119,0.14999999,-0.6,0.95615894,2.654313802719116
2400,-0.48700866,120,0.14999999,-0.6,0.9561525,2.674952268600464
2420,-0.47664237,121,0.14999999,-0.6,0.9561518,2.6968331336975098
2440,-0.45474103,122,0.14999999,-0.6,0.9561533,2.7182672023773193
2460,-0.74964863,123,0.14999999,-0.6,0.95615286,2.7385599613189697
2480,-0.7938868,124,0.14999999,-0.6,0.95615166,2.7586770057678223
2500,-0.7096939,125,0.14999999,-0.6,0.9561505,2.778862237930298
2520,-0.5127699,126,0.14999999,-0.6,0.9561489,2.8009395599365234
2540,-0.7573446,127,0.14999999,-0.6,0.9561495,2.8210716247558594
2560,-0.82646614,128,0.14999999,-0.6,0.95614916,2.8416757583618164
2580,-0.6029876,129,0.14999999,-0.6,0.9561497,2.869046449661255
2600,-0.49158895,130,0.14999999,-0.6,0.95615065,2.897890567779541
2620,-0.7645197,131,0.14999999,-0.6,0.95615065,2.920515298843384
2640,-0.6021067,132,0.14999999,-0.6,0.95614934,2.9370217323303223
2660,-0.85126495,133,0.14999999,-0.6,0.956149,2.9539449214935303
2680,-0.518758,134,0.14999999,-0.6,0.95614827,2.977569818496704
2700,-0.69971895,135,0.14999999,-0.6,0.9561499,2.995361566543579
2720,-0.5749753,136,0.14999999,-0.6,0.9561513,3.0127451419830322
2740,-0.5558416,137,0.14999999,-0.6,0.95615137,3.0311636924743652
2760,-0.5191639,138,0.14999999,-0.6,0.95615196,3.0571489334106445
2780,-0.39602283,139,0.14999999,-0.6,0.9561526,3.08109712600708
2800,-0.49038786,140,0.14999999,-0.6,0.9561529,3.1054890155792236
2820,-0.75594234,141,0.14999999,-0.6,0.9561534,3.1289632320404053
2840,-0.3386223,142,0.14999999,-0.6,0.9561545,3.145991563796997
2860,-0.54035294,143,0.14999999,-0.6,0.95615625,3.165602445602417
2880,-0.47071004,144,0.14999999,-0.6,0.9561551,3.188887596130371
2900,-0.6088601,145,0.14999999,-0.6,0.9561527,3.2058565616607666
2920,-0.66260844,146,0.14999999,-0.6,0.95615333,3.22469162940979
2940,-0.6540358,147,0.14999999,-0.6,0.95615494,3.2434263229370117
2960,-0.7842181,148,0.14999999,-0.6,0.9561557,3.264050245285034
2980,-0.545865,149,0.14999999,-0.6,0.9561566,3.2838900089263916
3000,-0.62404895,150,0.14999999,-0.6,0.9561562,3.30371356010437
3020,-0.80493927,151,0.14999999,-0.6,0.95615715,3.3248589038848877
3040,-0.69850093,152,0.14999999,-0.6,0.9561577,3.345141887664795
3060,-0.700081,153,0.14999999,-0.6,0.95615673,3.3649260997772217
3080,-0.67383075,154,0.14999999,-0.6,0.9561564,3.3849637508392334
3100,-0.8087481,155,0.14999999,-0.6,0.9561554,3.4047091007232666
3120,-0.3629564,156,0.14999999,-0.6,0.956153,3.4247968196868896
3140,-0.392866,157,0.14999999,-0.6,0.95614994,3.4452686309814453
3160,-0.2794438,158,0.14999999,-0.6,0.9561507,3.4659345149993896
3180,-0.86359346,159,0.14999999,-0.6,0.95614934,3.4868662357330322
3200,-0.60706615,160,0.14999999,-0.6,0.9561477,3.5094778537750244
3220,-0.68851495,161,0.14999999,-0.6,0.956147,3.527334213256836
3240,-0.5555387,162,0.14999999,-0.6,0.95614624,3.5450100898742676
3260,-0.73070884,163,0.14999999,-0.6,0.9561471,3.564793586730957
3280,-0.7257043,164,0.14999999,-0.6,0.9561459,3.598221778869629
3300,-0.55239433,165,0.14999999,-0.6,0.95614606,3.63036847114563
3320,-0.7331383,166,0.14999999,-0.6,0.9561459,3.6573827266693115
3340,-0.5870931,167,0.14999999,-0.6,0.9561457,3.6884658336639404
3360,-0.5219098,168,0.14999999,-0.6,0.95614576,3.713989734649658
3380,-0.68157685,169,0.14999999,-0.6,0.9561445,3.7356116771698
3400,-0.7656351,170,0.14999999,-0.6,0.9561443,3.7561943531036377
3420,-0.48317945,171,0.14999999,-0.6,0.95614547,3.7757649421691895
3440,-0.79684955,172,0.14999999,-0.6,0.9561457,3.7967891693115234
3460,-0.38273507,173,0.14999999,-0.6,0.95614314,3.8145344257354736
3480,-0.6587626,174,0.14999999,-0.6,0.95614344,3.837045431137085
3500,-0.46933383,175,0.14999999,-0.6,0.95614415,3.8590176105499268
3520,-0.4495085,176,0.14999999,-0.6,0.9561428,3.877593517303467
3540,-0.828846,177,0.14999999,-0.6,0.9561409,3.8953773975372314
3560,-0.51304644,178,0.14999999,-0.6,0.9561416,3.910569190979004
3580,-0.5431249,179,0.14999999,-0.6,0.9561391,3.9288690090179443
3600,-0.4335164,180,0.14999999,-0.6,0.95613927,3.947981595993042
3620,-0.7418352,181,0.14999999,-0.6,0.9561399,3.96956205368042
3640,-0.31905073,182,0.14999999,-0.6,0.95613855,3.990004777908325
3660,-0.7038213,183,0.14999999,-0.6,0.95613873,4.011817216873169
3680,-0.5083128,184,0.14999999,-0.6,0.9561376,4.027116060256958
3700,-0.6033283,185,0.14999999,-0.6,0.95613587,4.045551538467407
3720,-0.4853208,186,0.14999999,-0.6,0.9561354,4.06238865852356
3740,-0.56010497,187,0.14999999,-0.6,0.9561363,4.0845420360565186
3760,-0.7678317,188,0.14999999,-0.6,0.95613587,4.108470439910889
3780,-0.5466123,189,0.14999999,-0.6,0.9561359,4.130253314971924
3800,-0.5517638,190,0.14999999,-0.6,0.9561358,4.146252393722534
3820,-0.48651877,191,0.14999999,-0.6,0.9561362,4.160484790802002
3840,-0.7880617,192,0.14999999,-0.6,0.9561369,4.181591987609863
3860,-0.59306353,193,0.14999999,-0.6,0.9561358,4.197058200836182
3880,-0.76004887,194,0.14999999,-0.6,0.95613414,4.214867830276489
3900,-0.46550673,195,0.14999999,-0.6,0.95613456,4.233932018280029
3920,-0.5857086,196,0.14999999,-0.6,0.95613474,4.261833429336548
3940,-0.4302991,197,0.14999999,-0.6,0.95613545,4.279021501541138
3960,-0.42541328,198,0.14999999,-0.6,0.95613647,4.301454544067383
3980,-0.57587624,199,0.14999999,-0.6,0.9561369,4.321448564529419
4000,-0.42679745,200,0.14999999,-0.6,0.9561365,4.34229302406311
4020,-0.43867603,201,0.14999999,-0.6,0.95613456,4.365083456039429
4040,-0.55962914,202,0.14999999,-0.6,0.9561343,4.383305549621582
4060,-0.8145532,203,0.14999999,-0.6,0.9561356,4.40526270866394
4080,-0.84571385,204,0.14999999,-0.6,0.9561359,4.4244794845581055
4100,-0.56386644,205,0.14999999,-0.6,0.95613366,4.445022106170654
4120,-0.69225854,206,0.14999999,-0.6,0.9561334,4.461949825286865
4140,-0.60590136,207,0.14999999,-0.6,0.95613414,4.48123836517334
4160,-0.5087062,208,0.14999999,-0.6,0.9561348,4.501013517379761
4180,-0.7086081,209,0.14999999,-0.6,0.95613545,4.530896186828613
4200,-0.632674,210,0.14999999,-0.6,0.9561359,4.553579807281494
4220,-0.43378833,211,0.14999999,-0.6,0.9561354,4.574588060379028
4240,-0.4928898,212,0.14999999,-0.6,0.95613575,4.596049785614014
4260,-0.439656,213,0.14999999,-0.6,0.9561339,4.618745565414429
4280,-0.5838963,214,0.14999999,-0.6,0.9561344,4.643946647644043
4300,-0.35524535,215,0.14999999,-0.6,0.956134,4.664347171783447
4320,-0.6585114,216,0.14999999,-0.6,0.95613444,4.687099456787109
4340,-0.84223366,217,0.14999999,-0.6,0.9561332,4.706440448760986
4360,-0.4225997,218,0.14999999,-0.6,0.95613337,4.7298619747161865
4380,-0.67401254,219,0.14999999,-0.6,0.9561295,4.748951435089111
4400,-0.453991,220,0.14999999,-0.6,0.9561285,4.769693613052368
4420,-0.6326032,221,0.14999999,-0.6,0.95612884,4.791420221328735
4440,-0.60326034,222,0.14999999,-0.6,0.95612955,4.811807632446289
4460,-0.56368065,223,0.14999999,-0.6,0.9561299,4.833012342453003
4480,-0.6969419,224,0.14999999,-0.6,0.956128,4.855204105377197
4500,-0.5166992,225,0.14999999,-0.6,0.9561278,4.872858285903931
4520,-0.60341805,226,0.14999999,-0.6,0.956129,4.8943564891815186
4540,-0.5218627,227,0.14999999,-0.6,0.95612925,4.914620637893677
4560,-0.6704539,228,0.14999999,-0.6,0.9561297,4.935821056365967
4580,-0.73517036,229,0.14999999,-0.6,0.9561305,4.952072381973267
4600,-0.68978906,230,0.14999999,-0.6,0.95613,4.969858646392822
4620,-0.48572156,231,0.14999999,-0.6,0.9561306,4.993471384048462
4640,-0.7938116,232,0.14999999,-0.6,0.9561322,5.01765513420105
4660,-0.56420696,233,0.14999999,-0.6,0.9561324,5.0408666133880615
4680,-0.49336326,234,0.14999999,-0.6,0.95613265,5.060149908065796
4700,-0.6221689,235,0.14999999,-0.6,0.9561329,5.082077503204346
4720,-0.2907202,236,0.14999999,-0.6,0.95613277,5.106814861297607
4740,-0.7643114,237,0.14999999,-0.6,0.95612967,5.126705646514893
4760,-0.648826,238,0.14999999,-0.6,0.9561294,5.150325298309326
4780,-0.83996594,239,0.14999999,-0.6,0.9561289,5.170772314071655
4800,-0.6282544,240,0.14999999,-0.6,0.9561287,5.1864917278289795
4820,-0.67384666,241,0.14999999,-0.6,0.9561297,5.20751166343689
4840,-0.7803462,242,0.14999999,-0.6,0.9561306,5.229924917221069
4860,-0.72701734,243,0.14999999,-0.6,0.95613015,5.248009443283081
4880,-0.5133066,244,0.14999999,-0.6,0.9561312,5.267073631286621
4900,-0.61061627,245,0.14999999,-0.6,0.95613134,5.285271644592285
4920,-0.36668915,246,0.14999999,-0.6,0.95613027,5.303736925125122
4940,-0.5359056,247,0.14999999,-0.6,0.95612997,5.326794385910034
4960,-0.7017764,248,0.14999999,-0.6,0.95612895,5.349455833435059
4980,-0.58855575,249,0.14999999,-0.6,0.9561293,5.372760057449341
5000,-0.6164492,250,0.14999999,-0.6,0.95612943,5.397812604904175
5020,-0.58610976,251,0.14999999,-0.6,0.9561291,5.415146589279175
5040,-0.5405146,252,0.14999999,-0.6,0.9561288,5.436011075973511
5060,-0.4787369,253,0.14999999,-0.6,0.9561288,5.461167573928833
5080,-0.52210337,254,0.14999999,-0.6,0.95612985,5.4765870571136475
5100,-0.64320403,255,0.14999999,-0.6,0.9561302,5.494113206863403
5120,-0.7327491,256,0.14999999,-0.6,0.9561308,5.524565696716309
5140,-0.49103743,257,0.14999999,-0.6,0.9561307,5.55013632774353
5160,-0.56985104,258,0.14999999,-0.6,0.95613086,5.572107553482056
5180,-0.62954277,259,0.14999999,-0.6,0.9561297,5.595120668411255
5200,-0.51019543,260,0.14999999,-0.6,0.95612943,5.6157920360565186
5220,-0.7135797,261,0.14999999,-0.6,0.9561303,5.636942625045776
5240,-0.57987106,262,0.14999999,-0.6,0.95613074,5.6598899364471436
5260,-0.66866755,263,0.14999999,-0.6,0.9561313,5.683789491653442
5280,-0.735831,264,0.14999999,-0.6,0.95613086,5.709655523300171
5300,-0.7796437,265,0.14999999,-0.6,0.9561314,5.731147289276123
5320,-0.7033365,266,0.14999999,-0.6,0.9561312,5.752833843231201
5340,-0.57295156,267,0.14999999,-0.6,0.9561313,5.771974802017212
5360,-0.6024792,268,0.14999999,-0.6,0.95613164,5.796348810195923
5380,-0.47584566,269,0.14999999,-0.6,0.95613277,5.820757865905762
5400,-0.6008941,270,0.14999999,-0.6,0.9561335,5.841609954833984
5420,-0.8353195,271,0.14999999,-0.6,0.9561336,5.858264684677124
5440,-0.49973965,272,0.14999999,-0.6,0.95613366,5.876299142837524
5460,-0.59827954,273,0.14999999,-0.6,0.9561323,5.891322135925293
5480,-0.3596852,274,0.14999999,-0.6,0.9561312,5.909080266952515
5500,-0.34393,275,0.14999999,-0.6,0.95613056,5.92572546005249
5520,-0.43979442,276,0.14999999,-0.6,0.9561312,5.942195415496826
5540,-0.6575162,277,0.14999999,-0.6,0.9561316,5.961669206619263
5560,-0.6269298,278,0.14999999,-0.6,0.9561311,5.981565952301025
5580,-0.5189328,279,0.14999999,-0.6,0.9561321,5.997908592224121
5600,-0.49867126,280,0.14999999,-0.6,0.95613164,6.01512885093689
5620,-0.4849,281,0.14999999,-0.6,0.9561319,6.031033515930176
5640,-0.500077,282,0.14999999,-0.6,0.95613164,6.047739505767822
5660,-0.6390725,283,0.14999999,-0.6,0.9561313,6.064525127410889
5680,-0.4131468,284,0.14999999,-0.6,0.9561311,6.0840744972229
5700,-0.43821692,285,0.14999999,-0.6,0.9561301,6.1040732860565186
5720,-0.7908934,286,0.14999999,-0.6,0.95613086,6.121308326721191
5740,-0.52451867,287,0.14999999,-0.6,0.95613134,6.138204097747803
5760,-0.6185137,288,0.14999999,-0.6,0.95613074,6.153232097625732
5780,-0.6809533,289,0.14999999,-0.6,0.95613027,6.170371055603027
5800,-0.7273112,290,0.14999999,-0.6,0.9561311,6.185334920883179
5820,-0.64156574,291,0.14999999,-0.6,0.95613134,6.201223850250244
5840,-0.7924478,292,0.14999999,-0.6,0.9561311,6.2157745361328125
5860,-0.59687376,293,0.14999999,-0.6,0.9561308,6.231804609298706
5880,-0.44225138,294,0.14999999,-0.6,0.9561316,6.246726989746094
5900,-0.78920424,295,0.14999999,-0.6,0.95613277,6.262429237365723
5920,-0.7568099,296,0.14999999,-0.6,0.9561335,6.2782957553863525
5940,-0.66186273,297,0.14999999,-0.6,0.956134,6.294504880905151
5960,-0.48137024,298,0.14999999,-0.6,0.95613396,6.3091936111450195
5980,-0.79314196,299,0.14999999,-0.6,0.95613503,6.326433420181274
6000,-0.5364094,300,0.14999999,-0.6,0.9561346,6.341553688049316
6020,-0.5432351,301,0.14999999,-0.6,0.9561352,6.358675718307495
6040,-0.3180746,302,0.14999999,-0.6,0.95613605,6.374762535095215
6060,-0.52206224,303,0.14999999,-0.6,0.95613647,6.3900861740112305
6080,-0.5552176,304,0.14999999,-0.6,0.9561375,6.404932737350464
6100,-0.48771057,305,0.14999999,-0.6,0.95613796,6.421250581741333
6120,-0.57009524,306,0.14999999,-0.6,0.95613784,6.436362266540527
6140,-0.5096396,307,0.14999999,-0.6,0.9561382,6.451735973358154
6160,-0.55326355,308,0.14999999,-0.6,0.95613754,6.466960906982422
6180,-0.39079982,309,0.14999999,-0.6,0.95613784,6.482948064804077
6200,-0.76144034,310,0.14999999,-0.6,0.95613736,6.497589349746704
6220,-0.7026766,311,0.14999999,-0.6,0.9561377,6.520081996917725
6240,-0.39761674,312,0.14999999,-0.6,0.9561368,6.546345472335815
6260,-0.7108162,313,0.14999999,-0.6,0.9561357,6.583087921142578
6280,-0.66613877,314,0.14999999,-0.6,0.95613587,6.610087871551514
6300,-0.40532923,315,0.14999999,-0.6,0.9561346,6.636274576187134
6320,-0.7009708,316,0.14999999,-0.6,0.95613426,6.668322563171387
6340,-0.5251911,317,0.14999999,-0.6,0.9561344,6.698617458343506
6360,-0.36350173,318,0.14999999,-0.6,0.95613474,6.730802774429321
6380,-0.79281175,319,0.14999999,-0.6,0.95613486,6.75826358795166
6400,-0.84729147,320,0.14999999,-0.6,0.95613515,6.785581350326538
6420,-0.6186739,321,0.14999999,-0.6,0.9561344,6.815838813781738
6440,-0.6939072,322,0.14999999,-0.6,0.9561343,6.847771644592285
6460,-0.6740763,323,0.14999999,-0.6,0.9561338,6.880709171295166
6480,-0.7643036,324,0.14999999,-0.6,0.9561334,6.910756349563599
6500,-0.70182127,325,0.14999999,-0.6,0.95613384,6.945913076400757
6520,-0.38243106,326,0.14999999,-0.6,0.9561337,6.976957559585571
6540,-0.7035308,327,0.14999999,-0.6,0.9561329,7.005642890930176
6560,-0.7121153,328,0.14999999,-0.6,0.9561325,7.030962705612183
6580,-0.91796315,329,0.14999999,-0.6,0.9561326,7.058470964431763
6600,-0.6028624,330,0.14999999,-0.6,0.95613194,7.085832118988037
6620,-0.50438553,331,0.14999999,-0.6,0.9561316,7.1123435497283936
6640,-0.6155357,332,0.14999999,-0.6,0.9561322,7.140355587005615
6660,-0.6187688,333,0.14999999,-0.6,0.95613205,7.16428804397583
6680,-0.463204,334,0.14999999,-0.6,0.9561322,7.194554567337036
6700,-0.63538134,335,0.14999999,-0.6,0.9561307,7.228841304779053
6720,-0.46861342,336,0.14999999,-0.6,0.956131,7.254785060882568
6740,-0.6570962,337,0.14999999,-0.6,0.95612967,7.288345813751221
6760,-0.7632247,338,0.14999999,-0.6,0.9561298,7.317506790161133
6780,-0.45778665,339,0.14999999,-0.6,0.9561296,7.346895217895508
6800,-0.45538914,340,0.14999999,-0.6,0.95612955,7.376270532608032
6820,-0.3951398,341,0.14999999,-0.6,0.9561302,7.404520034790039
6840,-0.42322522,342,0.14999999,-0.6,0.95613,7.434842586517334
6860,-0.7957671,343,0.14999999,-0.6,0.9561311,7.459834337234497
6880,-0.5542807,344,0.14999999,-0.6,0.9561317,7.486561298370361
6900,-0.4739893,345,0.14999999,-0.6,0.9561318,7.533358812332153
6920,-0.60975486,346,0.14999999,-0.6,0.95613265,7.583105087280273
6940,-0.6956934,347,0.14999999,-0.6,0.95613295,7.6285240650177
6960,-0.68891907,348,0.14999999,-0.6,0.95613307,7.66860294342041
6980,-0.5699524,349,0.14999999,-0.6,0.95613384,7.702073097229004
7000,-0.4688701,350,0.14999999,-0.6,0.95613414,7.736838102340698
7020,-0.3581552,351,0.14999999,-0.6,0.9561343,7.795604705810547
7040,-0.61194026,352,0.14999999,-0.6,0.95613325,7.850423097610474
7060,-0.63509905,353,0.14999999,-0.6,0.95613354,7.892534971237183
7080,-0.2974941,354,0.14999999,-0.6,0.9561333,7.9310712814331055
7100,-0.9850383,355,0.14999999,-0.6,0.95613456,7.97477126121521
7120,-0.4452318,356,0.14999999,-0.6,0.9561337,8.02309513092041
7140,-0.85508627,357,0.14999999,-0.6,0.95613366,8.064236164093018
7160,-0.43624765,358,0.14999999,-0.6,0.9561339,8.092974424362183
7180,-0.9977652,359,0.14999999,-0.6,0.9561345,8.122782468795776
7200,-0.5878529,360,0.14999999,-0.6,0.956135,8.145143270492554
7220,-0.70844966,361,0.14999999,-0.6,0.9561341,8.176218748092651
7240,-0.639188,362,0.14999999,-0.6,0.9561341,8.206992149353027
7260,-0.694744,363,0.14999999,-0.6,0.9561342,8.23617672920227
7280,-0.56917226,364,0.14999999,-0.6,0.9561347,8.271225214004517
7300,-0.5032277,365,0.14999999,-0.6,0.9561334,8.300011157989502
7320,-0.4125632,366,0.14999999,-0.6,0.95613354,8.32313346862793
7340,-0.5767392,367,0.14999999,-0.6,0.95613253,8.372153520584106
7360,-0.4757018,368,0.14999999,-0.6,0.9561321,8.412648916244507
7380,-0.78275317,369,0.14999999,-0.6,0.95613277,8.455159902572632
7400,-0.8274406,370,0.14999999,-0.6,0.9561327,8.493665933609009
7420,-0.6114719,371,0.14999999,-0.6,0.95613253,8.5254385471344
7440,-0.49431044,372,0.14999999,-0.6,0.9561327,8.555200815200806
7460,-0.35943693,373,0.14999999,-0.6,0.9561325,8.575882911682129
