Iteration,ReturnMean,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,TimeElapsed
319,0.95613617,6380,-0.68,0.14999999,-0.87281173,6.761599063873291
320,0.95613635,6400,-0.68,0.14999999,-0.9272914,6.787214517593384
321,0.9561351,6420,-0.68,0.14999999,-0.6986739,6.811358213424683
322,0.956135,6440,-0.68,0.14999999,-0.7739072,6.838932037353516
323,0.95613444,6460,-0.68,0.14999999,-0.75407636,6.865569114685059
324,0.956134,6480,-0.68,0.14999999,-0.8443036,6.887828350067139
325,0.9561343,6500,-0.68,0.14999999,-0.78182125,6.907060384750366
326,0.9561341,6520,-0.68,0.14999999,-0.46243104,6.929371356964111
327,0.95613354,6540,-0.68,0.14999999,-0.7835307,6.955148696899414
328,0.9561328,6560,-0.68,0.14999999,-0.7921153,6.999945402145386
329,0.95613295,6580,-0.68,0.14999999,-0.99796313,7.0353686809539795
330,0.9561318,6600,-0.68,0.14999999,-0.6828624,7.062855243682861
331,0.9561314,6620,-0.68,0.14999999,-0.5843855,7.0964577198028564
332,0.9561321,6640,-0.68,0.14999999,-0.69553566,7.117544174194336
333,0.9561319,6660,-0.68,0.14999999,-0.6987688,7.162896633148193
334,0.956132,6680,-0.68,0.14999999,-0.54320395,7.185309648513794
335,0.95613086,6700,-0.68,0.14999999,-0.7153813,7.223630428314209
336,0.9561311,6720,-0.68,0.14999999,-0.5486134,7.272531509399414
337,0.95612985,6740,-0.68,0.14999999,-0.7370962,7.302380561828613
338,0.95612997,6760,-0.68,0.14999999,-0.8432247,7.343946218490601
339,0.9561298,6780,-0.68,0.14999999,-0.5377866,7.377988815307617
340,0.9561298,6800,-0.68,0.14999999,-0.5353891,7.408653974533081
341,0.95613056,6820,-0.68,0.14999999,-0.4751398,7.433055877685547
342,0.95613045,6840,-0.68,0.14999999,-0.5032252,7.456220388412476
343,0.9561316,6860,-0.68,0.14999999,-0.8757671,7.482376337051392
344,0.95613205,6880,-0.68,0.14999999,-0.6342807,7.504353761672974
345,0.9561323,6900,-0.68,0.14999999,-0.5539893,7.530648231506348
346,0.956133,6920,-0.68,0.14999999,-0.68975484,7.5567121505737305
347,0.9561333,6940,-0.68,0.14999999,-0.77569336,7.58588171005249
348,0.9561334,6960,-0.68,0.14999999,-0.76891905,7.6163458824157715
349,0.9561339,6980,-0.68,0.14999999,-0.6499524,7.636367082595825
350,0.9561342,7000,-0.68,0.14999999,-0.5488701,7.662118434906006
351,0.9561343,7020,-0.68,0.14999999,-0.43815517,7.6924097537994385
352,0.95613366,7040,-0.68,0.14999999,-0.69194025,7.715016603469849
353,0.95613396,7060,-0.68,0.14999999,-0.71509904,7.7347917556762695
354,0.95613384,7080,-0.68,0.14999999,-0.3774941,7.768796920776367
355,0.9561351,7100,-0.68,0.14999999,-1.0650382,7.796143293380737
356,0.9561339,7120,-0.68,0.14999999,-0.5252318,7.819775581359863
357,0.956134,7140,-0.68,0.14999999,-0.93508625,7.841891050338745
358,0.956134,7160,-0.68,0.14999999,-0.51624763,7.869020462036133
359,0.9561346,7180,-0.68,0.14999999,-1.0777651,7.896089553833008
360,0.95613486,7200,-0.68,0.14999999,-0.6678529,7.919973373413086
361,0.95613414,7220,-0.68,0.14999999,-0.78844965,7.944003343582153
362,0.9561341,7240,-0.68,0.14999999,-0.719188,7.97235369682312
363,0.9561343,7260,-0.68,0.14999999,-0.77474403,7.997706174850464
364,0.95613456,7280,-0.68,0.14999999,-0.64917225,8.023518800735474
365,0.95613354,7300,-0.68,0.14999999,-0.58322775,8.05221700668335
366,0.9561337,7320,-0.68,0.14999999,-0.4925632,8.081022262573242
367,0.95613295,7340,-0.68,0.14999999,-0.65673923,8.101674318313599
368,0.95613253,7360,-0.68,0.14999999,-0.5557018,8.130785942077637
369,0.95613307,7380,-0.68,0.14999999,-0.86275315,8.151473045349121
370,0.95613307,7400,-0.68,0.14999999,-0.9074406,8.178471803665161
371,0.95613265,7420,-0.68,0.14999999,-0.6914719,8.199591875076294
