TimestepsSoFar,ReturnMean,target_sum_log_mean,IWLastEpisode,IWMin,DenMISELogLast,LQGsigma,TimeElapsed,ExplorationBonus,IWNorm2,IWMean,ReturnMin,MISE,IWFirstEpisode,DenMISELogFirst,IWMax,DenMISEMeanLog,Iteration,LQGmu01,ReturnAbsMax,ReturnLastEpisode,ReturnMax,LQGmu1,SqrtESSClassic,Bound,IWNorm1,URet,ReturnStepMax
560,10.910832,-26.989431,0.10771744,,14.168031,0.11,24.26265788078308,16.448137,23.347176,1.4658985,,13.525902,0.11355246,10.622652,13.665154,9.876981,28,0.0030303032,15.378209,9.130309,15.378209,0.030303031,1.7580353,29.97404,41.04516,10.026278912625617,0.99960953
580,10.851234,-78.74187,2.8171183e-20,,13.232907,0.11,25.26649308204651,11.532465,16.180086,1.3746275,,17.652416,1.5278123e-09,10.591608,7.2386518,10.000221,29,-0.0030303032,15.378209,9.182479,15.378209,-0.030303031,2.4637816,29.184881,39.864197,10.09367086142133,0.99960953
600,10.919439,-25.038961,2.1734518e-17,,12.475074,0.11,26.170002222061157,14.899829,23.694323,1.4808275,,13.515002,4.2792145e-08,10.557706,14.765398,10.0912695,30,0.005050505,15.378209,12.897398,15.378209,0.05050505,1.8749143,28.414831,44.424824,14.30583033088651,0.99960953
620,10.866654,-50.241,9.7888576e-14,,-0.087639354,0.11,27.099157571792603,15.997379,23.897638,1.3243018,,11.959001,1.3217937e-34,10.524917,15.2825,9.771165,31,0.00909091,15.378209,9.28308,15.378209,0.09090909,1.7178833,27.956379,41.053356,10.181904130694226,0.99960953
640,10.809222,-78.05235,,,16.884348,0.11,28.019855976104736,10.109759,15.812115,1.3220489,,17.003098,1.6858621e-09,10.493168,6.391988,9.996902,32,-0.0030303032,15.378209,9.028846,15.378209,-0.030303031,2.675516,27.112858,42.305565,9.917264813995487,0.99960953
660,10.863108,-49.589813,24.122456,,5.0282645,0.11,28.93887448310852,20.241974,24.480658,0.9761638,,12.309405,0.025615908,10.462396,24.122456,9.853272,33,-0.001010101,15.378209,12.58745,15.378209,-0.01010101,1.3158717,32.55138,32.213406,13.92438602601337,0.99960953
680,10.914407,-110.75641,,,12.140927,0.11,29.961861848831177,15.323974,24.68892,1.243471,,11.089501,,10.433319,16.005373,9.914707,34,0.013131313,15.378209,12.607293,15.378209,0.13131313,1.7124288,26.413475,42.278015,13.961057002625324,0.99960953
700,10.8587,-157.89136,,,2.1079953,0.11,30.928681135177612,12.655875,15.0970125,0.8814955,,13.1753645,2.0341917e-37,10.404331,7.752642,9.693134,35,-0.0070707067,15.378209,8.964659,15.378209,-0.07070707,2.0436058,25.83124,30.85234,9.844106347324916,0.99960953
720,10.935826,-111.553955,7.9472685,,-23.045599,0.11,31.897180318832397,11.724701,17.400202,1.0512891,,14.457615,3.7084587e-21,10.376161,13.437934,8.778559,36,-0.005050505,15.378209,13.635227,15.378209,-0.05050505,2.1750555,26.182316,37.846405,15.148812275902706,0.99960953
740,11.049742,-75.16788,0.009124766,,10.169944,0.11,32.87137246131897,8.054704,15.98753,1.3494368,,17.339413,1.9477648e-09,10.348762,6.075412,8.815263,37,-0.0030303032,15.378209,15.1507,15.378209,-0.030303031,3.1230066,25.394115,49.92916,16.779257666347,0.99960953
760,11.043358,-48.769283,15.104584,,10.734844,0.11,33.82386636734009,12.582601,22.515585,1.1688553,,14.014991,0.029474227,10.322093,15.104584,8.873082,38,-0.001010101,15.378209,10.807166,15.378209,-0.01010101,1.9727005,26.597591,44.416504,11.940751480606181,0.99960953
780,11.0247555,-46.969887,15.426662,,18.671196,0.11,34.775065422058105,11.076569,23.017677,1.3055176,,15.0352125,0.030226411,10.296893,15.426662,9.125324,39,-0.001010101,15.378209,10.31783,15.378209,-0.01010101,2.2120035,26.111782,50.915184,11.399711299630578,0.99960953
800,11.023905,-45.31532,12.717345,,16.669725,0.11,35.754342794418335,9.828558,22.067406,1.3579847,,15.551663,0.030977432,10.27235,12.717345,9.318272,40,-0.001010101,15.378209,10.990742,15.378209,-0.01010101,2.4615211,25.380222,54.319386,12.162437628680797,0.99960953
820,11.064675,-23.803371,9.777061e-11,,10.881814,0.11,36.766475677490234,10.827105,27.530582,1.4820082,,13.669428,0.16508918,10.248431,13.533723,9.36226,41,0.0030303032,15.378209,12.695495,15.378209,0.030303031,2.2070851,24.496532,60.762337,14.024148580379855,0.99960953
840,11.021112,-136.28793,,,14.580362,0.11,37.72137713432312,10.371258,15.961809,0.8651673,,12.967868,2.425598e-37,10.228353,7.4498863,9.49381,42,-0.0070707067,15.378209,9.235031,15.378209,-0.07070707,2.276498,23.339127,36.33703,10.132672158406834,0.99960953
860,11.092762,-94.19019,8.969745,,12.298766,0.11,38.788617849349976,9.273814,17.742111,1.038168,,14.413923,4.4015355e-21,10.204822,11.3152275,9.5546665,43,-0.005050505,15.378209,14.102046,15.378209,-0.05050505,2.5161166,23.687737,44.64122,15.69414729772287,0.99960953
880,11.174272,-57.54208,,,15.494078,0.11,39.80913734436035,11.56768,27.418047,1.2426093,,11.221322,1.862791e-34,10.181832,14.528818,9.689075,44,0.00909091,15.378209,14.679226,15.378209,0.09090909,1.9941175,22.789001,54.67481,16.288668778125395,0.99960953
900,11.127452,-83.80683,0.05675126,,-3.880254,0.11,40.82386755943298,18.432133,17.00327,0.46758592,,4.200061,,10.159359,16.575994,9.389594,45,0.011111111,15.378209,9.067373,15.378209,0.11111111,1.2374895,22.632195,21.041367,9.952506753420753,0.99960953
920,11.081065,-68.77392,,,12.704155,0.11,41.82835125923157,6.656577,16.470158,1.2134821,,15.541891,2.4062374e-09,10.137381,6.4158826,9.44905,46,-0.0030303032,15.378209,8.993619,15.378209,-0.030303031,3.389171,22.198467,55.82018,9.877200521707618,0.99960953
940,11.096788,-275.1923,,,2.1446009,0.11,42.81798529624939,21.951794,1.1986935e-13,2.5930728e-15,,2.310869e-14,,10.115874,1.1985602e-13,9.29714,47,0.019191919,15.378209,11.820058,15.378209,0.1919192,1.0167271,21.951794,1.2187442e-13,13.112080493609408,0.99960953
960,11.049029,-210.49709,151.77512,,-17.164145,0.11,43.930195808410645,22.085228,151.77512,3.1619875,,27.839396,,10.094821,151.77512,8.725248,48,0.017171716,15.378209,8.804397,15.378209,0.17171717,1.0000019,49.92462,151.7754,9.666538278081921,0.99960953
980,11.003948,-205.80867,47.856182,,15.366365,0.11,45.08122682571411,15.576566,60.630413,1.7363931,,15.322706,,10.074202,47.856182,8.869684,49,0.017171716,15.378209,8.840042,15.378209,0.17171717,1.40331,30.899273,85.08326,9.710636229974778,0.99960953
1000,10.960149,-201.44742,24.571465,,9.053171,0.11,46.114847898483276,12.51644,40.988564,1.4172621,,12.50044,,10.053999,24.704784,8.878488,50,0.017171716,15.378209,8.813941,15.378209,0.17171717,1.7288507,25.01688,70.863106,9.681906202467502,0.99960953
1020,10.917366,-253.16356,43.411743,,11.122595,0.11,47.13188338279724,19.155264,43.68703,0.9581477,,8.413792,,10.034196,43.411743,8.925823,51,0.019191919,15.378209,8.77827,15.378209,0.1919192,1.1185364,27.569056,48.865532,9.641795472385578,0.99960953
1040,10.875896,-248.0456,25.803083,,9.72059,0.11,48.17621397972107,13.726283,35.47289,1.0545373,,9.251127,,10.014778,25.803083,8.935879,52,0.019191919,15.378209,8.760986,15.378209,0.1919192,1.5458548,22.97741,54.835938,9.622824590195512,0.99960953
1060,10.83556,-55.58516,,,12.42352,0.11,49.18969392776489,8.607711,30.108082,1.3870912,,12.797794,0.21255198,9.99573,13.153097,8.999525,53,0.0030303032,15.378209,8.737987,15.378209,0.030303031,2.4417307,21.405506,73.51583,9.595198546333915,0.99960953
1080,10.805623,-48.147877,15.58109,,-8.82146,0.11,50.12403583526611,8.951743,33.80971,1.4563528,,13.336193,7.617402e-08,9.98104,17.720303,8.674263,54,0.005050505,15.378209,9.218979,15.378209,0.05050505,2.326049,22.287937,78.64305,10.132748641407781,0.99960953
1100,10.774707,-92.551506,2.906258e-18,,11.765073,0.11,51.01649308204651,7.708158,24.029394,1.1694227,,13.463894,0.04222101,9.962691,13.247298,8.735929,55,-0.001010101,15.378209,9.105229,15.378209,-0.01010101,2.6766489,21.172052,64.31825,9.99899042753252,0.99960953
1120,10.755606,-311.47046,,,9.39872,0.11,52.062042474746704,20.087364,4.5014334,0.08182182,,0.71499336,,9.94544,4.500805,8.749437,56,0.021212121,15.378209,9.705027,15.378209,0.21212122,1.017903,20.802357,4.582022,10.65011452529033,0.99960953
1140,10.719927,-243.66965,15.777547,,-8.255343,0.11,53.11923551559448,9.533317,35.46922,1.3228747,,11.581306,,9.92774,18.878551,8.435101,57,0.019191919,15.378209,8.721922,15.378209,0.1919192,2.1258955,21.114624,75.403854,9.578544599996548,0.99960953
