DenMISEMeanLog,TimeElapsed,IWMean,Bound,IWFirstEpisode,LQGsigma,LQGmu01,MISE,SqrtESSClassic,ReturnMin,ReturnMean,DenMISELogLast,ExplorationBonus,ReturnLastEpisode,IWLastEpisode,DenMISELogFirst,ReturnMax,Iteration,ReturnAbsMax,ReturnStepMax,LQGmu1,IWNorm1,target_sum_log_mean,IWMin,URet,IWNorm2,TimestepsSoFar,IWMax
12.050979,50.649848222732544,1.3402333,29.470606,1.536837e-21,0.11,-0.005050505,19.105373,3.1216094,,12.571202,6.5975294,10.365232,10.537953,1.9659235e-12,11.25705,16.751677,54,16.751677,0.9999899,-0.05050505,72.3726,-41.634068,,11.646883801680843,23.184385,1080,8.456064
12.078649,51.721293687820435,1.003036,28.604889,,0.11,-0.015151516,16.473774,2.6566806,,12.602945,13.3075695,12.131115,14.31707,1.2350651e-24,11.238701,16.751677,55,16.751677,0.9999899,-0.15151516,55.16698,-212.10782,,15.882295216813098,20.765379,1100,8.545349
11.988172,52.717552185058594,1.3119297,28.436316,1.5937595e-21,0.11,-0.005050505,18.706392,3.2996411,,12.66009,7.0649586,9.729923,15.803145,4.5747757e-07,11.220682,16.751677,56,16.751677,0.9999899,-0.05050505,73.46806,-40.008533,,17.509292131535535,22.26547,1120,7.5819626
12.01476,53.75243139266968,5.126904e-08,28.099503,,0.11,-0.025252525,8.4923613e-07,1.1383203,,12.692398,13.255908,28.099503,14.501543,,11.202983,16.751677,57,16.751677,0.9999899,-0.25252524,2.9223354e-06,-531.43726,,16.073150918441037,2.5672346e-06,1140,2.5405473e-06
11.711706,54.72913908958435,0.46695197,33.66735,,0.11,-0.019191919,7.7164874,1.2281362,,12.758303,-4.5710745,25.950865,16.514954,21.734219,11.185591,16.751677,58,16.751677,0.9999899,-0.1919192,27.083214,-310.92947,,18.276544032389502,22.052288,1160,21.734219
11.6265,55.70899939537048,1.4261459,55.68879,,0.11,-0.023232324,23.922068,1.0011314,,12.82637,7.267614,31.766724,16.77422,84.04746,11.168496,16.77422,59,16.77422,0.9999899,-0.23232323,84.14261,-437.8762,,18.530439889429555,84.047516,1180,84.04746
11.628706,56.681084632873535,1.240446,43.55406,,0.11,-0.023232324,20.916811,1.4141788,,12.894975,11.863208,22.637249,16.942677,39.077187,11.15169,16.942677,60,16.942677,0.9999899,-0.23232323,74.42676,-430.31943,,18.715731157934805,52.628956,1200,39.077187
11.671766,57.66045928001404,1.1106131,37.15251,,0.11,-0.023232324,18.72932,1.7319263,,12.96017,14.281734,18.423193,16.871834,21.01424,11.13516,16.942677,61,16.942677,0.9999899,-0.23232323,67.7474,-422.981,,18.640944485490348,39.11679,1220,24.059101
11.696758,58.621042251586914,1.0570027,33.729927,,0.11,-0.023232324,17.82938,2.0002682,,13.023439,13.268251,15.900546,16.88283,15.264016,11.118899,16.942677,62,16.942677,0.9999899,-0.23232323,65.534164,-415.90073,,18.65163946522318,32.762688,1240,17.536802
11.724835,59.69080400466919,1.0534575,31.924843,,0.11,-0.023232324,17.755415,2.2376475,,13.083442,13.5195875,14.169428,16.803658,13.681702,11.1029,16.942677,63,16.942677,0.9999899,-0.23232323,66.36782,-409.04303,,18.566436693507974,29.65964,1260,13.890665
11.810913,60.76709294319153,1.0397148,30.420944,,0.11,-0.023232324,17.52938,2.451987,,13.142887,17.269867,12.891564,16.887928,10.834095,11.087151,16.942677,64,16.942677,0.9999899,-0.23232323,66.54175,-402.34467,,18.65365283733113,27.137888,1280,11.561895
11.842913,61.79644012451172,0.8727889,29.66946,,0.11,-0.021212121,14.670906,2.101303,,13.19896,13.924108,14.998554,16.787678,21.492012,11.071647,16.942677,65,16.942677,0.9999899,-0.21212122,56.731277,-333.04688,,18.54860428214766,26.998142,1300,21.492012
11.921135,62.83121705055237,0.8851995,30.18272,,0.11,-0.019191919,14.7941475,2.0421472,,13.254223,17.198906,15.388572,16.846273,20.016125,11.056379,16.942677,66,16.942677,0.9999914,-0.1919192,58.423164,-271.50238,,18.613042387916806,28.608696,1320,20.016125
11.903707,63.87999153137207,1.050773,29.553137,,0.11,-0.021212121,17.6675,2.6365845,,13.306894,10.941173,11.885637,16.783157,13.316013,11.041342,16.942677,67,16.942677,0.9999914,-0.21212122,70.401794,-322.6065,,18.543150653705794,26.701893,1340,14.4488
11.751735,65.04759693145752,1.0407851,29.658792,,0.11,-0.019191919,17.367025,2.5424879,,13.354466,1.5826685,12.291767,16.541864,13.475436,11.026526,16.942677,68,16.942677,0.9999914,-0.1919192,70.773384,-263.25522,,18.29973779068845,27.836273,1360,13.528226
11.8027525,66.10996627807617,1.0165459,27.647299,,0.11,-0.00909091,15.782746,2.626999,,13.401636,15.298759,11.8645525,16.609198,3.2559314e-05,11.011928,16.942677,69,16.942677,0.9999914,-0.09090909,70.14167,-73.52288,,18.356985118362786,26.700304,1380,13.770952
11.67379,67.17043471336365,1.139321,27.845436,,0.11,-0.011111111,18.095373,3.1883776,,13.43187,2.818723,9.750062,15.51808,8.710428,10.997539,16.942677,70,16.942677,0.9999914,-0.11111111,79.75247,-98.04209,,17.17328447512185,25.013496,1400,9.571866
11.730377,68.32872557640076,1.0180022,27.440798,,0.11,-0.017171716,16.875034,2.9347339,,13.467394,15.60417,10.565763,15.953941,0.008477384,10.983355,16.942677,71,16.942677,0.9999914,-0.17171717,72.27815,-204.98903,,17.67093787095424,24.628521,1420,11.468813
11.737948,69.39285898208618,1.282316,27.239304,2.049115e-21,0.11,-0.005050505,18.306545,3.4625993,,13.509005,12.30566,8.932757,16.463402,2.7890383e-13,10.969368,16.942677,72,16.942677,0.9999914,-0.05050505,92.32675,-36.888123,,18.2181826376792,26.664001,1440,8.58524
11.663772,70.48139882087708,1.0478551,27.195656,,0.11,-0.017171716,17.35534,3.1356056,,13.51562,6.0977387,9.840318,13.991869,9.409165e-37,10.955575,16.942677,73,16.942677,0.9999914,-0.17171717,76.49342,-200.22592,,15.479632128416608,24.395103,1460,10.152
11.637192,71.59279870986938,1.2086221,28.011642,,0.11,-0.011111111,19.225348,3.5034127,,13.551582,9.693966,8.786294,16.176846,5.777522,10.941969,16.942677,74,16.942677,0.9999914,-0.11111111,89.438034,-92.41911,,17.91179630090068,25.528831,1480,8.901571
11.647604,72.67673802375793,1.2085531,27.596113,,0.11,-0.011111111,19.212364,3.663094,,13.581518,12.2584,8.383749,15.79678,8.064263,10.928546,16.942677,75,16.942677,0.9999914,-0.11111111,90.64148,-90.99558,,17.48721475804624,24.744513,1500,8.064263
11.717486,73.76872777938843,1.2577661,26.640728,8.9458874e-35,0.11,0.00909091,11.342533,2.0028915,,13.606175,16.79457,15.298194,15.455542,,10.9153,16.942677,76,16.942677,0.9999914,0.09090909,95.590225,-92.701645,,17.12618623201089,47.726112,1520,25.1699
11.374272,74.82179665565491,1.2666965,26.498966,2.1914133e-21,0.11,-0.005050505,18.050692,3.618778,,13.5476675,-14.810639,8.448276,9.100954,,10.902228,16.942677,77,16.942677,0.9999914,-0.05050505,97.53563,-37.396194,,9.988882352526414,26.952642,1540,8.269658
11.237218,75.93086266517639,1.0537225,27.036964,1.1344191e-09,0.11,-0.0030303032,14.209881,2.3782356,,13.546762,0.46832466,12.827084,13.477085,18.822933,10.889325,16.942677,78,16.942677,0.9999914,-0.030303031,82.19035,-28.579872,,14.912013891882445,34.559383,1560,18.822933
11.264972,77.04581570625305,1.1162982,26.612473,1.1489609e-09,0.11,-0.0030303032,14.843336,2.5864894,,13.533888,13.456276,11.769136,12.529701,17.81735,10.876586,16.942677,79,16.942677,0.9999914,-0.030303031,88.18756,-28.01131,,13.888925572716582,34.095467,1580,17.81735
