ReturnStepMax,TimestepsSoFar,ReturnAbsMax,IWMax,IWMin,ReturnMean,IWFirstEpisode,ReturnMin,DenMISEMeanLog,target_sum_log_mean,Bound,TimeElapsed,LQGmu1,ExplorationBonus,MISE,ReturnLastEpisode,IWNorm2,Iteration,IWMean,LQGmu01,ReturnMax,DenMISELogLast,IWLastEpisode,SqrtESSClassic,DenMISELogFirst,URet,LQGsigma,IWNorm1
0.9999715,400,17.208038,6.2092037,,14.299627,,,-17.436304,-754.8407,33.430466,19.363972663879395,-0.47303802,24.566883,8.863581,8.692683,7.40309,20,0.51855445,-0.05135247,17.208038,12.993032,,1.4009135,16.377659,9.546530593989475,0.11,10.371089
0.9999715,420,17.208038,0.0022765754,,14.414833,,,-19.407042,-500.65747,34.41457,20.886241912841797,0.63800246,34.413628,0.00094148703,16.718918,0.0022765754,21,0.000108415974,0.07533674,17.208038,-58.306564,,1.0000712,16.328869,18.490785021175512,0.11,0.0022767375
0.9999715,440,17.208038,4.4985776,,14.1598015,,,-21.221718,-828.13904,30.564758,22.158248901367188,-0.45606646,25.048136,5.5166216,8.804163,5.1677465,22,0.3227487,-0.049193595,17.208038,-58.353085,,1.3739976,16.282349,9.642565190408254,0.11,7.1004715
0.9999715,460,17.208038,0.0014556942,,14.265421,,,-22.867615,-508.50314,34.414513,23.846396923065186,0.6987164,34.413963,0.000549654,16.589018,0.0014556943,23,6.3294836e-05,0.08626384,17.208038,-58.397537,,1.0000614,16.237896,18.355836230389684,0.11,0.0014557837
0.9999715,480,17.208038,0.00038076317,,14.036298,5.5271483e-28,,-24.390587,-716.7985,30.876228,25.567834854125977,-0.2630536,30.875937,0.00029179652,8.7665,0.00038328394,24,1.7801156e-05,-0.026932105,17.208038,-58.440098,,1.1146569,16.195337,9.606962492818257,0.11,0.00042723012
0.9999715,500,17.208038,52.963173,,14.133266,,,-25.793388,-233.7797,53.200974,27.2126624584198,0.18667066,34.416077,18.784899,16.460506,52.963173,25,2.118527,0.01888629,17.208038,-58.48092,,1.0,16.154514,18.22247346888822,0.11,52.963173
0.9999715,520,17.208038,6.846872,,13.93727,,,-27.046074,-952.6642,29.291054,28.992436170578003,-0.6185146,18.652712,10.638341,9.037342,8.74274,26,0.6204312,-0.072134055,17.208038,-58.52011,,1.8450979,16.115294,9.909016209271833,0.11,16.13121
0.9999715,540,17.208038,0.00020719333,,14.037342,5.5788533e-29,,-28.228376,-708.09344,28.226171,30.732823371887207,-0.26648113,28.226013,0.00015758176,16.639229,0.0002124625,27,9.594578e-06,-0.027300425,17.208038,-58.55788,3.156453e-14,1.2193035,16.077553,18.409185858785353,0.11,0.00025905628
0.9999715,560,17.208038,0.0029445344,,14.142473,,,-26.94025,-473.7204,34.414562,32.420241832733154,0.64051294,34.41365,0.0009132925,16.98103,0.0029445344,28,0.00010516926,0.07575886,17.208038,8.820993,,1.0000705,16.041185,18.75447556539055,0.11,0.0029447419
0.9999715,580,17.208038,7.4632053,,13.956328,,,-28.066856,-850.23315,38.245533,34.340057134628296,-0.35775793,33.7939,4.451635,8.744287,7.4641223,29,0.26212218,-0.037413757,17.208038,-58.629337,,1.0184109,16.006094,9.582897449995688,0.11,7.6015434
0.9999715,600,17.208038,0.0009400394,,14.039415,,,-29.111715,-989.9511,30.27166,35.99514651298523,-0.9523155,30.271046,0.0006147509,16.448935,0.0009504963,30,3.602151e-05,-0.18350588,17.208038,-58.66324,,1.1369306,15.972193,18.20900801118677,0.11,0.0010806483
