ReturnMean,IWMin,IWNorm1,ReturnStepMax,ReturnMax,LQGsigma,IWMean,LQGmu1,URet,Iteration,DenMISELogFirst,Bound,ExplorationBonus,ReturnLastEpisode,target_sum_log_mean,SqrtESSClassic,ReturnMin,TimeElapsed,DenMISEMeanLog,IWNorm2,IWMax,ReturnAbsMax,MISE,TimestepsSoFar,IWFirstEpisode,LQGmu01,DenMISELogLast,IWLastEpisode
9.761361,,36.842815,0.78208655,12.483996,0.11,1.0234115,0.030303031,10.985555406056967,36,11.666025,16.958332,7.4877005,9.957957,-0.1506994,2.2353714,,31.459704875946045,13.375914,16.481743,8.92573,12.483996,9.470632,720,0.04000049,0.0030303032,4.7852216,1.2825584e-05
9.758264,,44.737007,0.78208655,12.483996,0.11,1.2091084,0.07070707,10.602507929863911,37,11.639736,16.894543,5.9132085,9.646738,-18.4166,2.8007812,,32.4555549621582,13.208474,15.973045,6.144694,12.483996,10.981335,740,1.4766783e-19,0.0070707067,7.235166,3.6988593e-13
9.739533,,40.270355,0.78208655,12.483996,0.11,1.0597461,-0.01010101,9.936454208573906,38,11.613068,16.475368,4.9024806,9.046502,-23.318972,3.3442967,,33.44807052612305,13.130728,12.041502,4.204889,12.483996,11.572888,760,0.00810549,-0.001010101,10.116153,
9.754112,,39.636017,0.78208655,12.483996,0.11,1.0163081,0.09090909,11.389931968692563,39,11.587306,15.886553,6.705932,10.308124,-41.964676,2.4214587,,34.472275257110596,13.222676,16.368652,7.773216,12.483996,9.180621,780,4.5685195e-35,0.00909091,16.691198,
9.735947,,39.765755,0.78208655,12.483996,0.11,0.99414384,-0.01010101,9.914850980243454,40,11.561988,15.522162,4.686883,9.027501,-24.525532,3.432809,,35.47566318511963,13.211248,11.584027,3.985215,12.483996,10.835279,800,0.008530273,-0.001010101,12.815221,
9.794059,,9.219608e-11,0.78208655,12.483996,0.11,2.2486847e-12,-0.07070707,13.392497627874977,41,11.537509,15.6923275,15.6923275,12.118538,-131.88428,1.0162783,,36.476489305496216,13.068282,9.071932e-11,9.07084e-11,12.483996,2.7261629e-11,820,6.550311e-38,-0.0070707067,7.38277,9.07084e-11
9.89955,,41.999813,0.9578378,14.224744,0.11,0.9999955,-0.07070707,15.763950354206887,42,11.5134115,32.24297,18.01829,14.224744,-128.26746,1.0,,37.56698513031006,13.121338,41.999813,41.999813,14.224744,14.224681,840,6.710048e-38,-0.0070707067,16.284632,41.999813
10.001023,,49.238342,0.98610884,14.26285,0.11,1.1450777,-0.05050505,15.863834902410865,43,11.489881,29.757145,13.439204,14.26285,-80.978325,1.3334303,,38.575801372528076,13.203427,36.92607,33.31806,14.26285,16.317942,860,1.2176178e-21,-0.005050505,16.94629,33.31806
10.107346,,46.1438,0.98656696,14.679226,0.11,1.0487227,-0.07070707,16.288668778125395,44,11.466891,25.785631,10.674331,14.679226,-121.5913,1.7143686,,39.521897315979004,13.226725,26.915915,17.693048,14.679226,15.1113,880,7.0296025e-38,-0.0070707067,14.328366,17.693048
10.217119,,47.78222,0.98656696,15.047134,0.11,1.0618271,-0.07070707,16.658976754094738,45,11.444418,24.838757,9.3590555,15.047134,-118.59509,1.9892739,,40.486355781555176,13.168023,24.01993,12.955465,15.047134,15.479701,900,7.1893354e-38,-0.0070707067,10.676671,12.955465
10.326141,,49.931755,0.98656696,15.232155,0.11,1.085473,-0.07070707,16.881333824308264,46,11.42244,24.392838,8.410508,15.232155,-115.65581,2.22465,,41.70094037055969,13.188933,22.44477,11.4043865,15.232155,15.982329,920,7.3491087e-38,-0.0070707067,14.17823,11.4043865
10.408999,,51.082264,0.98656696,15.232155,0.11,1.0868567,-0.07070707,15.790353456024857,47,11.400933,23.510637,7.6121783,14.220465,-112.78982,2.4408221,,42.778177976608276,13.266082,20.928303,9.337374,15.232155,15.8984585,940,7.50888e-38,-0.0070707067,16.822657,9.22874
10.4881735,,52.06116,0.98656696,15.232155,0.11,1.0846075,-0.07070707,15.771702674194518,48,11.37988,22.787209,6.9930687,14.209372,-110.04486,2.6390228,,43.73718023300171,13.341908,19.727438,7.955534,15.232155,15.79414,960,7.6686137e-38,-0.0070707067,16.89694,7.934001
10.568427,,52.936153,0.98656696,15.232155,0.11,1.0803297,-0.07070707,15.987611987932635,49,11.359261,22.205189,6.4943647,14.420546,-107.39339,2.8231788,,44.70364475250244,13.436108,18.75055,6.9666233,15.232155,15.710824,980,7.828399e-38,-0.0070707067,17.939304,6.9477997
10.641443,,53.334034,0.98656696,15.232155,0.11,1.0666807,-0.07070707,15.786670405778255,50,11.339058,21.55587,6.081373,14.219212,-105.00042,2.9959214,,45.69921588897705,13.377915,17.802214,6.2239065,15.232155,15.474496,1000,7.988162e-38,-0.0070707067,10.503325,5.762846
10.7076845,,55.61171,0.98656696,15.232155,0.11,1.0904257,-0.05050505,15.533675128045353,51,11.319255,27.047565,11.599699,14.019821,-65.95058,1.561097,,46.65387558937073,13.340113,35.62348,34.225025,15.232155,15.447866,1020,1.4441489e-21,-0.005050505,11.432175,34.225025
10.775631,,56.368004,0.98656696,15.232155,0.11,1.0840001,-0.05050505,15.766055627169699,52,11.299837,24.198383,8.785697,14.240916,-64.43285,2.0489323,,47.62460494041443,13.278942,27.510916,20.882366,15.232155,15.412687,1040,1.4724692e-21,-0.005050505,10.234254,15.43798
10.821732,,63.50187,0.98656696,15.232155,0.11,1.1981485,-0.05050505,14.648508584124425,53,11.280788,24.426304,7.697653,13.218937,-62.928555,2.3251507,,48.62295079231262,13.262868,27.310862,17.224758,15.232155,16.728651,1060,1.5007838e-21,-0.005050505,12.448769,17.224758
10.876512,,66.442474,0.98656696,15.232155,0.11,1.2304162,-0.05050505,15.29556263665805,54,11.262096,24.024603,6.8549976,13.779842,-61.486713,2.5964606,,49.61314058303833,13.247919,25.589634,13.245138,15.232155,17.169605,1080,1.5291003e-21,-0.005050505,12.361098,13.0604515
10.944356,,64.88894,0.98656696,15.232155,0.11,1.1797988,-0.05050505,16.193433334787045,55,11.243748,22.787285,6.2114043,14.607941,-60.09232,2.850029,,50.596001386642456,13.249655,22.767817,10.833237,15.232155,16.57588,1100,1.5574163e-21,-0.005050505,13.202361,7.407916
10.981138,,67.04131,0.98656696,15.232155,0.11,1.1971663,-0.05050505,14.397722787652752,56,11.225729,22.423939,5.7580543,13.004189,-58.755745,3.058301,,51.674543380737305,13.238907,21.921097,9.215125,15.232155,16.665884,1120,1.5857303e-21,-0.005050505,12.536268,9.203058
11.029537,,68.433266,0.98656696,15.232155,0.11,1.2005836,-0.05050505,15.257361694396593,57,11.20803,22.092505,5.3859158,13.739826,-57.41138,3.2529466,,52.652365922927856,13.28648,21.037315,8.054295,15.232155,16.706589,1140,1.6140479e-21,-0.005050505,15.814538,7.8341894
