TimestepsSoFar,DenMISELogLast,IWLastEpisode,ExplorationBonus,URet,ReturnMean,IWNorm1,ReturnMax,IWMin,Iteration,DenMISELogFirst,SqrtESSClassic,IWFirstEpisode,ReturnMin,ReturnLastEpisode,LQGmu1,ReturnAbsMax,Bound,MISE,IWNorm2,IWMean,LQGmu01,IWMax,DenMISEMeanLog,ReturnStepMax,target_sum_log_mean,LQGsigma,TimeElapsed
220,15.858103,8.50287,13.57187,10.009608478690645,9.2738495,19.231422,9.564552,,11,11.852064,1.4094671,1.1728212e-08,,9.111789,0.05050505,9.564552,29.54602,15.974152,13.644464,1.7483112,0.005050505,10.670991,15.545987,0.5836317,8.110981,0.11,9.869089365005493
240,16.73624,3.0337062,11.360834,10.003843192429693,9.259952,14.236918,9.564552,,12,11.765053,1.6837764,1.2794388e-08,,9.107067,0.05050505,9.564552,22.192444,10.831609,8.45535,1.1864098,0.005050505,5.9089055,15.670077,0.5836317,8.922235,0.11,10.888452768325806
260,13.96464,4.2923846,9.677729,9.96562682993649,9.245568,15.219386,9.564552,,13,11.68501,1.9766109,1.3860602e-08,,9.072963,0.05050505,9.564552,20.346525,10.668797,7.699738,1.170722,0.005050505,4.2923846,15.541376,0.5836317,9.422176,0.11,12.17955493927002
280,11.788706,3.2557287,8.590022,9.988610855762355,9.234789,15.887828,9.564552,,14,11.610902,2.2268982,1.4926805e-08,,9.094677,0.05050505,9.564552,18.927603,10.337581,7.1345105,1.1348449,0.005050505,3.4751344,15.277698,0.5836317,9.67553,0.11,13.252237319946289
300,16.70343,0.00092996744,7.300767,9.966172646336618,9.224058,18.748444,9.564552,,15,11.541909,2.62015,0.045286447,,9.073823,0.030303031,9.564552,18.8101,11.509335,7.1554847,1.2498963,0.0030303032,2.943222,15.376498,0.5836317,13.369128,0.11,14.171664476394653
320,16.532787,3.6753923e-35,18.563366,10.103049073675917,9.222385,8.0502827e-16,9.564552,,16,11.480385,1.0304761,,,9.197293,0.11111111,9.564552,18.563366,4.4848933e-16,7.8121976e-16,4.9314268e-17,0.011111111,7.801597e-16,15.460061,0.5836317,-62.977474,0.11,15.157508611679077
340,12.221837,16.999992,19.129105,9.883544116903353,9.209218,16.999992,9.564552,,17,11.419761,1.0,,,8.998542,0.11111111,9.564552,28.127644,8.998538,16.999992,0.9999995,0.011111111,16.999992,15.212519,0.5836317,-58.387325,0.11,16.432963848114014
360,10.488619,9.0,13.5263195,9.871077238190848,9.196865,18.0,9.564552,,18,11.362602,1.4142135,,,8.986876,0.11111111,9.564552,22.519028,8.992709,12.727922,1.0,0.011111111,9.0,14.934605,0.5836317,-54.438816,0.11,17.566413164138794
380,13.730288,64.236336,18.790642,9.900921849635916,9.187282,65.40273,9.564552,,19,11.308535,1.0180123,6.0373166e-35,,9.0147505,0.09090909,9.564552,49.82061,31.029968,64.24552,3.442249,0.00909091,64.236336,14.862679,0.5836317,-21.401321,0.11,18.631958723068237
400,12.358841,19.682814,13.199452,9.912120638838479,9.179159,36.2834,9.564552,,20,11.257241,1.4492347,6.3550645e-35,,9.024832,0.09090909,9.564552,29.562668,16.363216,25.03625,1.8141701,0.00909091,19.682814,14.765613,0.5836317,-19.564327,0.11,19.67571187019348
420,14.686461,10.324004,10.668119,9.917412358412122,9.17203,31.05313,9.564552,,21,11.208451,1.7931093,6.6728165e-35,,9.029459,0.09090909,9.564552,24.009695,13.341576,17.318035,1.4787204,0.00909091,10.416077,14.777948,0.5836317,-17.822172,0.11,20.71277618408203
440,8.160202,4.5302215,9.320963,9.888451177824084,9.164356,26.916634,9.564552,,22,11.161931,2.052267,6.9905444e-35,,9.003212,0.09090909,9.564552,20.355265,11.034302,13.1155615,1.2234833,0.00909091,7.2941523,14.488122,0.5836317,-16.572485,0.11,22.096495628356934
460,15.790074,8.6783747e-17,19.035889,9.899805760778962,9.157779,3.8009257e-10,9.564552,,23,11.117479,1.0048969,,,9.013067,0.15151516,9.564552,19.035889,1.4851592e-10,3.7824036e-10,1.6525763e-11,0.015151516,3.7823583e-10,14.548961,0.5836317,-121.97045,0.11,23.244694471359253
480,11.256391,24.0,19.129105,9.740413526907215,9.1457815,24.0,9.564552,,24,11.07492,1.0,,,8.869862,0.15151516,9.564552,27.998966,8.869862,24.0,1.0,0.015151516,24.0,14.370984,0.5836317,-116.28692,0.11,24.15063166618347
500,14.85816,12.499994,13.5263195,9.739437453493764,9.134642,24.999989,9.564552,,25,11.034098,1.4142135,,,8.86728,0.15151516,9.564552,22.394886,8.8685665,17.677662,0.9999995,0.015151516,12.499994,14.379009,0.5836317,-110.94009,0.11,25.051881074905396
520,15.903435,8.666656,11.044193,9.788099766118474,9.126091,25.999985,9.564552,,26,10.994877,1.7320509,,,8.91232,0.15151516,9.564552,19.927341,8.883148,15.011098,0.9999994,0.015151516,8.666664,14.431117,0.5836317,-105.97843,0.11,25.97692036628723
540,16.038193,6.3883705e-18,8.287302,9.77788188055721,9.117803,31.856792,9.564552,,27,10.957137,2.3082428,8.579317e-35,,8.902286,0.09090909,9.564552,18.926567,10.639264,13.801317,1.1798812,0.00909091,6.7229185,14.48626,0.5836317,-17.721653,0.11,26.858208417892456
560,16.33901,1.2983261e-19,9.564552,9.9144702628934,9.114596,27.999994,9.564552,,28,10.920769,2.0,,,9.028058,0.15151516,9.564552,18.452488,8.887935,13.999997,0.9999998,0.015151516,7.000002,14.555446,0.5836317,-98.73716,0.11,27.99562406539917
580,17.608028,5.9974507e-18,7.556849,9.779121757365411,9.1072855,33.807587,9.564552,,29,10.885677,2.53136,9.214873e-35,,8.902524,0.09090909,9.564552,18.07079,10.513941,13.355504,1.1657789,0.00909091,5.781369,14.657605,0.5836317,-16.637192,0.11,28.919341802597046
600,12.707621,3.0169741e-25,6.772432,9.906770504666115,9.104345,36.689392,9.564552,,30,10.851776,2.8245547,0.09030031,,9.019129,0.030303031,9.564552,18.032429,11.259997,12.989443,1.2229798,0.0030303032,4.9253235,14.595547,0.5836317,-35.218277,0.11,29.887075185775757
620,8.277903,0.0055272533,7.835028,10.263343990427654,9.112075,34.21899,9.564552,,31,10.821992,2.4414852,3.2853833e-08,,9.343977,0.05050505,9.564552,17.883366,10.048338,14.015646,1.1038384,0.005050505,6.1626463,14.396735,0.5836317,-17.297657,0.11,30.823683261871338
640,18.104458,3.0980822e-22,11.299295,9.977749774239017,9.111196,22.617775,9.564552,,32,10.790243,1.6929467,,,9.0839205,0.11111111,9.564552,17.657059,6.3577633,13.360004,0.70680547,0.011111111,10.393611,14.513498,0.5836317,-32.051594,0.11,31.77418541908264
660,14.100553,,10.52881,9.86714949529067,9.107353,24.679005,9.564552,,33,10.759472,1.8168344,8.085271,,8.984416,0.01010101,9.564552,17.621695,7.092885,13.583519,0.74784863,0.001010101,8.085271,14.490337,0.5836317,-60.919266,0.11,32.97729158401489
680,10.968679,2.0831134e-08,18.765675,11.159659606188297,9.13741,2.2525587e-08,10.129234,,34,10.948761,1.0795492,1.0689576e-09,,10.129234,-0.030303031,10.129234,18.765675,6.6768497e-09,2.0865734e-08,6.6251726e-10,-0.0030303032,2.0831134e-08,14.377623,0.64166474,-143.8175,0.11,33.98544406890869
700,9.636075,34.999912,27.541485,15.251833732524842,9.269791,34.999912,13.770742,,35,10.919773,1.0,1.1003979e-09,,13.770742,-0.030303031,13.770742,41.31219,13.770707,34.999912,0.9999975,-0.0030303032,34.999912,14.213992,0.9055557,-139.33153,0.11,35.0518479347229
720,12.966469,0.06738908,27.399048,12.289326646956953,9.320348,12.996478,13.770742,,36,10.8916025,1.0051986,2.2148274e-21,,11.089848,-0.05050505,13.770742,32.365448,4.966402,12.929264,0.3610133,-0.005050505,12.929089,14.171203,0.9055557,-190.47005,0.11,36.04066324234009
740,9.641879,53.10312,29.755745,16.50048938308585,9.470873,53.14563,14.889778,,37,10.864203,1.0008003,1.2843196e-37,,14.889778,-0.07070707,14.889778,51.141663,21.38592,53.103134,1.4363683,-0.0070707067,53.10312,14.030475,0.98828644,-249.07097,0.11,37.03322410583496
760,11.849082,30.4343,18.958439,14.861225179039755,9.574089,55.66012,14.889778,,38,10.837535,1.570781,2.3378697e-21,,13.393082,-0.05050505,14.889778,39.266926,20.308487,35.434677,1.4647399,-0.005050505,30.4343,13.970555,0.98828644,-179.69568,0.11,38.35357451438904
780,18.7925,0.19232784,28.28475,15.234111565949002,9.68067,17.32488,14.889778,,39,10.81156,1.0528485,1.3537411e-37,,13.730711,-0.07070707,14.889778,34.86729,6.582539,16.455246,0.4442277,-0.0070707067,16.440996,14.098614,0.98828644,-235.55109,0.11,39.382232427597046
800,15.9216385,6.758938,14.215334,16.369392770387243,9.80733,54.630554,14.889778,,40,10.786242,2.0948896,2.4609227e-21,,14.747099,-0.05050505,14.889778,33.227882,19.012548,26.07801,1.3657639,-0.005050505,17.49459,14.128863,0.98828644,-169.72989,0.11,40.47891020774841
820,9.971156,20.085901,29.269056,16.845522614204818,9.939287,20.894728,15.217566,,41,10.761549,1.0398399,,,15.217566,-0.09090909,15.217566,37.01629,7.7472305,20.094177,0.5096275,-0.00909091,20.085901,14.032436,0.98828644,-290.93335,0.11,41.49349355697632
840,17.58971,18.033737,21.17116,16.71596270325815,10.061976,32.66426,15.217566,,42,10.737452,1.4375751,,,15.092269,-0.09090909,15.217566,32.944397,11.773236,22.721777,0.7777205,-0.00909091,18.033737,14.103571,0.98828644,-283.5187,0.11,42.512115716934204
860,18.113178,13.709091,13.622777,16.596106848656255,10.175364,55.37008,15.217566,,43,10.713922,2.2341356,1.49259e-37,,14.937586,-0.07070707,15.217566,32.867756,19.24498,24.78367,1.2876762,-0.0070707067,13.709091,14.189203,0.9968451,-211.95985,0.11,43.77680802345276
880,14.592713,0.00014278537,19.642101,17.015029011675534,10.292846,38.74265,15.344608,,44,10.690931,1.5624202,1.3833577e-09,,15.344608,-0.030303031,15.344608,30.421688,10.779588,24.79656,0.88051474,-0.0030303032,21.877083,14.201959,0.99807537,-108.55677,0.11,44.80122780799866
900,9.095551,6.457593e-05,12.5285015,14.931935263691052,10.364522,52.834347,15.344608,,45,10.668459,2.449552,1.5620147e-37,,13.518263,-0.07070707,15.344608,30.135141,17.60664,21.568983,1.1740966,-0.0070707067,10.878303,14.083312,0.99807537,-202.18541,0.11,45.82056522369385
920,15.202624,7.629039e-18,29.719141,16.637519215719394,10.465342,1.5757858e-12,15.344608,,46,10.64648,1.0326414,,,15.0022,-0.17171717,15.344608,29.719141,5.254103e-13,1.5259757e-12,3.4255215e-14,-0.017171716,1.5255416e-12,14.10946,0.99807537,-591.19916,0.11,46.8662486076355
940,6.8380485,270.68646,32.058804,17.762581484389553,10.583725,270.68646,16.029402,,47,10.624974,1.0,,,16.029402,-0.15151516,16.029402,124.37671,92.31791,270.68646,5.7592864,-0.015151516,270.68646,13.933702,0.99925315,-483.5192,0.11,47.92954754829407
960,15.47337,26.05506,23.434618,17.909817571217225,10.700272,66.953735,16.177965,,48,10.60392,1.3806895,,,16.177965,-0.15151516,16.177965,45.874184,22.439568,48.49297,1.3948694,-0.015151516,40.898678,13.984975,0.99925315,-473.05557,0.11,49.23057699203491
980,16.850512,20.63973,18.861715,17.969057006946386,10.813301,60.422478,16.238703,,49,10.583302,1.7218691,,,16.238703,-0.15151516,16.238703,38.768192,19.906477,35.091213,1.2331117,-0.015151516,22.542904,14.0446825,0.99998045,-462.99573,0.11,50.34443974494934
1000,9.464503,34.857243,23.599855,17.851445668412026,10.919504,49.89314,16.238703,,50,10.563098,1.3761697,,,16.123486,-0.13131313,16.238703,39.685215,16.08536,36.255077,0.99786276,-0.013131313,34.857243,13.953909,0.99998045,-372.7493,0.11,51.34470176696777
1020,10.825352,46.158134,28.350164,17.583576182215605,11.016934,53.16098,16.238703,,51,10.543296,1.1455809,,,15.888382,-0.11111111,16.238703,44.91258,16.562414,46.405262,1.0423721,-0.011111111,46.158134,13.889065,0.99998045,-294.35147,0.11,52.18157625198364
1040,9.685767,26.717464,20.480698,17.73983316705947,11.1133995,58.140923,16.238703,,52,10.523878,1.5857568,,,16.033184,-0.11111111,16.238703,38.319084,17.838385,36.664463,1.1180947,-0.011111111,26.717464,13.804143,0.99998045,-288.44144,0.11,53.2107298374176
1060,12.443482,17.316036,16.85334,17.196450184106347,11.196607,58.8566,16.238703,,53,10.504829,1.9270605,,,15.523424,-0.11111111,16.238703,34.42533,17.57199,30.542166,1.1105019,-0.011111111,17.9887,13.777309,0.99998045,-282.71054,0.11,54.54059910774231
1080,12.520568,,31.806307,17.44589138484322,11.280803,2.5131322e-14,16.238703,,54,10.486137,1.0210996,,,15.743097,-0.27272728,16.238703,31.806307,7.513493e-15,2.4612018e-14,4.6439487e-16,-0.02727273,2.4606499e-14,13.753716,0.99998045,-1039.7146,0.11,55.63596177101135
1100,0.7353202,1271.6776,33.76761,18.657298322106985,11.382677,1271.6904,16.883976,,55,10.467789,1.0000101,,,16.883976,-0.21212122,16.883976,424.15277,390.38516,1271.6776,23.121645,-0.021212121,1271.6776,13.499002,0.99998045,-680.35144,0.11,56.71269083023071
1120,9.037437,54.609295,23.875568,18.55481314613787,11.479331,108.30069,16.883976,,56,10.44977,1.4143308,,,16.795261,-0.21212122,16.883976,56.441505,32.565937,76.5738,1.9339409,-0.021212121,54.609295,13.458479,0.99998045,-667.9694,0.11,57.79602909088135
1140,15.12552,15.603819,20.06936,18.51226350849252,11.571787,71.65544,16.883976,,57,10.43207,1.6825624,,,16.749321,-0.21212122,16.883976,41.2136,21.144241,42.587093,1.257113,-0.021212121,28.141678,13.494076,0.99998045,-655.9371,0.11,58.899404764175415
1160,15.636991,18.33984,17.099176,18.492465507314094,11.660708,69.04767,16.883976,,58,10.414679,1.9748291,,,16.729216,-0.21212122,16.883976,37.091805,19.992626,34.96387,1.190477,-0.021212121,19.170597,13.531894,0.99998045,-644.30804,0.11,60.31616497039795
1180,9.440184,40.17772,21.328896,18.5336510946273,11.747382,70.3363,16.883976,,59,10.397584,1.5832021,,,16.774427,-0.23232323,16.883976,41.347183,20.018288,44.42661,1.1921407,-0.023232324,40.17772,13.463354,0.99998045,-731.57825,0.11,61.77005982398987
1200,13.91447,19.083006,17.054085,18.751142505058183,11.834545,69.01778,16.977203,,60,10.380776,1.9909838,,,16.977203,-0.23232323,16.977203,36.431293,19.377209,34.66516,1.1502963,-0.023232324,24.306515,13.470773,0.99998045,-719.1042,0.11,62.79649233818054
1220,14.421175,18.279127,15.002811,18.640944485490348,11.917123,73.1006,16.977203,,61,10.364247,2.263203,,,16.871834,-0.23232323,16.977203,35.19747,20.194658,32.29962,1.1983705,-0.023232324,18.279127,13.486697,0.99998045,-707.0315,0.11,64.10413384437561
1240,13.314473,14.574544,13.561229,18.65163946522318,11.997216,75.02604,16.977203,,62,10.347987,2.5037854,,,16.88283,-0.23232323,16.977203,33.9599,20.39867,29.965044,1.2100974,-0.023232324,14.574544,13.485314,0.99998045,-695.3698,0.11,66.41043496131897
1260,14.202419,2.5662942,20.358612,18.566436693507974,12.073508,46.141228,16.977203,,63,10.331986,1.6678154,,,16.803658,-0.1919192,16.977203,32.622997,12.264384,27.665668,0.7324004,-0.019191919,25.279139,13.498526,0.99998045,-507.0181,0.11,67.49044060707092
1280,13.957595,0.010862622,16.899796,18.495028036449188,12.14641,60.84603,16.977203,,64,10.316238,2.0091608,,,16.739197,-0.15151516,16.977203,32.258343,15.358547,30.284304,0.95071924,-0.015151516,17.105717,13.500414,0.99998045,-352.76837,0.11,68.52797865867615
1300,13.069523,2.6235292,14.9600935,17.964640846200055,12.209437,71.03067,16.977203,,65,10.3007345,2.2696655,,,16.243113,-0.11111111,16.977203,32.24783,17.287735,31.295656,1.0927795,-0.011111111,16.37529,13.491664,0.99998045,-231.06203,0.11,69.60059928894043
1320,16.814407,9.7311975e-23,12.0755205,17.644126101130787,12.265934,77.11086,16.977203,,66,10.285466,2.811838,,,15.938238,-0.23232323,16.977203,31.756714,19.681194,27.42365,1.1683464,-0.023232324,12.525783,13.5420065,0.99998045,-653.3766,0.11,71.03760027885437
1340,2.823348,3.2169936e-08,11.6913185,18.47977930855024,12.332364,85.25782,16.977203,,67,10.270429,2.904241,,,16.71677,-0.09090909,16.977203,31.314266,19.622948,29.356318,1.2725048,-0.00909091,14.677498,13.383486,0.99998045,-177.95718,0.11,72.13575768470764
1360,7.018145,13.450428,12.5685,17.32470839226476,12.3810425,79.581955,16.977203,,68,10.255613,2.701548,,,15.642543,-0.11111111,16.977203,31.072018,18.503517,29.457909,1.1703229,-0.011111111,13.450428,13.292725,0.99998045,-220.55237,0.11,73.24773287773132
1380,15.67564,1.04987754e-19,15.875494,16.988659836715065,12.423904,61.233078,16.977203,,69,10.2410145,2.1387937,,,15.338457,-0.1919192,16.977203,30.728985,14.853491,28.629726,0.8874359,-0.019191919,19.244179,13.328614,0.99998045,-463.19543,0.11,74.37494397163391
1400,14.349361,1.1707757e-20,17.766874,18.139974989489968,12.480648,68.52544,16.977203,,70,10.226626,1.9111075,2.2007927e-09,,16.396042,-0.030303031,16.977203,30.263285,12.49641,35.8564,0.9789348,-0.0030303032,23.246252,13.34063,0.99998045,-77.90504,0.11,75.6689760684967
1420,6.8317223,14.430884,11.362055,16.485331072517376,12.514508,99.23227,16.977203,,71,10.212441,2.9884038,2.46451e-37,,14.884723,-0.07070707,16.977203,32.336884,20.97483,33.205776,1.3976376,-0.0070707067,14.430884,13.247209,0.99998045,-130.60748,0.11,76.93444395065308
1440,12.942729,11.577419,10.700005,16.550120557176765,12.547777,98.70998,16.977203,,72,10.198455,3.1733077,2.4992176e-37,,14.909878,-0.07070707,16.977203,31.263899,20.563894,31.106337,1.3709719,-0.0070707067,12.162156,13.2472315,0.99998045,-128.5797,0.11,78.0380334854126
1460,16.034914,1.2218106e-20,14.029773,15.675917478779235,12.569553,72.325806,16.977203,,73,10.184662,2.420168,,,14.137394,-0.15151516,16.977203,30.074833,16.045061,29.884623,0.99076444,-0.015151516,15.2673645,13.289427,0.99998045,-309.44485,0.11,79.062326669693
1480,13.671515,11.349541,11.704788,17.788431512715587,12.616783,85.07884,16.977203,,74,10.171056,2.900899,,,16.064556,-0.11111111,16.977203,29.917673,18.212885,29.32844,1.1497141,-0.011111111,12.197369,13.293546,0.99998045,-201.93504,0.11,80.08611464500427
1500,13.1082,0.03757831,10.168241,17.4025255753266,12.658109,97.519455,16.977203,,75,10.157633,3.3392608,2.6033592e-37,,15.716181,-0.07070707,16.977203,29.589409,19.42117,29.203905,1.3002594,-0.0070707067,10.837267,13.292206,0.99998045,-122.93992,0.11,81.45121026039124
1520,16.52805,6.393639e-06,11.006019,15.97306512229635,12.6811905,87.44287,16.977203,,76,10.144388,3.0850763,,,14.412385,-0.11111111,16.977203,29.216759,18.21074,28.343828,1.1505641,-0.011111111,10.821548,13.337897,0.99998045,-196.35722,0.11,82.57813286781311
1540,2.9399917,1.4820997e-29,11.912609,17.033027904411174,12.715979,77.51394,16.977203,,77,10.131316,2.8502913,,,15.3598175,-0.23232323,16.977203,28.868744,16.956135,27.195093,1.0066745,-0.023232324,12.252823,13.204067,0.99998045,-569.3498,0.11,83.67673254013062
1560,4.6022515,15.0608635,13.083409,18.463708598418563,12.767092,81.01622,16.977203,,78,10.118413,2.5952263,,,16.702845,-0.1919192,16.977203,30.418816,17.335405,31.217402,1.0386695,-0.019191919,16.670849,13.093223,0.99998045,-413.21924,0.11,84.84005188941956
1580,13.704873,14.20248,12.046608,18.49715237383247,12.817323,85.53288,16.977203,,79,10.105674,2.8185866,,,16.73526,-0.1919192,16.977203,30.124563,18.077955,30.34602,1.0826948,-0.019191919,14.20248,13.100628,0.99998045,-407.78156,0.11,86.03188800811768
1600,9.693759,,28.848087,18.33667368020009,12.864423,7.111251e-15,16.977203,,80,10.093095,1.1770072,,,16.585411,0.21212122,16.977203,28.848087,7.7938604e-16,6.0418072e-15,8.789063e-17,0.021212121,5.941533e-15,13.058316,0.99998045,-312.2269,0.11,87.40179467201233
1620,-59.65649,3.9113338e-11,33.948154,9.761208170652559,12.815536,3.912054e-11,16.977203,,81,10.080672,1.0001842,,,8.904461,0.21212122,16.977203,33.948154,4.300572e-12,3.9113338e-11,4.829686e-13,0.021212121,3.9113338e-11,12.148335,0.99998045,-309.4046,0.11,88.54922556877136
1640,13.03174,40.999977,33.954407,9.559690771926952,12.765389,40.999977,16.977203,,82,10.068402,1.0,,,8.703599,0.21212122,16.977203,38.306206,4.351797,40.999977,0.49999973,0.021212121,40.999977,12.146988,0.99998045,-305.42715,0.11,89.64936971664429
1660,17.703264,4.860606e-08,33.82633,9.540793848001154,12.716244,4.879045e-08,16.977203,,83,10.056281,1.0037863,,,8.686264,0.25252524,16.977203,33.82633,5.106144e-09,4.8606413e-08,5.878368e-10,0.025252525,4.860606e-08,12.2068405,0.99998045,-425.04745,0.11,90.71881651878357
1680,9.337967,83.997345,33.954407,9.401029098771692,12.666761,83.997345,16.977203,,84,10.044305,1.0,,,8.559768,0.25252524,16.977203,42.513905,8.559497,83.997345,0.9999684,0.025252525,83.997345,12.160853,0.99998045,-419.8235,0.11,92.00343656539917
1700,10.7019825,0.049518745,33.591484,9.340913042466585,12.6178055,30.550068,16.977203,,85,10.03247,1.010804,,,8.505436,0.23232323,16.977203,36.668358,3.0768738,30.223532,0.35941255,0.023232324,30.222351,12.14015,0.99998045,-351.37308,0.11,93.1856517791748
1720,11.098857,83.42072,27.601116,9.458223990681077,12.57119,106.30889,16.977203,,86,10.020774,1.2301824,,,8.6089,0.23232323,16.977203,38.230316,10.629198,86.417175,1.2361499,0.023232324,83.42072,12.120065,0.99998045,-347.10684,0.11,94.34262132644653
1740,7.2641964,9.681019e-06,33.92148,9.421329069121109,12.525307,0.7665716,16.977203,,87,10.009213,1.0009707,,,8.579389,0.27272728,16.977203,33.99642,0.07494329,0.76582813,0.008811167,0.02727273,0.7658278,12.063336,0.99998045,-473.5086,0.11,95.47559905052185
1760,14.150108,87.27023,33.65927,9.249970646311166,12.478699,88.03886,16.977203,,88,9.997785,1.0087683,,,8.423863,0.27272728,16.977203,42.087566,8.428296,87.27361,1.0004416,0.02727273,87.27023,12.075851,0.99998045,-467.9163,0.11,96.64974856376648
1780,17.936398,44.451862,23.804562,9.238537563976239,12.432989,89.53723,16.977203,,89,9.9864855,1.4263823,,,8.41054,0.27272728,16.977203,32.273323,8.468763,62.77225,1.0060363,0.02727273,44.451862,12.138366,0.99998045,-462.41458,0.11,98.17237138748169
1800,12.526487,1.4997812e-30,32.05336,9.285374421436334,12.388775,1.1473587,16.977203,,90,9.975311,1.0593088,,,8.453625,0.1919192,16.977203,32.164303,0.11094458,1.0831201,0.01274843,0.019191919,1.0810949,12.1407175,0.99998045,-232.90646,0.11,99.4052414894104
1820,12.481657,23.7808,32.42548,9.585676092308136,12.348511,24.927883,16.977203,,91,9.964262,1.047152,,,8.724777,0.1919192,16.977203,34.8152,2.3897228,23.80541,0.27393278,0.019191919,23.7808,12.133674,0.99998045,-230.17508,0.11,100.49849367141724
1840,14.1742,,31.89195,9.584625761732926,12.309146,2.4125143e-07,16.977203,,92,9.953333,1.0646701,,,8.726959,0.3131313,16.977203,31.89195,2.205714e-08,2.2659736e-07,2.6222982e-09,0.031313132,2.2609018e-07,12.147702,0.99998045,-599.29333,0.11,101.68405890464783
1860,-7.6255903,1144.422,33.932396,9.09044788555701,12.265845,1145.1644,16.977203,,93,9.942522,1.0006486,,,8.282148,0.2929293,16.977203,135.91647,101.98408,1144.4221,12.313596,0.02929293,1144.422,11.924393,0.99998045,-514.7693,0.11,103.00112819671631
1880,9.239589,91.75545,23.918484,9.13792565292142,12.223855,179.43723,16.977203,,94,9.931827,1.4195886,,,8.318731,0.2929293,16.977203,39.765083,15.846601,126.40087,1.9089067,0.02929293,91.75545,11.912868,0.99998045,-509.1466,0.11,104.1281111240387
1900,15.614515,2.4670769e-08,33.77399,9.135971080687513,12.182728,6.1067435e-06,16.977203,,95,9.921245,1.0053419,,,8.316824,0.33333334,16.977203,33.77399,5.3240103e-07,6.0742955e-06,6.428151e-08,0.033333335,6.0742404e-06,11.955507,0.99998045,-663.6685,0.11,105.2646746635437
1920,9.647817,92.641754,32.545475,8.986734097585305,12.141049,96.730354,16.977203,,96,9.910773,1.0432912,,,8.181538,0.3131313,16.977203,40.79368,8.248205,92.716545,1.0076078,0.031313132,92.641754,11.921107,0.99998045,-573.9775,0.11,106.40087938308716
