IWMax,ReturnStepMax,LQGsigma,MISE,ReturnLastEpisode,DenMISEMeanLog,IWLastEpisode,ReturnMean,IWMin,LQGmu1,ReturnAbsMax,ReturnMax,ReturnMin,IWFirstEpisode,DenMISELogLast,LQGmu01,Bound,TimeElapsed,DenMISELogFirst,URet,TimestepsSoFar,target_sum_log_mean,IWMean,Iteration
1.17639975e-05,0.9995132,1.0,1.396886e-05,14.28879,-12.254863,3.484733e-07,12.667415,,0.01,15.763994,15.763994,,5.354247e-09,-12.254863,0.001,1.396886e-05,1.9576120376586914,-12.254863,15.873485576176416,420,-28.055426,1.0620165e-06,21
1.2324179e-05,0.9995132,1.0,1.3968972e-05,10.985656,-12.301382,2.3459945e-10,12.590972,,0.01,15.763994,15.763994,,5.6092118e-09,-12.301383,0.001,1.3968972e-05,2.028435230255127,-12.301383,12.121865735760785,440,-28.3472,1.062027e-06,22
1.2884356e-05,0.9995132,1.0,1.4231853e-05,10.3117285,-12.345833,5.863656e-07,12.491875,,0.01,15.763994,15.763994,,5.8641816e-09,-12.345834,0.001,1.4231853e-05,2.1009762287139893,-12.345835,11.322274335825451,460,-28.275375,1.0875203e-06,23
1.3444545e-05,0.9995132,1.0,1.4267097e-05,11.095075,-12.388393,7.62387e-08,12.433674,,0.01,15.763994,15.763994,,6.119152e-09,-12.388394,0.001,1.4267097e-05,2.175945281982422,-12.388394,12.215480728891594,480,-28.29631,1.0906971e-06,24
1.4004722e-05,0.9995132,1.0,1.45151e-05,10.396541,-12.429215,5.963759e-07,12.352189,,0.01,15.763994,15.763994,,6.3741106e-09,-12.429215,0.001,1.45151e-05,2.254079818725586,-12.429216,11.48863160326307,500,-28.234922,1.1145515e-06,25
1.4564898e-05,0.9995132,1.0,1.5199116e-05,14.540933,-12.468436,1.2230714e-06,12.436371,,0.01,15.763994,15.763994,,6.6290755e-09,-12.468435,0.001,1.5199116e-05,2.341740369796753,-12.468437,16.035712578376604,520,-28.152138,1.1615922e-06,26
1.5125078e-05,0.9995132,1.0,1.5776879e-05,13.781559,-12.506176,1.1319288e-06,12.486193,,0.01,15.763994,15.763994,,6.8840427e-09,-12.506176,0.001,1.5776879e-05,2.438305616378784,-12.506177,15.300674937888774,540,-28.079752,1.2035151e-06,27
1.5685262e-05,0.9995132,1.0,1.5992657e-05,16.297157,-12.542543,3.7073073e-07,12.622298,,0.01,16.297157,16.297157,,7.139006e-09,-12.542544,0.001,1.5992657e-05,2.524608850479126,-12.542545,17.974782749484014,560,-28.053701,1.2167553e-06,28
1.6245436e-05,0.9995132,1.0,1.626281e-05,12.681522,-12.577635,6.177977e-07,12.62434,,0.01,16.297157,16.297157,,7.3939708e-09,-12.577636,0.001,1.626281e-05,2.609888792037964,-12.577637,14.133659359739003,580,-28.013048,1.2380583e-06,29
1.6805618e-05,0.9995132,1.0,1.6345151e-05,10.684184,-12.611537,2.3121657e-07,12.559668,,0.01,16.297157,16.297157,,7.648933e-09,-12.611538,0.001,1.6345151e-05,2.6967549324035645,-12.611538,11.727660674155402,600,-28.008997,1.2457652e-06,30
1.7365795e-05,0.9995132,1.0,1.6345266e-05,13.3664255,-12.644326,2.7433997e-10,12.585693,,0.01,16.297157,16.297157,,7.903893e-09,-12.644327,0.001,1.6345266e-05,2.7841715812683105,-12.644327,14.713187623644883,620,-28.223576,1.2457738e-06,31
1.7925984e-05,0.9995132,1.0,1.9491203e-05,12.264834,-12.676075,8.208021e-06,12.575666,,0.01,16.297157,16.297157,,8.158865e-09,-12.676068,0.001,1.9491203e-05,2.874643325805664,-12.676076,13.696515553541447,640,-28.103666,1.5022742e-06,32
1.8486146e-05,0.9995132,1.0,1.993102e-05,10.9933815,-12.706846,1.320278e-06,12.5277195,,0.01,16.297157,16.297157,,8.413826e-09,-12.706846,0.001,1.993102e-05,2.9712021350860596,-12.706848,12.05967357747986,660,-28.04733,1.542282e-06,33
1.904633e-05,0.9995132,1.0,1.9973682e-05,15.218534,-12.736699,9.5321006e-08,12.60686,,0.01,16.297157,16.297157,,8.668781e-09,-12.736701,0.001,1.9973682e-05,3.0662894248962402,-12.736701,16.844975751384165,680,-28.072489,1.5450853e-06,34
1.9606505e-05,0.9995132,1.0,2.0000853e-05,15.781403,-12.765687,6.026987e-08,12.697562,,0.01,16.297157,16.297157,,8.923749e-09,-12.765688,0.001,2.0000853e-05,3.1667723655700684,-12.765689,17.432166191565713,700,-28.110134,1.5468069e-06,35
2.0166684e-05,0.9995132,1.0,2.005787e-05,11.006647,-12.793858,1.8650636e-07,12.650592,,0.01,16.297157,16.297157,,9.178719e-09,-12.7938595,0.001,2.005787e-05,3.270984411239624,-12.7938595,12.197280797499777,720,-28.115091,1.551987e-06,36
2.0726851e-05,0.9995132,1.0,2.0059775e-05,15.413914,-12.821258,4.5856563e-09,12.725276,,0.01,16.297157,16.297157,,9.433684e-09,-12.821259,0.001,2.0059775e-05,3.373154401779175,-12.821259,16.990658586731854,740,-28.220673,1.5521106e-06,37
2.1287024e-05,0.9995132,1.0,2.0061043e-05,9.295015,-12.847924,5.2052957e-09,12.635006,,0.01,16.297157,16.297157,,9.688633e-09,-12.847926,0.001,2.0061043e-05,3.478074073791504,-12.847926,10.21099203121593,760,-28.318064,1.5522471e-06,38
,0.9995132,5.1827135e-07,,9.737263,-12.873899,,12.560705,,16.0026,16.297157,16.297157,,,-12.873842,1.60026,,3.5848875045776367,-12.873902,10.716865990241427,780,-8.397819e+16,,39
,0.9995132,5.1827135e-07,,0.48706567,-12.899218,,12.258863,,16.0026,16.297157,16.297157,,,-12.8992195,1.60026,,3.699474334716797,-12.8992195,0.4870656730564473,800,-8.20656e+16,,40
,0.9995132,5.1827135e-07,,,inf,,11.9598675,,16.0026,16.297157,16.297157,,,inf,1.60026,,3.803548574447632,-12.923912,,820,-8.0064e+16,,41
,0.9995132,5.1827135e-07,,,inf,,11.675108,,16.0026,16.297157,16.297157,,,inf,1.60026,,3.9072377681732178,-12.94801,,840,-7.815771e+16,,42
,0.9995132,5.1827135e-07,,,inf,,11.403594,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.014347791671753,-12.97154,,860,-7.634009e+16,,43
,0.9995132,5.1827135e-07,,,inf,,11.144422,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.122593402862549,-12.99453,,880,-7.4605085e+16,,44
,0.9995132,5.1827135e-07,,,inf,,10.896768,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.2334325313568115,-13.017003,,900,-7.294719e+16,,45
,0.9995132,5.1827135e-07,,,inf,,10.659882,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.345484018325806,-13.038981,,920,-7.136139e+16,,46
,0.9995132,5.1827135e-07,,,inf,,10.433076,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.4602370262146,-13.060488,,940,-6.984306e+16,,47
,0.9995132,5.1827135e-07,,,inf,,10.21572,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.5759148597717285,-13.081541,,960,-6.8387995e+16,,48
,0.9995132,5.1827135e-07,,,inf,,10.007236,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.693513870239258,-13.10216,,980,-6.6992324e+16,,49
,0.9995132,5.1827135e-07,,,inf,,9.807091,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.815574645996094,-13.122363,,1000,-6.5652475e+16,,50
,0.9995132,5.1827135e-07,,,inf,,9.614795,,16.0026,16.297157,16.297157,,,inf,1.60026,,4.938943862915039,-13.142166,,1020,-6.4365174e+16,,51
,0.9995132,5.1827135e-07,,,inf,,9.429895,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.0678181648254395,-13.161584,,1040,-6.312738e+16,,52
,0.9995132,5.1827135e-07,,,inf,,9.251973,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.193084001541138,-13.180633,,1060,-6.1936297e+16,,53
,0.9995132,5.1827135e-07,,,inf,,9.08064,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.3226776123046875,-13.199325,,1080,-6.078933e+16,,54
,0.9995132,5.1827135e-07,,,inf,,8.915537,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.45233416557312,-13.217673,,1100,-5.968407e+16,,55
,0.9995132,5.1827135e-07,,,inf,,8.756331,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.586493253707886,-13.235692,,1120,-5.8618285e+16,,56
,0.9995132,5.1827135e-07,,,inf,,8.602712,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.723268032073975,-13.253391,,1140,-5.7589894e+16,,57
,0.9995132,5.1827135e-07,,,inf,,8.454389,,16.0026,16.297157,16.297157,,,inf,1.60026,,5.860582113265991,-13.270783,,1160,-5.659696e+16,,58
,0.9995132,5.1827135e-07,,,inf,,8.311094,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.000835418701172,-13.287878,,1180,-5.5637694e+16,,59
,0.9995132,5.1827135e-07,,,inf,,8.172576,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.1417834758758545,-13.304685,,1200,-5.4710397e+16,,60
,0.9995132,5.1827135e-07,,,inf,,8.038599,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.284271001815796,-13.321215,,1220,-5.3813505e+16,,61
,0.9995132,5.1827135e-07,,,inf,,7.9089446,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.429352521896362,-13.337475,,1240,-5.294555e+16,,62
,0.9995132,5.1827135e-07,,,inf,,7.783406,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.5756752490997314,-13.353476,,1260,-5.210514e+16,,63
,0.9995132,5.1827135e-07,,,inf,,7.66179,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.76551365852356,-13.369224,,1280,-5.1290998e+16,,64
,0.9995132,5.1827135e-07,,,inf,,7.543916,,16.0026,16.297157,16.297157,,,inf,1.60026,,6.923279523849487,-13.3847275,,1300,-5.0501905e+16,,65
,0.9995132,5.1827135e-07,,,inf,,7.4296145,,16.0026,16.297157,16.297157,,,inf,1.60026,,7.0777740478515625,-13.399995,,1320,-4.9736726e+16,,66
,0.9995132,5.1827135e-07,,,inf,,7.3187246,,16.0026,16.297157,16.297157,,,inf,1.60026,,7.232716083526611,-13.415033,,1340,-4.8994384e+16,,67
,0.9995132,5.1827135e-07,,,inf,,7.2110963,,16.0026,16.297157,16.297157,,,inf,1.60026,,7.38870906829834,-13.429848,,1360,-4.827388e+16,,68
,0.9995132,5.1827135e-07,,,inf,,7.106588,,16.0026,16.297157,16.297157,,,inf,1.60026,,7.546468019485474,-13.444447,,1380,-4.7574258e+16,,69
