TimestepsSoFar,ReturnMin,ReturnMax,MISE,ReturnStepMax,DenMISELogFirst,ExplorationBonus,Bound,URet,Iteration,IWFirstEpisode,ReturnAbsMax,LQGmu01,DenMISEMeanLog,IWMean,IWMin,IWMax,SqrtESSClassic,IWNorm2,ReturnMean,ReturnLastEpisode,LQGmu1,LQGsigma,DenMISELogLast,TimeElapsed,IWLastEpisode,IWNorm1,target_sum_log_mean
220,,16.3244,0.041061074,0.9999798,18.164928,29.326632,29.367693,17.073532040874962,11,7.7950875e-07,16.3244,-0.017690323,16.465057,0.0025203286,,0.024805034,1.1132816,0.024902608,14.796839,15.401383,-0.17509857,0.11,15.482,2.3053572177886963,8.8283045e-08,0.027723616,-26.309704
240,,16.487476,19.819452,0.9999798,18.077917,31.87493,51.69438,18.24218369291387,12,0.0005739475,16.487476,-0.015854703,16.149042,1.2026278,,13.944832,1.0345106,13.950107,14.937725,16.487476,-0.15724474,0.11,13.627499,2.438652992248535,13.944832,14.431534,-12.379798
260,,16.619843,12.872138,0.9999798,17.997921,22.524971,35.39711,18.375341915803997,13,0.0055882884,16.619843,-0.015097902,15.615406,0.7805291,,6.309451,1.4756817,6.876062,15.067119,16.619843,-0.14985344,0.11,9.361159,2.5754122734069824,2.5763729,10.146878,-7.046316
280,,16.619843,13.00142,0.9999798,17.924244,16.6902,29.69162,18.306623168590896,14,0.032882553,16.619843,-0.01442157,15.626617,0.7897628,,3.6557696,1.991569,5.5517426,15.173293,16.55356,-0.14323393,0.11,16.06467,2.7168045043945312,3.6557696,11.056679,-2.5644176
300,,16.619843,18.441393,0.9999798,17.857595,18.164812,36.606205,17.975496817382552,15,1.7234967e-06,16.619843,-0.017567191,15.7156105,1.1168029,,7.4143267,1.8298944,9.154651,15.245146,16.251085,-0.17390436,0.11,17.205816,2.8618078231811523,3.181851,16.752045,-14.499084
320,,16.619843,,0.9999798,17.793058,8.309921,8.309921,18.164107974383292,16,,16.619843,-1.0,15.607714,,,,4.0,4e-10,15.318227,16.414452,-1.0,0.11,13.989595,3.0012385845184326,,1.6e-09,-564.19147
340,,16.619843,16.428299,0.9999798,17.732433,33.239685,49.667984,18.134792172098898,17,,16.619843,-1.0,15.134288,1.0000005,,17.000008,1.0,17.000008,15.383525,16.428291,-1.0,0.11,8.529469,3.1507279872894287,17.000008,17.000008,-530.3354
360,,16.619843,16.485086,0.9999798,17.675276,23.504004,39.98909,18.25645537291995,18,,16.619843,-1.0,15.169952,0.9999996,,9.0,1.4142137,12.727916,15.44788,16.5419,-1.0,0.11,16.054811,3.2245616912841797,8.999991,17.999992,-499.85828
380,,16.619843,16.521128,0.9999798,17.621208,19.19094,35.712067,18.308097041542947,19,,16.619843,-1.0,15.211179,1.0000004,,6.333336,1.7320508,10.96966,15.508158,16.593172,-1.0,0.11,16.11548,3.3035991191864014,6.333336,19.000008,-472.60464
400,,16.619843,16.54108,0.9999798,17.569914,16.619843,33.160923,18.30852359624506,20,,16.619843,-1.0,15.212725,1.0,,5.0,2.0,10.0,15.562798,16.600954,-1.0,0.11,15.353657,3.3847177028656006,5.0,20.0,-448.12622
420,,16.619843,16.554354,0.9999798,17.521124,14.865239,31.419594,18.32038752072073,21,,16.619843,-1.0,15.223852,1.0000002,,4.200003,2.236068,9.391487,15.612541,16.607426,-1.0,0.11,15.5296335,3.471977710723877,4.1999993,21.000004,-425.97903
440,,16.619843,16.556602,0.9999798,17.474604,13.5700445,30.126648,18.27670795038554,22,,16.619843,-1.0,15.083022,1.0,,3.6666703,2.4494898,8.9814625,15.655967,16.567871,-1.0,0.11,12.190897,3.554961681365967,3.6666667,22.0,-406.00314
460,,16.619843,16.548481,0.9999798,17.430153,12.563421,29.111902,18.19648562173176,23,,16.619843,-1.0,14.722616,1.0,,3.2857165,2.6457512,8.693183,15.692654,16.499748,-1.0,0.11,6.846703,3.6374638080596924,3.2857149,23.0,-388.00143
480,,16.638826,16.559769,0.9999798,17.387592,11.765427,28.325195,18.350533589760403,24,,16.638826,-1.0,14.800557,0.9999997,,3.0000014,2.828427,8.485279,15.732076,16.638826,-1.0,0.11,16.637371,3.7241051197052,2.9999986,23.999992,-371.0957
500,,16.638826,16.549578,0.9999798,17.346771,11.092551,27.642128,18.17470748577613,25,,16.638826,-1.0,14.914155,0.9999998,,2.7777805,3.0,8.333332,15.761514,16.468035,-1.0,0.11,17.677996,3.8070504665374756,2.7777753,24.999996,-355.5039
520,,16.638826,16.814817,0.9999798,17.30755,10.535454,27.350271,18.22233717978793,26,,16.638826,-1.0,14.953386,1.0162733,,3.0231128,3.158635,8.3653555,15.790476,16.514511,-1.0,0.11,15.9664135,3.8977246284484863,3.0231128,26.423103,-341.17398
540,,16.638826,16.767632,0.9999798,17.26981,10.042169,26.8098,18.285273761989014,27,,16.638826,-1.0,15.124274,1.0132531,,2.8123794,3.3137915,8.25575,15.819556,16.575645,-1.0,0.11,19.580847,4.015062570571899,2.4545455,27.357834,-327.77945
560,,16.6663,16.740255,0.9999798,17.233442,9.628559,26.368814,18.383082534288988,28,,16.6663,-1.0,15.131631,1.0110024,,2.6414065,3.4618473,8.177156,15.849797,16.6663,-1.0,0.11,15.342939,4.135646343231201,2.3333328,28.308067,-315.49484
580,,16.6663,16.710129,0.9999798,17.19835,9.24947,25.959599,18.190563272467813,29,,16.6663,-1.0,15.238959,1.0095184,,2.499913,3.603731,8.123812,15.871721,16.485601,-1.0,0.11,18.25614,4.242257595062256,2.2376487,29.276031,-303.95837
600,,16.6663,16.69483,0.9999798,17.16445,8.9120865,25.606916,18.371446889965483,30,,16.6663,-1.0,15.070685,1.0081385,,2.3808746,3.740157,8.086334,15.8979225,16.657751,-1.0,0.11,10.201675,4.348629951477051,2.1428576,30.244158,-293.461
620,,16.6663,16.676573,0.9999798,17.13166,8.609227,25.2858,18.27135988042317,31,,16.6663,-1.0,14.902462,1.0070353,,2.2793422,3.8717296,8.063087,15.919276,16.559906,-1.0,0.11,9.8659525,4.4576451778411865,2.066566,31.218094,-283.65286
640,,16.6663,16.659782,0.9999798,17.09991,8.33536,24.995142,18.232300777858637,32,,16.6663,-1.0,14.88603,1.0061451,,2.191721,3.9989398,8.051295,15.938265,16.526918,-1.0,0.11,14.386214,4.578028440475464,2.000001,32.196644,-274.31744
660,,16.6663,16.646759,0.9999798,17.06914,8.08612,24.73288,18.253270140599444,33,,16.6663,-1.0,14.943106,1.0054133,,2.115329,4.1221995,8.048771,15.956573,16.542387,-1.0,0.11,16.778465,4.701422452926636,1.9411757,33.17864,-265.47626
680,,16.6663,16.63628,0.9999798,17.039286,7.858017,24.494297,18.254579508503806,34,,16.6663,-1.0,15.031854,1.0048051,,2.0481443,4.241859,8.053868,15.974011,16.549501,-1.0,0.11,17.968918,4.8105175495147705,1.8888879,34.163372,-257.1209
700,,16.6663,16.627764,0.9999798,17.010298,7.648216,24.27598,18.262480185460138,35,,16.6663,-1.0,15.121645,1.0042939,,1.9885895,4.358219,8.065287,15.990625,16.55551,-1.0,0.11,18.182348,4.9169111251831055,1.8421042,35.150288,-249.23767
720,,16.6663,16.625132,0.9999798,16.982128,7.4543886,24.079521,18.358266268698603,36,,16.6663,-1.0,15.08745,1.0038608,,1.9354416,4.4715405,8.082,16.008865,16.647272,-1.0,0.11,13.8979025,5.037216663360596,1.8,36.13899,-241.912
740,,16.6663,16.623634,0.9999798,16.95473,7.274604,23.89824,18.37626134128336,37,,16.6663,-1.0,15.028563,1.0034893,,1.8877174,4.5820503,8.103163,16.02643,16.658777,-1.0,0.11,12.915558,5.1570820808410645,1.7619052,37.1291,-235.00948
760,,16.6663,16.616632,0.9999798,16.92806,7.10724,23.723873,18.225258049310582,38,,16.6663,-1.0,15.0578985,1.0031692,,1.8446251,4.68995,8.12811,16.039637,16.528217,-1.0,0.11,16.149765,5.294198513031006,1.7272717,38.12043,-228.38564
780,,16.6663,16.610905,0.9999798,16.902084,6.950929,23.561834,18.240875346718745,39,,16.6663,-1.0,15.110101,1.0028915,,1.8055205,4.7954164,8.156282,16.052416,16.538069,-1.0,0.11,17.099909,5.419657945632935,1.6956508,39.11277,-222.0776
800,,16.6663,16.60487,0.9999798,16.876768,6.8045063,23.409376,18.223580755650787,40,,16.6663,-1.0,15.225055,1.0026487,,1.7698793,4.898607,8.187216,16.063969,16.51448,-1.0,0.11,19.714033,5.548430919647217,1.6666675,40.10595,-216.02005
820,,16.6663,16.592619,0.9999798,16.852076,6.666968,23.259586,18.043902658057853,41,,16.6663,-1.0,15.054924,1.0024347,,1.7372597,4.999664,8.220517,16.07078,16.343235,-1.0,0.11,8.25514,5.67044734954834,1.639999,41.099823,-210.53784
840,,16.6663,16.588799,0.9999798,16.827976,6.53745,23.126247,18.233536032924402,42,,16.6663,-1.0,15.033638,1.0022463,,1.7072884,5.098716,8.255872,16.081808,16.533981,-1.0,0.11,14.166043,5.800214529037476,1.6153848,42.094345,-205.17635
860,,16.6663,16.584698,0.9999798,16.804447,6.4152017,22.999899,18.22374255745797,43,,16.6663,-1.0,15.062355,1.0020785,,1.6796592,5.195877,8.2929945,16.0919,16.515728,-1.0,0.11,16.27335,5.929310321807861,1.5925915,43.08938,-200.01553
880,,16.6663,16.578293,0.9999798,16.781458,6.299568,22.877861,18.135243132150627,44,,16.6663,-1.0,15.0793705,1.0019292,,1.6541107,5.2912517,8.331655,16.099815,16.44017,-1.0,0.11,15.815646,6.072981834411621,1.5714289,44.08488,-195.1
900,,16.6663,16.578499,0.9999798,16.758984,6.189972,22.76847,18.328501268118586,45,,16.6663,-1.0,15.094319,1.0017955,,1.6304116,5.3849354,8.371651,16.111294,16.616386,-1.0,0.11,15.7564745,6.209099292755127,1.5517236,45.0808,-190.40454
920,,16.6663,16.58014,0.9999798,16.737005,6.0859056,22.666044,18.371625779097357,46,,16.6663,-1.0,15.133039,1.001675,,1.6083676,5.4770155,8.412803,16.123175,16.657793,-1.0,0.11,16.879593,6.362262010574341,1.533334,46.07705,-185.88905
940,,16.682535,16.582539,0.9999798,16.7155,5.992752,22.57529,18.40419744035421,47,,16.682535,-1.0,14.947201,1.0015662,,1.5878143,5.5675707,8.454964,16.135075,16.682535,-1.0,0.11,6.4025903,6.555831432342529,1.5161285,47.07361,-181.7889
960,,16.682535,16.578127,0.9999798,16.694447,5.8983526,22.476479,18.167963063411303,48,,16.682535,-1.0,14.968501,1.0014678,,1.5686066,5.656676,8.498005,16.142,16.46753,-1.0,0.11,15.9734335,6.700258016586304,1.5,48.070457,-177.6604
980,,16.682535,16.57933,0.9999798,16.673826,5.80828,22.387611,18.357189484928163,49,,16.682535,-1.0,15.006517,1.0013783,,1.5506127,5.7443976,8.541807,16.152212,16.642338,-1.0,0.11,16.83484,6.849988222122192,1.4848464,49.067535,-173.68303
1000,,16.682535,16.577438,0.9999798,16.653624,5.722213,22.299652,18.24648721824435,50,,16.682535,-1.0,15.089753,1.0012964,,1.533723,5.8307986,8.586271,16.159933,16.538252,-1.0,0.11,19.171835,6.998764753341675,1.4705876,50.06482,-169.81824
1020,,16.682535,16.574503,0.9999798,16.633821,5.639861,22.214363,18.203263363609054,51,,16.682535,-1.0,14.98093,1.0012224,,1.5178393,5.9159384,8.631317,16.166525,16.496084,-1.0,0.11,9.543072,7.169814825057983,1.4571438,51.06234,-166.29396
1040,,16.682535,16.57357,0.9999798,16.614403,5.560968,22.134539,18.27057737788801,52,,16.682535,-1.0,14.924253,1.001154,,1.5028709,5.9998674,8.676859,16.17412,16.561462,-1.0,0.11,12.036855,7.324602127075195,1.444444,52.060005,-162.85745
1060,,16.682535,16.571037,0.9999798,16.595354,5.4852943,22.056332,18.202499414668484,53,,16.682535,-1.0,14.910799,1.0010911,,1.4887457,6.0826397,8.72283,16.180252,16.499165,-1.0,0.11,14.214179,7.479443073272705,1.4324324,53.05783,-159.50969
1080,,16.682535,16.572525,0.9999798,16.576662,5.4126306,21.985155,18.361023775900616,54,,16.682535,-1.0,15.002628,1.0010337,,1.4753947,6.1642985,8.769176,16.18887,16.6456,-1.0,0.11,19.872478,7.636873245239258,1.4210534,54.055817,-156.18129
1100,,16.682535,16.570177,0.9999798,16.558313,5.342779,21.912956,18.203804450892704,55,,16.682535,-1.0,14.974991,1.00098,,1.4627492,6.24489,8.815831,16.194498,16.498428,-1.0,0.11,13.485407,7.793605327606201,1.4102557,55.053898,-153.0902
1120,,16.682535,16.572388,0.9999798,16.540295,5.275565,21.847954,18.39356943500983,56,,16.682535,-1.0,14.971522,1.0009309,,1.4507626,6.3244543,8.8627615,16.203075,16.674835,-1.0,0.11,14.783392,7.986849784851074,1.4000003,56.05213,-150.08646
1140,,16.682535,16.57183,0.9999798,16.522596,5.210826,21.782658,18.27775288452533,57,,16.682535,-1.0,14.972266,1.0008854,,1.4393795,6.4030294,8.909918,16.209425,16.56503,-1.0,0.11,15.016508,8.158508062362671,1.3902439,57.050465,-147.18414
1160,,16.682535,16.573235,0.9999798,16.505203,5.1484137,21.72165,18.356897332217898,58,,16.682535,-1.0,14.967831,1.0008428,,1.4285567,6.480651,8.957261,16.216946,16.645617,-1.0,0.11,14.717411,8.34654712677002,1.3809531,58.04888,-144.38716
1180,,16.682535,16.5736,0.9999798,16.48811,5.088191,21.661793,18.319110266461383,59,,16.682535,-1.0,14.983169,1.0008037,,1.4182563,6.557354,9.004764,16.223486,16.602762,-1.0,0.11,15.875211,8.518338680267334,1.372092,59.04742,-141.66548
1200,,16.682535,16.571026,0.9999798,16.471302,5.0300336,21.601059,18.18386840789588,60,,16.682535,-1.0,15.001397,1.0007669,,1.4084358,6.63317,9.052385,16.227661,16.473988,-1.0,0.11,16.079111,8.702176332473755,1.3636351,60.046013,-139.03125
1220,,16.682535,16.570229,0.9999798,16.454773,4.973827,21.544056,18.252093935006677,61,,16.682535,-1.0,15.019269,1.0007327,,1.39907,6.708129,9.100107,16.23291,16.547907,-1.0,0.11,16.09381,8.877979278564453,1.3555546,61.044693,-136.48322
1240,,16.682535,16.568752,0.9999798,16.438513,4.919462,21.488214,18.22346654961666,62,,16.682535,-1.0,14.992222,1.0007006,,1.3901219,6.7822595,9.147901,16.237452,16.514572,-1.0,0.11,13.344426,9.063182830810547,1.3478266,62.043434,-134.06184
1260,,16.682535,16.566551,0.9999798,16.422512,4.866843,21.433395,18.189726065653876,63,,16.682535,-1.0,15.070211,1.0006708,,1.3815657,6.855588,9.195748,16.241253,16.476837,-1.0,0.11,19.907673,9.259939670562744,1.3404264,63.042263,-131.61322
1280,,16.682535,16.565807,0.9999798,16.406763,4.8158774,21.381685,18.246263483378627,64,,16.682535,-1.0,15.082346,1.0006425,,1.373379,6.9281397,9.243625,16.245953,16.542034,-1.0,0.11,15.848816,9.45672869682312,1.3333327,64.04112,-129.30463
1300,,16.682535,16.566286,0.9999798,16.39126,4.7664795,21.332766,18.31554943388981,65,,16.682535,-1.0,15.117862,1.0006164,,1.365535,6.99994,9.291518,16.2514,16.599987,-1.0,0.11,17.392733,9.650392293930054,1.3265319,65.04007,-127.04339
1320,,16.682535,16.56487,0.9999798,16.375992,4.7185717,21.283443,18.21299465069651,66,,16.682535,-1.0,15.096236,1.0005918,,1.358013,7.071011,9.339408,16.255253,16.505722,-1.0,0.11,13.692422,9.842934846878052,1.3200014,66.039055,-124.90683
1340,,16.682535,16.565958,0.9999798,16.360954,4.6720805,21.238039,18.344252284740623,67,,16.682535,-1.0,15.038608,1.0005684,,1.3507953,7.141373,9.387281,16.260847,16.63016,-1.0,0.11,11.236967,10.048158645629883,1.3137257,67.03808,-122.87076
1360,,16.682535,16.56593,0.9999798,16.34614,4.626936,21.192865,18.28241502834469,68,,16.682535,-1.0,14.970924,1.0005465,,1.3438619,7.211051,9.435123,16.265451,16.573868,-1.0,0.11,10.437925,10.240587711334229,1.3076934,68.037155,-120.906395
1380,,16.682535,16.56475,0.9999798,16.331541,4.583076,21.147827,18.22203231229023,69,,16.682535,-1.0,15.045658,1.0005258,,1.3371987,7.280061,9.482927,16.269032,16.5125,-1.0,0.11,20.12921,10.431838035583496,1.3018873,69.036285,-118.85858
1400,,16.682535,16.563406,0.9999798,16.317152,4.54044,21.103846,18.211586170413923,70,,16.682535,-1.0,15.005714,1.0005063,,1.330787,7.3484225,9.530677,16.272345,16.500895,-1.0,0.11,12.25124,10.649801015853882,1.296296,70.03544,-116.98187
1420,,16.682535,16.5614,0.9999798,16.302967,4.498972,21.060371,18.166734094179894,71,,16.682535,-1.0,14.98889,1.0004877,,1.3246155,7.4161544,9.578363,16.27501,16.461582,-1.0,0.11,13.81271,10.858705043792725,1.2909086,71.03462,-115.13609
1440,,16.682535,16.563187,0.9999798,16.28898,4.45862,21.021807,18.380692339268684,72,,16.682535,-1.0,14.977573,1.0004703,,1.3186713,7.483273,9.625983,16.28049,16.669594,-1.0,0.11,14.175609,11.058009624481201,1.2857139,72.03386,-113.33661
1460,,16.682535,16.563965,0.9999798,16.275187,4.419335,20.9833,18.3292972049996,73,,16.682535,-1.0,14.971107,1.0004537,,1.3129392,7.5497947,9.673524,16.28508,16.615423,-1.0,0.11,14.506949,11.262473821640015,1.2807014,73.03312,-111.58194
1480,,16.682535,16.56131,0.9999798,16.261581,4.381071,20.94238,18.124055475470385,74,,16.682535,-1.0,14.998834,1.000438,,1.3074116,7.615734,9.720982,16.286867,16.417423,-1.0,0.11,17.024345,11.475428342819214,1.2758617,74.03241,-109.84073
1500,,16.682535,16.5615,0.9999798,16.24816,4.3437834,20.905285,18.28996486056402,75,,16.682535,-1.0,15.036504,1.000423,,1.3020735,7.6811075,9.768347,16.290771,16.579815,-1.0,0.11,17.82544,11.693469524383545,1.2711859,75.03172,-108.135315
1520,,16.682535,16.560112,0.9999798,16.234913,4.307432,20.867544,18.190921957468294,76,,16.682535,-1.0,15.034914,1.000409,,1.296918,7.74593,9.815617,16.29333,16.485157,-1.0,0.11,14.917048,11.916099309921265,1.2666659,76.03108,-106.51309
1540,,16.682535,16.559723,0.9999798,16.221842,4.2719784,20.831701,18.256862562585926,77,,16.682535,-1.0,15.084514,1.0003953,,1.2919382,7.8102145,9.862782,16.296577,16.543331,-1.0,0.11,18.855377,12.139341115951538,1.2622945,77.03044,-104.8819
1560,,16.682535,16.559818,0.9999798,16.208939,4.2373857,20.797203,18.285613081128616,78,,16.682535,-1.0,15.102964,1.0003828,,1.2871199,7.8739753,9.9098425,16.300108,16.572052,-1.0,0.11,16.52509,12.355502605438232,1.2580643,78.029854,-103.32246
1580,,16.682535,16.5584,0.9999798,16.1962,4.2036204,20.76202,18.182299564756406,79,,16.682535,-1.0,15.178482,1.0003705,,1.282459,7.937222,9.956792,16.302345,16.476858,-1.0,0.11,21.070099,12.601641416549683,1.25397,79.02927,-101.745
1600,,16.682535,16.557339,0.9999798,16.18362,4.17065,20.72799,18.209462053042373,80,,16.682535,-1.0,15.145508,1.0003588,,1.2779465,7.9999685,10.003627,16.304775,16.496727,-1.0,0.11,12.541761,12.824550151824951,1.2499988,80.0287,-100.31364
1620,,16.682535,16.556892,0.9999798,16.171198,4.1384425,20.695335,18.24456786056859,81,,16.682535,-1.0,15.108986,1.000348,,1.2735763,8.062228,10.050345,16.307608,16.534168,-1.0,0.11,12.188367,13.057394981384277,1.2461531,81.02818,-98.922005
1640,,16.682535,16.55627,0.9999798,16.158928,4.1069703,20.66324,18.22426443006803,82,,16.682535,-1.0,15.164426,1.0003374,,1.2693421,8.124011,10.096942,16.310217,16.521576,-1.0,0.11,19.656199,13.307536125183105,1.2424259,82.027664,-97.473274
1660,,16.682535,16.555052,0.9999798,16.146807,4.076206,20.631258,18.188509828873315,83,,16.682535,-1.0,15.189429,1.0003271,,1.2652353,8.185325,10.1434145,16.31227,16.480482,-1.0,0.11,17.240824,13.540215492248535,1.2388054,83.027145,-96.0886
1680,,16.682535,16.553806,0.9999798,16.13483,4.0461216,20.599928,18.1810004916411,84,,16.682535,-1.0,15.144987,1.0003176,,1.2612524,8.246185,10.189763,16.314215,16.475723,-1.0,0.11,11.457491,13.784224271774292,1.2352946,84.02667,-94.80577
1700,,16.682535,16.551987,0.9999798,16.122995,4.016694,20.56868,18.135613268812573,85,,16.682535,-1.0,15.155974,1.0003083,,1.2573878,8.3066,10.235983,16.315617,16.433449,-1.0,0.11,16.079779,14.029584169387817,1.2318828,85.02621,-93.49878
1720,,16.682535,16.551878,0.9999798,16.1113,3.9879,20.539778,18.25317689400992,86,,16.682535,-1.0,15.140141,1.0002995,,1.2536376,8.366576,10.282074,16.318335,16.549313,-1.0,0.11,13.795441,14.294363021850586,1.2285708,86.02576,-92.24879
1740,,16.682535,16.552443,0.9999798,16.09974,3.9597163,20.51216,18.307119449596446,87,,16.682535,-1.0,15.141866,1.0002909,,1.2499917,8.4261265,10.3280325,16.321539,16.597118,-1.0,0.11,15.291193,14.558662176132202,1.225353,87.02531,-91.01035
1760,,16.682535,16.5532,0.9999798,16.08831,3.932122,20.485321,18.32318489490456,88,,16.682535,-1.0,15.176769,1.0002828,,1.2464515,8.485258,10.373861,16.324839,16.611877,-1.0,0.11,18.21432,14.817469596862793,1.2222216,88.02489,-89.76689
1780,,16.682535,16.553396,0.9999798,16.077011,3.9050965,20.458492,18.28181009611379,89,,16.682535,-1.0,15.187003,1.0002751,,1.243009,8.543981,10.419556,16.327616,16.57198,-1.0,0.11,16.08857,15.070194005966187,1.2191786,89.02448,-88.57527
1800,,16.682535,16.551592,0.9999798,16.065838,3.8786204,20.430212,18.12911789117684,90,,16.682535,-1.0,15.21964,1.0002677,,1.2396611,8.6023035,10.465115,16.328691,16.424541,-1.0,0.11,18.125298,15.320010900497437,1.216215,90.02409,-87.387535
1820,,16.682535,16.550135,0.9999798,16.054787,3.8526752,20.40281,18.14714479332199,91,,16.682535,-1.0,15.03447,1.0002606,,1.2364048,8.660234,10.510537,16.32999,16.446823,-1.0,0.11,-1.629998,15.586687088012695,1.2133346,91.02371,-86.443016
1840,,16.682535,16.550644,0.9999798,16.043858,3.8272448,20.377888,18.30493469665864,92,,16.682535,-1.0,15.058546,1.0002536,,1.233237,8.717778,10.555824,16.33285,16.593027,-1.0,0.11,17.250359,15.855090379714966,1.2105263,92.02333,-85.313835
1860,,16.682535,16.54906,0.9999798,16.033047,3.802311,20.351372,18.132851914777458,93,,16.682535,-1.0,15.108454,1.0002471,,1.2301524,8.774945,10.600975,16.333927,16.433086,-1.0,0.11,19.700977,16.11787223815918,1.2077911,93.02298,-84.18262
1880,,16.682535,16.550415,0.9999798,16.022352,3.7778587,20.328274,18.379607042255653,94,,16.682535,-1.0,15.106506,1.0002407,,1.227148,8.831741,10.645988,16.337383,16.658794,-1.0,0.11,14.926168,16.390992164611816,1.2051276,94.02262,-83.12629
1900,,16.682535,16.550203,0.9999798,16.01177,3.7538717,20.304075,18.241456323844393,95,,16.682535,-1.0,15.16029,1.0002345,,1.2242211,8.888176,10.690864,16.33949,16.537678,-1.0,0.11,20.216766,16.659770250320435,1.2025318,95.02228,-82.03652
1920,,16.682535,16.549473,0.9999798,16.001299,3.7303362,20.279808,18.20124456715492,96,,16.682535,-1.0,15.172795,1.0002285,,1.2213664,8.944253,10.735602,16.341118,16.495623,-1.0,0.11,16.361609,16.93027138710022,1.2000023,96.02194,-81.00964
1940,,16.682535,16.548542,0.9999798,15.990935,3.707237,20.25578,18.182157374447844,97,,16.682535,-1.0,15.180019,1.000223,,1.2185857,8.999983,10.780202,16.342527,16.477884,-1.0,0.11,15.87439,17.20036029815674,1.1975306,97.02164,-80.00898
1960,,16.682535,16.546862,0.9999798,15.9806795,3.6845624,20.231424,18.121434509384503,98,,16.682535,-1.0,15.176115,1.0002176,,1.215874,9.055368,10.824664,16.343262,16.414326,-1.0,0.11,14.798135,17.474546432495117,1.195121,98.021324,-79.03974
1980,,16.682535,16.546951,0.9999798,15.970527,3.662299,20.20925,18.272158655176476,99,,16.682535,-1.0,15.233764,1.0002123,,1.2132285,9.110417,10.868988,16.345432,16.55814,-1.0,0.11,20.884031,17.76378345489502,1.1927708,99.02102,-78.02863
2000,,16.682535,16.546734,0.9999798,15.960477,3.640434,20.187168,18.233854825772205,100,,16.682535,-1.0,15.225138,1.0002074,,1.2106464,9.165135,10.913176,16.347298,16.532066,-1.0,0.11,14.372113,18.039862155914307,1.1904764,100.02074,-77.10288
