IWMean,LQGmu01,DenMISEMeanLog,Iteration,SqrtESSClassic,URet,Bound,LQGmu1,TimeElapsed,IWNorm1,DenMISELogLast,ExplorationBonus,target_sum_log_mean,LQGsigma,ReturnMean,DenMISELogFirst,IWNorm2,IWLastEpisode,ReturnMin,ReturnAbsMax,IWMin,IWMax,ReturnLastEpisode,MISE,ReturnStepMax,ReturnMax,TimestepsSoFar,IWFirstEpisode
6.6251726e-10,-0.0030303032,14.377623,34,1.0795492,11.159659606188297,18.765675,-0.030303031,32.419291973114014,2.2525587e-08,10.968679,18.765675,-143.8175,0.11,9.13741,10.948761,2.0865734e-08,2.0831134e-08,,10.129234,,2.0831134e-08,10.129234,6.6768497e-09,0.64166474,10.129234,680,1.0689576e-09
0.9999975,-0.0030303032,14.213992,35,1.0,15.251833732524842,41.31219,-0.030303031,33.366323709487915,34.999912,9.636075,27.541485,-139.33153,0.11,9.269791,10.919773,34.999912,34.999912,,13.770742,,34.999912,13.770742,13.770707,0.9055557,13.770742,700,1.1003979e-09
0.3610133,-0.005050505,14.171203,36,1.0051986,12.289326646956953,32.365448,-0.05050505,34.35423684120178,12.996478,12.966469,27.399048,-190.47005,0.11,9.320348,10.8916025,12.929264,0.06738908,,13.770742,,12.929089,11.089848,4.966402,0.9055557,13.770742,720,2.2148274e-21
1.4363683,-0.0070707067,14.030475,37,1.0008003,16.50048938308585,51.141663,-0.07070707,35.32328748703003,53.14563,9.641879,29.755745,-249.07097,0.11,9.470873,10.864203,53.103134,53.10312,,14.889778,,53.10312,14.889778,21.38592,0.98828644,14.889778,740,1.2843196e-37
1.4647399,-0.005050505,13.970555,38,1.570781,14.861225179039755,39.266926,-0.05050505,36.28740906715393,55.66012,11.849082,18.958439,-179.69568,0.11,9.574089,10.837535,35.434677,30.4343,,14.889778,,30.4343,13.393082,20.308487,0.98828644,14.889778,760,2.3378697e-21
0.4442277,-0.0070707067,14.098614,39,1.0528485,15.234111565949002,34.86729,-0.07070707,37.47667455673218,17.32488,18.7925,28.28475,-235.55109,0.11,9.68067,10.81156,16.455246,0.19232784,,14.889778,,16.440996,13.730711,6.582539,0.98828644,14.889778,780,1.3537411e-37
1.3657639,-0.005050505,14.128863,40,2.0948896,16.369392770387243,33.227882,-0.05050505,38.545366287231445,54.630554,15.9216385,14.215334,-169.72989,0.11,9.80733,10.786242,26.07801,6.758938,,14.889778,,17.49459,14.747099,19.012548,0.98828644,14.889778,800,2.4609227e-21
0.5096275,-0.00909091,14.032436,41,1.0398399,16.845522614204818,37.01629,-0.09090909,39.530909061431885,20.894728,9.971156,29.269056,-290.93335,0.11,9.939287,10.761549,20.094177,20.085901,,15.217566,,20.085901,15.217566,7.7472305,0.98828644,15.217566,820,
0.7777205,-0.00909091,14.103571,42,1.4375751,16.71596270325815,32.944397,-0.09090909,40.49555587768555,32.66426,17.58971,21.17116,-283.5187,0.11,10.061976,10.737452,22.721777,18.033737,,15.217566,,18.033737,15.092269,11.773236,0.98828644,15.217566,840,
1.2876762,-0.0070707067,14.189203,43,2.2341356,16.596106848656255,32.867756,-0.07070707,41.48471236228943,55.37008,18.113178,13.622777,-211.95985,0.11,10.175364,10.713922,24.78367,13.709091,,15.217566,,13.709091,14.937586,19.24498,0.9968451,15.217566,860,1.49259e-37
0.88051474,-0.0030303032,14.201959,44,1.5624202,17.015029011675534,30.421688,-0.030303031,42.72166967391968,38.74265,14.592713,19.642101,-108.55677,0.11,10.292846,10.690931,24.79656,0.00014278537,,15.344608,,21.877083,15.344608,10.779588,0.99807537,15.344608,880,1.3833577e-09
1.1740966,-0.0070707067,14.083312,45,2.449552,14.931935263691052,30.135141,-0.07070707,43.73711705207825,52.834347,9.095551,12.5285015,-202.18541,0.11,10.364522,10.668459,21.568983,6.457593e-05,,15.344608,,10.878303,13.518263,17.60664,0.99807537,15.344608,900,1.5620147e-37
3.4255215e-14,-0.017171716,14.10946,46,1.0326414,16.637519215719394,29.719141,-0.17171717,44.69910526275635,1.5757858e-12,15.202624,29.719141,-591.19916,0.11,10.465342,10.64648,1.5259757e-12,7.629039e-18,,15.344608,,1.5255416e-12,15.0022,5.254103e-13,0.99807537,15.344608,920,
5.7592864,-0.015151516,13.933702,47,1.0,17.762581484389553,124.37671,-0.15151516,45.55138826370239,270.68646,6.8380485,32.058804,-483.5192,0.11,10.583725,10.624974,270.68646,270.68646,,16.029402,,270.68646,16.029402,92.31791,0.99925315,16.029402,940,
1.3948694,-0.015151516,13.984975,48,1.3806895,17.909817571217225,45.874184,-0.15151516,46.54240846633911,66.953735,15.47337,23.434618,-473.05557,0.11,10.700272,10.60392,48.49297,26.05506,,16.177965,,40.898678,16.177965,22.439568,0.99925315,16.177965,960,
1.2331117,-0.015151516,14.0446825,49,1.7218691,17.969057006946386,38.768192,-0.15151516,47.53088092803955,60.422478,16.850512,18.861715,-462.99573,0.11,10.813301,10.583302,35.091213,20.63973,,16.238703,,22.542904,16.238703,19.906477,0.99998045,16.238703,980,
0.99786276,-0.013131313,13.953909,50,1.3761697,17.851445668412026,39.685215,-0.13131313,48.73270273208618,49.89314,9.464503,23.599855,-372.7493,0.11,10.919504,10.563098,36.255077,34.857243,,16.238703,,34.857243,16.123486,16.08536,0.99998045,16.238703,1000,
1.0423721,-0.011111111,13.889065,51,1.1455809,17.583576182215605,44.91258,-0.11111111,49.77404022216797,53.16098,10.825352,28.350164,-294.35147,0.11,11.016934,10.543296,46.405262,46.158134,,16.238703,,46.158134,15.888382,16.562414,0.99998045,16.238703,1020,
1.1180947,-0.011111111,13.804143,52,1.5857568,17.73983316705947,38.319084,-0.11111111,50.84895920753479,58.140923,9.685767,20.480698,-288.44144,0.11,11.1133995,10.523878,36.664463,26.717464,,16.238703,,26.717464,16.033184,17.838385,0.99998045,16.238703,1040,
1.1105019,-0.011111111,13.777309,53,1.9270605,17.196450184106347,34.42533,-0.11111111,51.97091317176819,58.8566,12.443482,16.85334,-282.71054,0.11,11.196607,10.504829,30.542166,17.316036,,16.238703,,17.9887,15.523424,17.57199,0.99998045,16.238703,1060,
4.6439487e-16,-0.02727273,13.753716,54,1.0210996,17.44589138484322,31.806307,-0.27272728,53.02329063415527,2.5131322e-14,12.520568,31.806307,-1039.7146,0.11,11.280803,10.486137,2.4612018e-14,,,16.238703,,2.4606499e-14,15.743097,7.513493e-15,0.99998045,16.238703,1080,
23.121645,-0.021212121,13.499002,55,1.0000101,18.657298322106985,424.15277,-0.21212122,54.18552112579346,1271.6904,0.7353202,33.76761,-680.35144,0.11,11.382677,10.467789,1271.6776,1271.6776,,16.883976,,1271.6776,16.883976,390.38516,0.99998045,16.883976,1100,
1.9339409,-0.021212121,13.458479,56,1.4143308,18.55481314613787,56.441505,-0.21212122,55.188074350357056,108.30069,9.037437,23.875568,-667.9694,0.11,11.479331,10.44977,76.5738,54.609295,,16.883976,,54.609295,16.795261,32.565937,0.99998045,16.883976,1120,
1.257113,-0.021212121,13.494076,57,1.6825624,18.51226350849252,41.2136,-0.21212122,56.19033765792847,71.65544,15.12552,20.06936,-655.9371,0.11,11.571787,10.43207,42.587093,15.603819,,16.883976,,28.141678,16.749321,21.144241,0.99998045,16.883976,1140,
1.190477,-0.021212121,13.531894,58,1.9748291,18.492465507314094,37.091805,-0.21212122,57.233829736709595,69.04767,15.636991,17.099176,-644.30804,0.11,11.660708,10.414679,34.96387,18.33984,,16.883976,,19.170597,16.729216,19.992626,0.99998045,16.883976,1160,
1.1921407,-0.023232324,13.463354,59,1.5832021,18.5336510946273,41.347183,-0.23232323,58.26229500770569,70.3363,9.440184,21.328896,-731.57825,0.11,11.747382,10.397584,44.42661,40.17772,,16.883976,,40.17772,16.774427,20.018288,0.99998045,16.883976,1180,
1.1502963,-0.023232324,13.470773,60,1.9909838,18.751142505058183,36.431293,-0.23232323,59.52580976486206,69.01778,13.91447,17.054085,-719.1042,0.11,11.834545,10.380776,34.66516,19.083006,,16.977203,,24.306515,16.977203,19.377209,0.99998045,16.977203,1200,
