target_sum_log_mean,IWMean,DenMISELogFirst,ExplorationBonus,IWLastEpisode,Bound,IWMax,TimestepsSoFar,MISE,LQGsigma,ReturnLastEpisode,DenMISELogLast,TimeElapsed,IWNorm1,ReturnMin,ReturnMean,LQGmu01,IWMin,Iteration,URet,IWNorm2,ReturnMax,IWFirstEpisode,DenMISEMeanLog,SqrtESSClassic,ReturnAbsMax,LQGmu1,ReturnStepMax
-0.5852125,1.2878677,11.327891,9.54278,0.00054868474,21.205856,4.666401,280,11.663076,0.11,9.0102215,11.415019,12.116618394851685,18.030148,,9.174388,0.0070707067,,14,9.8952397040062,9.00478,9.553689,2.017056e-19,15.504639,2.0022864,9.553689,0.07070707,0.57715887
0.6767777,1.2057067,11.258899,8.5297575,3.4593387,19.446445,3.7498374,300,10.916688,0.11,9.04628,17.103563,12.962135553359985,18.0856,,9.165849,0.0070707067,,15,9.935901863629896,8.073624,9.553689,2.161131e-19,15.621304,2.2400846,9.553689,0.07070707,0.57715887
-40.84713,0.05890079,11.194361,18.882757,5.9103216e-09,19.413479,0.93126726,320,0.53072137,0.11,9.050968,15.659279,13.886602640151978,0.9424126,,9.1586685,0.011111111,,16,9.941274582137519,0.9313339,9.553689,,15.630711,1.0118955,9.553689,0.11111111,0.57715887
-37.39204,0.907225,11.133736,17.971664,14.475944,26.134031,14.475944,340,8.162367,0.11,8.996196,15.216897,14.754482746124268,15.422825,,9.149111,0.011111111,,17,9.88119824567813,14.506116,9.553689,,15.552681,1.0631946,9.553689,0.11111111,0.57715887
-34.609936,1.0030751,11.076577,12.844369,8.826101,21.864412,8.826101,360,9.020043,0.11,8.986876,10.50813,15.595118761062622,18.055351,,9.140098,0.011111111,,18,9.871077238190848,12.137176,9.553689,,15.25568,1.4876074,9.553689,0.11111111,0.57715887
-9.817347,0.99045956,11.022511,10.229188,5.763489,19.16231,6.2198477,380,8.933122,0.11,9.0147505,16.141314,16.4487407207489,18.818731,,9.133501,0.00909091,,19,9.900921849635916,10.07466,9.553689,8.036374e-35,15.294696,1.8679271,9.553689,0.09090909,0.57715887
-30.209082,0.6768093,10.971217,12.626872,3.5215473e-36,19.020458,6.542365,400,6.393585,0.11,9.024832,13.742959,17.312891483306885,13.536186,,9.128068,0.001010101,,20,9.912120638838479,8.94522,9.553689,6.542365,15.212039,1.5132313,9.553689,0.01010101,0.57715887
-33.89277,0.6995231,11.205437,12.542584,,18.833576,6.879513,420,6.290992,0.11,9.688149,9.139693,18.180641412734985,14.689984,,9.154738,0.011111111,,21,10.647141173893225,9.509059,9.688149,,14.904692,1.544841,9.688149,0.11111111,0.61800236
-159.585,1.6786639e-19,11.158916,19.375237,3.692879e-18,19.375237,3.692879e-18,440,1.5112209e-18,0.11,9.002522,2.4340093,19.267438173294067,3.6930827e-18,,9.147819,0.017171716,,22,9.884116043360915,3.69288e-18,9.688149,,14.321369,1.0000548,9.688149,0.17171717,0.61800236
-151.88818,1.0,11.114465,19.376299,23.0,28.197144,23.0,460,8.820846,0.11,8.820846,14.306591,20.15855622291565,23.0,,9.133603,0.017171716,,23,9.687974211086196,23.0,9.688149,,14.278206,1.0,9.688149,0.17171717,0.61800236
-203.58752,0.51418704,11.071905,18.919292,12.045824,23.44354,12.045824,480,4.5242486,0.11,8.7983,12.882797,21.037973165512085,12.340489,,9.119632,0.019191919,,24,9.662553043072368,12.049428,9.688149,,14.208159,1.0241556,9.688149,0.1919192,0.61800236
-194.763,1.3461084,11.031083,15.175053,24.994972,26.959019,24.994972,500,11.783965,0.11,8.738514,13.806415,21.943781852722168,33.65271,,9.104387,0.019191919,,25,9.59770736788452,26.355997,9.688149,,14.169659,1.2768521,9.688149,0.1919192,0.61800236
-186.57741,1.151442,10.991862,11.46492,10.114843,21.563532,12.998694,520,10.098612,0.11,8.791871,15.748914,22.866079807281494,29.937492,,9.092367,0.019191919,,26,9.655603542965455,17.713959,9.688149,,14.230896,1.690051,9.688149,0.1919192,0.61800236
-127.35272,0.7771461,10.954123,13.169322,0.4169793,20.016949,13.020418,540,6.8476257,0.11,8.779177,15.781886,23.85388159751892,20.982944,,9.080768,0.017171716,,27,9.642684120616488,14.261297,9.688149,,14.287903,1.4713209,9.688149,0.17171717,0.61800236
-232.86783,0.06816112,10.917754,19.331203,4.1797494e-09,19.926838,1.9040657,560,0.5956336,0.11,8.832966,15.525256,24.943297147750854,1.9085114,,9.071918,0.021212121,,28,9.698864795406575,1.9040697,9.688149,,14.320872,1.0023328,9.688149,0.21212122,0.61800236
-224.1756,0.9845469,10.882663,18.163351,26.700754,26.733171,26.700754,580,8.56982,0.11,8.701952,15.922484,25.832189083099365,28.55186,,9.05916,0.021212121,,29,9.559743096740585,26.764526,9.688149,,14.344493,1.06678,9.688149,0.21212122,0.61800236
-216.16129,1.0386659,10.848762,12.960264,14.978565,21.98917,14.978565,600,9.028906,0.11,8.678488,13.547427,26.749643564224243,31.159977,,9.046472,0.021212121,,30,9.530477688083336,20.842035,9.688149,,14.308972,1.4950544,9.688149,0.21212122,0.61800236
-208.88237,1.0176369,10.815971,10.626433,9.422457,19.477528,10.3234825,620,8.851095,0.11,8.706569,7.2414193,27.662676095962524,31.546745,,9.035506,0.021212121,,31,9.562032415144143,17.301003,9.688149,,14.076833,1.8234056,9.688149,0.21212122,0.61800236
-423.69177,2.1666854e-20,10.784224,19.311243,2.2715664e-21,19.311243,6.9104235e-19,640,1.8803649e-19,0.11,8.691519,17.684385,28.567771434783936,6.9337133e-19,,9.024757,0.02727273,,32,9.54825164892118,6.9104333e-19,9.688149,,14.186581,1.0033689,9.688149,0.27272728,0.61800236
-410.3615,1.0000001,10.753451,19.376299,33.000004,27.794022,33.000004,660,8.417722,0.11,8.417721,12.710228,29.51597571372986,33.000004,,9.006363,0.02727273,,33,9.243657008039602,33.000004,9.688149,,14.112004,1.0,9.688149,0.27272728,0.61800236
-397.84375,1.0,10.7235985,13.701112,17.000008,22.131601,17.000008,680,8.43049,0.11,8.443258,12.409569,30.46493625640869,34.0,,8.9897995,0.02727273,,34,9.272345057693716,24.04163,9.688149,,14.053345,1.4142137,9.688149,0.27272728,0.61800236
-386.05518,0.99999976,10.694611,11.186911,11.666664,19.62415,11.666664,700,8.43724,0.11,8.450744,12.29864,31.416982650756836,34.999992,,8.974399,0.02727273,,35,9.279049266992386,20.207254,9.688149,,13.9982195,1.7320509,9.688149,0.27272728,0.61800236
-140.09958,1.0472274,10.66644,9.533971,,18.721672,11.446228,720,9.1877,0.11,8.404756,13.659614,32.34860968589783,37.700188,,8.958576,0.019191919,,36,9.2334476296618,18.550112,9.688149,,13.985399,2.032343,9.688149,0.1919192,0.61800236
