ReturnStepMax,target_sum_log_mean,IWLastEpisode,IWNorm1,Bound,LQGsigma,SqrtESSClassic,ReturnMax,URet,Iteration,DenMISEMeanLog,IWMin,TimestepsSoFar,ReturnMin,LQGmu1,LQGmu01,ExplorationBonus,IWMean,IWFirstEpisode,ReturnLastEpisode,TimeElapsed,IWNorm2,DenMISELogLast,ReturnMean,DenMISELogFirst,IWMax,MISE,ReturnAbsMax
0.999848,-86.735176,4.8309002e-27,3e-09,0.26079068,19.230896,5.477226,14.212496,5.420211351077242,30,-26.427038,,600,,-2.2760952,-0.22760952,0.26079068,9.84124e-25,2.874299e-23,4.92397,2.6482558250427246,5.4772253e-10,-26.427048,5.178528,-26.426794,2.874299e-23,1.3743202e-23,14.212496
0.999848,-86.9628,5.731949e-30,3.1e-09,0.25654992,19.230896,5.5677643,14.212496,5.914310450086514,31,-26.459831,,620,,-2.2760952,-0.22760952,0.25654992,9.841218e-25,2.9701014e-23,5.4287386,2.752439022064209,5.5677646e-10,-26.459839,5.1865993,-26.459583,2.9701014e-23,1.374317e-23,14.212496
0.999848,-86.8551,1.7149461e-25,3.2e-09,0.25250953,19.230896,5.656854,14.212496,4.6501514919013625,32,-26.491577,,640,,-2.2760952,-0.22760952,0.25250953,9.894818e-25,3.0659142e-23,4.326007,2.845548391342163,5.6568544e-10,-26.491587,5.1597056,-26.491331,3.0659142e-23,1.3766367e-23,14.212496
0.999848,-86.81025,2.7585147e-26,3.2999998e-09,0.24865422,19.230896,5.7445617,14.212496,6.515320853065927,33,-26.52235,,660,,-2.2760952,-0.22760952,0.24865422,9.903155e-25,3.1617166e-23,5.9271326,2.9739415645599365,5.744563e-10,-26.522358,5.182961,-26.522104,3.1617166e-23,1.377129e-23,14.212496
0.999848,-86.846214,1.9915951e-27,3.3999998e-09,0.24497026,19.230896,5.830951,14.212496,4.563966659473014,34,-26.552202,,680,,-2.2760952,-0.22760952,0.24497026,9.903749e-25,3.2575292e-23,4.127676,3.076718807220459,5.8309524e-10,-26.552212,5.151923,-26.551956,3.2575292e-23,1.3771542e-23,14.212496
0.999848,-86.89405,1.2592448e-27,3.4999998e-09,0.24144529,19.230896,5.9160795,14.212496,4.960320349444176,35,-26.581194,,700,,-2.2760952,-0.22760952,0.24144529,9.904112e-25,3.3533398e-23,4.5075407,3.175729751586914,5.91608e-10,-26.5812,5.1335125,-26.580944,3.3533398e-23,1.377171e-23,14.212496
0.999848,-86.90864,3.8967518e-27,3.5999999e-09,0.23806825,19.230896,6.0,14.212496,4.683087770484382,36,-26.609362,,720,,-2.2760952,-0.22760952,0.23806825,9.905202e-25,3.449152e-23,4.226341,3.280007839202881,6e-10,-26.60937,5.108313,-26.609116,3.449152e-23,1.3772178e-23,14.212496
0.999848,-87.023315,9.581031e-29,3.6999999e-09,0.2348291,19.230896,6.0827622,14.212496,5.233426689590419,37,-26.63676,,740,,-2.2760952,-0.22760952,0.2348291,9.90521e-25,3.5449554e-23,4.7688503,3.3835182189941406,6.0827626e-10,-26.636768,5.0991383,-26.636515,3.5449554e-23,1.3772164e-23,14.212496
0.999848,-87.12933,1.0875633e-28,3.8e-09,0.23171864,19.230896,6.164414,14.212496,3.8961999059193797,38,-26.66343,,760,,-2.2760952,-0.22760952,0.23171864,9.90524e-25,3.640766e-23,3.5218651,3.4915013313293457,6.164414e-10,-26.663437,5.0576315,-26.663181,3.640766e-23,1.3772178e-23,14.212496
0.999848,-86.99092,1.2463292e-24,3.9e-09,0.22872859,19.230896,6.244998,14.212496,4.400233138089993,39,-26.689405,,780,,-2.2760952,-0.22760952,0.22872859,1.0224803e-24,3.736571e-23,4.0014243,3.6038272380828857,6.244998e-10,-26.689413,5.030549,-26.689157,3.736571e-23,1.3900035e-23,14.212496
0.999848,-86.917725,1.2413323e-25,4e-09,0.22585139,19.230896,6.324555,14.212496,4.850615783477606,40,-26.714722,,800,,-2.2760952,-0.22760952,0.22585139,1.0255873e-24,3.8323967e-23,4.388642,3.7180144786834717,6.3245553e-10,-26.714731,5.014501,-26.714476,3.8323967e-23,1.3913711e-23,14.212496
0.999848,-87.05451,2.6873214e-29,4.1e-09,0.22308013,19.230896,6.4031234,14.212496,4.732652490933102,41,-26.739418,,820,,-2.2760952,-0.22760952,0.22308013,1.0255845e-24,3.928191e-23,4.3262544,3.8499693870544434,6.4031247e-10,-26.739424,4.997715,-26.739168,3.928191e-23,1.3913662e-23,14.212496
0.999848,-86.96973,2.3038244e-25,4.2e-09,0.2204084,19.230896,6.48074,14.212496,5.4609800692256005,42,-26.763515,,840,,-2.2760952,-0.22760952,0.2204084,1.0310731e-24,4.0240154e-23,5.050809,3.9993560314178467,6.480741e-10,-26.763521,4.998979,-26.763266,4.0240154e-23,1.3941417e-23,14.212496
0.999848,-86.88349,2.974645e-25,4.3e-09,0.21783042,19.230896,6.5574384,14.212496,5.048045405381837,43,-26.787045,,860,,-2.2760952,-0.22760952,0.21783042,1.0379894e-24,4.1198195e-23,4.5507026,4.121097564697266,6.5574385e-10,-26.78705,4.988554,-26.786797,4.1198195e-23,1.3972877e-23,14.212496
0.999848,-86.86069,2.219431e-26,4.4e-09,0.21534084,19.230896,6.6332498,14.212496,6.229564826018235,44,-26.810036,,880,,-2.2760952,-0.22760952,0.21534084,1.0384921e-24,4.2156203e-23,5.61255,4.244222640991211,6.6332495e-10,-26.810041,5.0027356,-26.809786,4.2156203e-23,1.3975682e-23,14.212496
0.999848,-86.93015,3.7362054e-28,4.5e-09,0.21293472,19.230896,6.708204,14.212496,5.046007643507441,45,-26.832508,,900,,-2.2760952,-0.22760952,0.21293472,1.0385032e-24,4.3114442e-23,4.5650444,4.370362758636475,6.708204e-10,-26.832514,4.9930096,-26.832258,4.3114442e-23,1.3975764e-23,14.212496
0.999848,-86.92436,1.0597885e-26,4.6e-09,0.2106075,19.230896,6.78233,14.212496,4.601392901838541,46,-26.854486,,920,,-2.2760952,-0.22760952,0.2106075,1.0387316e-24,4.4072434e-23,4.1758556,4.5016772747039795,6.7823297e-10,-26.854492,4.975245,-26.854237,4.4072434e-23,1.3976694e-23,14.212496
0.999848,-86.86705,1.2333554e-25,4.7e-09,0.20835495,19.230896,6.8556547,14.212496,6.404629590328195,47,-26.875998,,940,,-2.2760952,-0.22760952,0.20835495,1.0413567e-24,4.503058e-23,5.8946986,4.631699323654175,6.8556544e-10,-26.876,4.994808,-26.875744,4.503058e-23,1.3992177e-23,14.212496
0.999848,-86.81374,1.1663952e-25,4.8e-09,0.20617318,19.230896,6.9282026,14.212496,4.95910592070852,48,-26.897043,,960,,-2.2760952,-0.22760952,0.20617318,1.0437867e-24,4.5988672e-23,4.4815207,4.801283121109009,6.9282036e-10,-26.897053,4.984114,-26.896797,4.5988672e-23,1.4003065e-23,14.212496
0.999848,-86.74403,2.956973e-25,4.9e-09,0.20405853,19.230896,6.9999995,14.212496,4.324822270702296,49,-26.917665,,980,,-2.2760952,-0.22760952,0.20405853,1.0498204e-24,4.6946728e-23,3.9512982,4.969391107559204,7.0000006e-10,-26.917671,4.9630365,-26.917416,4.6946728e-23,1.4026897e-23,14.212496
0.999848,-86.82957,1.4757311e-28,5e-09,0.20200764,19.230896,7.0710673,14.212496,4.305806449381669,50,-26.937866,,1000,,-2.2760952,-0.22760952,0.20200764,1.0498233e-24,4.7904822e-23,3.8781245,5.172287464141846,7.071068e-10,-26.937874,4.9413385,-26.937618,4.7904822e-23,1.402691e-23,14.212496
0.999848,-86.91576,1.2272664e-28,5.1e-09,0.20001736,19.230896,7.1414275,14.212496,3.50860580541963,51,-26.95767,,1020,,-2.2760952,-0.22760952,0.20001736,1.0498252e-24,4.886289e-23,3.1455314,5.317214488983154,7.141429e-10,-26.957676,4.9061265,-26.957422,4.886289e-23,1.4026908e-23,14.212496
0.999848,-86.967865,6.196444e-28,5.2e-09,0.19808477,19.230896,7.2111025,14.212496,7.176112288047133,52,-26.977089,,1040,,-2.2760952,-0.22760952,0.19808477,1.0498361e-24,4.9820924e-23,6.4840574,5.457148790359497,7.211103e-10,-26.977095,4.936471,-26.97684,4.9820924e-23,1.4026968e-23,14.212496
0.999848,-86.986984,3.2713076e-27,5.3e-09,0.19620717,19.230896,7.2801094,14.212496,5.129142122885858,53,-26.996136,,1060,,-2.2760952,-0.22760952,0.19620717,1.0498999e-24,5.077914e-23,4.692172,5.6057822704315186,7.2801104e-10,-26.996143,4.931862,-26.995888,5.077914e-23,1.4027291e-23,14.212496
0.999848,-87.01214,2.3151076e-27,5.4e-09,0.19438194,19.230896,7.348469,14.212496,5.531558842548384,54,-27.01483,,1080,,-2.2760952,-0.22760952,0.19438194,1.0499428e-24,5.173723e-23,5.0161686,5.771326541900635,7.3484696e-10,-27.014835,4.933423,-27.01458,5.173723e-23,1.4027504e-23,14.212496
0.999848,-87.03138,3.1019415e-27,5.5e-09,0.1926067,19.230896,7.4161983,14.212496,5.694033544920831,55,-27.03318,,1100,,-2.2760952,-0.22760952,0.1926067,1.0499986e-24,5.2695306e-23,5.164297,5.9391562938690186,7.416199e-10,-27.033184,4.937621,-27.032928,5.2695306e-23,1.402779e-23,14.212496
0.999848,-87.05797,2.0156479e-27,5.6e-09,0.19087926,19.230896,7.4833145,14.212496,5.855696983664829,56,-27.051199,,1120,,-2.2760952,-0.22760952,0.19087926,1.0500367e-24,5.3653516e-23,5.2818284,6.0999109745025635,7.483315e-10,-27.051203,4.943767,-27.050947,5.3653516e-23,1.4028007e-23,14.212496
0.999848,-87.02893,4.633356e-26,5.7e-09,0.18919747,19.230896,7.5498343,14.212496,3.92668701970946,57,-27.0689,,1140,,-2.2760952,-0.22760952,0.18919747,1.0508502e-24,5.461165e-23,3.5109093,6.2684619426727295,7.5498346e-10,-27.068903,4.9186296,-27.068647,5.461165e-23,1.4030871e-23,14.212496
0.999848,-86.98929,9.2416343e-26,5.8e-09,0.18755935,19.230896,7.615773,14.212496,7.126759197600405,58,-27.086287,,1160,,-2.2760952,-0.22760952,0.18755935,1.0524395e-24,5.556951e-23,6.5154696,6.428638219833374,7.615773e-10,-27.086294,4.9461613,-27.086039,5.556951e-23,1.4041194e-23,14.212496
0.999848,-87.0609,1.4362106e-28,5.9e-09,0.18596308,19.230896,7.6811457,14.212496,5.855386769643154,59,-27.103386,,1180,,-2.2760952,-0.22760952,0.18596308,1.0524444e-24,5.652777e-23,5.2741957,6.57794976234436,7.6811457e-10,-27.103388,4.951721,-27.103134,5.652777e-23,1.4041244e-23,14.212496
0.999848,-87.03684,3.9340185e-26,6e-09,0.18440688,19.230896,7.745967,14.212496,5.529699414192771,60,-27.12019,,1200,,-2.2760952,-0.22760952,0.18440688,1.0531005e-24,5.74859e-23,4.962928,6.722066402435303,7.7459666e-10,-27.120195,4.9519076,-27.11994,5.74859e-23,1.4044506e-23,14.212496
0.999848,-87.019005,2.8720037e-26,6.1e-09,0.1828891,19.230896,7.81025,14.212496,6.328955026238007,61,-27.136719,,1220,,-2.2760952,-0.22760952,0.1828891,1.0535717e-24,5.844398e-23,5.748704,6.899333953857422,7.8102497e-10,-27.136724,4.9649696,-27.13647,5.844398e-23,1.4047211e-23,14.212496
0.999848,-87.02325,7.695763e-27,6.2e-09,0.18140818,19.230896,7.874008,14.212496,4.784654380563112,62,-27.15298,,1240,,-2.2760952,-0.22760952,0.18140818,1.0536969e-24,5.9402166e-23,4.4036813,7.108141660690308,7.8740076e-10,-27.152985,4.955917,-27.15273,5.9402166e-23,1.4047776e-23,14.212496
0.999848,-87.02509,9.012098e-27,6.3e-09,0.17996268,19.230896,7.9372544,14.212496,6.20820762778766,63,-27.168983,,1260,,-2.2760952,-0.22760952,0.17996268,1.0538385e-24,6.036018e-23,5.5525618,7.318013668060303,7.9372536e-10,-27.168985,4.9653873,-27.16873,6.036018e-23,1.4048551e-23,14.212496
0.999848,-86.97195,3.0835165e-25,6.4e-09,0.1785512,19.230896,8.0,14.212496,4.916375121764189,64,-27.18473,,1280,,-2.2760952,-0.22760952,0.1785512,1.0586555e-24,6.1318196e-23,4.4908457,7.4805920124053955,8e-10,-27.184734,4.9579725,-27.184479,6.1318196e-23,1.407017e-23,14.212496
0.999848,-86.976814,8.016719e-27,6.5e-09,0.1771724,19.230896,8.062258,14.212496,4.930067653299199,65,-27.200237,,1300,,-2.2760952,-0.22760952,0.1771724,1.0587775e-24,6.2276214e-23,4.4962087,7.635202407836914,8.062258e-10,-27.200237,4.9508686,-27.199984,6.2276214e-23,1.4070707e-23,14.212496
0.999848,-86.91938,4.9240067e-25,6.6e-09,0.17582506,19.230896,8.124039,14.212496,5.472704502692288,66,-27.215498,,1320,,-2.2760952,-0.22760952,0.17582506,1.0662373e-24,6.3234245e-23,5.011319,7.79816746711731,8.1240387e-10,-27.215506,4.951785,-27.21525,6.3234245e-23,1.4108083e-23,14.212496
0.999848,-86.95925,8.264506e-28,6.7e-09,0.174508,19.230896,8.185352,14.212496,5.078477930428847,67,-27.23054,,1340,,-2.2760952,-0.22760952,0.174508,1.0662528e-24,6.4192565e-23,4.6941366,7.957177639007568,8.185353e-10,-27.230543,4.9479394,-27.23029,6.4192565e-23,1.4108192e-23,14.212496
