ReturnMin,SqrtESSClassic,target_sum_log_mean,ReturnMax,IWFirstEpisode,IWNorm1,ExplorationBonus,DenMISELogLast,ReturnStepMax,IWMax,ReturnLastEpisode,Iteration,LQGmu01,TimestepsSoFar,ReturnAbsMax,LQGsigma,IWMin,IWNorm2,DenMISELogFirst,IWLastEpisode,LQGmu1,Bound,DenMISEMeanLog,URet,MISE,IWMean,TimeElapsed,ReturnMean
,1.014466,-1661.2238,15.723389,,3.8962677e-15,30.998354,8.011947,0.998701,3.8403e-15,15.016737,87,-0.019191919,1740,15.723389,0.11,,3.840708e-15,10.008192,5.71769e-22,-0.1919192,30.998354,10.626678,16.643689522419066,7.0396157e-16,4.478468e-17,84.03782057762146,9.2577915
,1.0,-1473.6102,16.6492,,267.54703,33.2984,9.835113,0.9994803,267.54703,16.6492,88,-0.017171716,1760,16.6492,0.11,,267.54703,9.996763,267.54703,-0.17171717,83.91708,10.606385,18.409120680923557,50.61868,3.040307,85.08658051490784,9.3417845
,1.4140887,-1456.8115,16.6492,,132.18828,23.547604,17.301542,0.9994803,66.97197,16.61344,89,-0.017171716,1780,16.6492,0.11,,93.47948,9.985464,65.21631,-0.17171717,48.249817,10.686129,18.359674930719287,24.702215,1.4852616,86.14495897293091,9.423489
,1.692098,-1440.4489,16.888142,,99.66121,19.961185,12.689773,0.9994862,38.64462,16.888142,90,-0.017171716,1800,16.888142,0.11,,58.89801,9.97429,22.956589,-0.17171717,38.44345,10.709682,18.655940727498646,18.482264,1.1073468,87.21221566200256,9.506429
,1.9737589,-1424.4188,16.888142,,102.27072,17.112669,14.898579,0.9997088,29.39462,16.412498,91,-0.017171716,1820,16.888142,0.11,,51.815205,9.963241,29.39462,-0.17171717,35.785416,10.755084,18.159347120533752,18.672745,1.123854,88.29660558700562,9.58232
,1.8274862,-1257.1982,16.888142,,92.360886,18.482374,13.837978,0.9997088,33.9929,16.51643,92,-0.015151516,1840,16.888142,0.11,,50.539856,9.9523115,33.7128,-0.15151516,35.061962,10.788521,18.266697387624895,16.579588,1.0039227,89.38306427001953,9.657691
,1.2349229,-1722.1794,16.888142,,69.33657,27.350925,13.701169,0.9997088,54.346252,16.839237,93,-0.021212121,1860,16.888142,0.11,,56.146477,9.941501,54.346252,-0.21212122,39.91079,10.81861,18.601483663653667,12.559864,0.7455545,90.47097277641296,9.734912
,2.029629,-1536.3248,16.888142,,97.6017,16.641605,9.292539,0.9998819,31.66511,16.74715,94,-0.019191919,1880,16.888142,0.11,,48.088444,9.930805,23.319971,-0.1919192,34.07367,10.798293,18.51069649914338,17.432062,1.038316,91.63162565231323,9.80951
,1.0046816,-3110.8171,16.888142,,1.3957392e-16,33.618893,15.844377,0.99992704,1.38922e-16,16.65017,95,-0.035353538,1900,16.888142,0.11,,1.3892353e-16,9.920223,1.5543292e-22,-0.35353535,33.618893,10.850708,18.40866607979716,2.4740509e-17,1.4691982e-18,92.89911985397339,9.881517
,1.0000002,-2216.1343,17.089422,,34351.11,34.178837,-6.3450866,0.99992704,34351.1,17.089422,96,-0.02727273,1920,17.089422,0.11,,34351.1,9.909752,34351.1,-0.27272728,6149.185,10.661223,18.867099074061034,6115.0063,357.82407,94.02621054649353,9.956599
