Bound,IWLastEpisode,ExplorationBonus,URet,ReturnMin,LQGmu01,LQGmu1,DenMISELogFirst,MISE,target_sum_log_mean,IWNorm1,DenMISELogLast,IWMax,LQGsigma,IWFirstEpisode,DenMISEMeanLog,ReturnMax,ReturnStepMax,SqrtESSClassic,ReturnLastEpisode,IWMean,Iteration,TimestepsSoFar,ReturnAbsMax,IWNorm2,IWMin,ReturnMean,TimeElapsed
26.030289,1.0,9.357224,18.3488227083663,,-0.25018764,-1.3999999,18.60218,16.673065,17.249323,13.0,11.247148,1.0,0.11,1.0,17.249323,16.868977,0.9927985,3.6055512,16.638695,1.0,13,260,16.868977,3.6055512,,16.673065,1.0503015518188477
25.696121,1.0,9.016847,18.495960331992656,,-0.25018764,-1.3999999,18.60218,16.679274,17.261106,14.0,17.414305,1.0,0.11,1.0,17.261106,16.868977,0.9998631,3.7416573,16.759987,1.0,14,280,16.868977,3.7416575,,16.679274,1.0932669639587402
25.380096,1.0,8.711102,18.231872683107355,,-0.25018764,-1.3999999,18.60218,16.668995,17.331339,15.0,18.314592,1.0,0.11,1.0,17.331339,16.868977,0.9998631,3.8729832,16.525084,1.0,15,300,16.868977,3.8729835,,16.668995,1.1408846378326416
25.105742,1.0,8.434488,18.4187803016417,,-0.25018764,-1.3999999,18.60218,16.671253,17.285133,16.0,16.59203,1.0,0.11,1.0,17.285133,16.868977,0.9998631,4.0,16.705126,1.0,16,320,16.868977,4.0,,16.671253,1.1891710758209229
24.855412,1.0,8.182656,18.413967671242556,,-0.25018764,-1.3999999,18.60218,16.672754,17.328154,17.0,18.01651,1.0,0.11,1.0,17.328154,16.868977,0.9998631,4.1231055,16.696777,1.0,17,340,16.868977,4.1231055,,16.672754,1.239009141921997
24.619663,1.0,7.9521112,18.287675312336876,,-0.25018764,-1.3999999,18.60218,16.667553,17.379482,18.0,18.252037,1.0,0.11,1.0,17.379482,16.868977,0.9998631,4.242641,16.579153,1.0,18,360,16.868977,4.2426405,,16.667553,1.2909502983093262
24.407099,1.0,7.7400174,18.37395682529352,,-0.25018764,-1.3999999,18.60218,16.667082,17.410105,19.0,17.961308,1.0,0.11,1.0,17.410105,16.868977,0.9998631,4.3588986,16.658588,1.0,19,380,16.868977,4.358899,,16.667082,1.346357822418213
24.219137,1.0,7.5440354,18.55243630671122,,-0.25018764,-1.3999999,18.60218,16.675102,17.387753,20.0,16.963097,1.0,0.11,1.0,17.387753,16.868977,0.9998631,4.472136,16.827492,1.0,20,400,16.868977,4.472136,,16.675102,1.4022440910339355
24.033203,1.0,7.3622246,18.301564769222974,,-0.25018764,-1.3999999,18.60218,16.670979,17.367609,21.0,16.964718,1.0,0.11,1.0,17.367609,16.868977,0.9998631,4.582576,16.588514,1.0,21,420,16.868977,4.582576,,16.670979,1.4607958793640137
23.878477,1.0,7.197963,18.61623445744711,,-0.25018764,-1.3999999,18.60218,16.680513,17.191362,22.0,13.490181,1.0,0.11,1.0,17.191362,16.88072,0.99993217,4.690416,16.88072,1.0,22,440,16.88072,4.690416,,16.680513,1.5241436958312988
23.737646,1.0,7.0476093,18.633679479571125,,-0.25018764,-1.3999999,18.60218,16.690037,16.793316,23.0,8.036289,1.0,0.11,1.0,16.793316,16.899572,0.9999346,4.795831,16.899572,1.0,23,460,16.899572,4.7958317,,16.690037,1.586656093597412
23.584461,1.0,6.899222,18.29418680867634,,-0.25018764,-1.3999999,18.60218,16.68524,16.832594,24.0,17.735981,1.0,0.11,1.0,16.832594,16.899572,0.9999346,4.898979,16.574884,1.0,24,480,16.899572,4.8989797,,16.68524,1.651411533355713
23.497967,1.0,6.8001246,18.751388572714834,,-0.25018764,-1.3999999,18.60218,16.697842,16.907276,25.0,18.699642,1.0,0.11,1.0,16.907276,17.00031,0.9999346,5.0,17.00031,1.0,25,500,17.00031,5.0,,16.697842,1.7207438945770264
23.36448,1.0,6.6680703,18.370343872920202,,-0.25018764,-1.3999999,18.60218,16.69641,16.907839,26.0,16.921925,1.0,0.11,1.0,16.907839,17.00031,0.9999346,5.0990195,16.660551,1.0,26,520,17.00031,5.0990195,,16.69641,1.7896881103515625
23.23983,1.0,6.543422,18.41737168065826,,-0.25018764,-1.3999999,18.60218,16.696407,17.040096,27.0,20.478788,1.0,0.11,1.0,17.040096,17.00031,0.9999346,5.1961527,16.696352,1.0,27,540,17.00031,5.196152,,16.696407,1.8608012199401855
23.120344,1.0,6.425513,18.357271492648692,,-0.25018764,-1.3999999,18.60218,16.694832,17.009745,28.0,16.190235,1.0,0.11,1.0,17.009745,17.00031,0.9999346,5.291503,16.65232,1.0,28,560,17.00031,5.2915025,,16.694832,1.9344394207000732
23.00883,1.0,6.313757,18.426689376639683,,-0.25018764,-1.3999999,18.60218,16.695072,17.080498,29.0,19.06157,1.0,0.11,1.0,17.080498,17.00031,0.9999346,5.3851647,16.701792,1.0,29,580,17.00031,5.3851647,,16.695072,2.0097429752349854
22.90331,1.0,6.2076364,18.43148327271494,,-0.25018764,-1.3999999,18.60218,16.695675,16.876608,30.0,10.9638195,1.0,0.11,1.0,16.876608,17.00031,0.9999346,5.4772253,16.71315,1.0,30,600,17.00031,5.477226,,16.695675,2.0870890617370605
22.80037,1.0,6.106692,18.34752203776739,,-0.25018764,-1.3999999,18.60218,16.693678,16.673874,31.0,10.59184,1.0,0.11,1.0,16.673874,17.00031,0.9999346,5.5677643,16.63376,1.0,31,620,17.00031,5.5677643,,16.693678,2.1661672592163086
22.704275,1.0,6.0105176,18.41314959768424,,-0.25018764,-1.3999999,18.60218,16.693758,16.624046,32.0,15.079363,1.0,0.11,1.0,16.624046,17.00031,0.9999346,5.656854,16.696262,1.0,32,640,17.00031,5.656854,,16.693758,2.2467217445373535
