ExplorationBonus,target_sum_log_mean,IWMean,DenMISELogLast,ReturnMean,DenMISELogFirst,LQGmu01,IWMin,ReturnAbsMax,MISE,IWLastEpisode,IWNorm1,ReturnMax,ReturnStepMax,IWFirstEpisode,IWMax,ReturnLastEpisode,LQGmu1,SqrtESSClassic,LQGsigma,TimeElapsed,URet,DenMISEMeanLog,IWNorm2,TimestepsSoFar,Iteration,ReturnMin,Bound
100.37527,-3742.9,0.6948604,1.9590622,15.089428,10.461463,-0.1,,17.391537,11.938418,1.2461502e-14,30.573856,17.391537,0.9999982,,21.817703,17.317518,-1.0,1.3403996,0.11,40.98058772087097,19.10449907667087,7.3342867,22.80951,880,44,,112.31368
133.09268,-1181.6476,3.4088037,-49.729057,15.13757,10.43899,-0.05757576,,17.391537,58.823757,152.19835,153.39616,17.391537,0.9999982,,152.19835,17.255852,-0.57575756,1.0078585,0.11,41.99824643135071,19.03913295998262,6.057376,152.2001,900,45,,191.91644
129.35777,-1158.621,0.79815954,11.059084,15.182132,10.417011,-0.05757576,,17.391537,13.774851,,36.71534,17.391537,0.9999982,,35.5029,17.18743,-0.57575756,1.0339272,0.11,43.11624574661255,18.975806249628487,6.1773043,35.510567,920,46,,143.13263
94.3047,-183.52069,0.9533954,15.962891,15.228282,10.395505,-0.013131313,,17.391537,15.604733,,44.809586,17.391537,0.9999982,,22.631296,17.351196,-0.13131313,1.4142044,0.11,44.1782124042511,19.137953210203367,6.3771877,31.685368,940,47,,109.90944
91.46451,-1112.4539,0.92561823,-49.244793,15.264935,10.374452,-0.05757576,,17.391537,16.018469,1.4305928e-31,44.429676,17.391537,0.9999982,,22.267801,16.98759,-0.57575756,1.4540807,0.11,45.34038233757019,18.752291203330156,5.214023,30.555164,960,48,,107.48298
90.38344,-252.93106,0.8891611,-49.788555,15.30117,10.353832,-0.023232324,,17.391537,15.095332,2.5653662e-06,43.568893,17.391537,0.9999982,,22.689959,17.04052,-0.23232323,1.4675031,0.11,46.31547212600708,18.821017852612247,4.0870104,29.689133,980,49,,105.47877
87.569435,-1672.4087,0.980275,-23.093182,15.339481,10.33363,-0.07171717,,17.391537,17.009367,,49.01375,17.391537,0.9999982,,26.594984,17.216722,-0.7171717,1.5106769,0.11,47.260486364364624,18.995089426879677,3.5385196,32.444893,1000,50,,104.578804
93.29861,-178.55542,0.64563525,-59.193844,15.374844,10.313827,-0.013131313,,17.391537,10.567608,,32.9274,17.391537,0.9999982,,16.575825,17.142948,-0.13131313,1.4142741,0.11,48.34922456741333,18.925629341250204,2.3051183,23.28219,1020,51,,103.86621
81.376595,-2952.186,1.2074983,-43.207844,15.411528,10.294409,-0.0959596,,17.391537,20.794422,,62.789913,17.391537,0.9999982,,27.64547,17.282406,-0.959596,1.6174124,0.11,49.32301139831543,19.06341518647425,1.4215851,38.821213,1040,52,,102.17102
92.83472,-182.78862,0.4880901,-59.232334,15.439932,10.27536,-0.013131313,,17.391537,7.988998,,25.868774,17.391537,0.9999982,,13.000485,16.916992,-0.13131313,1.4143188,0.11,50.504849672317505,18.6955142035827,0.27730474,18.290625,1060,53,,100.823715
91.3175,-183.93475,0.580616,-4.711495,15.473324,10.256668,-0.00909091,,17.391537,8.973431,,31.353264,17.391537,0.9999982,,16.135689,17.24307,-0.09090909,1.4343854,0.11,51.473214864730835,19.030808149220814,0.17466143,21.858326,1080,54,,100.290924
112.06203,-180.37727,0.56749356,10.063068,15.482498,10.238319,-0.011111111,,17.391537,9.083951,26.634731,31.212145,17.391537,0.9999982,,26.634731,15.977903,-0.11111111,1.1661305,0.11,52.5224928855896,17.686688076494466,0.3457372,26.765568,1100,55,,121.14598
99.333954,-206.46767,0.015107608,11.456701,15.480415,10.220301,-0.019191919,,17.391537,0.2565568,2.0782386e-13,0.84602606,17.391537,0.9999982,,0.6124986,15.365844,-0.1919192,1.3125519,0.11,53.514817237854004,17.02250327948262,0.53496844,0.6445658,1120,56,,99.59051
105.38506,-191.0066,0.17776477,11.225117,15.497036,10.2026005,-0.017171716,,17.391537,2.9189844,8.075053,10.132592,17.391537,0.9999982,,8.075053,16.427769,-0.17171717,1.2344271,0.11,54.350032329559326,18.179046675432925,0.70538974,8.208336,1140,57,,108.30405
114.780205,-198.8641,0.1804489,15.490059,15.5144005,10.185209,-0.019191919,,17.391537,2.98481,9.223284,10.466037,17.391537,0.9999982,,9.223284,16.504145,-0.1919192,1.1309118,0.11,55.31098294258118,18.254498627591513,0.94610673,9.254512,1160,58,,117.765015
98.261566,-209.41515,0.67045766,9.403562,15.532859,10.168115,-0.021212121,,17.391537,11.195346,29.136929,39.557003,17.391537,0.9999982,,29.136929,16.60345,-0.21212122,1.3182062,0.11,56.16382670402527,18.353635708769644,1.0755122,30.008207,1180,59,,109.45691
71.22894,-646.7438,1.5547813,13.938681,15.555597,10.151308,-0.04747475,,17.391537,26.971693,,93.28688,17.391537,0.9999982,,31.696291,16.897173,-0.47474748,1.8146846,0.11,57.12567138671875,18.667805186547184,1.2828876,51.406662,1200,60,,98.20064
58.41071,-376.9014,2.3605084,-13.874843,15.580783,10.134778,-0.035353538,,17.391537,40.356575,36.716164,143.99101,17.391537,0.9999982,,36.716164,17.091919,-0.35353535,2.2083833,0.11,58.2202582359314,18.872826222793204,1.039066,65.202,1220,61,,98.76729
80.85274,-280.9191,0.8968197,7.3245587,15.608278,10.118518,-0.02929293,,17.391537,15.38994,5.0724686e-10,55.60282,17.391537,0.9999982,,29.937468,17.285524,-0.2929293,1.5922064,0.11,59.1913743019104,19.06906498624817,1.155602,34.921867,1240,62,,96.242676
86.47669,-174.23001,0.53712827,9.4703,15.632047,10.102517,-0.017171716,,17.391537,8.860098,8.032182e-11,33.83908,17.391537,0.9999982,,21.269455,17.105719,-0.17171717,1.4857284,0.11,60.17020010948181,18.88057217682517,1.2840897,22.776089,1260,63,,95.33679
81.54789,-1404.9565,0.6942892,2.2544265,15.649736,10.086769,-0.07171717,,17.391537,12.04721,,44.43451,17.391537,0.9999982,,22.22181,16.76416,-0.7171717,1.5724862,0.11,61.13746094703674,18.517711507778113,1.2912898,28.257488,1280,64,,93.5951
79.11789,-1152.969,0.85368514,-59.43635,15.671677,10.071265,-0.065656565,,17.391537,14.835848,6.3518315e-38,55.489532,17.391537,0.9999982,,27.709106,17.075832,-0.65656567,1.6177148,0.11,62.105499505996704,18.857356650480302,0.35118926,34.301186,1300,65,,93.953735
75.09406,-172.70267,1.1322124,16.545786,15.697555,10.055998,-0.005050505,,17.391537,15.898973,,74.72602,17.391537,0.9999982,5.107838e-21,30.24334,17.379543,-0.05050505,1.7012322,0.11,63.064526319503784,19.168629761791976,0.5927572,43.924644,1320,66,,90.993034
77.63175,-2728.0232,0.76284003,-59.466736,15.716148,10.040959,-0.1,,17.391537,13.107846,,51.110283,17.391537,0.9999982,,22.087286,16.943367,-1.0,1.642621,0.11,64.21070790290833,18.684979488403076,-0.30416757,31.115078,1340,67,,90.7396
79.493965,-165.21912,0.70433027,-59.48155,15.7306595,10.026144,-0.011111111,,17.391537,11.094075,,47.89446,17.391537,0.9999982,,22.184753,16.702858,-0.11111111,1.6012701,0.11,65.20990419387817,18.477886447118046,-1.1791201,29.910294,1360,68,,90.58804
72.46526,-1562.1735,1.0356941,-59.496147,15.751178,10.011546,-0.07777778,,17.391537,17.941788,4.936363e-10,71.4629,17.391537,0.9999982,,25.47466,17.146566,-0.7777778,1.7534965,0.11,66.30188941955566,18.925543592970513,-2.0296423,40.754513,1380,69,,90.40705
73.60492,-2408.5925,0.81064326,-59.510536,15.769465,9.997157,-0.0959596,,17.391537,13.961698,,56.74503,17.391537,0.9999982,,22.869085,17.031185,-0.959596,1.7233657,0.11,67.24701642990112,18.8125801324568,-2.8522198,32.926865,1400,70,,87.56662
80.07337,-179.46265,0.43880227,15.664448,15.791645,9.982972,-0.017171716,,17.391537,7.2394366,,31.15496,17.391537,0.9999982,,17.919048,17.344303,-0.17171717,1.5814618,0.11,68.23501825332642,19.131079073280393,-2.5952852,19.700104,1420,71,,87.312805
