DenMISELogFirst,ReturnAbsMax,ReturnMin,IWLastEpisode,URet,DenMISELogLast,ReturnStepMax,Iteration,LQGmu1,IWMean,TimestepsSoFar,TimeElapsed,Bound,IWFirstEpisode,target_sum_log_mean,MISE,LQGsigma,DenMISEMeanLog,IWMin,IWMax,ReturnMean,ReturnLastEpisode,ReturnMax,LQGmu01
16.966434,14.9376135,,18.789085,14.952730961873936,12.442824,0.9969146,37,-0.40674695,1.2843032,740,8.687460899353027,18.117853,3.8494458e-11,9.318326,18.117853,0.11,15.892099,,18.789085,13.201814,13.645507,14.9376135,-0.4905654
16.939766,14.9376135,,5.573431,16.325757426956738,14.742442,0.9969146,38,-0.40282232,1.2224761,760,8.975361347198486,17.465237,5.7240973e-10,10.507414,17.465237,0.11,15.86622,,9.276742,13.24364,14.791243,14.9376135,-0.4901583
16.91379,14.9376135,,3.3297527,15.61406524971093,16.39079,0.9969146,39,-0.39941263,1.1915454,780,9.360712051391602,17.042723,4.92047e-09,11.431526,17.042723,0.11,15.884036,,5.4133472,13.265819,14.108623,14.9376135,-0.48980358
16.888472,14.9376135,,2.3726828,15.585271247085267,19.367538,0.9969146,40,-0.39707884,1.168226,800,9.611005067825317,16.70216,1.9574003e-08,12.095278,16.70216,0.11,15.975145,,3.7216213,13.284703,14.021217,14.9376135,-0.48956022
16.86378,14.9376135,,1.1575713,14.359837008908016,8.969131,0.9969146,41,-0.3942104,1.1277003,820,9.862612962722778,16.08593,9.562001e-08,12.501473,16.08593,0.11,15.807835,,2.6944337,13.274932,12.88409,14.9376135,-0.48926046
16.839682,14.9376135,,2.450894,16.201935931707283,13.693126,0.9969146,42,-0.3946835,1.1313633,840,10.109333992004395,16.15921,7.6296594e-08,12.476943,16.15921,0.11,15.760155,,2.6816776,13.306924,14.618589,14.9376135,-0.48930994
16.81615,14.9376135,,2.3781219,14.932175296704118,15.871415,0.9969146,43,-0.3948701,1.1338056,860,10.34845757484436,16.150707,7.0725314e-08,12.547112,16.150707,0.11,15.765446,,2.6156523,13.31162,13.508879,14.9376135,-0.48932946
16.793161,14.9376135,,2.3550494,16.072380902614963,15.4230385,0.9969146,44,-0.39529857,1.1360195,880,10.648561954498291,16.195232,5.750322e-08,12.566321,16.195232,0.11,15.760379,,2.600401,13.338238,14.482724,14.9376135,-0.48937425
16.770689,14.9376135,,1.8309615,16.521846400291277,15.629293,0.9969146,45,-0.3943919,1.1274943,900,10.893440008163452,16.096733,9.5392124e-08,12.781559,16.096733,0.11,15.76018,,2.3531141,13.373009,14.903008,14.9376135,-0.48927945
16.74871,14.9376135,,2.5361202,15.751602980358376,16.474255,0.9969146,46,-0.3960702,1.1336174,920,11.136615991592407,16.188282,3.9483524e-08,12.634796,16.188282,0.11,15.778213,,2.6291146,13.39317,14.300327,14.9376135,-0.4894549
16.727203,14.9376135,,4.0086036,15.616874908782751,5.877937,0.9969146,47,-0.40013158,1.1546226,940,11.38409972190857,16.470018,3.8438e-09,11.858448,16.470018,0.11,15.570137,,4.075918,13.407234,14.0541935,14.9376135,-0.48987845
16.70615,14.9376135,,2.3828416,15.34064787551716,15.500439,0.9969146,48,-0.39960492,1.1499957,960,11.63547134399414,16.38262,5.397064e-09,12.042007,16.38262,0.11,15.571545,,3.6189308,13.415085,13.784115,14.9376135,-0.4898236
16.685532,14.9376135,,1.8315169,15.933922740328178,16.6409,0.9969146,49,-0.3984101,1.1372482,980,11.884233474731445,16.207891,1.1173372e-08,12.339567,16.207891,0.11,15.596118,,3.0047832,13.434239,14.353636,14.9376135,-0.4896991
16.665329,14.9376135,,1.6024119,16.437396915211163,19.1236,0.9969146,50,-0.39723703,1.1244717,1000,12.135308265686035,16.04547,2.237456e-08,12.659468,16.04547,0.11,15.669162,,2.5358143,13.462055,14.825044,14.9376135,-0.48957673
