LQGmu1,DenMISELogLast,MISE,IWMax,TimestepsSoFar,Iteration,LQGmu01,IWMin,URet,IWLastEpisode,ReturnMax,ReturnMin,IWMean,IWFirstEpisode,target_sum_log_mean,LQGsigma,Bound,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMean,DenMISEMeanLog
-0.20296319,14.581966,17.83441,4.4749284,1520,76,-0.020579206,,18.35749446101226,1.8804511,16.844772,,1.0739139,3.683752e-12,10.490058,0.11,17.83441,16.844772,0.9999951,17.26746,19.8981773853302,16.598091,16.34055,15.278587
-0.20149274,18.489143,17.680012,3.7838242,1540,77,-0.020425959,,18.181656431917247,1.8733629,16.844772,,1.0652041,8.10109e-12,10.802078,0.11,17.680012,16.844772,0.9999951,17.254387,20.205148935317993,16.434546,16.34177,15.321108
-0.20057525,16.08093,17.59524,3.3743694,1560,78,-0.020330383,,18.33469183020402,1.9839524,16.844772,,1.0603372,1.3253687e-11,10.999346,0.11,17.59524,16.844772,0.9999951,17.241484,20.512115478515625,16.580452,16.34483,15.331572
-0.20057525,20.847458,17.45319,3.2759137,1580,79,-0.020330383,,18.258900143318055,1.6042743,16.844772,,1.0519197,1.3423583e-11,11.12999,0.11,17.45319,16.844772,0.9999951,17.228745,20.86672019958496,16.503456,16.346838,15.402053
-0.19879827,12.119844,17.413513,2.7170327,1600,80,-0.020145379,,18.265923954732582,1.9488178,16.844772,,1.0499898,3.4079357e-11,11.374054,0.11,17.413513,16.844772,0.9999951,17.216166,21.165767192840576,16.514511,16.348932,15.36158
-0.1320993,11.973839,17.521324,3.41297,1620,81,-0.013286804,,18.339980933057586,0.06353759,16.844772,,1.0840682,0.64397836,12.924283,0.11,17.521324,16.844772,0.9999951,17.203743,21.487438917160034,16.581831,16.351807,15.320289
-0.13219307,20.124168,17.549715,3.3331904,1640,82,-0.013296344,,17.991745881446242,2.8517358,16.844772,,1.0856131,0.6367053,13.033381,0.11,17.549715,16.844772,0.9999951,17.199392,21.798097133636475,16.25925,16.350677,15.379766
-0.13200057,16.471746,17.54005,3.2065191,1660,83,-0.013276755,,17.638822626545775,2.6676636,16.844772,,1.0856371,0.6604253,13.069292,0.11,17.54005,16.844772,0.9999951,17.195005,22.111558437347412,15.922815,16.345524,15.393831
-0.13177584,10.7676115,17.514242,3.0838673,1680,84,-0.013253887,,17.919891296505323,2.4801488,16.844772,,1.0841433,0.68829286,13.03252,0.11,17.514242,16.844772,0.9999951,17.190954,22.435807704925537,16.181793,16.343576,15.339661
-0.13073201,15.858978,17.325256,2.8422952,1700,85,-0.013147694,,17.20544371056108,1.6814831,16.844772,,1.0737764,0.8178982,12.976712,0.11,17.325256,16.844772,0.9999951,17.18728,22.81170392036438,15.523777,16.333931,15.346651
-0.12960331,13.716627,17.139795,2.6396866,1720,86,-0.013032898,,17.758007115894525,1.5180608,16.844772,,1.0630578,0.9759839,12.884666,0.11,17.139795,16.844772,0.9999951,17.185162,23.137388944625854,16.045181,16.330574,15.328457
-0.12852663,14.92701,17.041052,2.450429,1740,87,-0.012923424,,17.6087738766738,1.869572,16.844772,,1.057874,1.1442249,12.812244,0.11,17.041052,16.844772,0.9999951,17.184885,23.46451187133789,15.911993,16.325762,15.32448
-0.12864827,17.590317,17.05902,2.4265647,1760,88,-0.012935793,,18.11651305320375,2.3057177,16.844772,,1.0585059,1.1224725,12.887687,0.11,17.05902,16.844772,0.9999951,17.186523,23.789087772369385,16.374855,16.32632,15.350803
-0.12963179,15.432184,17.097881,2.512152,1780,89,-0.013035796,,17.941631445215325,2.490941,16.844772,,1.0601875,0.96913713,13.017655,0.11,17.097881,16.844772,0.9999951,17.187899,24.114558458328247,16.21835,16.325108,15.352298
-0.12909164,17.58067,17.065899,2.4042897,1800,90,-0.012980871,,17.809297580704794,2.062933,16.844772,,1.0586139,1.0509496,13.027056,0.11,17.065899,16.844772,0.9999951,17.187555,24.460757732391357,16.078411,16.322367,15.37765
