Iteration,DenMISEMeanLog,LQGmu1,IWFirstEpisode,IWLastEpisode,Bound,IWMean,ReturnMin,DenMISELogFirst,ReturnMean,DenMISELogLast,target_sum_log_mean,URet,SqrtESSClassic,TimeElapsed,ReturnMax,IWNorm2,IWMax,ReturnLastEpisode,ReturnAbsMax,ExplorationBonus,LQGmu01,MISE,TimestepsSoFar,LQGsigma,IWMin,IWNorm1,ReturnStepMax
33,16.632082,-0.11150401,1.0109544,0.89576864,23.063417,1.0749592,,18.772839,15.840859,17.519089,16.651329,17.288914614008853,5.4877763,6.35509991645813,16.418245,6.4641213,1.8112531,15.601343,16.418245,5.9835696,-0.011196493,17.079847,660,0.11,,35.47365,0.9999036
34,16.70264,-0.1141874,0.91753435,0.54567695,22.76672,1.0452925,,18.77316,15.842612,18.959951,16.642317,17.608955211213445,5.348716,6.581444025039673,16.418245,6.644575,2.1511009,15.900389,16.418245,6.139136,-0.011468257,16.627584,680,0.11,,35.539944,0.9999036
35,16.758308,-0.106523246,1.0558279,1.0661607,21.860022,1.0285857,,18.770802,15.843963,18.609924,16.785206,17.592432401256133,5.9088902,6.787973403930664,16.418245,6.0925994,1.0743752,15.889897,16.418245,5.557133,-0.010692485,16.302889,700,0.11,,36.0005,0.9999036
36,16.690735,-0.10690857,1.0576458,1.1113585,21.891468,1.0345813,,18.77235,15.849555,14.297915,16.72239,17.753665498692243,5.9868035,7.004171848297119,16.418245,6.2211704,1.1150892,16.045345,16.418245,5.484812,-0.010731456,16.406656,720,0.11,,37.244926,0.9999036
37,16.603083,-0.10721413,1.0579202,1.1368297,21.952854,1.0404272,,18.773907,15.86632,13.413995,16.6393,18.220803586075714,6.063355,7.22558069229126,16.469803,6.3489285,1.1478469,16.469803,16.469803,5.4325705,-0.010762365,16.520283,740,0.11,,38.495808,0.9999142
38,16.604326,-0.10751668,1.0574965,1.0995427,21.98264,1.0460428,,18.77543,15.869927,16.611153,16.644693,17.706412036775777,6.137735,7.4339470863342285,16.469803,6.4762697,1.1922796,16.003422,16.469803,5.3667364,-0.010792967,16.615902,760,0.11,,39.749626,0.9999142
39,16.630375,-0.107829705,1.056422,1.0601704,21.988092,1.0504415,,18.776903,15.86561,17.575472,16.673525,17.396853069161146,6.20982,7.652810335159302,16.469803,6.5971675,1.2505115,15.701522,16.469803,5.304438,-0.010824632,16.683655,780,0.11,,40.96722,0.9999142
40,16.72166,-0.10816854,1.0545961,0.9880971,21.963453,1.0528927,,18.778313,15.857257,20.232841,16.765373,17.22075464660646,6.278403,7.882021427154541,16.469803,6.708029,1.3149629,15.5315075,16.469803,5.2464943,-0.010858912,16.716959,800,0.11,,42.115707,0.9999142
41,16.540665,-0.10857308,1.0516413,0.5543135,21.789194,1.0449563,,18.779644,15.831604,9.249384,16.570335,16.441749396389778,6.3236055,8.112083911895752,16.469803,6.7751236,1.3951528,14.805508,16.469803,5.2089915,-0.010899844,16.580202,820,0.11,,42.84321,0.9999142
42,16.493008,-0.10896382,1.0476612,1.2014267,21.843882,1.0512365,,18.780872,15.830963,14.495623,16.52528,17.496623847107482,6.381888,8.355190515518188,16.469803,6.9183187,1.4734163,15.804674,16.469803,5.1614203,-0.01093938,16.68246,840,0.11,,44.151936,0.9999142
43,16.494791,-0.10933346,1.0428983,1.2654018,21.913435,1.0583704,,18.78198,15.830041,16.520046,16.530298,17.500597988373816,6.4383698,8.592371702194214,16.469803,7.068548,1.547379,15.791342,16.469803,5.116141,-0.010976785,16.797295,860,0.11,,45.509926,0.9999142
44,16.487879,-0.10971061,1.0371615,1.1551365,21.941128,1.0627632,,18.782955,15.829205,16.13405,16.524036,17.494688973359267,6.493993,8.830147743225098,16.469803,7.200744,1.6238213,15.793262,16.469803,5.0723195,-0.011014954,16.868809,880,0.11,,46.76158,0.9999142
45,16.483263,-0.1101224,1.02996,0.99939364,21.91811,1.063512,,18.783781,15.830303,16.219456,16.516064,17.573467293957496,6.5444903,9.058561086654663,16.469803,7.3127217,1.7100308,15.878677,16.469803,5.033181,-0.011056631,16.88493,900,0.11,,47.858036,0.9999142
46,16.496128,-0.110505186,1.0223055,1.3886008,22.024372,1.0716462,,18.784431,15.838509,17.013529,16.531996,17.9365697721311,6.592268,9.305870056152344,16.469803,7.47781,1.7886616,16.20772,16.469803,4.996703,-0.011095375,17.02767,920,0.11,,49.295727,0.9999142
47,16.285593,-0.11087664,1.0140578,1.3630922,22.09685,1.0787963,,18.784906,15.833452,6.5316653,16.32373,17.28684247739189,6.640463,9.545608758926392,16.469803,7.635525,1.8640726,15.600836,16.469803,4.9604383,-0.011132979,17.136412,940,0.11,,50.703423,0.9999142
48,16.284859,-0.111260325,1.0047606,1.2393324,22.117752,1.0830463,,18.785198,15.822884,16.173922,16.322664,16.984082974215617,6.6884656,9.780232667922974,16.469803,7.7725186,1.9429148,15.3261175,16.469803,4.9248376,-0.0111718215,17.192915,960,0.11,,51.986225,0.9999142
49,16.303738,-0.11167421,0.9938582,1.1209855,22.104685,1.0845534,,18.785295,15.816519,17.129606,16.338266,17.170896881189424,6.732559,10.031966924667358,16.469803,7.893449,2.0307467,15.511008,16.469803,4.8925834,-0.0112137245,17.212101,980,0.11,,53.143112,0.9999142
50,16.3667,-0.11211339,0.9813187,1.2159019,22.122898,1.0873986,,18.785173,15.816257,19.369942,16.398514,17.491944913753283,6.7728214,10.294556856155396,16.469803,8.027663,2.126342,15.803467,16.469803,4.8634987,-0.011258194,17.2594,1000,0.11,,54.36993,0.9999142
51,16.23317,-0.11252631,0.96868986,1.5916607,22.24954,1.096644,,18.784807,15.817951,9.471986,16.267078,17.617979215767658,6.806978,10.544610738754272,16.469803,8.216398,2.212881,15.902618,16.469803,4.8390937,-0.01130001,17.410446,1020,0.11,,55.928844,0.9999142
52,16.158146,-0.11297277,0.95410293,1.1986595,22.249235,1.09811,,18.784204,15.817985,12.238413,16.187668,17.524169809820588,6.8436003,10.797222375869751,16.469803,8.343813,2.30997,15.81971,16.469803,4.8131986,-0.011345225,17.436037,1040,0.11,,57.10172,0.9999142
53,16.129091,-0.11348129,0.9362987,1.0707848,22.203148,1.0967451,,18.783339,15.810116,14.523306,16.150331,17.062452515924047,6.870621,11.071572065353394,16.469803,8.460297,2.4279048,15.400952,16.469803,4.7942686,-0.011396729,17.40888,1060,0.11,,58.127495,0.9999142
54,16.198788,-0.1139802,0.9178091,1.6173133,22.320927,1.1043277,,18.782158,15.816517,19.799118,16.218405,17.88338073850837,6.892247,11.325143098831177,16.469803,8.652287,2.5414953,16.155779,16.469803,4.779226,-0.011447267,17.5417,1080,0.11,,59.633698,0.9999142
55,16.162209,-0.11459,0.893598,0.73391193,22.188227,1.0955899,,18.780663,15.818064,14.086199,16.162806,17.61297908075464,6.8913355,11.586379528045654,16.469803,8.743943,2.6954799,15.901642,16.469803,4.779858,-0.011509046,17.40837,1100,0.11,,60.257446,0.9999142
56,16.141697,-0.11531328,0.8628665,1.2379481,22.179157,1.0944828,,18.77876,15.816862,14.92129,16.128084,17.44026948194523,6.8837047,11.86972188949585,16.469803,8.903787,2.8933613,15.750706,16.469803,4.7851567,-0.011582333,17.394001,1120,0.11,,61.29104,0.9999142
57,16.114164,-0.11581045,0.8414743,2.5717454,22.546066,1.1150408,,18.776352,15.821731,14.481532,16.103184,17.82147484813836,6.8445005,12.127339363098145,16.469803,9.285896,2.9974391,16.094349,16.469803,4.8125653,-0.011632716,17.733501,1140,0.11,,63.557323,0.9999142
58,16.088371,-0.11631055,0.8193097,1.7519041,22.644756,1.1210585,,18.773615,15.828056,14.507467,16.072552,17.908585541333377,6.8580146,12.404026746749878,16.469803,9.481081,3.099849,16.188692,16.469803,4.8030815,-0.011683403,17.841675,1160,0.11,,65.02139,0.9999142
59,16.08304,-0.11683316,0.79543614,1.7423902,22.711344,1.1261683,,18.770548,15.822984,15.657434,16.060844,17.210467241622805,6.8686714,12.675177097320557,16.469803,9.673475,3.208587,15.528735,16.469803,4.79563,-0.011736377,17.915714,1180,0.11,,66.443924,0.9999142
60,16.074898,-0.11725017,0.7765728,2.6275656,23.029629,1.1448371,,18.767132,15.827207,15.473184,16.055353,17.806478002152783,6.8526063,12.952700853347778,16.469803,10.023957,3.2685335,16.076342,16.469803,4.8068724,-0.01177865,18.222757,1200,0.11,,68.69023,0.9999142
61,16.101902,-0.117730275,0.7540712,0.28112197,22.73013,1.124685,,18.763462,15.823323,17.58273,16.045885,17.255327735143425,6.825212,13.236745834350586,16.469803,10.051818,3.3532386,15.590327,16.469803,4.8261657,-0.011827324,17.903963,1220,0.11,,68.60579,0.9999142
62,16.071817,-0.11830077,0.7263737,0.5834528,22.501059,1.1091535,,18.75949,15.817344,14.117149,15.987114,17.135617680986257,6.7997403,13.524296522140503,16.469803,10.113256,3.474031,15.452591,16.469803,4.8442445,-0.011885175,17.656815,1240,0.11,,68.76752,0.9999142
63,16.131083,-0.11893084,0.69510704,1.6712036,22.518942,1.1098393,,18.755136,15.814651,19.701399,16.030813,17.348434762505907,6.787165,13.826164960861206,16.469803,10.301779,3.6167328,15.647708,16.469803,4.85322,-0.01194907,17.665722,1260,0.11,,69.919876,0.9999142
64,16.123539,-0.11961262,0.66077685,1.858272,22.578594,1.1120553,,18.75036,15.817043,15.5437975,16.005901,17.677110740775376,6.7629323,14.122992277145386,16.469803,10.523769,3.7773633,15.967732,16.469803,4.8706098,-0.012018223,17.707985,1280,0.11,,71.17154,0.9999142
65,16.14091,-0.120393105,0.6209496,1.7512894,22.601227,1.1109524,,18.745129,15.820946,17.145908,15.999136,17.78314253306443,6.7218237,14.408056497573853,16.469803,10.742904,3.9774199,16.07064,16.469803,4.9003973,-0.012097399,17.70083,1300,0.11,,72.21191,0.9999142
66,16.116663,-0.12146966,0.5651881,0.56202924,22.35608,1.0886353,,18.739368,15.823679,14.435534,15.917307,17.724342760132256,6.5869823,14.695280313491821,16.469803,10.907867,4.3129053,16.001339,16.469803,5.000713,-0.012206636,17.355366,1320,0.11,,71.84993,0.9999142
67,16.035536,-0.122538745,0.5111457,2.5770216,22.538448,1.093066,,18.732857,15.829112,10.598294,15.796769,17.917045007915743,6.4663696,14.988007307052612,16.469803,11.325585,4.6332316,16.187794,16.469803,5.0939875,-0.012315145,17.44446,1340,0.11,,73.23542,0.9999142
