ExplorationBonus,DenMISELogLast,Iteration,URet,IWMean,IWMin,SqrtESSClassic,target_sum_log_mean,ReturnMin,ReturnMean,ReturnMax,IWNorm2,DenMISELogFirst,IWMax,LQGsigma,TimestepsSoFar,TimeElapsed,ReturnStepMax,ReturnAbsMax,LQGmu01,IWLastEpisode,IWNorm1,ReturnLastEpisode,Bound,IWFirstEpisode,LQGmu1,MISE,DenMISEMeanLog
3842.539,13.746966,30,19.164031539734815,5.9452114e-20,,1.0067081,-6559.092,,13.0633745,17.395916,1.7717084e-18,12.216653,1.7717073e-18,0.11,600,24.963963508605957,0.9999981,17.395916,-0.0959596,1.7717073e-18,1.7835933e-18,17.377632,3842.539,,-0.959596,1.0331302e-18,13.11829
3795.735,3.3730302,31,19.134143876428674,4.1899024e-17,,1.0000008,-6620.971,,13.201572,17.395916,1.2988687e-15,12.183863,1.2988687e-15,0.11,620,25.856807947158813,0.9999981,17.395916,-0.0979798,1.2988687e-15,1.2988698e-15,17.347485,3795.735,,-0.97979796,7.268427e-16,12.772195
3730.315,16.788908,32,19.031881098606224,0.68592894,,1.0,-5890.749,,13.327869,17.395916,21.949726,12.152114,21.949726,0.11,640,26.743685007095337,0.9999981,17.395916,-0.093939394,21.949726,21.949726,17.24305,3742.1423,,-0.93939394,11.827507,12.866961
3660.7305,15.299062,33,18.995991585272613,0.08684172,,1.0027993,-4322.5845,,13.445467,17.395916,2.857777,12.121343,2.8577688,0.11,660,27.663939237594604,0.9999981,17.395916,-0.081818186,2.4958129e-06,2.8657768,17.208595,3662.237,,-0.8181818,1.5064914,12.92665
3605.902,13.634734,34,18.996098683536697,0.07994001,,1.0030415,-4195.4414,,13.556145,17.395916,2.7097187,12.09149,2.7097094,0.11,680,28.572752475738525,0.9999981,17.395916,-0.081818186,1.586287e-06,2.7179604,17.208498,3607.2888,,-0.8181818,1.386764,12.920951
3536.1396,11.893282,35,19.07652492621204,0.3066857,,1.0088081,-4490.883,,13.662819,17.395916,10.640279,12.062502,10.640007,0.11,700,29.50229263305664,0.9999981,17.395916,-0.08585858,10.640007,10.733999,17.289778,3541.4421,,-0.85858583,5.3024354,12.865626
3430.4668,12.634574,36,19.129045451863814,0.97310567,,1.026581,-852.4887,,13.765025,17.395916,34.124733,12.034331,34.115726,0.11,720,30.389817714691162,0.9999981,17.395916,-0.037373737,,35.031803,17.342205,3447.2046,,-0.37373737,16.73778,12.839268
3323.837,4.2220507,37,19.042538814735064,3.6338298,,1.0468273,-375.37253,,13.85939,17.395916,128.43733,12.006932,128.31154,0.11,740,31.28338098526001,0.9999981,17.395916,-0.023232324,,134.4517,17.256527,3385.0823,,-0.23232323,61.245445,12.59841
3326.401,-3.687601,38,18.672074510611125,1.6107974e-11,,1.0342638,-207.4277,,13.93962,17.395916,5.918248e-10,11.980264,5.914649e-10,0.11,760,32.22134757041931,0.9999981,17.395916,0.0070707067,,6.1210303e-10,16.908106,3326.401,1.05049844e-19,0.07070707,1.4899601e-10,12.187342
3403.988,-40.843414,39,10.29833997362925,1.0000012,,1.0,-203.06238,,13.823279,17.395916,39.000046,11.9542885,39.000046,0.11,780,33.10783123970032,0.9999981,17.395916,0.0070707067,39.000046,39.000046,9.402343,3413.3904,1.078146e-19,0.07070707,9.402354,10.80227
