DenMISEMeanLog,ReturnStepMax,URet,SqrtESSClassic,Bound,DenMISELogLast,ReturnAbsMax,TimeElapsed,TimestepsSoFar,LQGsigma,IWLastEpisode,ReturnLastEpisode,IWNorm2,IWMean,ReturnMin,ReturnMean,LQGmu1,IWMax,IWMin,MISE,IWNorm1,LQGmu01,ExplorationBonus,Iteration,ReturnMax,target_sum_log_mean,IWFirstEpisode,DenMISELogFirst
13.873431,0.99999875,18.616264572994627,2.797976,30.658539,7.8805575,17.257204,283.36898016929626,1020,0.11,1.411246e-11,16.846405,19.516508,1.07072,,16.336676,-0.5296004,10.40078,,18.323048,54.60672,-0.058890734,12.33549,51,17.257204,-99.38629,,16.502432
13.814155,0.99999875,18.820766912015777,3.4546921,30.713339,10.776766,17.257204,289.0147967338562,1040,0.11,6.010515,17.042543,18.239662,1.2117772,,16.350248,-0.45856723,6.2998066,,20.72275,63.012417,-0.04950903,9.990589,52,17.257204,-77.402504,,16.483013
13.790849,0.99999875,18.819847749554,2.2622168,30.531542,12.415088,17.257204,294.5815987586975,1060,0.11,2.4560759e-27,17.043732,22.733343,0.9703349,,16.363335,-0.110656105,11.705269,,15.274645,51.42775,-0.011110653,15.256897,53,17.257204,-18.17113,10.376566,16.463964
13.542975,0.99999875,18.320454542807738,1.1817094,47.569168,0.50734866,17.257204,300.2065439224243,1080,0.11,50.310432,16.574242,50.601585,1.1073402,,16.367239,-0.1636795,50.310432,,18.361982,59.79637,-0.016515013,29.207188,54,17.257204,-12.530061,0.00028407504,16.624075
13.457721,0.99999875,18.05451691632308,1.4183961,39.71807,9.015559,17.257204,305.82680892944336,1100,0.11,35.391243,16.311136,36.58224,0.9434201,,16.36622,-0.13824813,35.391243,,15.384664,51.888107,-0.013913016,24.333406,55,17.257204,-13.29199,0.37114683,16.605732
13.411769,0.99999875,17.887714739130292,1.7603095,38.887505,11.091863,17.257204,311.6157953739166,1120,0.11,29.558819,16.16666,37.69922,1.1850408,,16.362656,-0.14217341,29.558819,,19.28049,66.36229,-0.0143133355,19.607012,56,17.257204,-12.469134,0.15926287,16.594439
13.420472,0.99999875,18.111716041443692,2.0837765,33.64676,13.889807,17.257204,317.67918968200684,1140,0.11,16.689842,16.366444,28.390217,1.0378748,,16.362722,-0.16562723,20.659714,,17.083366,59.158863,-0.016715158,16.563393,57,17.257204,-11.139205,0.00014802907,16.579578
13.407009,0.99999875,18.363475455898406,2.4254844,31.2072,12.696827,17.257204,323.34314227104187,1160,0.11,10.757782,16.610872,24.608984,1.0291156,,16.367,-0.16757365,15.245984,,16.977297,59.688705,-0.016915305,14.229903,58,17.257204,-10.69866,7.364752e-05,16.56219
13.412663,0.99999875,17.942382320711495,2.7114084,30.554035,13.781943,17.257204,328.96324038505554,1180,0.11,11.604403,16.210476,23.555937,1.0825384,,16.364347,-0.1714626,11.604403,,17.824705,63.869766,-0.017315583,12.729329,59,17.257204,-10.297273,1.6930902e-05,16.545095
13.448272,0.99999875,18.29034995215728,3.119441,30.40521,15.529842,17.257204,334.72458481788635,1200,0.11,0.25777453,16.531675,22.103064,1.1491534,,16.367136,-0.26108018,9.118934,,19.340918,68.9492,-0.026720364,11.064293,60,17.257204,-21.036356,1.5713279e-27,16.52829
13.471619,0.99999875,18.49617180834909,3.5934482,30.345776,14.777479,17.257204,340.4524223804474,1220,0.11,2.9820877e-17,16.735413,20.594995,1.2132304,,16.373173,-0.4569848,7.0163164,,20.74096,74.00705,-0.049309324,9.604816,61,17.257204,-72.46158,,16.51176
13.405683,0.99999875,18.673001625437774,3.6906636,29.466875,9.2157345,17.257204,346.13432931900024,1240,0.11,5.0919886,16.900126,19.782389,1.1775829,,16.381672,-0.450626,6.4168463,,20.115059,73.01014,-0.04851044,9.351816,62,17.257204,-69.33369,,16.4955
13.488586,0.99999875,18.74874375194874,3.0906017,29.372402,18.491022,17.257204,351.8203549385071,1260,0.11,,16.973629,25.526041,1.2522353,,16.39107,-0.060985282,11.411448,,18.204865,78.89082,-0.0061060293,11.167537,63,17.257204,-31.574842,0.0019952732,16.4795
13.201227,0.99999875,17.220504565757697,2.0861838,29.161667,-5.0874276,17.257204,357.4818193912506,1280,0.11,0.031240465,15.576447,23.809322,0.7761035,,16.37834,-0.14021133,16.901592,,12.617389,49.670624,-0.014113177,16.54428,64,17.257204,-10.817148,0.28191906,16.463783
13.208467,0.99999875,17.807537182080985,2.598402,29.11997,13.948028,17.257204,363.18813920021057,1300,0.11,,16.085112,23.131369,0.9246861,,16.37383,-0.7615942,10.145496,,15.837034,60.104595,-0.09966799,13.282936,65,17.257204,-159.4549,,16.452673
12.953942,0.99999875,18.702832189125182,3.8737087,29.035599,-3.464542,17.257204,369.1961250305176,1320,0.11,0.012162724,16.927544,20.0819,1.178658,,16.382221,-0.4553994,6.1865535,,20.125687,77.79143,-0.049109608,8.909913,66,17.257204,-71.44618,,16.437407
12.911714,0.99999875,18.934736321444515,4.0472307,28.64695,9.982374,17.257204,374.88275694847107,1340,0.11,5.4769335,17.154694,19.497213,1.177757,,16.393747,-0.46172348,5.703659,,20.119041,78.90972,-0.049908444,8.527907,67,17.257204,-71.97714,,16.422369
12.859427,0.99999875,18.836641815518693,2.697594,28.4547,9.21142,17.257204,380.5842137336731,1360,0.11,1.9337158e-29,17.06385,25.816113,1.0241381,,16.403605,-0.07891464,13.843572,,15.660185,69.64139,-0.007907742,12.794516,68,17.257204,-25.25738,0.46099842,16.407553
12.726126,0.99999875,17.28319891665425,2.984853,29.621058,3.6950045,17.257204,386.28137469291687,1380,0.11,10.712342,15.627178,26.566236,1.1492219,,16.392351,-0.10669941,11.325376,,18.057873,79.29631,-0.010710301,11.563185,69,17.257204,-16.700695,11.325376,16.399712
12.694343,0.99999875,17.276260611208247,2.7218244,29.346048,10.4127445,17.257204,392.0013384819031,1400,0.11,13.706188,15.5772295,26.809568,1.042442,,16.380707,-0.12841615,13.732801,,16.665434,72.97094,-0.012912194,12.680614,70,17.257204,-12.321474,2.221472,16.537302
12.666457,0.99999875,17.630365432500753,3.0564334,29.055737,10.731143,17.257204,397.7410719394684,1420,0.11,11.410947,15.915468,25.91224,1.1154794,,16.374153,-0.12447619,12.00865,,17.763357,79.199036,-0.012511858,11.292379,71,17.257204,-12.530344,3.6460066,16.55436
12.661503,0.99999875,18.08581309601475,3.0886464,28.509436,12.248336,17.257204,403.87636041641235,1440,0.11,10.031545,16.35492,25.179855,1.080162,,16.373884,-0.13038462,10.34262,,17.33483,77.77167,-0.013112359,11.174606,72,17.257204,-11.337065,1.5689895,16.59045
12.684027,0.99999875,18.062607019600854,3.182078,29.232948,14.275154,17.257204,409.75372672080994,1460,0.11,9.604684,16.322498,25.6,1.1159068,,16.37318,-0.17340505,11.543848,,18.386448,81.4612,-0.017515725,10.8465,73,17.257204,-8.841855,7.425619e-06,16.598213
