MISE,ReturnStepMax,IWMean,Bound,DenMISELogFirst,ReturnAbsMax,URet,ExplorationBonus,IWMax,TimeElapsed,ReturnMax,LQGmu1,IWNorm2,IWLastEpisode,Iteration,ReturnLastEpisode,ReturnMean,LQGsigma,ReturnMin,target_sum_log_mean,DenMISELogLast,SqrtESSClassic,IWFirstEpisode,DenMISEMeanLog,LQGmu01,IWNorm1,IWMin,TimestepsSoFar
8.017273,0.9999715,0.46719572,30.44703,16.975494,17.208038,18.89616386501058,22.429756,3.1150992,7.60629677772522,17.208038,-0.6406247,3.3493054,0.7845483,11,17.116274,15.184946,0.11,,-533.58405,16.50945,1.5343937,,-0.75337833,-0.07577769,5.139153,,220
,0.9999744,,9.935066,16.888483,17.208038,18.919538285720538,9.935066,,8.822174787521362,17.208038,0.75336456,3.4641018e-10,,12,17.139841,15.347855,0.11,,-600.23926,16.537886,3.4641013,,0.6434154,0.09775581,1.2e-09,,240
36.41443,0.9999744,2.1289337,63.585747,16.808441,17.208038,9.696222335470999,27.17132,20.772667,10.108232021331787,17.208038,-0.513076,21.850172,,13,8.850773,14.848079,0.11,,-654.9485,-25.5908,1.2666324,,-1.4484869,-0.056628942,27.676138,,260
1.2681301e-35,0.9999744,1.4301743e-36,9.198083,16.734333,17.208038,18.385599447937125,9.198083,2.002244e-35,10.966223001480103,17.208038,0.09349592,3.7416575e-10,,14,16.615438,14.974319,0.11,,-206.12894,-25.664907,3.7416573,,-3.1481884,0.009376705,1.4e-09,,280
16.411371,0.9999744,0.95932764,42.47764,16.66534,17.208038,10.670314210644303,26.066267,10.026877,12.285554885864258,17.208038,-0.50321573,10.8987255,,15,9.762499,14.626864,0.11,,-665.6249,-25.733902,1.32033,,-4.7182975,-0.055303805,14.3899145,,300
9.404401,0.9999744,0.549946,31.43586,16.600801,17.208038,18.417963878624843,22.031458,3.981644,13.133869171142578,17.208038,-0.7766543,5.6327686,1.074758e-27,16,16.64918,14.75326,0.11,,-675.2068,-25.798439,1.5621334,,-6.048274,-0.103318304,8.799136,,320
12.2681875,0.9999744,0.7171166,30.07692,16.540176,17.208038,18.88263063890045,17.808733,3.5831258,14.411886215209961,17.208038,-0.7590101,6.3082714,3.5534248,17,17.10272,14.891463,0.11,,-632.2353,16.568697,1.9325392,,-4.7457232,-0.09906159,12.190982,,340
5.321621e-31,0.9999744,6.001628e-32,8.111948,16.483019,17.208038,18.86948466001581,8.111948,1.080293e-30,15.638189554214478,17.208038,0.45484814,4.2426407e-10,,18,17.091154,15.013668,0.11,,-453.08148,17.185455,4.2426405,,-3.5448482,0.049040243,1.7999999e-09,,360
1.2937525e-07,0.9999744,1.4590706e-08,34.194176,16.428951,17.208038,9.74630354539226,34.194176,2.7722342e-07,17.1051504611969,17.208038,0.2746457,2.7732372e-07,,19,8.897932,14.691787,0.11,,-322.75168,-25.97029,1.0064894,,-4.7763557,0.0281807,2.7912338e-07,,380
10.153181,0.9999744,0.59224355,34.89254,16.377659,17.208038,9.577787679365102,24.739357,8.220698,18.36564350128174,17.208038,-0.5950882,8.514465,,20,8.720926,14.393244,0.11,,-796.975,12.56758,1.3911468,,-3.9578876,-0.06844357,11.844871,,400
11.963987,0.9999908,0.69989383,32.06118,16.328869,17.208038,18.517826636080933,20.09719,7.03175,20.07180643081665,17.208038,-0.83307034,8.582731,,21,16.744629,14.505214,0.11,,-793.4468,-26.070374,1.7124819,,-5.032582,-0.11923876,14.697771,,420
8.933956,0.9999908,0.52155966,31.787998,16.282349,17.240551,19.023716167496527,22.854042,6.480782,21.314703226089478,17.240551,-0.55285174,7.605163,0.3041976,22,17.240551,14.629547,0.11,,-722.126,13.794143,1.508753,,-4.192624,-0.062167626,11.474312,,440
