IWMin,LQGsigma,ReturnStepMax,IWMax,IWMean,ReturnLastEpisode,TimestepsSoFar,IWLastEpisode,DenMISEMeanLog,ReturnMean,ReturnMin,MISE,URet,Iteration,ReturnAbsMax,DenMISELogFirst,Bound,DenMISELogLast,LQGmu1,target_sum_log_mean,ReturnMax,IWFirstEpisode,LQGmu01,TimeElapsed
,0.11,0.9999584,2.0224922,1.0649657,15.789192,840,1.3172083,16.492672,15.792236,,16.878208,17.479808138528668,42,16.467543,18.746962,16.878208,14.392974,-0.10794571,16.517715,16.467543,1.0885147,-0.010836369,6.303741931915283
,0.11,0.9999584,2.0567646,1.0719017,15.777162,860,1.4045218,16.492207,15.791887,,16.987673,17.48555566499912,43,16.467543,18.749018,16.987673,16.410233,-0.10818902,16.521254,16.467543,1.0859019,-0.010860984,6.470551490783691
,0.11,0.9999584,2.093488,1.0740653,15.77422,880,1.2049081,16.484602,15.791485,,17.021852,17.474064227680227,44,16.467543,18.750967,17.021852,16.088402,-0.10844063,16.513807,16.467543,1.0829028,-0.010886442,6.639147758483887
,0.11,0.9999584,2.1419423,1.0716364,15.85705,900,0.9944555,16.480232,15.792942,,16.985865,17.549888256980406,45,16.467543,18.752808,16.985865,16.216604,-0.10872728,16.504772,16.467543,1.0792962,-0.010915446,6.810925722122192
,0.11,0.9999584,2.1793797,1.079682,16.190197,920,1.5025843,16.491373,15.801578,,17.12635,17.917750231807325,46,16.467543,18.75453,17.12635,16.923685,-0.10898485,16.520231,16.467543,1.0754453,-0.010941507,6.993489503860474
,0.11,0.9999584,2.2122543,1.0860126,15.572651,940,1.4428351,16.279732,15.796707,,17.219631,17.256365825743064,47,16.467543,18.756134,17.219631,6.4674115,-0.10923104,16.311852,16.467543,1.0713342,-0.010966421,7.180476427078247
,0.11,0.9999584,2.2482648,1.0885516,15.289999,960,1.2717824,16.278654,15.786151,,17.24668,16.94461296437457,48,16.467543,18.75762,17.24668,16.14501,-0.109487094,16.311014,16.467543,1.0667729,-0.010992332,7.3674139976501465
,0.11,0.9999584,2.2933142,1.0881786,15.47309,980,1.1314316,16.297491,15.779761,,17.234228,17.129368220356874,49,16.467543,18.758982,17.234228,17.116045,-0.109769374,16.327147,16.467543,1.0614735,-0.011020901,7.5536720752716064
,0.11,0.9999584,2.3455434,1.0895771,15.769387,1000,1.2273307,16.360409,15.779554,,17.25692,17.454759059984713,50,16.467543,18.76021,17.25692,19.358282,-0.11007312,16.388433,16.467543,1.0553688,-0.011051643,7.7355427742004395
,0.11,0.9999584,2.3865418,1.0982488,15.872428,1020,1.6296545,16.226467,15.781375,,17.397194,17.58556283928213,51,16.467543,18.761295,17.397194,9.442868,-0.11034925,16.25843,16.467543,1.049273,-0.011079594,7.91946816444397
,0.11,0.9999584,2.436738,1.0985304,15.784186,1040,1.2003571,16.151485,15.781428,,17.40244,17.485843577912778,52,16.467543,18.762241,17.40244,12.232449,-0.11065157,16.180828,16.467543,1.0422322,-0.011110194,8.1084623336792
,0.11,0.9999584,2.5072956,1.0962508,15.351178,1060,1.0606731,16.12263,15.773311,,17.35917,17.008089346843526,53,16.467543,18.763039,17.35917,14.526812,-0.11100922,16.145895,16.467543,1.0334135,-0.0111464,8.298524141311646
,0.11,0.9999584,2.571331,1.1030532,16.12376,1080,1.5858531,16.192493,15.779801,,17.477844,17.848974305907177,54,16.467543,18.763657,17.477844,19.80222,-0.11135355,16.216831,16.467543,1.0242534,-0.011181259,8.536774158477783
,0.11,0.9999584,2.6815445,1.0948566,15.861436,1100,0.74275005,16.156036,15.781285,,17.35206,17.56965207618728,55,16.467543,18.7641,17.35206,14.087691,-0.11181621,16.165197,16.467543,1.0111047,-0.011228103,8.823929786682129
,0.11,0.9999584,2.8487973,1.0948111,15.700932,1120,1.2180036,16.135866,15.779851,,17.353474,17.38617699056174,56,16.467543,18.764296,17.353474,14.935006,-0.11241889,16.13475,16.467543,0.99231446,-0.011289128,9.147392749786377
,0.11,0.9999584,2.9204934,1.1138368,16.057142,1140,2.4119625,16.109295,15.784715,,17.666508,17.78158892279409,57,16.467543,18.764162,17.666508,14.53011,-0.112803705,16.11354,16.467543,0.979417,-0.011328102,9.406025409698486
,0.11,0.9999584,2.9907603,1.119571,16.147932,1160,1.6667819,16.084328,15.7909775,,17.76855,17.864452713934174,58,16.467543,18.763807,17.76855,14.55139,-0.113189645,16.086983,16.467543,0.9658321,-0.011367189,9.609986305236816
,0.11,0.9999584,3.067942,1.1247507,15.468437,1180,1.6597803,16.079807,15.78551,,17.84253,17.145211201638453,59,16.467543,18.763227,17.84253,15.702238,-0.11359573,16.079815,16.467543,0.95084924,-0.0114083225,9.812398672103882
,0.11,0.9999584,3.0998666,1.141068,16.035759,1200,2.3986192,16.073025,15.789681,,18.110064,17.76295361227256,60,16.467543,18.762407,18.110064,15.552521,-0.11390498,16.078312,16.467543,0.939207,-0.0114396475,10.027959823608398
,0.11,0.9999584,3.1701565,1.1232601,15.521652,1220,0.30926424,16.098675,15.785288,,17.828548,17.180114781964406,61,16.467543,18.761412,17.828548,17.501534,-0.114302166,16.073086,16.467543,0.92349154,-0.011479884,10.265061378479004
,0.11,0.9999584,3.315778,1.1106749,15.385951,1240,0.59372705,16.068378,15.778847,,17.629099,17.063574451201784,62,16.467543,18.760176,17.629099,14.1017065,-0.1148696,16.016901,16.467543,0.89957136,-0.011537376,10.5110342502594
,0.11,0.9999584,3.5323484,1.1129947,15.590407,1260,1.5818865,16.128641,15.775856,,17.66578,17.28695249989932,63,16.467543,18.758581,17.66578,19.758865,-0.11559357,16.060055,16.467543,0.86709005,-0.011610738,10.730293035507202
,0.11,0.9999584,3.896545,1.1167006,15.916527,1280,1.765754,16.122158,15.778053,,17.73616,17.62177376126691,64,16.467543,18.756502,17.73616,15.605681,-0.11661655,16.024784,16.467543,0.81786704,-0.011714418,10.939601421356201
,0.11,0.9999584,2.7905679,1.1095523,16.027164,1300,1.5550969,16.140377,15.781887,,17.59887,17.73603042579399,65,16.467543,18.753696,17.59887,17.195257,-0.11448269,16.118475,16.467543,0.9227731,-0.011498175,11.15173888206482
,0.11,0.9999584,3.0794501,1.0997913,15.928768,1320,0.63373506,16.116158,15.784113,,17.453527,17.646398652850348,66,16.467543,18.752525,17.453527,14.436025,-0.11538778,16.060589,16.467543,0.88225794,-0.011589883,11.431065320968628
,0.11,0.9999584,3.5297923,1.1067779,16.11255,1340,1.9577537,16.039518,15.789015,,17.583944,17.836404571124916,67,16.467543,18.750767,17.583944,10.885353,-0.11663233,15.950483,16.467543,0.8217543,-0.0117160175,11.65824818611145
,0.11,0.9999584,1.1904435,1.0483993,15.652095,1360,1.0192147,15.967432,15.787002,,16.57213,17.311638268800387,68,16.467543,18.748142,16.57213,11.035466,-0.10898459,16.003633,16.467543,1.082339,-0.010941481,11.889544010162354
,0.11,0.9999584,1.2145784,1.0500822,15.5653715,1380,1.0214304,16.03237,15.783787,,16.597515,17.243504921927837,69,16.467543,18.749334,16.597515,20.400608,-0.109241635,16.068401,16.467543,1.0785328,-0.010967493,12.189532279968262
,0.11,0.9999584,1.2424922,1.0542862,15.727114,1400,1.2424922,15.980071,15.782978,,16.664627,17.434241897821263,70,16.467543,18.750456,16.664627,12.322315,-0.10947186,16.01826,16.467543,1.0746354,-0.010990791,12.427188873291016
,0.11,0.9999584,1.2749884,1.0567894,15.693819,1420,1.1027215,15.952434,15.781723,,16.704529,17.389191673448625,71,16.467543,18.751507,16.704529,13.964444,-0.10971201,15.991099,16.467543,1.0702764,-0.011015097,12.721898078918457
,0.11,0.9999584,1.3070961,1.060391,16.160263,1440,1.2017132,15.929729,15.786981,,16.769386,17.87594633424479,72,16.467543,18.752481,16.769386,14.262051,-0.10995032,15.969733,16.467543,1.0655975,-0.011039215,12.960706233978271
,0.11,0.9999584,1.3346239,1.065286,16.104557,1460,1.3311334,15.910951,15.79133,,16.853834,17.829192102182397,73,16.467543,18.75338,16.853834,14.499515,-0.11016049,15.95348,16.467543,1.0610849,-0.011060486,13.246846914291382
,0.11,0.9999584,1.366017,1.0658793,15.42473,1480,0.98575723,15.930148,15.786377,,16.859936,17.106015876128676,74,16.467543,18.754206,16.859936,17.26738,-0.110386744,15.971155,16.467543,1.0560192,-0.01108339,13.48593258857727
,0.11,0.9999584,1.4046464,1.0676194,15.784795,1500,1.0811794,15.95846,15.786354,,16.889114,17.469727853971314,75,16.467543,18.754951,16.889114,17.98896,-0.11062561,15.99882,16.467543,1.0504065,-0.011107566,13.72028660774231
,0.11,0.9999584,1.4558201,1.0669097,15.707392,1520,0.8919599,15.949881,15.785316,,16.878937,17.40570986144865,76,16.467543,18.755615,16.878937,15.240004,-0.11089092,15.986652,16.467543,1.0438734,-0.011134424,13.964330673217773
,0.11,0.9999584,1.5155799,1.0661205,15.337147,1540,0.88585967,15.992875,15.779495,,16.863586,17.00573900716616,77,16.467543,18.756184,16.863586,19.194735,-0.11119096,16.02533,16.467543,1.0360918,-0.011164799,14.205794334411621
,0.11,0.9999584,1.5848885,1.0665972,15.646141,1560,0.9940838,16.003439,15.777785,,16.872065,17.330075948455057,78,16.467543,18.756647,16.872065,16.75202,-0.11152741,16.032196,16.467543,1.0268178,-0.011198862,14.565922021865845
,0.11,0.9999584,1.6688894,1.0663987,15.611997,1580,0.94619066,16.071627,15.775687,,16.870113,17.310619603937756,79,16.467543,18.756987,16.870113,21.324919,-0.11191814,16.094877,16.467543,1.0153158,-0.011238425,14.812976121902466
,0.11,0.9999584,1.7728052,1.0670787,15.575195,1600,1.0318438,16.030533,15.773181,,16.8821,17.253862826796738,80,16.467543,18.757177,16.8821,12.719174,-0.112378284,16.047615,16.467543,1.0007346,-0.011285019,15.129427194595337
,0.11,0.9999584,1.9166694,1.0663861,15.815868,1620,0.9313934,15.987095,15.773708,,16.87686,17.52901026953848,81,16.467543,18.757187,16.87686,12.446361,-0.11297255,15.993502,16.467543,0.98024124,-0.011345201,15.41969895362854
,0.11,0.9999584,2.1685326,1.065062,15.830061,1640,0.90390044,16.035725,15.774396,,16.865278,17.535023681578497,82,16.467543,18.756947,16.865278,19.909847,-0.11390533,16.022234,16.467543,0.9443354,-0.011439683,15.763537645339966
,0.11,0.9999584,1.6356381,1.0578847,15.640314,1660,1.1474158,16.05164,15.77278,,16.729086,17.334548532502403,83,16.467543,18.756275,16.729086,17.293304,-0.112070136,16.07022,16.467543,1.0114288,-0.011253813,16.041123628616333
,0.11,0.9999584,1.8055567,1.0593542,15.956147,1680,1.0852289,15.999886,15.774963,,16.761015,17.678799502519613,84,16.467543,18.75641,16.761015,11.647512,-0.11278765,16.008707,16.467543,0.9876034,-0.011326475,16.32797074317932
,0.11,0.9999584,2.735688,1.052425,15.131195,1700,0.54232293,16.00737,15.76739,,16.677795,16.7791213946786,85,16.467543,18.756266,16.677795,16.578054,-0.11580317,15.937359,16.467543,0.85890764,-0.011631978,16.67520308494568
,0.11,0.9999584,2.1651208,1.0467983,15.803961,1720,0.606112,15.991034,15.767816,,16.570404,17.497339232664768,86,16.467543,18.754623,16.570404,14.5520315,-0.11425353,15.959185,16.467543,0.93187493,-0.011474956,16.96628499031067
,0.11,0.9999584,1.2768002,1.0387827,15.6561365,1740,0.92504376,15.989084,15.766531,,16.404463,17.329977966222557,87,16.467543,18.75384,16.404463,15.775863,-0.11068515,16.011343,16.467543,1.0503082,-0.011113593,17.29719090461731
,0.11,0.9999584,1.429283,1.0414356,16.18033,1760,1.1288083,16.016184,15.771234,,16.459526,17.907868678086654,88,16.467543,18.754412,16.459526,18.335796,-0.11152843,16.03181,16.467543,1.0290883,-0.011198964,17.58829116821289
,0.11,0.9999584,1.6979406,1.0454016,15.983848,1780,1.3689983,16.0172,15.773622,,16.536596,17.68751956960256,89,16.467543,18.754738,16.536596,16.065868,-0.11271295,16.01931,16.467543,0.99187356,-0.011318909,17.93317699432373
,0.11,0.9999584,1.426818,1.0416533,15.855469,1800,0.996624,16.043234,15.77453,,16.46599,17.57121360695677,90,16.467543,18.754648,16.46599,18.315863,-0.1115997,16.059551,16.467543,1.0268804,-0.011206181,18.24298882484436
,0.11,0.9999584,1.7601099,1.0448107,15.764765,1820,1.2971507,15.84862,15.774425,,16.52943,17.467883760175404,91,16.467543,18.754944,16.52943,-1.707406,-0.11304314,15.84652,16.467543,0.97986734,-0.01135235,18.59383511543274
,0.11,0.9999584,2.8789,1.0421337,16.25468,1840,1.9390442,15.862227,15.779645,,16.532402,17.987538094539296,92,16.467543,18.754725,16.532402,17.05654,-0.116648026,15.769025,16.467543,0.8177017,-0.011717609,18.894642114639282
,0.11,0.9999584,2.5113518,1.0438861,15.816055,1860,1.1772972,15.904108,15.780037,,16.549078,17.52672521462447,93,16.467543,18.752762,16.549078,19.716944,-0.11577438,15.842282,16.467543,0.8633357,-0.01162906,19.182271003723145
,0.11,0.9999584,1.9094847,1.0477085,16.155102,1880,1.2371596,15.893324,15.784026,,16.593262,17.884392006700413,94,16.467543,18.751307,16.593262,14.848037,-0.11391489,15.881934,16.467543,0.94928175,-0.0114406515,19.49453330039978
,0.11,0.9999584,9.382755,0.9132284,15.7710085,1900,0.8754105,15.939114,15.783889,,14.601023,17.472461217782836,95,16.467543,18.750774,14.601023,20.19668,-0.12773289,15.150676,16.467543,0.26739842,-0.012842738,19.90917730331421
,0.11,0.9999584,8.470932,0.9173959,16.136574,1920,2.5575864,15.933085,15.787563,,14.66495,17.865005772240913,96,16.467543,18.743113,14.66495,15.455149,-0.12752804,15.182072,16.467543,0.27718037,-0.012821918,20.230891227722168
,0.11,0.9999584,7.7302356,0.90248936,15.592556,1940,0.53744966,15.940081,15.785553,,14.418769,17.271091135808636,97,16.467543,18.735634,14.418769,16.70099,-0.12733814,15.208051,16.467543,0.28660372,-0.012802617,20.605318069458008
,0.11,0.9999584,7.1153507,0.88776344,15.476929,1960,0.33653596,15.940581,15.782403,,14.176716,17.167700026153973,98,16.467543,18.728327,14.176716,16.092468,-0.12715878,15.221595,16.467543,0.29580587,-0.01278439,20.91473364830017
,0.11,0.9999584,6.5972376,0.8836413,15.593743,1980,1.2087544,15.989283,15.780498,,14.101766,17.276802903565276,99,16.467543,18.72119,14.101766,20.878992,-0.1269893,15.295329,16.467543,0.30478215,-0.012767167,21.240679502487183
,0.11,0.9999584,6.150762,0.8914651,16.264273,2000,2.2633195,15.9654455,15.785336,,14.229348,17.989634654280064,100,16.467543,18.714212,14.229348,13.726081,-0.12682152,15.302123,16.467543,0.31385177,-0.012750113,21.552334547042847
,0.11,0.9999584,5.755108,0.91048986,16.500187,2020,3.31245,15.906321,15.792413,,14.546643,18.234993003730523,101,16.500187,18.707396,14.546643,10.105925,-0.12664273,15.27747,16.500187,0.3235447,-0.01273195,21.858002185821533
,0.11,0.9999584,5.3982005,0.9327147,16.206919,2040,3.6496387,15.886448,15.796477,,14.905599,17.9216700137054,102,16.500187,18.70074,14.905599,13.97276,-0.12644716,15.293284,16.500187,0.33414125,-0.012712078,22.19550061225891
,0.11,0.9999584,5.085815,0.92556435,16.077175,2060,0.7198829,15.895162,15.799203,,14.787744,17.79275586674647,103,16.500187,18.694256,14.787744,16.855051,-0.12625998,15.320078,16.500187,0.3445666,-0.01269306,22.738445520401
,0.11,0.9999584,4.806784,0.9345685,15.727816,2080,2.2905602,15.9054165,15.798516,,14.922102,17.42919368503144,104,16.500187,18.687933,14.922102,17.039396,-0.12607317,15.359173,16.500187,0.35515937,-0.012674077,23.128177642822266
,0.11,0.9999584,4.5585127,0.9260161,15.770646,2100,0.4338573,15.823109,15.798251,,14.781038,17.453994100872084,105,16.500187,18.681774,14.781038,7.3317723,-0.12589258,15.288563,16.500187,0.3656451,-0.01265573,23.532925844192505
,0.11,0.9999649,4.3364635,0.92196614,15.56389,2120,0.8294791,15.820184,15.796041,,14.7098,17.24833911360764,106,16.500187,18.675772,14.7098,15.589913,-0.12571834,15.30284,16.500187,0.37599912,-0.0126380315,23.84711503982544
,0.11,0.9999649,4.1234684,0.94492245,16.194946,2140,3.5880945,15.808639,15.799768,,15.080466,17.931447154132336,107,16.500187,18.669922,15.080466,14.665444,-0.12551732,15.323842,16.500187,0.38779628,-0.012617609,24.17208480834961
,0.11,0.9999649,3.909916,0.9684279,16.489422,2160,3.6878238,15.780699,15.806153,,15.469374,18.24301915665172,108,16.500187,18.664238,15.469374,12.849037,-0.12526721,15.331078,16.500187,0.4021958,-0.012592201,24.510151863098145
,0.11,0.9999649,3.713035,0.9761061,16.132393,2180,2.1107082,15.762823,15.809147,,15.590107,17.862099652761618,109,16.500187,18.658737,15.590107,13.866886,-0.1250129,15.342174,16.500187,0.41709027,-0.012566371,24.880362510681152
,0.11,0.9999649,3.5264647,0.9864452,16.500608,2200,2.3603287,15.78056,15.815432,,15.761552,18.242817173042226,110,16.500608,18.653425,15.761552,17.740543,-0.12474246,15.390003,16.500608,0.43309438,-0.012538904,25.209996223449707
,0.11,0.9999649,3.3439934,0.9996577,16.223234,2220,2.6487927,15.807738,15.819106,,15.973018,17.949551509412565,111,16.500608,18.648304,15.973018,18.813698,-0.12444107,15.44921,16.500608,0.45103374,-0.012508294,25.536773443222046
,0.11,0.9999649,3.1805584,0.99501103,15.722996,2240,0.71484566,15.791144,15.818248,,15.891855,17.42567045520226,112,16.500608,18.64339,15.891855,13.952285,-0.12415482,15.450731,16.500608,0.4685163,-0.012479222,25.881632328033447
,0.11,0.9999649,3.0256307,1.0024586,16.117067,2260,1.9850765,15.775068,15.820892,,16.008059,17.84740035529459,113,16.500608,18.638676,16.008059,13.981928,-0.1238578,15.461948,16.500608,0.48690116,-0.012449062,26.215294361114502
