ReturnAbsMax,Iteration,ReturnLastEpisode,ReturnStepMax,TimeElapsed,IWLastEpisode,IWFirstEpisode,IWMin,URet,LQGmu1,ReturnMin,LQGsigma,IWMax,MISE,ReturnMean,Bound,DenMISELogFirst,DenMISELogLast,IWMean,LQGmu01,TimestepsSoFar,DenMISEMeanLog,target_sum_log_mean,ReturnMax
15.763994,26,14.540933,0.9995132,2.1843743324279785,1.2230714e-06,6.6290755e-09,,16.035712578376604,0.01,,1.0,1.4564898e-05,1.5199116e-05,12.436371,1.5199116e-05,-12.468437,-12.468435,1.1615922e-06,0.001,520,-12.468436,-28.152138,15.763994
15.763994,27,13.781559,0.9995132,2.261082172393799,1.1319288e-06,6.8840427e-09,,15.300674937888774,0.01,,1.0,1.5125078e-05,1.5776879e-05,12.486193,1.5776879e-05,-12.506177,-12.506176,1.2035151e-06,0.001,540,-12.506176,-28.079752,15.763994
16.297157,28,16.297157,0.9995132,2.3396472930908203,3.7073073e-07,7.139006e-09,,17.974782749484014,0.01,,1.0,1.5685262e-05,1.5992657e-05,12.622298,1.5992657e-05,-12.542545,-12.542544,1.2167553e-06,0.001,560,-12.542543,-28.053701,16.297157
16.297157,29,12.681522,0.9995132,2.4194750785827637,6.177977e-07,7.3939708e-09,,14.133659359739003,0.01,,1.0,1.6245436e-05,1.626281e-05,12.62434,1.626281e-05,-12.577637,-12.577636,1.2380583e-06,0.001,580,-12.577635,-28.013048,16.297157
16.297157,30,10.684184,0.9995132,2.5020999908447266,2.3121657e-07,7.648933e-09,,11.727660674155402,0.01,,1.0,1.6805618e-05,1.6345151e-05,12.559668,1.6345151e-05,-12.611538,-12.611538,1.2457652e-06,0.001,600,-12.611537,-28.008997,16.297157
16.297157,31,13.3664255,0.9995132,2.5883853435516357,2.7433997e-10,7.903893e-09,,14.713187623644883,0.01,,1.0,1.7365795e-05,1.6345266e-05,12.585693,1.6345266e-05,-12.644327,-12.644327,1.2457738e-06,0.001,620,-12.644326,-28.223576,16.297157
16.297157,32,12.264834,0.9995132,2.676748037338257,8.208021e-06,8.158865e-09,,13.696515553541447,0.01,,1.0,1.7925984e-05,1.9491203e-05,12.575666,1.9491203e-05,-12.676076,-12.676068,1.5022742e-06,0.001,640,-12.676075,-28.103666,16.297157
16.297157,33,10.9933815,0.9995132,2.7638943195343018,1.320278e-06,8.413826e-09,,12.05967357747986,0.01,,1.0,1.8486146e-05,1.993102e-05,12.5277195,1.993102e-05,-12.706848,-12.706846,1.542282e-06,0.001,660,-12.706846,-28.04733,16.297157
16.297157,34,15.218534,0.9995132,2.8555686473846436,9.5321006e-08,8.668781e-09,,16.844975751384165,0.01,,1.0,1.904633e-05,1.9973682e-05,12.60686,1.9973682e-05,-12.736701,-12.736701,1.5450853e-06,0.001,680,-12.736699,-28.072489,16.297157
16.297157,35,15.781403,0.9995132,2.949850559234619,6.026987e-08,8.923749e-09,,17.432166191565713,0.01,,1.0,1.9606505e-05,2.0000853e-05,12.697562,2.0000853e-05,-12.765689,-12.765688,1.5468069e-06,0.001,700,-12.765687,-28.110134,16.297157
16.297157,36,11.006647,0.9995132,3.044802665710449,1.8650636e-07,9.178719e-09,,12.197280797499777,0.01,,1.0,2.0166684e-05,2.005787e-05,12.650592,2.005787e-05,-12.7938595,-12.7938595,1.551987e-06,0.001,720,-12.793858,-28.115091,16.297157
16.297157,37,15.413914,0.9995132,3.1418373584747314,4.5856563e-09,9.433684e-09,,16.990658586731854,0.01,,1.0,2.0726851e-05,2.0059775e-05,12.725276,2.0059775e-05,-12.821259,-12.821259,1.5521106e-06,0.001,740,-12.821258,-28.220673,16.297157
16.297157,38,9.295015,0.9995132,3.2400052547454834,5.2052957e-09,9.688633e-09,,10.21099203121593,0.01,,1.0,2.1287024e-05,2.0061043e-05,12.635006,2.0061043e-05,-12.847926,-12.847926,1.5522471e-06,0.001,760,-12.847924,-28.318064,16.297157
16.297157,39,9.737263,0.9995132,3.340538501739502,5.9647722e-05,9.943623e-09,,10.716865990241427,0.01,,1.0,5.9647722e-05,3.4953486e-05,12.560705,3.4953486e-05,-12.873902,-12.873842,3.0816757e-06,0.001,780,-12.873899,-28.171469,16.297157
16.297157,40,11.373197,0.9995132,3.4428749084472656,5.9412428e-06,1.0198572e-08,,12.60569255925827,0.01,,1.0,6.117705e-05,3.664273e-05,12.531016,3.664273e-05,-12.8992195,-12.899214,3.230204e-06,0.001,800,-12.899216,-28.090504,16.297157
16.297157,41,13.203549,0.9995132,3.5492095947265625,1.286206e-09,1.0453535e-08,,14.504650226411771,0.01,,1.0,6.2706415e-05,3.664312e-05,12.54742,3.664312e-05,-12.923912,-12.923912,3.2302328e-06,0.001,820,-12.923908,-28.219893,16.297157
16.297157,42,11.556868,0.9995132,3.656036376953125,1.1026366e-05,1.07085185e-08,,12.76483471189879,0.01,,1.0,6.423571e-05,3.9677143e-05,12.523836,3.9677143e-05,-12.94801,-12.947999,3.4927618e-06,0.001,840,-12.948007,-28.128067,16.297157
16.297157,43,10.993352,0.9995132,3.7648489475250244,1.4237072e-05,1.09634675e-08,,12.172975689385868,0.01,,1.0,6.576504e-05,4.331695e-05,12.488244,4.331695e-05,-12.97154,-12.971526,3.823854e-06,0.001,860,-12.971537,-28.035116,16.297157
16.297157,44,12.486958,0.9995132,3.877547264099121,1.0622591e-06,1.1218429e-08,,13.82844392814032,0.01,,1.0,6.729438e-05,4.3618387e-05,12.4882145,4.3618387e-05,-12.99453,-12.994529,3.847994e-06,0.001,880,-12.994526,-28.005903,16.297157
16.297157,45,12.041399,0.9995132,4.008581161499023,1.7882229e-08,1.147341e-08,,13.163332033561131,0.01,,1.0,6.88237e-05,4.3623146e-05,12.478285,4.3623146e-05,-13.017003,-13.017003,3.848388e-06,0.001,900,-13.016999,-28.069248,16.297157
