Iteration,target_sum_log_mean,TimeElapsed,DenMISELogFirst,TimestepsSoFar,IWNorm2,IWNorm1,URet,ReturnAbsMax,IWMax,IWLastEpisode,IWFirstEpisode,Bound,ReturnMean,ExplorationBonus,IWMin,SqrtESSClassic,ReturnMax,DenMISELogLast,LQGsigma,ReturnStepMax,DenMISEMeanLog,ReturnMin,MISE,ReturnLastEpisode,LQGmu1,IWMean,LQGmu01
12,8.922235,10.843926668167114,11.765053,240,8.45535,14.236918,10.003843192429693,9.564552,5.9089055,3.0337062,1.2794388e-08,22.192444,9.259952,11.360834,,1.6837764,9.564552,16.73624,0.11,0.5836317,15.670077,,10.831609,9.107067,0.05050505,1.1864098,0.005050505
13,9.422176,11.96665358543396,11.68501,260,7.699738,15.219386,9.96562682993649,9.564552,4.2923846,4.2923846,1.3860602e-08,20.346525,9.245568,9.677729,,1.9766109,9.564552,13.96464,0.11,0.5836317,15.541376,,10.668797,9.072963,0.05050505,1.170722,0.005050505
14,-65.86623,13.01980710029602,11.610902,280,8.415011e-16,8.4399236e-16,9.988610855762355,9.564552,8.414005e-16,8.414005e-16,,19.07264,9.234789,19.07264,,1.0029606,9.564552,11.788706,0.11,0.5836317,15.277698,,5.4736735e-16,9.094677,0.11111111,6.018517e-17,0.011111111
15,-60.616287,13.985207557678223,11.541909,300,14.999993,14.999993,9.862436609543918,9.564552,14.999993,14.999993,,28.10894,9.217793,19.129105,,1.0,9.564552,10.174852,0.11,0.5836317,14.8731165,,8.979835,8.979839,0.11111111,0.9999996,0.011111111
16,-55.776726,14.933431625366211,11.47737,320,11.313704,15.999992,9.86669148374801,9.564552,7.999996,7.999996,,22.507694,9.203114,13.5263195,,1.4142135,9.564552,14.737301,0.11,0.5836317,14.847444,,8.981375,8.982918,0.11111111,0.9999995,0.011111111
17,-51.40368,15.940310955047607,11.416746,340,9.814958,17.000004,9.877219887391876,9.564552,5.6666718,5.6666718,,20.029188,9.190708,11.044194,,1.7320507,9.564552,16.83046,0.11,0.5836317,14.954735,,8.984994,8.992218,0.11111111,1.0000002,0.011111111
18,0.24258725,17.23186993598938,11.359588,360,9.172941,20.427206,9.871077238190848,9.564552,4.468033,8.8335736e-20,1.9191601e-08,18.927603,9.179384,8.590022,,2.2268982,9.564552,11.1817665,0.11,0.5836317,14.739088,,10.337581,8.986876,0.05050505,1.1348448,0.005050505
19,-3.9804897,18.26921558380127,11.30552,380,9.4122,26.284645,9.977465747161673,9.564552,3.728083,2.5377824,0.05736285,19.571978,9.174356,6.849891,,2.7926145,9.564552,14.076592,0.11,0.5836317,14.706799,,12.722086,9.08387,0.030303031,1.3834023,0.0030303032
20,-3.0145361,19.25320553779602,11.257241,400,8.981039,26.832615,10.216564643899478,9.564552,3.3012323,3.3012323,0.060200203,18.759964,9.181387,6.4026275,,2.987696,9.564552,14.144291,0.11,0.5836317,14.693649,,12.357336,9.314985,0.030303031,1.3416307,0.0030303032
21,-50.60069,20.198999166488647,11.211456,420,10.499998,20.999996,10.073466164819726,9.564552,5.249999,,,18.550014,9.180998,9.564552,,2.0,9.564552,15.942101,0.11,0.5836317,14.766169,,8.985461,9.173218,0.11111111,0.9999998,0.011111111
22,-132.94516,21.25915241241455,11.164937,440,4.639399e-07,4.872368e-07,9.863470929204354,9.564552,4.636212e-07,4.636212e-07,,18.21446,9.171957,18.21446,,1.0502152,9.564552,4.8425126,0.11,0.5836317,14.31126,,1.9892609e-07,8.982079,0.15151516,2.2147127e-08,0.015151516
23,-126.38298,22.43074870109558,11.120485,460,23.0,23.0,9.751900864511265,9.564552,23.0,23.0,,28.00788,9.15921,19.129105,,1.0,9.564552,14.849009,0.11,0.5836317,14.292122,,8.878775,8.878775,0.15151516,1.0,0.015151516
24,-174.19646,23.340874433517456,11.077926,480,12.056459,12.551338,9.731936568524237,9.564552,12.045858,12.045858,,23.009502,9.146801,18.374876,,1.0410467,9.564552,12.882799,0.11,0.5836317,14.221496,,4.6346264,8.861385,0.17171717,0.5229724,0.017171716
25,-166.54762,24.426428079605103,11.037104,500,26.359303,33.86519,9.674048435428816,9.564552,24.994972,24.994972,,26.840017,9.133249,14.889326,,1.2847528,9.564552,13.806415,0.11,0.5836317,14.182805,,11.950691,8.808008,0.17171717,1.3546076,0.017171716
26,-159.4472,25.38198685646057,10.997883,520,17.719007,30.151386,9.7259328962207,9.564552,12.998694,10.114833,,21.489334,9.122579,11.241564,,1.7016408,9.564552,15.748915,0.11,0.5836317,14.243859,,10.24777,8.855811,0.17171717,1.1596687,0.017171716
27,-152.87703,26.653230667114258,10.960142,540,15.613507,31.226515,9.71436424089984,9.564552,8.999399,8.72201,,19.78875,9.112278,9.564705,,1.999968,9.564552,15.781885,0.11,0.5836317,14.300686,,10.224046,8.844447,0.17171717,1.1565375,0.017171716
28,-101.42851,28.18924355506897,10.923775,560,13.840348,19.694508,9.701608575789397,9.564552,12.912195,0.052488472,,19.683311,9.1024,13.443009,,1.4229778,9.564552,14.853008,0.11,0.5836317,14.321654,,6.240303,8.83571,0.15151516,0.7033753,0.015151516
29,-196.12595,29.179680824279785,10.888683,580,1.479221,1.5022805,9.763949278445729,9.564552,1.4790871,2.5771179e-09,,19.29178,9.094984,18.835478,,1.015589,9.564552,13.229173,0.11,0.5836317,14.271034,,0.4563027,8.887352,0.1919192,0.051802777,0.019191919
30,-189.09235,30.13464903831482,10.854782,600,29.702602,31.146713,9.619997254401417,9.564552,29.666897,29.666897,,27.339909,9.083836,18.242188,,1.048619,9.564552,11.492,0.11,0.5836317,14.147313,,9.097722,8.760496,0.1919192,1.0382237,0.019191919
31,-182.68663,31.059648990631104,10.821992,620,20.207457,29.861713,9.641342470553894,9.564552,15.413471,12.988737,,21.393406,9.073993,12.944688,,1.4777571,9.564552,6.9204297,0.11,0.5836317,13.906189,,8.448717,8.778723,0.1919192,0.9632811,0.019191919
32,-176.36021,32.02613949775696,10.790243,640,17.77844,32.09305,9.629614181666406,9.564552,10.626895,10.576323,,19.39212,9.064361,10.596863,,1.8051667,9.564552,17.400414,0.11,0.5836317,14.009615,,8.7952585,8.765774,0.1919192,1.0029078,0.019191919
33,-86.280266,33.17781138420105,10.759472,660,15.948338,28.447577,9.61035253318371,9.564552,10.947282,4.821127e-11,,18.376665,9.054839,10.724197,,1.783733,9.564552,15.791302,0.11,0.5836317,14.060285,,7.652468,8.750172,0.15151516,0.8620478,0.015151516
34,-290.96362,34.15592551231384,10.729619,680,2.5862917e-07,2.6956283e-07,9.770249691500275,9.564552,2.5845512e-07,,,18.353214,9.050155,18.353214,,1.0422754,9.564552,13.774041,0.11,0.5836317,14.045376,,6.937779e-08,8.895576,0.23232323,7.9283184e-09,0.023232324
35,-282.32443,35.11741828918457,10.700631,700,34.99801,34.99801,9.494732732911416,9.564552,34.99801,34.99801,,27.776775,9.038671,19.129105,,1.0,9.564552,7.8520164,0.11,0.5836317,13.840264,,8.64767,8.648161,0.23232323,0.9999431,0.023232324
36,-210.02995,36.07728552818298,10.672461,720,14.977109,15.433521,9.439768699680421,9.564552,14.972924,0.018304376,,22.272205,9.026287,18.563404,,1.030474,9.564552,12.966465,0.11,0.5836317,13.807857,,3.7088017,8.592882,0.21212122,0.4287089,0.021212121
37,-203.99612,37.37516975402832,10.6450615,740,28.316784,37.48381,9.565415222507077,9.564552,26.145489,26.145489,,23.256617,9.01772,14.450898,,1.3237312,9.564552,9.957931,0.11,0.5836317,13.68689,,8.805718,8.709334,0.21212122,1.013076,0.021212121
38,-259.1336,38.56317591667175,10.618393,760,26.633583,44.89612,9.485022093918271,9.564552,18.980694,15.540451,,21.531996,9.007617,11.3478985,,1.6856958,9.564552,10.982854,0.11,0.5836317,13.610941,,10.184097,8.633738,0.23232323,1.1814768,0.023232324
39,-251.94026,39.54517126083374,10.592418,780,23.14754,45.675438,9.427252929412951,9.564552,12.998707,12.998707,,19.778843,8.996761,9.694306,,1.9732308,9.564552,18.842445,0.11,0.5836317,13.745142,,10.084537,8.584278,0.23232323,1.1711651,0.023232324
40,-187.75484,40.617581844329834,10.5671,800,17.68865,24.950083,9.446856369981507,9.564552,16.559345,0.017144036,,18.981941,8.986857,13.561801,,1.4105136,9.564552,16.910965,0.11,0.5836317,13.825211,,5.4201403,8.600613,0.21212122,0.62375206,0.021212121
41,-472.25458,41.55854320526123,10.542407,820,2.333618e-16,2.3824292e-16,9.577185992546424,9.564552,2.332602e-16,,,18.737188,8.98041,18.737188,,1.0209165,9.564552,9.34759,0.11,0.5836317,13.705205,,4.9023332e-17,8.722466,0.2929293,5.710803e-18,0.02929293
42,-460.72693,42.514068365097046,10.51831,840,42.000015,42.000015,9.147361149532639,9.564552,42.000015,42.000015,,27.458878,8.964917,19.129105,,1.0,9.564552,8.169276,0.11,0.5836317,13.549873,,8.329772,8.329769,0.2929293,1.0000004,0.02929293
43,-449.54688,43.67024636268616,10.494779,860,30.405586,42.999992,9.107242736982828,9.564552,21.500008,21.499985,,21.835896,8.949206,13.5263195,,1.4142135,9.564552,16.946257,0.11,0.5836317,13.621995,,8.309575,8.289384,0.2929293,0.9999998,0.02929293
44,-356.82666,44.61747694015503,10.471789,880,8.647099,8.930446,9.188971783536708,9.564552,8.642439,8.642439,,20.219683,8.935923,18.522173,,1.0327679,9.564552,14.710278,0.11,0.5836317,13.642692,,1.6975089,8.364714,0.27272728,0.20296468,0.02727273
45,-348.603,45.60048794746399,10.449317,900,22.650322,29.090141,9.201853121623287,9.564552,21.40969,21.40969,,20.309435,8.923599,14.894405,,1.2843148,9.564552,10.174344,0.11,0.5836317,13.547775,,5.415029,8.381342,0.27272728,0.6464476,0.02727273
46,-340.66354,46.56485962867737,10.427338,920,28.098005,44.579468,9.264644525821838,9.564552,22.965347,22.965347,,20.204418,8.913017,12.05689,,1.5865705,9.564552,13.47824,0.11,0.5836317,13.536669,,8.14753,8.436815,0.27272728,0.9691189,0.02727273
47,-596.6646,47.405410289764404,10.405831,940,1.6689975e-06,1.6693531e-06,9.252458596972792,9.564552,1.6689974e-06,8.475577e-21,,19.12503,8.902609,19.12503,,1.000213,9.564552,16.297411,0.11,0.5836317,13.591865,,2.944239e-07,8.423843,0.33333334,3.5518152e-08,0.033333335
48,-583.88727,48.51063561439514,10.384778,960,47.999977,47.999977,8.909429409111539,9.564552,47.999977,47.999977,,27.2431,8.88618,19.129105,,1.0,9.564552,12.774357,0.11,0.5836317,13.554218,,8.113996,8.113999,0.33333334,0.9999995,0.033333335
49,-571.56555,49.74052596092224,10.364159,980,34.64824,49.000008,8.911442979006418,9.564552,24.500004,24.500004,,21.639332,8.87038,13.5263195,,1.4142135,9.564552,16.67906,0.11,0.5836317,13.6119375,,8.113013,8.112025,0.33333334,1.0000001,0.033333335
50,-559.88916,50.77665066719055,10.343956,1000,28.867506,49.99999,8.853420505290794,9.564552,16.666668,16.666668,,19.139042,8.854143,11.044193,,1.7320509,9.564552,9.441347,0.11,0.5836317,13.524945,,8.094849,8.058526,0.33333334,0.99999976,0.033333335
51,-649.75476,51.868117332458496,10.324154,1020,218.82562,219.27534,8.77570383593017,9.564552,218.8252,218.8252,,53.44123,8.837188,19.089872,,1.0020552,9.564552,9.505054,0.11,0.5836317,13.443632,,34.35136,7.989442,0.35353535,4.2995167,0.035353538
52,-637.01,52.93772268295288,10.304735,1040,66.150154,93.58952,8.741981753785181,9.564552,50.962906,50.962906,,27.870514,8.820293,13.520672,,1.4148043,9.564552,9.039983,0.11,0.5836317,13.372109,,14.349842,7.958665,0.35353535,1.7997985,0.035353538
53,-624.7024,54.37106251716614,10.285687,1060,44.20066,76.922935,8.68961162534238,9.564552,26.495495,26.495495,,22.535593,8.803212,10.991768,,1.7403119,9.564552,12.018142,0.11,0.5836317,13.352134,,11.543825,7.914951,0.35353535,1.4513762,0.035353538
54,-612.8573,55.7812294960022,10.266995,1080,35.30745,71.040405,8.697240492204745,9.564552,17.99795,17.996284,,19.960278,8.786853,9.507263,,2.0120516,9.564552,12.040518,0.11,0.5836317,13.331464,,10.453015,7.9198546,0.35353535,1.3155631,0.035353538
55,-292.97375,56.98067355155945,10.248646,1100,29.91673,57.135117,8.758670141667011,9.564552,18.314917,6.331448e-35,,18.753162,8.772069,10.016261,,1.9098048,9.564552,12.599547,0.11,0.5836317,13.320856,,8.736901,7.973749,0.27272728,1.0388203,0.02727273
56,-591.73663,58.07681894302368,10.230627,1120,30.839962,69.41554,9.19618270934038,9.564552,13.99881,4.2590237e-29,,18.355177,8.764906,8.498686,,2.250831,9.564552,7.1625195,0.11,0.5836317,13.209533,,9.856491,8.370881,0.35353535,1.2395632,0.035353538
57,-158.02501,59.26814341545105,10.212928,1140,28.359394,65.26216,8.771125335069085,9.564552,14.132776,,,18.342289,8.75122,8.31247,,2.3012538,9.564552,14.347674,0.11,0.5836317,13.231567,,10.029818,7.9848223,0.1919192,1.1449502,0.019191919
58,-196.12912,60.62346887588501,10.195536,1160,29.393236,64.82689,9.577873441709984,9.564552,14.498367,3.9476658e-05,,18.294706,8.750608,8.673349,,2.2055037,9.564552,-3.689394,0.11,0.5836317,12.940623,,9.621357,8.715746,0.23232323,1.117705,0.023232324
59,-332.9453,61.769537687301636,10.178442,1180,30.346397,59.410545,9.466372121604591,9.564552,19.659214,1.8008047e-23,,18.159267,8.748403,9.770983,,1.9577463,9.564552,7.453228,0.11,0.5836317,12.847869,,8.388286,8.620522,0.2929293,1.0069584,0.02929293
60,-430.11102,62.905083417892456,10.161634,1200,24.75503,78.4467,9.190291005673652,9.564552,8.500575,,0.18005863,18.073433,8.74208,6.0364747,,3.1689198,9.564552,14.622705,0.11,0.5836317,12.875856,,12.036959,8.3689575,0.030303031,1.307445,0.0030303032
61,-150.68202,64.03283357620239,10.148102,1220,28.062593,63.18944,10.116398266958488,9.564552,15.085006,,,17.651157,8.74975,8.495284,,2.251732,9.564552,-32.453064,0.11,0.5836317,12.136655,,9.155874,9.209949,0.17171717,1.0358925,0.017171716
62,-502.4669,65.03469848632812,10.131842,1240,25.335165,45.951385,9.709440045952089,9.564552,15.145058,,15.145058,17.57592,8.751226,10.546778,,1.8137393,9.564552,-5.181572,0.11,0.5836317,11.856542,,7.0291424,8.841327,0.01010101,0.7411514,0.001010101
63,-413.81323,66.26079964637756,10.334394,1260,24.441534,84.381165,10.624461173880775,9.634871,7.806386,7.727519,0.15149044,17.963976,8.765253,5.5816016,,3.4523678,9.634871,4.448195,0.11,0.6283215,11.73382,,12.382375,9.634871,0.030303031,1.3393836,0.0030303032
64,-196.58028,67.32560443878174,10.321048,1280,28.621664,63.999985,10.05012640832006,9.634871,12.799999,4.57399e-37,,17.602474,8.771333,8.61769,,2.236068,9.634871,15.910884,0.11,0.6283215,11.803421,,8.984784,9.154379,0.11111111,0.99999976,0.011111111
65,-167.9625,68.41081118583679,10.305543,1300,17.124596,18.510649,9.842276356519553,9.634871,17.104052,17.104052,,20.37902,8.774268,17.826849,,1.0809393,9.634871,10.266145,0.11,0.6283215,11.77853,,2.5521715,8.9621725,0.13131313,0.28477922,0.013131313
66,-165.11642,69.52140092849731,10.290276,1320,43.107906,56.01437,9.805793113841567,9.634871,40.84777,40.84777,,22.41416,8.776584,14.829734,,1.299399,9.634871,16.169762,0.11,0.6283215,11.833893,,7.5844264,8.927074,0.13131313,0.84870255,0.013131313
67,-162.44774,70.75201892852783,10.275238,1340,43.147743,71.32706,9.819047427571595,9.634871,32.73383,32.73383,,21.17326,8.7790165,11.656809,,1.6530889,9.634871,10.196492,0.11,0.6283215,11.8049755,,9.51645,8.939583,0.13131313,1.064583,0.013131313
68,-159.98312,71.91557574272156,10.260423,1360,38.08593,74.87964,9.809277168214873,9.634871,22.318422,22.316412,,19.642351,8.78124,9.801143,,1.9660709,9.634871,2.0406504,0.11,0.6283215,11.660048,,9.841208,8.930229,0.13131313,1.1011711,0.013131313
69,-143.75699,73.04368424415588,10.245824,1380,34.380005,83.30305,9.781811201491898,9.634871,17.075808,15.867238,,18.681438,8.7830515,7.9528155,,2.4230087,9.634871,15.901822,0.11,0.6283215,11.721195,,10.728623,8.906243,0.15151516,1.2072905,0.015151516
70,-141.48883,74.13218545913696,10.231436,1400,31.571777,84.134766,9.755289760310646,9.634871,13.886678,13.770689,,17.910551,8.784471,7.2310176,,2.6648726,9.634871,12.392407,0.11,0.6283215,11.732305,,10.679534,8.882369,0.15151516,1.2019253,0.015151516
71,-380.59595,75.17005634307861,10.217251,1420,25.873386,93.38037,9.796499117594868,9.634871,7.848136,,0.1703178,17.487595,8.786372,5.3391676,,3.6091282,9.634871,16.18536,0.11,0.6283215,11.796691,,12.148427,8.919493,0.030303031,1.3152165,0.0030303032
72,-197.5704,76.52555060386658,10.205661,1440,32.765858,79.58101,10.079192729948243,9.634871,14.398716,,,17.45139,8.79177,7.9339232,,2.4287784,9.634871,6.962073,0.11,0.6283215,11.733156,,9.517467,9.175016,0.23232323,1.1052918,0.023232324
73,-151.98248,77.70067596435547,10.191867,1460,32.021656,70.89133,9.44072501814045,9.634871,18.003323,,,17.381289,8.789122,8.704154,,2.2138557,9.634871,-11.686959,0.11,0.6283215,11.412608,,8.6771345,8.598453,0.13131313,0.97111404,0.013131313
74,-600.67523,78.84069538116455,10.178262,1480,35.718437,88.09407,9.787035816804998,9.634871,14.798992,,,17.285843,8.790738,7.813069,,2.4663472,9.634871,8.986584,0.11,0.6283215,11.3783865,,9.472774,8.908712,0.35353535,1.1904604,0.035353538
75,-141.90482,79.92005634307861,10.164839,1500,30.254618,91.070145,8.792133279016827,9.634871,12.40389,,,17.195526,8.780292,6.401644,,3.0101237,9.634871,-16.122938,0.11,0.6283215,11.012956,,10.793881,8.007165,0.15151516,1.2142686,0.015151516
76,-137.0439,81.3061101436615,10.151593,1520,33.09216,87.32829,9.680400017426903,9.634871,15.000995,14.920639,,17.45122,8.780637,7.3020706,,2.638942,9.634871,-18.035295,0.11,0.6283215,10.632672,,10.149149,8.806633,0.17171717,1.1490564,0.017171716
