ReturnMean,MISE,IWMean,DenMISEMeanLog,IWMin,ReturnStepMax,ReturnAbsMax,LQGmu1,IWNorm1,DenMISELogFirst,TimestepsSoFar,ReturnMin,ReturnMax,URet,ExplorationBonus,Bound,TimeElapsed,LQGsigma,ReturnLastEpisode,IWMax,LQGmu01,IWLastEpisode,IWFirstEpisode,DenMISELogLast,IWNorm2,Iteration,SqrtESSClassic,target_sum_log_mean
8.970284,10.293434,1.1318328,13.636294,,0.61800236,9.688149,0.05050505,47.53698,10.515304,840,,9.688149,9.972367425143121,8.420007,18.71344,39.23052167892456,0.11,9.079817,10.357927,0.005050505,10.346151,4.4645645e-08,17.445663,20.657282,42,2.3012214,-125.80038
8.973301,0.09683059,0.01075667,13.737109,,0.61800236,9.688149,0.13131313,0.46253678,10.491774,860,,9.688149,9.995412595843193,18.544285,18.641115,40.170828104019165,0.11,9.099955,0.44235003,0.013131313,2.0225363e-32,,17.932863,0.44267556,43,1.0448663,-74.45354
8.973189,7.6894517,0.8719223,13.624978,,0.61800236,9.688149,0.17171717,38.364582,10.468784,880,,9.688149,9.850563385925625,10.837718,18.52717,41.109981298446655,0.11,8.968394,14.575698,0.017171716,6.835633e-16,,9.781155,21.458408,44,1.7878578,-112.826195
8.969636,9.2521,1.0291563,13.526768,,0.61800236,9.688149,0.11111111,46.312035,10.446311,900,,9.688149,9.676703753534667,9.155941,18.408041,42.02166152000427,0.11,8.813294,11.129697,0.011111111,2.0426421e-24,,9.421609,21.883965,45,2.1162543,-67.95181
8.969989,1.5798129e-19,1.8795172e-20,13.553793,,0.61800236,9.688149,0.33333334,8.6462387e-19,10.424333,920,,9.688149,9.869476476512826,18.385714,18.385714,43.03457713127136,0.11,8.985894,8.2042027e-19,0.033333335,,,14.83203,8.2042125e-19,46,1.053878,-693.348
8.952366,15.93096,1.9567095,12.948468,,0.61800236,9.688149,0.3131313,91.96535,10.402826,940,,9.688149,8.93751338915067,19.376299,35.30726,44.059921979904175,0.11,8.141709,91.96535,0.031313132,91.96535,,-13.907169,91.96535,47,1.0,-570.45044
8.936847,13.559959,1.6574521,12.988931,,0.61800236,9.688149,0.3131313,79.5577,10.381773,960,,9.688149,9.014587626806536,13.976335,27.536293,45.048442125320435,0.11,8.20746,47.79196,0.031313132,47.79196,,14.796091,57.385834,48,1.3863648,-558.17725
8.922412,11.450853,1.3970221,13.068513,,0.61800236,9.688149,0.3131313,68.45409,10.361154,980,,9.688149,9.0404051971918,11.245413,22.696266,45.98943090438843,0.11,8.229533,24.493649,0.031313132,24.493649,,16.67932,39.728664,49,1.7230402,-546.3802
8.907543,10.488954,1.2805078,12.999304,,0.61800236,9.688149,0.3131313,64.02539,10.340951,1000,,9.688149,8.985549853803326,9.707873,20.196827,46.95014786720276,0.11,8.178964,16.663792,0.031313132,16.478355,,9.45271,32.07787,50,1.9959365,-535.2075
8.891985,7.5822754,0.93399346,12.965815,,0.61800236,9.688149,0.33333334,47.633667,10.321148,1020,,9.688149,8.912533932394627,16.988766,24.571041,48.122992277145386,0.11,8.114056,41.36038,0.033333335,41.36038,,11.171,41.764282,51,1.140536,-624.60297
8.876465,8.542781,1.0541832,12.898081,,0.61800236,9.688149,0.33333334,54.817528,10.30173,1040,,9.688149,8.880655551651719,12.4112625,20.954044,49.09375786781311,0.11,8.084966,25.738127,0.033333335,25.738127,,9.723108,35.11273,52,1.5611868,-612.3419
8.860755,0.6581786,0.08181612,12.887017,,0.61800236,9.688149,0.35353535,4.3362546,10.282681,1060,,9.688149,8.831378441557074,19.036379,19.694557,50.147838830947876,0.11,8.043841,4.25959,0.035353538,4.25959,,12.423551,4.2601833,53,1.0178564,-707.314
8.843471,8.531134,1.0750396,12.843272,,0.61800236,9.688149,0.35353535,58.05214,10.263989,1080,,9.688149,8.70475634093136,18.059313,26.590446,51.139477252960205,0.11,7.9273705,53.95702,0.035353538,53.95702,,11.436674,54.1064,54,1.0729256,-693.93005
8.827657,8.425294,1.0589069,12.8222885,,0.61800236,9.688149,0.35353535,58.23988,10.245641,1100,,9.688149,8.758670141667011,12.850035,21.27533,52.096923828125,0.11,7.973749,27.489042,0.035353538,26.863274,,11.914148,38.623707,55,1.5078791,-681.0366
8.811617,8.433037,1.0608014,12.8024235,,0.61800236,9.688149,0.35353535,59.404877,10.227622,1120,,9.688149,8.708526133950201,10.555594,18.988632,53.23620319366455,0.11,7.9294114,18.661707,0.035353538,18.65982,,11.82943,32.361897,56,1.8356426,-668.61176
8.796625,8.071159,0.99777234,12.8436365,,0.61800236,9.688149,0.33333334,56.873024,10.209923,1140,,9.688149,8.743404562383693,10.207229,18.278389,54.239156007766724,0.11,7.957102,18.77164,0.033333335,0.06080895,,15.219486,29.960106,57,1.8982918,-557.70123
8.784211,8.799516,1.0118811,12.883577,,0.61800236,9.688149,0.21212122,58.689102,10.192531,1160,,9.688149,8.872455784715719,9.320367,18.119883,55.20691466331482,0.11,8.076593,14.486177,0.021212121,,,15.269623,28.23057,58,2.0789201,-190.03047
8.782158,8.429121,1.0000001,12.716867,,0.61800236,9.688149,0.27272728,59.000004,10.175436,1180,,9.688149,9.517047861868075,9.688149,18.117271,56.176998138427734,0.11,8.663124,14.750001,0.02727273,7.75601e-18,,3.1295297,29.500002,59,2.0,-315.72122
8.776947,8.906658,0.9873131,12.741931,,0.61800236,9.688149,0.09090909,59.238785,10.158629,1200,,9.688149,9.300761966007355,9.082802,17.98946,57.192025661468506,0.11,8.469434,14.782038,0.00909091,,1.9065149e-34,14.319793,27.768677,60,2.1332953,-221.51009
8.780496,7.2408967,0.7602708,12.387031,,0.61800236,9.688149,0.01010101,46.37652,10.142099,1220,,9.688149,9.881230243141685,10.6473465,17.888243,58.38636255264282,0.11,8.993449,15.050805,0.001010101,,14.990498,-8.809489,25.484064,61,1.8198242,-455.7594
8.790478,10.21524,1.1282073,12.3825035,,0.61800236,9.688149,0.07070707,69.94885,10.345573,1240,,9.688149,10.341410785550957,7.6319084,17.847149,59.39074492454529,0.11,9.399364,12.25696,0.0070707067,1.6291322e-17,5.386814e-19,12.413314,27.551353,62,2.5388536,-257.5121
8.794885,10.049249,1.1048802,12.343415,,0.61800236,9.688149,0.05050505,69.60745,10.329574,1260,,9.688149,9.96175748003765,7.672003,17.721252,60.40412497520447,0.11,9.068198,12.445284,0.005050505,0.0032307957,5.375769e-08,9.871829,27.560917,63,2.5255854,-305.32837
8.799277,9.222989,1.0512934,12.440762,,0.61800236,9.688149,0.1919192,67.282776,10.313825,1280,,9.688149,9.96868237658043,8.458163,17.681152,61.46914744377136,0.11,9.075938,15.658781,0.019191919,,,18.546299,29.37035,64,2.2908401,-167.37228
8.7982025,1.42231,0.16801144,12.282478,,0.61800236,9.688149,0.25252524,10.920744,10.298321,1300,,9.688149,9.58514950826967,16.157951,17.580261,62.515591859817505,0.11,8.729409,8.999082,0.025252525,2.6243975e-15,,2.1855278,9.106839,65,1.1991805,-267.91882
8.793638,8.013001,0.9436059,12.294093,,0.61800236,9.688149,0.25252524,62.27799,10.283053,1320,,9.688149,9.333204420212933,16.477453,24.490456,63.874876260757446,0.11,8.496975,52.330414,0.025252525,52.330414,,13.882571,52.960716,66,1.175928,-263.58914
8.789497,9.134131,1.0743876,12.258635,,0.61800236,9.688149,0.25252524,71.98396,10.268015,1340,,9.688149,9.354357160230588,12.13618,21.270311,64.91765093803406,0.11,8.516158,33.168457,0.025252525,33.168457,,10.183303,45.086544,67,1.5965731,-259.45074
8.785298,9.29055,1.0928583,12.106966,,0.61800236,9.688149,0.25252524,74.31436,10.253201,1360,,9.688149,9.341529047061758,10.059565,19.350115,65.9493944644928,0.11,8.503983,22.516626,0.025252525,22.374157,,2.0380647,38.581676,68,1.9261569,-255.5596
8.780443,8.326589,1.0471373,12.164476,,0.61800236,9.688149,0.35353535,72.25247,10.238602,1380,,9.688149,9.280977594187823,9.248825,17.575413,66.993732213974,0.11,8.450363,17.24542,0.035353538,,,16.10858,34.488033,69,2.0950012,-623.1444
8.768809,9.435903,1.0496861,12.009675,,0.61800236,9.688149,0.11111111,73.47803,10.224213,1400,,9.688149,8.745885256769364,8.097754,17.533657,68.01131939888,0.11,7.966057,13.929506,0.011111111,,,1.3816395,30.707975,70,2.3927994,-191.2151
8.771371,7.854898,0.8908503,11.4878,,0.61800236,9.688149,0.17171717,63.25037,10.210028,1420,,9.688149,9.836466711831651,9.422523,17.27742,69.46888780593872,0.11,8.950679,17.646757,0.017171716,1.2206234e-19,,-25.014896,30.758095,71,2.0563812,-150.6657
8.772456,0.31669778,0.035789832,11.446007,,0.61800236,9.688149,0.15151516,2.5768678,10.196042,1440,,9.688149,9.717645468365772,18.791412,19.10811,70.56155133247375,0.11,8.849408,2.4982615,0.015151516,2.4982615,,8.662534,2.4990833,72,1.0311252,-150.3871
8.7737055,2.12358,0.23964015,11.482078,,0.61800236,9.688149,0.15151516,17.49373,10.182248,1460,,9.688149,9.735196301972907,16.797077,18.920658,72.09835577011108,0.11,8.8636875,14.966072,0.015151516,14.966072,,15.037043,15.165102,73,1.1535518,-148.08394
8.775064,5.2681756,0.59394646,11.531042,,0.61800236,9.688149,0.15151516,43.952038,10.168643,1480,,9.688149,9.747283460163773,13.9294405,19.197617,73.58468055725098,0.11,8.874244,28.880367,0.015151516,28.880367,,15.87814,31.59671,74,1.3910321,-145.8228
8.776533,6.9909015,0.78763235,11.543174,,0.61800236,9.688149,0.15151516,59.072426,10.15522,1500,,9.688149,9.76040014196161,11.251232,18.242134,75.04012179374695,0.11,8.885258,24.675068,0.015151516,24.675068,,12.914515,34.301575,75,1.7221491,-143.66354
8.777702,9.18734,1.0570562,11.583137,,0.61800236,9.688149,0.21212122,80.33627,10.141974,1520,,9.688149,9.739124893497484,8.070677,17.258017,76.12906384468079,0.11,8.865358,15.192634,0.021212121,5.8002673e-15,,14.874172,33.461918,76,2.400827,-168.52942
8.776551,9.354781,1.1086519,11.49261,,0.61800236,9.688149,0.27272728,85.366196,10.128902,1540,,9.688149,9.54380520807711,7.8754025,17.230183,77.0614287853241,0.11,8.68908,15.387475,0.02727273,5.341033e-22,,4.6350355,34.696674,77,2.4603567,-289.07202
8.771853,1.4153e-20,1.4629231e-21,11.463262,,0.61800236,9.688149,-0.05050505,1.1418596e-19,10.115999,1560,,9.688149,9.234014310624204,18.483797,18.483797,78.16306018829346,0.11,8.410156,1.0892539e-19,-0.005050505,,4.810392e-21,9.178646,1.0892639e-19,78,1.0482856,-760.52374
